agglosID,agglosName,ISO3,gdp_2020_sum,pop_2020_sum
7156,Ouagadougou,BFA," 16,758,812,672 "," 2,891,920 "
1975,Bobo-dioulasso,BFA," 1,757,290,496 "," 813,114 "
5011,Koudougou,BFA," 312,324,480 "," 196,413 "
7157,Ouahigouya,BFA," 191,108,080 "," 131,732 "
1581,Banfora,BFA," 230,018,560 "," 93,093 "
7374,Pouytenga,BFA," 132,644,016 "," 86,063 "
4665,Kaya,BFA," 185,466,592 "," 119,138 "
3831,Hounde,BFA," 130,378,128 "," 52,373 "
3183,Fada-n'gourma,BFA," 221,666,736 "," 62,606 "
8451,Tenkodogo,BFA," 139,298,064 "," 65,090 "
