iso3cd,hazard,Loss,GDP
AGO,Combined,71884938.2,79450688259.36636
AGO,Earthquake,16838212.7,79450688259.36636
AGO,Flood,55046725.5,79450688259.36636
BDI,Combined,16110863.8,2667182199.51333
BDI,Earthquake,13160566.8,2667182199.51333
BDI,Flood,2950297.0,2667182199.51333
BEN,Combined,41903218.199999996,14262408089.926104
BEN,Earthquake,3320245.3000000003,14262408089.926104
BEN,Flood,38582972.9,14262408089.926104
BFA,Combined,10366552.0,15890066221.288244
BFA,Flood,10366552.0,15890066221.288244
BWA,Combined,69223842.10000001,17031943186.13526
BWA,Earthquake,15390132.9,17031943186.13526
BWA,Flood,53833709.2,17031943186.13526
CAF,Combined,22479105.2,2220979146.1124053
CAF,Earthquake,2343956.8,2220979146.1124053
CAF,Flood,20135148.4,2220979146.1124053
CIV,Combined,71129888.9,58522477786.68885
CIV,Earthquake,6206052.600000001,58522477786.68885
CIV,Flood,64923836.300000004,58522477786.68885
CMR,Combined,143824529.7,39955552189.79499
CMR,Earthquake,38044677.8,39955552189.79499
CMR,Flood,105779851.9,39955552189.79499
COD,Combined,293856796.5,47568210009.81716
COD,Earthquake,54924912.4,47568210009.81716
COD,Flood,238931884.1,47568210009.81716
COG,Combined,365387550.3,14773900288.513496
COG,Flood,365387550.3,14773900288.513496
COM,Combined,3728174.7,1188797449.9602897
COM,Earthquake,3728174.7,1188797449.9602897
CPV,Combined,426589.6,2205099506.9999404
CPV,Earthquake,426589.6,2205099506.9999404
ERI,Combined,4733554.7,
ERI,Earthquake,2269634.5,
ERI,Flood,2463920.2,
ETH,Combined,182784204.79999998,84269180856.91467
ETH,Earthquake,51707321.9,84269180856.91467
ETH,Flood,131076882.89999999,84269180856.91467
GAB,Combined,82370808.0,16867326401.962582
GAB,Flood,82370808.0,16867326401.962582
GHA,Combined,117620731.2,67259353965.60871
GHA,Earthquake,13286167.8,67259353965.60871
GHA,Flood,104334563.4,67259353965.60871
GIN,Combined,44046508.7,11857030366.78909
GIN,Flood,44046508.7,11857030366.78909
GMB,Combined,1835155.1,1670671327.8165145
GMB,Earthquake,234949.5,1670671327.8165145
GMB,Flood,1600205.6,1670671327.8165145
GNB,Combined,1047351.8999999999,1554133593.9169855
