iso3cd,hazard,sector,Loss,RP,Buildings_Loss,Total_AAL,Buildings_AAL,Scaling_Factor,GDP
AGO,Combined,all_assets,196624775.43387255,10.0,0.0,71884938.2,43996361.300000004,0.0,74679601994.04178
AGO,Combined,all_assets,356957120.40260476,25.0,0.0,71884938.2,43996361.300000004,0.0,74679601994.04178
AGO,Combined,all_assets,451832411.6999813,50.0,0.0,71884938.2,43996361.300000004,0.0,74679601994.04178
AGO,Combined,all_assets,510860006.83527464,100.0,0.0,71884938.2,43996361.300000004,0.0,74679601994.04178
AGO,Combined,all_assets,784815313.8970978,250.0,0.0,71884938.2,43996361.300000004,0.0,74679601994.04178
AGO,Combined,all_assets,1332102038.272067,500.0,0.0,71884938.2,43996361.300000004,0.0,74679601994.04178
AGO,Combined,all_assets,1965221852.0210052,1000.0,0.0,71884938.2,43996361.300000004,0.0,74679601994.04178
AGO,Earthquake,all_assets,26928554.014172457,10.0,11230213.6,16838212.7,7022164.1,2.397866592152126,74679601994.04178
AGO,Earthquake,all_assets,65394633.04751897,25.0,27272006.4,16838212.7,7022164.1,2.397866592152126,74679601994.04178
AGO,Earthquake,all_assets,132700976.26581755,50.0,55341267.4,16838212.7,7022164.1,2.397866592152126,74679601994.04178
AGO,Earthquake,all_assets,265355984.7097036,100.0,110663364.5,16838212.7,7022164.1,2.397866592152126,74679601994.04178
AGO,Earthquake,all_assets,663045442.4168583,250.0,276514733.8,16838212.7,7022164.1,2.397866592152126,74679601994.04178
AGO,Earthquake,all_assets,1236757077.7683024,500.0,515773930.8,16838212.7,7022164.1,2.397866592152126,74679601994.04178
AGO,Earthquake,all_assets,1836410747.8907623,1000.0,765851926.0,16838212.7,7022164.1,2.397866592152126,74679601994.04178
AGO,Flood,all_assets,142077463.41071978,10.0,95431655.6,55046725.5,36974197.2,1.488787578057273,74679601994.04178
AGO,Flood,all_assets,291227113.85797006,25.0,195613610.8,55046725.5,36974197.2,1.488787578057273,74679601994.04178
AGO,Flood,all_assets,404518282.1202529,50.0,271709871.9,55046725.5,36974197.2,1.488787578057273,74679601994.04178
AGO,Flood,all_assets,449819629.6856081,100.0,302138220.6,55046725.5,36974197.2,1.488787578057273,74679601994.04178
AGO,Flood,all_assets,477234670.6334888,250.0,320552560.8,55046725.5,36974197.2,1.488787578057273,74679601994.04178
AGO,Flood,all_assets,499879492.51327264,500.0,335762804.5,55046725.5,36974197.2,1.488787578057273,74679601994.04178
AGO,Flood,all_assets,528480392.8154618,1000.0,354973671.6,55046725.5,36974197.2,1.488787578057273,74679601994.04178
BDI,Combined,all_assets,44517385.44512158,10.0,0.0,16110863.8,7755441.100000001,0.0,2655762680.725733
BDI,Combined,all_assets,87447801.34258763,25.0,0.0,16110863.8,7755441.100000001,0.0,2655762680.725733
BDI,Combined,all_assets,163166168.5313351,50.0,0.0,16110863.8,7755441.100000001,0.0,2655762680.725733
BDI,Combined,all_assets,311497207.08856875,100.0,0.0,16110863.8,7755441.100000001,0.0,2655762680.725733
BDI,Combined,all_assets,740465590.0844473,250.0,0.0,16110863.8,7755441.100000001,0.0,2655762680.725733
BDI,Combined,all_assets,1316916774.7489297,500.0,0.0,16110863.8,7755441.100000001,0.0,2655762680.725733
BDI,Combined,all_assets,1868475058.4787683,1000.0,0.0,16110863.8,7755441.100000001,0.0,2655762680.725733
BDI,Earthquake,all_assets,31090427.721325472,10.0,15128963.8,13160566.8,6404084.9,2.0550269094652385,2655762680.725733
BDI,Earthquake,all_assets,77474347.82415713,25.0,37699918.9,13160566.8,6404084.9,2.0550269094652385,2655762680.725733
BDI,Earthquake,all_assets,154116831.03049728,50.0,74995042.8,13160566.8,6404084.9,2.0550269094652385,2655762680.725733
BDI,Earthquake,all_assets,303466668.5422942,100.0,147670411.1,13160566.8,6404084.9,2.0550269094652385,2655762680.725733
BDI,Earthquake,all_assets,736047271.8046896,250.0,358169164.8,13160566.8,6404084.9,2.0550269094652385,2655762680.725733
BDI,Earthquake,all_assets,1318574964.0220664,500.0,641633916.3,13160566.8,6404084.9,2.0550269094652385,2655762680.725733
BDI,Earthquake,all_assets,1865112600.0691347,1000.0,907585487.8,13160566.8,6404084.9,2.0550269094652385,2655762680.725733
BDI,Flood,all_assets,11576706.436186625,10.0,5302603.1,2950297.0,1351356.2000000002,2.1832119466355357,2655762680.725733
BDI,Flood,all_assets,23135848.277298983,25.0,10597160.9,2950297.0,1351356.2000000002,2.1832119466355357,2655762680.725733
BDI,Flood,all_assets,31381646.58548412,50.0,14374072.4,2950297.0,1351356.2000000002,2.1832119466355357,2655762680.725733
BDI,Flood,all_assets,36324839.70702277,100.0,16638256.2,2950297.0,1351356.2000000002,2.1832119466355357,2655762680.725733
BDI,Flood,all_assets,37971857.20109776,250.0,17392657.3,2950297.0,1351356.2000000002,2.1832119466355357,2655762680.725733
BDI,Flood,all_assets,37971857.20109776,500.0,17392657.3,2950297.0,1351356.2000000002,2.1832119466355357,2655762680.725733
BDI,Flood,all_assets,39618518.17666186,1000.0,18146895.1,2950297.0,1351356.2000000002,2.1832119466355357,2655762680.725733
BEN,Combined,all_assets,120009281.13214867,10.0,0.0,41903218.199999996,22427564.8,0.0,13785250080.11231
BEN,Combined,all_assets,229541049.64394262,25.0,0.0,41903218.199999996,22427564.8,0.0,13785250080.11231
BEN,Combined,all_assets,306587971.1040953,50.0,0.0,41903218.199999996,22427564.8,0.0,13785250080.11231
BEN,Combined,all_assets,337899401.58047414,100.0,0.0,41903218.199999996,22427564.8,0.0,13785250080.11231
BEN,Combined,all_assets,365899278.27195346,250.0,0.0,41903218.199999996,22427564.8,0.0,13785250080.11231
BEN,Combined,all_assets,407248036.1559137,500.0,0.0,41903218.199999996,22427564.8,0.0,13785250080.11231
BEN,Combined,all_assets,497826411.8592088,1000.0,0.0,41903218.199999996,22427564.8,0.0,13785250080.11231
BEN,Earthquake,all_assets,5097692.995239654,10.0,2392986.3,3320245.3000000003,1558607.3,2.130264178796032,13785250080.11231
BEN,Earthquake,all_assets,13592805.64904306,25.0,6380807.5,3320245.3000000003,1558607.3,2.130264178796032,13785250080.11231
BEN,Earthquake,all_assets,27182276.1564878,50.0,12760049.4,3320245.3000000003,1558607.3,2.130264178796032,13785250080.11231
BEN,Earthquake,all_assets,54351217.28526916,100.0,25513839.0,3320245.3000000003,1558607.3,2.130264178796032,13785250080.11231
BEN,Earthquake,all_assets,134082954.80026864,250.0,62941937.5,3320245.3000000003,1558607.3,2.130264178796032,13785250080.11231
BEN,Earthquake,all_assets,254311274.67246336,500.0,119380158.2,3320245.3000000003,1558607.3,2.130264178796032,13785250080.11231
BEN,Earthquake,all_assets,406338399.6481623,1000.0,190745544.0,3320245.3000000003,1558607.3,2.130264178796032,13785250080.11231
BEN,Flood,all_assets,104597071.99114709,10.0,56575004.1,38582972.9,20868957.5,1.8488212887490905,13785250080.11231
BEN,Flood,all_assets,213371818.2168457,25.0,115409650.2,38582972.9,20868957.5,1.8488212887490905,13785250080.11231
BEN,Flood,all_assets,296989939.17918885,50.0,160637451.0,38582972.9,20868957.5,1.8488212887490905,13785250080.11231
BEN,Flood,all_assets,329224626.99199593,100.0,178072715.3,38582972.9,20868957.5,1.8488212887490905,13785250080.11231
BEN,Flood,all_assets,348262208.62086064,250.0,188369860.7,38582972.9,20868957.5,1.8488212887490905,13785250080.11231
BEN,Flood,all_assets,364365024.0273718,500.0,197079634.6,38582972.9,20868957.5,1.8488212887490905,13785250080.11231
BEN,Flood,all_assets,383388646.50086015,1000.0,207369229.7,38582972.9,20868957.5,1.8488212887490905,13785250080.11231
BFA,Combined,all_assets,27362592.277581226,10.0,0.0,10366552.0,7029523.6,0.0,15343278446.667704
BFA,Combined,all_assets,54712224.67362258,25.0,0.0,10366552.0,7029523.6,0.0,15343278446.667704
BFA,Combined,all_assets,75822599.81570338,50.0,0.0,10366552.0,7029523.6,0.0,15343278446.667704
BFA,Combined,all_assets,84499296.46239932,100.0,0.0,10366552.0,7029523.6,0.0,15343278446.667704
BFA,Combined,all_assets,89490059.44923276,250.0,0.0,10366552.0,7029523.6,0.0,15343278446.667704
BFA,Combined,all_assets,93193152.55050676,500.0,0.0,10366552.0,7029523.6,0.0,15343278446.667704
BFA,Combined,all_assets,98235555.62065145,1000.0,0.0,10366552.0,7029523.6,0.0,15343278446.667704
BFA,Flood,all_assets,27371311.360977013,10.0,18560393.0,10366552.0,7029523.6,1.4747161528841015,15343278446.667704
BFA,Flood,all_assets,54722962.98597669,25.0,37107454.8,10366552.0,7029523.6,1.4747161528841015,15343278446.667704
BFA,Flood,all_assets,75844878.25923043,50.0,51430153.6,10366552.0,7029523.6,1.4747161528841015,15343278446.667704
BFA,Flood,all_assets,84538731.39821902,100.0,57325425.8,10366552.0,7029523.6,1.4747161528841015,15343278446.667704
