iso3cd,hazard,sector,subsector,risk_metric_abbr,Loss,RP,pop,cap_stock_capita,gdp_capita,GDP
AGO,Flood,Power,Transmission - Lines,PML,1538836.0,2500.0,30809791.94,8073.795068099768,3595.108737,110764552188.64618
COG,Flood,Buildings,Government,AAL,23184226.4,,5244365.35,18049.57646851564,1800.00183,9439867227.18859
GNQ,Flood,Ports and Airports,Ports,AAL,117999.0,,1308965.76,22512.987547752968,8117.980387,10626158366.93455
LBR,Flood,Ports and Airports,Ports,AAL,4526.2,,4818976.98,1884.4694199084388,571.765973,2755327061.834302
MDG,Flood,Roads and Railways,Bridges,AAL,7593.1,,26262309.17,1460.8640752059123,480.888887,12629252626.811195
MOZ,Flood,Power,Transmission - Lines,PML,810912.1,50.0,29496006.33,1354.1986631931604,602.530579,17772245772.202564
SEN,Flood,Buildings,Low-Middle Income Class,AAL,2620483.9,,15854331.96,4529.619936153513,1359.219285,21549513750.82385
ZAF,Flood,Roads and Railways,Tunnels,PML,89652.7,5000.0,57792522.32,20160.607851851408,5636.264413,325733936889.7242
CAF,Earthquake,Water and Wastewater,Wastewater treatment,AAL,0.0,,4666373.55,2427.5171089270166,412.678426,1925711691.7420323
COG,Earthquake,Health,Private,AAL,3210.0,,5244365.35,18049.57646851564,1800.00183,9439867227.18859
COM,Earthquake,Ports and Airports,Ports,AAL,0.0,,832322.28,7275.647117920499,1310.280223,1090575422.6462684
ETH,Earthquake,Roads and Railways,Tunnels,PML,13046.1,50.0,109224414.02,1832.5050975917793,726.9864,79404663540.50932
LSO,Earthquake,Oil and Gas,Production,AAL,0.0,,2108326.08,5440.348589264997,1109.258627,2338678892.769092
MLI,Earthquake,Buildings,all,PML,13930197.0,100.0,19077751.58,1559.3460885127795,851.841039,16251211727.69109
MLI,Earthquake,Buildings,all,PML,33938455.2,250.0,19077751.58,1559.3460885127795,851.841039,16251211727.69109
MLI,Earthquake,Buildings,all,PML,65216956.5,500.0,19077751.58,1559.3460885127795,851.841039,16251211727.69109
MLI,Earthquake,Power,Transmission - Substations,AAL,2505.2,,19077751.58,1559.3460885127795,851.841039,16251211727.69109
