,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
wpp_median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.42328199999999,35.577470999999996,36.73166,37.885849,39.040038,40.215180000000004,41.415125,42.641676,43.89185,45.160458,46.449965,47.75951,49.091474000000005,50.447455000000005,51.821718000000004,53.215939,54.625871,56.053779999999996,57.501915999999994,58.965322,60.441179,61.927913000000004,63.430878,64.945299,66.46432899999999,68.000598,69.55417,71.118784,72.70138499999999,74.295394,75.892826,77.501965,79.123458,80.752716,82.39222,84.032204,85.67941,87.336039,88.991592,90.647914,92.310988,93.969991,95.625117,97.28277899999999,98.93323,100.578469,102.219413,103.858186,105.498663,107.13707600000001,108.767796,110.39140499999999,112.0144,113.630808,115.220842,116.78842999999999,118.35615399999999,119.925101,121.47111199999999,123.012399,124.54288700000001,126.039002,127.515736,128.986054,130.454011,131.908573,133.33469399999998,134.74810300000001,136.163364,137.556711,138.919849,140.249378,141.55005400000002,142.83514799999998,144.10252400000002,145.340833,146.549586,147.743369,148.91281,150.045574
wpp_lower95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.402103000000025,36.16547100000002,36.92883900000001,37.692207,38.455574999999996,39.193735999999994,39.88797,40.583461,41.289656,41.964552000000005,42.621101,43.271532,43.900355000000005,44.523745000000005,45.205568,45.80467899999999,46.269151,46.869757,47.545813,48.216915,48.961777999999995,49.596321,50.065419999999996,50.548545,51.049364000000004,51.510387,51.886877999999996,52.312357000000006,52.812974000000004,53.273044,53.826609,54.406494,54.760373,55.099382,55.360379,55.452906000000006,55.690091,55.970712,56.259856,56.544221,56.809087,57.082796,57.255198,57.33846,57.347106,57.336923000000006,57.31817899999999,57.209675000000004,56.999558,56.791517,56.751863,56.683121,56.684123,56.829318,56.857260000000004,57.112133,57.422493,57.296995,56.949261,56.969879999999996,57.160455,57.194489999999995,57.373305,57.545080999999996,57.547457,57.213659,56.560739999999996,55.993275000000004,55.742044,55.361531,54.78732,54.493742,54.346951000000004,53.828983,53.470655,53.619181,53.805592,53.734964,53.186606,52.626921
wpp_lower80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.013135,35.932522,36.851909,37.771296,38.690683,39.61048,40.513328,41.413489999999996,42.299729,43.182994,44.068566,44.945375,45.823012000000006,46.654362,47.445007,48.247322999999994,49.056649,49.861988,50.644456,51.46146,52.310626,53.14685,53.931126,54.57465800000001,55.23532,56.049283,56.803739,57.482569000000005,58.208624,58.938001,59.715936,60.541248,61.191796000000004,61.710027000000004,62.240069000000005,62.820209999999996,63.422382,64.021462,64.7244,65.377325,65.974328,66.515073,67.031575,67.569616,68.139087,68.767849,69.25383000000001,69.436739,69.460836,69.66381,70.16368399999999,70.520645,70.838156,71.232817,71.339788,71.66476700000001,72.264705,72.464351,72.41833199999999,72.65649400000001,72.94234,72.991607,73.06319599999999,73.289512,73.31677,73.313951,73.185871,72.769663,72.72476700000001,72.652734,72.44108100000001,72.259558,72.042378,71.60916800000001,71.406272,71.647961,71.624823,71.343688,70.919618,70.843618
wpp_upper80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.851873,35.231542,36.611211,37.99088,39.370549,40.800742,42.290908,43.837623,45.421845000000005,47.067569000000006,48.795807,50.593317000000006,52.465696,54.361063,56.280922,58.213686,60.206459,62.355497,64.540369,66.796826,69.143727,71.474979,73.984838,76.592342,79.079868,81.718893,84.45689200000001,87.13059299999999,89.857534,92.849137,96.100786,99.216914,102.20869400000001,105.275612,108.36168099999999,111.476238,114.74285,118.052357,121.492678,125.368473,129.26682499999998,133.01199,136.902042,140.91052299999998,144.783842,148.961882,153.486435,157.899628,162.189769,166.533632,171.04004,175.424125,180.29704,185.40783100000002,190.467759,195.80462899999998,201.474396,207.288672,212.648955,218.03356,223.498374,228.74361499999998,234.297218,240.330696,245.554812,250.125183,255.168713,260.697395,266.984037,273.396967,279.53755099999995,285.298887,291.10086,296.668695,302.462029,309.022142,315.00358,321.032691,327.725013,335.897601
wpp_upper95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.60550500000001,35.081897000000005,36.558289,38.034681,39.511072999999996,41.060029,42.675411,44.374365,46.191982,48.075796000000004,50.035263,52.129034,54.302344,56.50925,58.793457000000004,61.133797,63.554362,66.072396,68.697205,71.42862,74.13426,76.83458900000001,79.826265,82.89986,85.88675500000001,89.19066099999999,92.78766499999999,96.171847,99.44093099999999,103.17864,107.22372100000001,110.99438400000001,114.758512,119.00435300000001,123.189001,127.376593,131.967162,137.112539,142.676219,148.10512400000002,153.310611,159.07190400000002,165.39065900000003,171.42454999999998,177.68526300000002,184.84917000000002,191.716004,198.651562,205.97421599999998,212.867451,219.372766,226.251568,234.387732,243.480488,252.387642,260.453421,269.07444,278.176181,287.404698,295.68025300000005,304.720942,314.797386,324.377423,335.072305,346.520009,355.850842,364.110653,373.577624,385.652811,398.68828,409.411495,420.414839,431.076886,441.50887800000004,454.056955,467.62840600000004,482.435606,494.903005,504.366625,517.0811550000001
wup_urban_prop,0.07576,0.078412,0.081064,0.08371599999999998,0.08636799999999999,0.08901999999999999,0.09208599999999999,0.09515199999999999,0.098218,0.101284,0.10435,0.108488,0.11262599999999999,0.11676399999999999,0.12090199999999998,0.12503999999999998,0.12994599999999998,0.134852,0.139758,0.14466400000000001,0.14957,0.157912,0.166254,0.174596,0.182938,0.19128,0.20162,0.21195999999999998,0.2223,0.23263999999999999,0.24297999999999997,0.25505999999999995,0.26714,0.27921999999999997,0.2913,0.30338,0.316992,0.330604,0.34421599999999997,0.357828,0.37144,0.38549,0.39954,0.41358999999999996,0.42763999999999996,0.44168999999999997,0.453526,0.465362,0.477198,0.489034,0.50087,0.512696,0.524522,0.536348,0.548174,0.56,0.567566,0.575132,0.582698,0.590264,0.59783,0.605156,0.612482,0.619808,0.627134,0.63446,0.6412180000000001,0.647976,0.654734,0.661492,0.66825,0.67432,0.68039,0.68646,0.69253,0.6986,0.703972,0.7093440000000001,0.714716,0.7200880000000001,0.7254600000000001,0.7301460000000001,0.734832,0.739518,0.744204,0.74889,0.752892,0.756894,0.760896,0.764898,0.7689,0.772502,0.776104,0.779706,0.783308,0.78691,0.790304,0.793698,0.797092,0.800486,0.80388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wup_urban_pop,0.344543,0.36672,0.388897,0.411074,0.433251,0.455428,0.4821108,0.5087936,0.5354764,0.5621592,0.588842,0.626207,0.6635719999999999,0.700937,0.738302,0.775667,0.8232398,0.8708125999999999,0.9183854,0.9659582,1.013531,1.1047278,1.1959246000000001,1.2871214000000002,1.3783182,1.4695150000000001,1.609574,1.7496330000000002,1.8896920000000001,2.029751,2.16981,2.3795614,2.5893128,2.7990642,3.0088156,3.218567,3.4790530000000004,3.739539,4.000025,4.260511,4.520997,4.8772932,5.2335894000000005,5.589885600000001,5.9461818,6.302478,6.688947199999999,7.0754164,7.4618856,7.848354799999999,8.234824,8.777744,9.320664,9.863584,10.406504,10.949424,11.55371,12.157996,12.762281999999999,13.366568,13.970854,14.7118322,15.452810399999999,16.193788599999998,16.9347668,17.675745,18.5279866,19.3802282,20.2324698,21.084711400000003,21.936953000000003,22.919139800000004,23.9013266,24.883513400000002,25.8657002,26.847887,27.965736,29.083585,30.201434,31.319283,32.437132,33.6879954,34.9388588,36.1897222,37.4405856,38.691449,40.064439,41.437429,42.810418999999996,44.183409,45.556399,47.0525242,48.5486494,50.0447746,51.5408998,53.037025,54.6559358,56.2748466,57.8937574,59.51266819999999,61.131578999999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wup_rural_pop,4.20348,4.2949126,4.3863452,4.4777778,4.5692104,4.660643,4.7393824,4.8181218,4.8968612,4.9756006,5.05434,5.1289983999999995,5.2036568,5.2783152,5.3529736,5.427632,5.4946756,5.5617192,5.6287628000000005,5.6958064,5.76285,5.8528728,5.9428956,6.032918400000001,6.1229412000000005,6.212964,6.3223892,6.4318144,6.5412396,6.6506648,6.76009,6.886167,7.012244,7.138321,7.264398,7.390475,7.4424688,7.4944626,7.5464564,7.5984502,7.650444,7.7136584,7.7768728,7.8400872,7.9033016,7.9665159999999995,8.0144328,8.062349600000001,8.1102664,8.1581832,8.206100000000001,8.2855036,8.364907200000001,8.4443108,8.523714400000001,8.603118,8.7621498,8.9211816,9.0802134,9.239245200000001,9.398277,9.5553336,9.7123902,9.8694468,10.0265034,10.18356,10.3249376,10.4663152,10.6076928,10.7490704,10.890448000000001,11.029022600000001,11.167597200000001,11.3061718,11.4447464,11.583321,11.7216868,11.8600526,11.9984184,12.1367842,12.27515,12.414803000000001,12.554456,12.694109000000001,12.833762,12.973415000000001,13.1172526,13.2610902,13.4049278,13.548765399999999,13.692602999999998,13.826507,13.960410999999999,14.094315,14.228219,14.362123,14.4725932,14.5830634,14.6935336,14.8040038,14.914474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wup_rural_prop,0.92424,0.921588,0.918936,0.916284,0.913632,0.91098,0.907914,0.904848,0.901782,0.898716,0.8956500000000001,0.891512,0.887374,0.883236,0.879098,0.87496,0.870054,0.865148,0.860242,0.855336,0.85043,0.842088,0.833746,0.825404,0.817062,0.80872,0.79838,0.7880400000000001,0.7777000000000001,0.76736,0.75702,0.74494,0.7328600000000001,0.72078,0.7087,0.69662,0.6830080000000001,0.669396,0.655784,0.642172,0.62856,0.61451,0.60046,0.5864100000000001,0.57236,0.5583100000000001,0.546474,0.534638,0.522802,0.510966,0.49912999999999996,0.48730399999999996,0.47547799999999996,0.46365199999999995,0.45182599999999995,0.43999999999999995,0.432434,0.424868,0.41730199999999995,0.409736,0.40217,0.394844,0.38751800000000003,0.380192,0.37286600000000003,0.36554,0.35878199999999993,0.352024,0.34526599999999996,0.33850800000000003,0.33175,0.32567999999999997,0.31960999999999995,0.31354000000000004,0.30747,0.3014,0.29602799999999996,0.2906559999999999,0.285284,0.27991199999999994,0.2745399999999999,0.2698539999999999,0.26516799999999996,0.260482,0.255796,0.25111000000000006,0.247108,0.24310600000000004,0.23910399999999998,0.23510200000000003,0.23109999999999997,0.22749799999999998,0.22389599999999998,0.220294,0.216692,0.21309,0.209696,0.20630199999999999,0.20290799999999998,0.19951399999999997,0.19611999999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
urban_pop_median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.847887,27.965736,29.083585,30.201434,31.319283,32.437132,33.6879954,34.9388588,36.1897222,37.4405856,38.691449,40.064439,41.437429,42.810418999999996,44.183409,45.556399,47.0525242,48.5486494,50.0447746,51.5408998,53.037025,54.6559358,56.2748466,57.8937574,59.51266819999999,61.131578999999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
urban_pop_lower95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.445951003429474,27.255421306822342,28.01114727946493,28.74368068654417,29.462472446175042,30.14162771654938,30.91109873669303,31.65564191524749,32.362883459791426,33.04418599322943,33.75165849939656,34.48475780367384,35.098289955921786,35.79622882878162,36.533323550758155,37.25221780844485,38.115987846961545,38.88124567929259,39.49988929925157,40.11556699247455,40.73623303564985,41.40181833261459,41.980604469910496,42.58451473495655,43.23220249954285,43.83401342291119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
urban_pop_lower80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.607635093409,27.54522611892524,28.450302118389835,29.331557815519727,30.183215867508594,31.016790762689073,31.960877660351223,32.88015540440113,33.78024613087125,34.62546592438383,35.42368218369647,36.32373994653739,37.212796294184876,38.081510264838016,38.914263535679474,39.75894178755676,40.7230142843863,41.6646979103654,42.54979798000273,43.31070951874851,44.07653085195519,45.04998637341442,45.958735450821095,46.793290284810844,47.64903070953266,48.495241363597565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
