,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
wpp_median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.540593000000001,12.889576,13.238558999999999,13.591657999999999,13.948139999999999,14.307816,14.673012,15.043647,15.419302,15.80053,16.187388000000002,16.580035,16.97976,17.386443,17.79974,18.217324,18.639032999999998,19.066058,19.496105,19.928151000000003,20.361593,20.794876,21.227305,21.659444,22.090717,22.521094,22.949637,23.374033,23.793823,24.208671,24.618374,25.025719000000002,25.430855,25.832093,26.228499,26.62189,27.012198,27.397595000000003,27.778942,28.157362000000003,28.532617,28.905042,29.276644,29.648035,30.018379,30.386201,30.752352,31.116823,31.476578,31.830631,32.179906,32.522741,32.860446,33.194055999999996,33.522341999999995,33.843627,34.157129999999995,34.464494,34.76473,35.058271999999995,35.345591999999996,35.624773999999995,35.895828,36.158609,36.41272,36.657928999999996,36.895447999999995,37.126061,37.348321000000006,37.562757,37.770027,37.971374000000004,38.167025,38.357054,38.541282,38.719909,38.893767999999994,39.063355,39.228497000000004,39.388466
wpp_lower95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.593703000000001,12.839043,13.084382999999999,13.326628000000001,13.561103999999998,13.789584000000001,14.008541,14.21418,14.431854999999999,14.660502000000001,14.868379000000001,15.077664,15.289587,15.506147,15.722509,15.918895000000001,16.114343,16.318842,16.529038,16.747940999999997,16.954611,17.162756,17.405901999999998,17.62698,17.840674,18.061313,18.253794000000003,18.438997999999998,18.622419999999998,18.782678,18.934793000000003,19.079041,19.192723,19.300431,19.415298,19.522827,19.631836,19.724211,19.79783,19.880058000000002,19.958273000000002,20.001039000000002,20.044755000000002,20.116823,20.187436,20.220437,20.256141,20.316365,20.342987,20.369408,20.394164,20.389162,20.383718000000002,20.371937999999997,20.352441,20.338926,20.363838,20.375134999999997,20.364241999999997,20.389673,20.361919,20.277577,20.208437999999997,20.181603,20.140245999999998,20.041902999999998,19.928358,19.803091000000002,19.678227,19.572284,19.453692,19.340657999999998,19.271057,19.214954000000002,19.118857,19.01795,18.920631,18.766445,18.628004,18.551904
wpp_lower80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.57389,12.858867,13.143844,13.426258,13.708742,13.990174000000001,14.270417,14.545884,14.81991,15.09744,15.370361,15.646267,15.915341,16.177334000000002,16.449261,16.731142,17.00237,17.274652999999997,17.549377,17.800601999999998,18.066923,18.360594000000003,18.645533,18.913617,19.175074000000002,19.430885999999997,19.677302,19.929893,20.183332999999998,20.413771,20.639248,20.870541,21.074146,21.251652,21.439308,21.622097,21.786137999999998,21.930293000000002,22.080348,22.236827,22.380008999999998,22.501163000000002,22.610765,22.719705,22.83931,22.979585,23.119086,23.246907999999998,23.33549,23.450433,23.567305,23.621415000000002,23.694287,23.789393,23.871501,23.929431,23.998801,24.069474,24.133958999999997,24.194555,24.194955,24.148312999999998,24.116465,24.136431,24.161702000000002,24.155189999999997,24.124258,24.072225999999997,24.039935,24.01865,23.913325,23.761506,23.648391,23.60784,23.599844,23.574338,23.537001,23.448584,23.36707,23.378346
wpp_upper80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.514251999999999,12.914149,13.314046000000001,13.721063000000001,14.137388999999999,14.56306,14.999388999999999,15.444486000000001,15.902052,16.373708,16.856811,17.355031,17.862752,18.384022,18.925982,19.478551,20.036124,20.610352,21.201359,21.795151,22.384370999999998,22.985067,23.607916,24.237058,24.865607,25.512247,26.164209,26.805891,27.444551999999998,28.087364,28.757624,29.445881,30.111129000000002,30.780221,31.484864,32.195143,32.910816,33.633489999999995,34.410373,35.188306,35.907051,36.635417000000004,37.36517,38.066761,38.817397,39.6614,40.520264000000005,41.318781,42.113769,42.952605000000005,43.782061999999996,44.583784,45.380247000000004,46.187397,47.005883000000004,47.833224,48.663866,49.490080999999996,50.351275,51.222713000000006,52.039592,52.869741999999995,53.757273999999995,54.622544999999995,55.539984,56.451978000000004,57.260003,58.096634,58.929551,59.785396999999996,60.675117,61.605525,62.516481,63.362182999999995,64.239921,65.162333,66.054321,66.914467,67.816704,68.745133
wpp_upper95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.499771999999998,12.927356,13.354940000000001,13.795020000000001,14.244793,14.704075999999999,15.17174,15.644091,16.131603,16.646136,17.17349,17.707131,18.255001,18.832067,19.431573,20.024209,20.633829000000002,21.273204,21.915533,22.555855,23.202372,23.872735000000002,24.576171,25.300756,26.034875,26.769577,27.486892,28.213772000000002,28.960537,29.709495,30.485350999999998,31.263361,32.031052,32.811902,33.637743,34.522657,35.419638,36.333501,37.262457000000005,38.219002999999994,39.188525999999996,40.113915999999996,41.075075,42.131913,43.209917999999995,44.235324,45.288055,46.349928,47.359933,48.372187,49.411733,50.475144,51.58457,52.730974,53.883248,55.096829,56.329084,57.456818,58.509334,59.614013,60.687444000000006,61.80789299999999,63.051542999999995,64.312167,65.643748,66.906906,68.062063,69.353717,70.677385,71.969527,73.394163,74.94792100000001,76.529937,78.063857,79.577924,81.148504,82.736004,84.167999,85.548268,87.082218
wup_urban_prop,0.017310000000000002,0.017640000000000003,0.01797,0.0183,0.018629999999999997,0.018959999999999998,0.019322,0.019684,0.020045999999999998,0.020408,0.02077,0.021204,0.021638,0.022072,0.022506,0.022940000000000002,0.024042,0.025144000000000003,0.026246000000000002,0.027348000000000004,0.028450000000000003,0.029810000000000003,0.03117,0.032529999999999996,0.033889999999999997,0.03525,0.036878,0.038506,0.040134,0.041762,0.043390000000000005,0.04515400000000001,0.046918,0.048682,0.050446,0.05221,0.05431,0.05641,0.05851,0.06061,0.06271,0.06459000000000001,0.06647,0.06835000000000001,0.07023,0.07211000000000001,0.07418000000000001,0.07625000000000001,0.07832,0.08039,0.08246,0.084718,0.086976,0.08923400000000001,0.091492,0.09375,0.096284,0.098818,0.101352,0.103886,0.10642,0.109292,0.112164,0.115036,0.117908,0.12078,0.12404,0.1273,0.13056,0.13382,0.13708,0.14075200000000002,0.144424,0.148096,0.151768,0.15544,0.159548,0.163656,0.167764,0.171872,0.17598,0.180502,0.185024,0.18954600000000002,0.19406800000000002,0.19859000000000002,0.20352,0.20845000000000002,0.21338000000000001,0.21831000000000003,0.22324000000000002,0.22859200000000002,0.233944,0.239296,0.244648,0.25,0.255762,0.261524,0.267286,0.273048,0.27881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wup_urban_pop,0.039973999999999996,0.041579399999999996,0.043184799999999995,0.044790199999999995,0.046395599999999995,0.048000999999999995,0.049974,0.051947,0.053919999999999996,0.055893,0.057866,0.060413800000000004,0.0629616,0.0655094,0.0680572,0.070605,0.0761494,0.0816938,0.0872382,0.09278259999999999,0.098327,0.1045432,0.1107594,0.1169756,0.12319179999999999,0.129408,0.1392562,0.1491044,0.1589526,0.1688008,0.178649,0.192022,0.205395,0.21876800000000002,0.23214100000000001,0.245514,0.264333,0.283152,0.301971,0.32079,0.339609,0.3576672,0.3757254,0.3937836,0.41184180000000004,0.4299,0.4494838,0.4690676,0.48865139999999996,0.5082351999999999,0.5278189999999999,0.5614431999999999,0.5950673999999999,0.6286916,0.6623158,0.69594,0.7433462,0.7907524,0.8381586,0.8855648,0.932971,0.992759,1.052547,1.112335,1.172123,1.231911,1.312846,1.393781,1.4747160000000001,1.5556510000000001,1.636586,1.7386076000000001,1.8406292000000002,1.9426508,2.0446724,2.146694,2.2734036,2.4001132000000003,2.5268228,2.6535324000000005,2.7802420000000003,2.9379248000000002,3.0956076,3.2532904,3.4109732,3.568656,3.7647166,3.9607772,4.1568378,4.3528984,4.548959,4.7890762,5.0291934000000005,5.2693106,5.5094278,5.749545,6.0361744,6.3228038,6.609433200000001,6.8960626000000005,7.182692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wup_rural_pop,2.268946,2.3117934,2.3546408,2.3974882,2.4403356,2.483183,2.5321944,2.5812057999999998,2.6302172,2.6792286,2.72824,2.7840462,2.8398524000000003,2.8956586,2.9514648,3.0072710000000002,3.0772726,3.1472742,3.2172758000000004,3.2872774000000002,3.357279,3.3942404,3.4312018,3.4681632,3.5051246,3.542086,3.6213024,3.7005187999999998,3.7797352,3.8589516,3.938168,4.0418448,4.1455215999999995,4.2491984,4.3528752,4.456551999999999,4.580402799999999,4.7042535999999995,4.828104399999999,4.9519552,5.075805999999999,5.167076399999999,5.2583468,5.3496172,5.440887600000001,5.532158000000001,5.600303800000001,5.668449600000001,5.7365954,5.8047412,5.8728869999999995,6.0437794,6.2146718,6.3855642,6.5564566,6.727349,6.948671,7.169993,7.3913150000000005,7.612637,7.833959,8.060639,8.287319,8.513999,8.740679,8.967359,9.2344154,9.5014718,9.7685282,10.0355846,10.302641,10.5747752,10.8469094,11.1190436,11.3911778,11.663312,11.934370999999999,12.20543,12.476488999999999,12.747548,13.018607,13.2951934,13.5717798,13.848366200000001,14.1249526,14.401539000000001,14.686854600000002,14.9721702,15.257485800000001,15.5428014,15.828117,16.1122924,16.3964678,16.6806432,16.9648186,17.248994,17.5150656,17.7811372,18.0472088,18.3132804,18.579352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wup_rural_prop,0.98269,0.98236,0.98203,0.9817,0.98137,0.98104,0.980678,0.980316,0.979954,0.979592,0.97923,0.978796,0.978362,0.977928,0.977494,0.97706,0.975958,0.974856,0.973754,0.972652,0.97155,0.97019,0.96883,0.96747,0.96611,0.96475,0.963122,0.961494,0.959866,0.958238,0.95661,0.954846,0.953082,0.951318,0.949554,0.94779,0.94569,0.94359,0.94149,0.93939,0.93729,0.93541,0.93353,0.93165,0.92977,0.92789,0.92582,0.92375,0.92168,0.91961,0.91754,0.915282,0.9130240000000001,0.910766,0.908508,0.90625,0.903716,0.901182,0.898648,0.896114,0.89358,0.890708,0.887836,0.884964,0.882092,0.87922,0.87596,0.8727,0.86944,0.86618,0.86292,0.859248,0.855576,0.851904,0.848232,0.84456,0.840452,0.836344,0.832236,0.828128,0.82402,0.8194980000000001,0.814976,0.810454,0.805932,0.80141,0.79648,0.79155,0.78662,0.78169,0.77676,0.771408,0.766056,0.760704,0.755352,0.75,0.744238,0.738476,0.732714,0.726952,0.72119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
urban_pop_median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.146694,2.2734036,2.4001132000000003,2.5268228,2.6535324000000005,2.7802420000000003,2.9379248000000002,3.0956076,3.2532904,3.4109732,3.568656,3.7647166,3.9607772,4.1568378,4.3528984,4.548959,4.7890762,5.0291934000000005,5.2693106,5.5094278,5.749545,6.0361744,6.3228038,6.609433200000001,6.8960626000000005,7.182692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
