,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
wpp_median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.096039,22.673762,23.251485,23.840246999999998,24.436925,25.04039,25.650897,26.267784,26.892086,27.523563,28.160684,28.803223999999997,29.451314999999997,30.104222,30.759536,31.416263,32.074082,32.733314,33.392206,34.050733,34.710916,35.368934,36.023133,36.675188,37.32498399999999,37.971748,38.617148,39.262199,39.903786,40.541548000000006,41.175394,41.803795,42.42816199999999,43.046898,43.658231,44.263625,44.86206,45.453291,46.037583,46.613403,47.184785000000005,47.752734,48.31431,48.869788,49.416776,49.954637999999996,50.483364,51.002519,51.513083,52.013453999999996,52.50203,52.980177000000005,53.449353,53.90653,54.349564,54.77992,55.19796100000001,55.604547,56.001078,56.387242,56.758553,57.116818,57.463767999999995,57.798215,58.121567999999996,58.431836000000004,58.727157,59.010182,59.2809,59.539303999999994,59.785713,60.020908000000006,60.247672,60.464231,60.669116,60.86421300000001,61.049510999999995,61.223138,61.38626,61.539300000000004
wpp_lower95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.157602999999998,22.619621,23.081639,23.538753,23.986984,24.412093000000002,24.827938999999997,25.252807,25.663695,26.045694,26.407835,26.763293,27.111169,27.449168,27.783681,28.106703000000003,28.415084,28.752449000000002,29.088559,29.385126,29.697649000000002,30.012961999999998,30.320035,30.610971000000003,30.91075,31.245947,31.518074000000002,31.774915,32.065381,32.305449,32.498200000000004,32.708438,32.928677,33.120071,33.265887,33.436150000000005,33.625841,33.780620000000006,33.915627,34.03925099999999,34.113824,34.160016999999996,34.221039,34.222519999999996,34.170736,34.133495,34.103365,34.069341,34.100756999999994,34.177568,34.202285,34.159141000000005,34.078377999999994,34.000999,33.924201000000004,33.831891000000006,33.779205000000005,33.674108,33.56521,33.523174,33.428638,33.26724900000001,33.12473000000001,32.946205,32.754103,32.58948,32.335263,32.096752,31.947952,31.761222,31.468213,31.157027999999997,30.900008000000003,30.670637,30.394698,30.082565,29.808894,29.563973999999998,29.282151000000002,28.944663000000002
wpp_lower80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.131815000000003,22.639378,23.146940999999998,23.655292000000003,24.156181,24.654778999999998,25.153768,25.646862000000002,26.129883000000003,26.598275,27.05299,27.502347,27.952306,28.385726,28.809157,29.250416,29.694461999999998,30.137828000000003,30.576219000000002,30.987631,31.371878000000002,31.755532,32.13153,32.50836,32.885792,33.262353000000004,33.630146,33.97474,34.322044999999996,34.648883999999995,34.932743,35.208508,35.476495,35.725332,35.950546,36.180999,36.438264000000004,36.657868,36.870172,37.079714,37.256474000000004,37.416045,37.558541,37.711906000000006,37.892581,38.028622000000006,38.121252999999996,38.215887,38.335256,38.486514,38.589411,38.645694000000006,38.705339,38.76292,38.81351,38.867523999999996,38.927625,38.940946000000004,38.904489999999996,38.883002999999995,38.905908000000004,38.891156,38.853799,38.780536999999995,38.696673000000004,38.64395,38.546245000000006,38.418516000000004,38.294853,38.180451,38.013358999999994,37.80807299999999,37.634423000000005,37.481632,37.248,36.987468,36.839536,36.69194400000001,36.490102,36.249683
wpp_upper80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.058709999999998,22.708512,23.358314,24.02628,24.712013,25.417267,26.139266,26.872619,27.615492999999997,28.37211,29.154738000000002,29.951013,30.758133,31.585656999999998,32.423149,33.266433,34.121393,35.006678,35.901568,36.795398,37.69023,38.604106,39.529467,40.465787,41.408836,42.36121,43.348748,44.330531,45.332036,46.368376,47.39527,48.428619,49.490224999999995,50.551035000000006,51.609691,52.694102,53.803157,54.883099,55.99725299999999,57.137254,58.275377,59.420353000000006,60.533522,61.649874000000004,62.812219,63.986436999999995,65.188332,66.415666,67.644582,68.920069,70.17966899999999,71.419946,72.611154,73.733425,74.885673,76.080962,77.21338499999999,78.35542600000001,79.677493,81.00873,82.228977,83.45268399999999,84.796264,86.106196,87.281581,88.389831,89.50752,90.723803,92.159785,93.48563899999999,94.584983,95.83457700000001,97.00463400000001,98.26350599999999,99.655856,100.955599,102.306359,103.822375,105.186048,106.144753
wpp_upper95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.040575999999994,22.725049,23.409522000000003,24.119675,24.848054,25.592555,26.366967,27.159268,27.976526000000003,28.804969,29.645042,30.508770000000002,31.388122,32.299232,33.216440000000006,34.139786,35.072922,36.042913,37.037283,38.040276,39.078917999999994,40.14257,41.203771,42.256806,43.343509,44.464248,45.608191,46.752519,47.934143,49.166676,50.444900000000004,51.714042,52.935694000000005,54.147861,55.407363,56.788436999999995,58.155232000000005,59.494857,60.875777,62.248976,63.638775,65.112413,66.594167,68.033131,69.462239,70.942012,72.508911,74.100533,75.702155,77.29492900000001,78.935311,80.726675,82.539945,84.257334,85.946247,87.634382,89.406595,91.208291,92.865421,94.45458199999999,96.238522,98.197962,100.224155,102.23540200000001,104.190387,106.25112200000001,108.373125,110.414293,112.425841,114.385075,116.365438,118.314683,120.361226,122.650921,124.986227,127.280326,129.595442,131.904982,134.246692,136.279872
wup_urban_prop,0.03837,0.03919,0.040010000000000004,0.04083,0.04165,0.04247,0.043376,0.044282,0.045188,0.046094,0.047,0.047996000000000004,0.048992,0.049988000000000005,0.050984,0.051980000000000005,0.053076000000000005,0.054172000000000005,0.055268000000000005,0.056364000000000004,0.057460000000000004,0.058662000000000006,0.059864,0.061066,0.062268,0.06347,0.068386,0.073302,0.078218,0.083134,0.08805,0.095108,0.10216599999999999,0.10922399999999999,0.116282,0.12333999999999999,0.126302,0.129264,0.13222599999999998,0.135188,0.13815,0.140782,0.14341399999999999,0.146046,0.148678,0.15131,0.15673600000000001,0.162162,0.16758800000000001,0.173014,0.17844000000000002,0.18582600000000002,0.193212,0.200598,0.20798399999999997,0.21536999999999998,0.22156199999999998,0.22775399999999998,0.233946,0.240138,0.24633,0.252124,0.257918,0.263712,0.26950599999999997,0.2753,0.281454,0.287608,0.293762,0.299916,0.30607,0.31249,0.31891,0.32533,0.33175000000000004,0.33817,0.344766,0.351362,0.35795800000000005,0.36455400000000004,0.37115000000000004,0.37780800000000003,0.38446600000000003,0.391124,0.397782,0.40444,0.410994,0.41754800000000003,0.424102,0.430656,0.43721,0.44363199999999997,0.450054,0.456476,0.46289800000000003,0.46932,0.475798,0.482276,0.488754,0.495232,0.50171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wup_urban_pop,0.164385,0.16988040000000001,0.1753758,0.1808712,0.1863666,0.191862,0.198885,0.205908,0.212931,0.219954,0.226977,0.23537860000000002,0.24378020000000003,0.2521818,0.2605834,0.26898500000000003,0.27982060000000003,0.29065620000000003,0.30149180000000003,0.31232740000000003,0.32316300000000003,0.336656,0.350149,0.363642,0.377135,0.390628,0.4326576,0.4746872,0.5167168,0.5587464,0.600776,0.6712528,0.7417296,0.8122064,0.8826832,0.95316,1.0059696,1.0587792,1.1115888,1.1643984,1.217208,1.2791080000000001,1.3410080000000002,1.402908,1.464808,1.5267080000000002,1.6356198000000002,1.7445316,1.8534434,1.9623551999999997,2.0712669999999997,2.2351592,2.3990514,2.5629436,2.7268358,2.890728,3.0813874,3.2720468,3.4627062000000004,3.6533656000000003,3.8440250000000002,4.0723910000000005,4.300757,4.529123,4.757489,4.985855,5.2682662,5.5506774,5.8330886,6.1154998,6.397911,6.740952,7.0839929999999995,7.427034,7.770075,8.113116,8.5231066,8.9330972,9.3430878,9.7530784,10.163069,10.6422174,11.1213658,11.600514200000001,12.0796626,12.558811,13.1034928,13.648174599999999,14.1928564,14.7375382,15.282219999999999,15.8887434,16.4952668,17.1017902,17.7083136,18.314837,18.9873158,19.6597946,20.3322734,21.0047522,21.677231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wup_rural_pop,4.120076,4.1611194,4.2021628,4.2432061999999995,4.2842496,4.325292999999999,4.380696599999999,4.436100199999999,4.491503799999999,4.546907399999999,4.602310999999999,4.6630258,4.7237406,4.7844554,4.8451702,4.9058850000000005,4.984995400000001,5.0641058,5.1432162,5.2223266,5.301437,5.393933,5.486429,5.578925,5.6714210000000005,5.763917,5.8555470000000005,5.947177,6.038807,6.130437,6.222067,6.332603,6.443139,6.553675,6.664211000000001,6.7747470000000005,6.938562800000001,7.102378600000001,7.2661944,7.4300102,7.593826,7.7876948,7.981563599999999,8.1754324,8.369301199999999,8.56317,8.757871,8.952572,9.147272999999998,9.341973999999999,9.536674999999999,9.735580399999998,9.9344858,10.133391199999998,10.3322966,10.531201999999999,10.777199999999999,11.023197999999999,11.269195999999999,11.515194,11.761192,12.0339074,12.3066228,12.5793382,12.8520536,13.124769,13.400902,13.677035,13.953168,14.229301,14.505434,14.779969,15.054504,15.329039,15.603574,15.878109,16.146371000000002,16.414633000000002,16.682895000000002,16.951157000000002,17.219419000000002,17.474315800000003,17.7292126,17.9841094,18.2390062,18.493903,18.7294378,18.9649726,19.200507400000003,19.436042200000003,19.671577000000003,19.879155800000003,20.086734600000003,20.2943134,20.5018922,20.709471,20.873541200000002,21.0376114,21.2016816,21.365751799999998,21.529822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wup_rural_prop,0.96163,0.9608099999999999,0.95999,0.95917,0.95835,0.95753,0.956624,0.955718,0.954812,0.953906,0.953,0.952004,0.951008,0.950012,0.949016,0.94802,0.946924,0.945828,0.944732,0.943636,0.94254,0.941338,0.940136,0.938934,0.937732,0.93653,0.9316139999999999,0.926698,0.921782,0.916866,0.91195,0.904892,0.897834,0.890776,0.883718,0.87666,0.873698,0.870736,0.867774,0.864812,0.86185,0.859218,0.8565860000000001,0.853954,0.851322,0.8486899999999999,0.843264,0.837838,0.8324119999999999,0.826986,0.82156,0.814174,0.8067880000000001,0.799402,0.792016,0.78463,0.778438,0.772246,0.766054,0.759862,0.7536700000000001,0.747876,0.742082,0.736288,0.730494,0.7247,0.718546,0.712392,0.7062379999999999,0.7000839999999999,0.6939299999999999,0.6875100000000001,0.68109,0.67467,0.66825,0.6618299999999999,0.655234,0.648638,0.642042,0.635446,0.6288499999999999,0.622192,0.615534,0.608876,0.6022179999999999,0.59556,0.5890059999999999,0.582452,0.575898,0.5693440000000001,0.56279,0.556368,0.549946,0.543524,0.537102,0.53068,0.5242020000000001,0.5177240000000001,0.511246,0.504768,0.49829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
urban_pop_median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.113116,8.5231066,8.9330972,9.3430878,9.7530784,10.163069,10.6422174,11.1213658,11.600514200000001,12.0796626,12.558811,13.1034928,13.648174599999999,14.1928564,14.7375382,15.282219999999999,15.8887434,16.4952668,17.1017902,17.7083136,18.314837,18.9873158,19.6597946,20.3322734,21.0047522,21.677231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
