,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
wpp_median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.58524,2.630296,2.6753519999999997,2.719694,2.763338,2.8063000000000002,2.8486439999999997,2.890377,2.9315680000000004,2.972271,3.012432,3.052105,3.091424,3.130405,3.16906,3.2073270000000003,3.2449879999999998,3.282099,3.318774,3.3550410000000004,3.390768,3.425834,3.460279,3.494051,3.527139,3.55938,3.5907370000000003,3.621294,3.65086,3.6793400000000003,3.706808,3.733228,3.758653,3.783208,3.806813,3.829377,3.851011,3.871757,3.891537,3.910244,3.927954,3.944906,3.9611140000000002,3.976473,3.991116,4.0052010000000005,4.018802,4.031897,4.044439,4.056561,4.0681840000000005,4.0792399999999995,4.089882,4.100033000000001,4.109598,4.118681,4.1273159999999995,4.135384,4.142866,4.149776,4.156071,4.161726,4.166773,4.171368,4.175446,4.179,4.182024,4.184423,4.186185,4.187456,4.188383,4.188864,4.188854,4.188384,4.1875,4.186266,4.184569000000001,4.1825,4.1802280000000005,4.177613
wpp_lower95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5898380000000003,2.625728,2.661618,2.6965019999999997,2.729757,2.762077,2.7931120000000003,2.8228850000000003,2.852742,2.882293,2.9110709999999997,2.939514,2.9691129999999997,2.998183,3.023981,3.0473359999999996,3.069607,3.092754,3.1156669999999997,3.135536,3.155852,3.175538,3.192368,3.207565,3.2240659999999997,3.239425,3.254723,3.272786,3.28533,3.294724,3.3066199999999997,3.317606,3.328017,3.3352370000000002,3.3409459999999997,3.34616,3.346629,3.346966,3.347534,3.347885,3.346672,3.344419,3.342173,3.339328,3.335603,3.3316060000000003,3.3261640000000003,3.3144270000000002,3.2991460000000004,3.286574,3.277631,3.2641489999999997,3.248943,3.237796,3.2299070000000003,3.220641,3.2078800000000003,3.1981390000000003,3.18879,3.1777800000000003,3.169377,3.1622280000000003,3.147702,3.129252,3.114947,3.10271,3.088534,3.0709299999999997,3.0550140000000003,3.040861,3.022796,3.0034609999999997,2.9868930000000002,2.965553,2.939046,2.917649,2.8978870000000003,2.877834,2.858696,2.836812
wpp_lower80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.588309,2.627168,2.666027,2.70426,2.741546,2.777863,2.8133980000000003,2.848232,2.882444,2.915705,2.9482049999999997,2.980379,3.011947,3.042628,3.0719119999999998,3.100639,3.1292489999999997,3.156978,3.182576,3.20692,3.233242,3.2593319999999997,3.28454,3.31052,3.3354209999999997,3.3565479999999996,3.3753670000000002,3.3952199999999997,3.414093,3.430837,3.446635,3.459904,3.472406,3.4870569999999996,3.499214,3.507161,3.514914,3.5231500000000002,3.528947,3.5341579999999997,3.538148,3.539513,3.540833,3.5402530000000003,3.5393719999999997,3.539999,3.5412339999999998,3.540204,3.536514,3.533011,3.530065,3.5250630000000003,3.519324,3.5146930000000003,3.5089319999999997,3.503307,3.4977020000000003,3.490653,3.483581,3.476599,3.471051,3.466122,3.455972,3.444692,3.43727,3.428604,3.416895,3.4031979999999997,3.388214,3.369958,3.350753,3.332331,3.314763,3.297158,3.2797020000000003,3.266389,3.249143,3.230373,3.2165169999999996,3.202611
wpp_upper80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5820829999999995,2.6333159999999998,2.684549,2.735389,2.78543,2.834857,2.883751,2.93261,2.981776,3.030151,3.078523,3.127059,3.175439,3.2235,3.2712179999999997,3.318672,3.366016,3.4145390000000004,3.461695,3.506928,3.552962,3.59959,3.645652,3.691004,3.737286,3.7828739999999996,3.8277669999999997,3.872447,3.913704,3.955259,3.998685,4.040971,4.083883,4.1259250000000005,4.164352,4.2009870000000005,4.238970999999999,4.2760810000000005,4.310889,4.3454250000000005,4.378247999999999,4.411094,4.443767,4.473287,4.504173,4.537976,4.570539,4.601536,4.6322470000000004,4.659922,4.690220999999999,4.7243580000000005,4.756959,4.786906,4.816819000000001,4.8491800000000005,4.878672,4.908918,4.942858,4.974397,5.007413,5.040656,5.068198000000001,5.094225000000001,5.118011999999999,5.144902,5.174619,5.200033,5.220350000000001,5.242640000000001,5.272452,5.306382999999999,5.339397,5.366073,5.391154,5.419567,5.438162,5.457357,5.484095,5.505676
wpp_upper95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.580397,2.635116,2.689835,2.7441329999999997,2.7984430000000002,2.85211,2.905048,2.958304,3.01101,3.06274,3.114679,3.166436,3.218142,3.2706109999999997,3.324592,3.377565,3.4299079999999997,3.4843420000000003,3.537898,3.5890929999999996,3.63958,3.690583,3.742399,3.7937,3.844606,3.898741,3.9509920000000003,4.000437,4.05203,4.100952,4.148501,4.198036,4.250680999999999,4.303858,4.354325,4.403256000000001,4.45043,4.498989,4.550613,4.603496,4.652927,4.697586,4.741708,4.784765999999999,4.8270230000000005,4.870764,4.9102619999999995,4.950252000000001,4.995654,5.044576,5.09674,5.140956,5.182118,5.228575,5.278189,5.331093,5.382077000000001,5.430183,5.47581,5.519653,5.563939,5.613143,5.666568,5.715293,5.764903,5.812664,5.860551,5.905416,5.937957,5.969765000000001,6.0072160000000006,6.046492,6.085419,6.126663,6.169439000000001,6.213816,6.260828,6.304925,6.355622,6.4083440000000005
wup_urban_prop,0.027160000000000004,0.027494000000000005,0.027828000000000002,0.028162000000000003,0.028496,0.02883,0.029184,0.029538000000000002,0.029892000000000002,0.030246000000000002,0.030600000000000002,0.032158,0.033716,0.035274,0.036832000000000004,0.03839,0.04638,0.05437,0.06236,0.07035,0.07833999999999999,0.08643999999999999,0.09454,0.10264,0.11074,0.11884,0.12803,0.13722,0.14640999999999998,0.1556,0.16479,0.18528,0.20576999999999998,0.22626,0.24674999999999997,0.26724,0.297658,0.328076,0.358494,0.388912,0.41933,0.433426,0.447522,0.46161800000000003,0.475714,0.48981,0.498286,0.506762,0.5152380000000001,0.523714,0.53219,0.53764,0.5430900000000001,0.54854,0.5539900000000001,0.55944,0.572376,0.585312,0.598248,0.6111840000000001,0.62412,0.633606,0.643092,0.652578,0.662064,0.67155,0.678994,0.686438,0.6938819999999999,0.7013259999999999,0.7087699999999999,0.7152019999999999,0.721634,0.728066,0.7344980000000001,0.7409300000000001,0.746388,0.751846,0.7573040000000001,0.762762,0.76822,0.772782,0.7773439999999999,0.781906,0.786468,0.7910299999999999,0.7947759999999999,0.798522,0.802268,0.806014,0.80976,0.812816,0.815872,0.818928,0.821984,0.82504,0.827842,0.8306439999999999,0.833446,0.836248,0.83905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wup_urban_pop,0.011205,0.0116726,0.0121402,0.012607799999999999,0.0130754,0.013543,0.014045,0.014547000000000001,0.015049,0.015551,0.016053,0.017427,0.018801000000000002,0.020175,0.021549,0.022923,0.029237399999999997,0.035551799999999995,0.0418662,0.0481806,0.054494999999999995,0.0632248,0.07195460000000001,0.0806844,0.0894142,0.09814400000000001,0.11151200000000001,0.12488000000000002,0.138248,0.15161600000000003,0.16498400000000002,0.19554400000000002,0.22610400000000003,0.256664,0.28722400000000003,0.317784,0.3697874,0.4217908,0.47379420000000005,0.5257976,0.577801,0.615951,0.654101,0.6922510000000001,0.7304010000000001,0.7685510000000001,0.7988014000000001,0.8290518000000001,0.8593022,0.8895526,0.919803,0.94349,0.9671770000000001,0.990864,1.014551,1.038238,1.0820958,1.1259536,1.1698114,1.2136692,1.257527,1.302739,1.3479510000000001,1.393163,1.438375,1.483587,1.529312,1.575037,1.620762,1.666487,1.712212,1.7571744,1.8021368,1.8470992,1.8920616,1.9370239999999999,1.97989,2.0227559999999998,2.065622,2.108488,2.151354,2.1916898,2.2320256,2.2723614,2.3126972,2.353033,2.3905702,2.4281074,2.4656446,2.5031818,2.540719,2.5751006000000003,2.6094822,2.6438638,2.6782453999999998,2.712627,2.7442501999999998,2.7758734,2.8074966,2.8391198,2.870743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wup_rural_pop,0.401326,0.4123002,0.4232744,0.43424860000000004,0.44522280000000003,0.456197,0.4666574,0.47711780000000004,0.4875782,0.49803860000000005,0.508499,0.5216526,0.5348062,0.5479598000000001,0.5611134000000001,0.5742670000000001,0.5876340000000001,0.601001,0.614368,0.6277349999999999,0.641102,0.6584207999999999,0.6757396,0.6930584,0.7103772,0.727696,0.7493916,0.7710872,0.7927828,0.8144783999999999,0.836174,0.8432052,0.8502364,0.8572676,0.8642988,0.87133,0.8570862,0.8428424,0.8285986000000001,0.8143548,0.800111,0.8001974000000001,0.8002838,0.8003702,0.8004566,0.800543,0.8021418,0.8037406,0.8053394,0.8069382,0.8085370000000001,0.8103524000000001,0.8121678000000001,0.8139832,0.8157986,0.8176140000000001,0.805559,0.7935040000000001,0.7814490000000001,0.7693940000000001,0.7573390000000001,0.7509932,0.7446474000000001,0.7383016,0.7319558,0.72561,0.7211988,0.7167876,0.7123764,0.7079652,0.703554,0.6983016,0.6930492,0.6877968,0.6825444,0.677292,0.6716494,0.6660068,0.6603642,0.6547216,0.649079,0.6435832,0.6380874,0.6325916,0.6270958,0.6216,0.6166564,0.6117128,0.6067692,0.6018256,0.5968819999999999,0.5925537999999999,0.5882255999999999,0.5838974,0.5795692,0.575241,0.570325,0.5654089999999999,0.560493,0.555577,0.550661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wup_rural_prop,0.97284,0.972506,0.972172,0.971838,0.971504,0.97117,0.970816,0.970462,0.970108,0.969754,0.9694,0.967842,0.966284,0.964726,0.963168,0.96161,0.95362,0.94563,0.93764,0.92965,0.92166,0.91356,0.90546,0.89736,0.8892599999999999,0.8811599999999999,0.87197,0.86278,0.8535900000000001,0.8444,0.83521,0.81472,0.79423,0.77374,0.75325,0.7327600000000001,0.702342,0.671924,0.641506,0.6110880000000001,0.58067,0.566574,0.552478,0.5383819999999999,0.524286,0.5101899999999999,0.501714,0.49323799999999995,0.4847619999999999,0.476286,0.46780999999999995,0.46236,0.4569099999999999,0.45146,0.4460099999999999,0.44055999999999995,0.427624,0.41468799999999995,0.401752,0.38881599999999994,0.37588,0.366394,0.356908,0.347422,0.337936,0.32845,0.321006,0.313562,0.3061180000000001,0.2986740000000001,0.2912300000000001,0.2847980000000001,0.278366,0.271934,0.2655019999999999,0.2590699999999999,0.25361199999999995,0.24815399999999999,0.2426959999999999,0.23723799999999995,0.23177999999999999,0.22721800000000003,0.22265600000000008,0.218094,0.21353200000000006,0.2089700000000001,0.20522400000000007,0.20147800000000005,0.19773200000000002,0.193986,0.19023999999999996,0.18718400000000002,0.18412799999999996,0.181072,0.17801599999999995,0.17496,0.17215800000000003,0.16935600000000006,0.16655399999999998,0.163752,0.16095000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
urban_pop_median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9370239999999999,1.97989,2.0227559999999998,2.065622,2.108488,2.151354,2.1916898,2.2320256,2.2723614,2.3126972,2.353033,2.3905702,2.4281074,2.4656446,2.5031818,2.540719,2.5751006000000003,2.6094822,2.6438638,2.6782453999999998,2.712627,2.7442501999999998,2.7758734,2.8074966,2.8391198,2.870743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
