,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
wpp_median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.60227900000001,30.379596000000006,31.156913000000003,31.93423,32.711546999999996,33.494346,34.281129,35.077096,35.883455000000005,36.699009,37.529366,38.376606,39.244383,40.132808,41.033848,41.948466,42.879998,43.824369,44.778745,45.743924,46.717432,47.702163,48.700665,49.709046,50.716067,51.718056,52.721463,53.730595,54.739406,55.746985,56.759561000000005,57.772652,58.783276,59.797639000000004,60.815802000000005,61.826432999999994,62.831827,63.843644999999995,64.855752,65.86137,66.87283199999999,67.88844,68.908169,69.935317,70.96822,72.013857,73.059532,74.101979,75.138746,76.16627700000001,77.19374400000001,78.21156500000001,79.219659,80.225057,81.235636,82.24136299999999,83.234027,84.223328,85.204418,86.179854,87.153993,88.121003,89.080799,90.020568,90.94650299999999,91.879537,92.807681,93.72359,94.638954,95.557108,96.47111500000001,97.374901,98.25624499999999,99.121206,99.975736,100.81510300000001,101.63647,102.447192,103.25194,104.04281900000001
wpp_lower95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.163109999999996,30.719386999999998,31.275664,31.831941,32.388218,32.908361,33.396607,33.888683,34.353452,34.783559000000004,35.219856,35.649153,36.051297,36.463165999999994,36.89421,37.304553999999996,37.715875999999994,38.107784,38.476661,38.830107000000005,39.103061000000004,39.336388,39.566151,39.735538999999996,39.940110999999995,40.232344,40.642126,40.969829,41.098093999999996,41.35833,41.694285,41.907818,42.070665,42.238364000000004,42.532649,42.623757,42.632374000000006,42.827011,43.029591999999994,43.14694600000001,43.136031,43.189260000000004,43.213165999999994,43.279374000000004,43.395053999999995,43.442095,43.629474,43.951603999999996,44.187377999999995,44.360942,44.51366,44.422914,44.183298,44.012063000000005,44.014127,44.065160000000006,43.959432,43.901191,43.747546,43.625752,43.661653,43.67261,43.686129,43.653022,43.596286,43.561374,43.51044,43.454083,43.397172,43.352904,43.419201,43.463315,43.450447,43.384311000000004,43.180803,43.107887999999996,43.158773000000004,43.130955,43.074093999999995,43.129926
wpp_lower80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.952598000000002,30.591602,31.230606,31.86961,32.508614,33.126354,33.715494,34.30696,34.902362999999994,35.467743,36.033889,36.607826,37.195363,37.788829,38.340734,38.835366,39.320285000000005,39.816086000000006,40.308419,40.858095999999996,41.464779,42.062355000000004,42.629419,43.132509,43.620699,44.119419,44.651617,45.047205000000005,45.401651,45.911595999999996,46.447592,46.864714,47.135913,47.472269999999995,47.867632,48.223704,48.583241,48.98708,49.372543,49.738329,50.130351000000005,50.497215,50.716772,51.002909,51.387125,51.865964,52.431118999999995,52.909931,53.435549,53.848772,54.16293,54.368307,54.577219,54.813221,54.950849000000005,55.117729,55.276168,55.500108999999995,55.69123200000001,55.976711,56.273664,56.430588,56.650721,56.970178999999995,57.131714,57.298424,57.509522,57.518757,57.552714,57.610968,57.733525,57.9268,58.262519,58.373527,58.201689,58.313708,58.532638,58.583841,58.59053,58.669624000000006
wpp_upper80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.249883000000004,30.166424000000003,31.082965,31.999506,32.916047,33.85796,34.818203999999994,35.815566,36.854089,37.914193,39.008858999999994,40.181557,41.393421000000004,42.59897,43.843807999999996,45.111023,46.428749,47.823026,49.247681,50.6981,52.15711,53.595327,55.052295,56.527665999999996,58.011475,59.527673,61.138388,62.818743000000005,64.46727,66.188108,67.990033,69.773529,71.59446700000001,73.41931100000001,75.197481,76.93023299999999,78.768477,80.823723,82.89203900000001,84.809144,86.65171099999999,88.541678,90.45742999999999,92.508258,94.82419800000001,97.224422,99.780264,102.25983500000001,104.45403999999999,106.742503,109.220664,111.583817,113.80796799999999,115.99810400000001,118.094386,120.46336,123.11150599999999,125.686287,128.063193,130.196276,132.32209099999997,134.686834,137.217029,139.91110999999998,142.78069699999998,145.58174400000001,148.302416,151.168691,154.301191,157.20547399999998,159.893923,162.791412,165.70904099999998,168.545965,171.317124,174.52237,177.845328,180.921961,183.903743,187.062755
wpp_upper95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.075470999999972,30.06230799999998,31.04914499999999,32.035982,33.022819000000005,34.045487,35.106325,36.220341999999995,37.394683,38.574603,39.795097999999996,41.082722000000004,42.446438,43.893661,45.380266999999996,46.904689,48.388854,49.917293,51.546889,53.209281000000004,54.962795,56.854322999999994,58.755497000000005,60.624742,62.482332,64.429642,66.545147,68.608084,70.691587,72.866151,75.035387,77.162866,79.260261,81.380212,83.607501,85.994045,88.437129,90.84401,93.20171400000001,95.50760700000001,98.237639,101.26847900000001,104.21133,107.07774099999999,110.020583,113.186329,116.670912,120.135993,123.56597599999999,127.061913,130.536799,134.06644599999998,137.625833,141.096999,143.898979,147.075252,151.16445000000002,155.189531,159.045024,162.991847,166.95974900000002,170.96545,175.54469,180.80536999999998,185.72885399999998,190.109769,194.702124,199.335943,204.023919,209.029782,213.541383,217.72473300000001,222.62705799999998,228.254212,234.435147,241.316308,247.504309,252.41372399999997,256.24382099999997,260.748542
wup_urban_prop,0.09962,0.105938,0.112256,0.118574,0.124892,0.13121,0.14032599999999998,0.149442,0.15855799999999998,0.167674,0.17678999999999997,0.190432,0.20407399999999998,0.217716,0.231358,0.245,0.252326,0.259652,0.266978,0.274304,0.28163,0.28976199999999996,0.297894,0.30602599999999996,0.314158,0.32228999999999997,0.33148999999999995,0.34069,0.34989,0.35909,0.36829,0.370452,0.372614,0.374776,0.376938,0.3791,0.38197,0.38483999999999996,0.38771,0.39058,0.39344999999999997,0.39718,0.40091,0.40464,0.40837,0.4121,0.41599,0.41988000000000003,0.42377,0.42766,0.43155,0.435708,0.439866,0.44402400000000003,0.448182,0.45234,0.456532,0.460724,0.464916,0.469108,0.4733,0.477528,0.481756,0.485984,0.49021200000000004,0.49444000000000005,0.4989640000000001,0.503488,0.508012,0.5125360000000001,0.5170600000000001,0.5219360000000001,0.5268120000000001,0.531688,0.536564,0.54144,0.546612,0.5517839999999999,0.556956,0.562128,0.5672999999999999,0.572684,0.5780679999999999,0.583452,0.5888359999999999,0.59422,0.59969,0.6051599999999999,0.61063,0.6161,0.62157,0.6269399999999999,0.6323099999999999,0.63768,0.64305,0.64842,0.653608,0.658796,0.663984,0.6691720000000001,0.6743600000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wup_urban_pop,0.262001,0.2890964,0.31619179999999997,0.3432872,0.3703826,0.397478,0.443818,0.490158,0.536498,0.582838,0.629178,0.7151102,0.8010423999999999,0.8869746,0.9729067999999998,1.0588389999999999,1.1423514,1.2258638,1.3093762,1.3928886,1.476401,1.607094,1.737787,1.86848,1.9991729999999999,2.129866,2.3147895999999997,2.4997132,2.6846368,2.8695604,3.054484,3.218657,3.3828300000000002,3.547003,3.711176,3.8753490000000004,4.0656406,4.2559322,4.4462238,4.6365153999999995,4.826807,5.0599056,5.2930041999999995,5.5261028,5.7592014,5.9923,6.234047400000001,6.4757948,6.7175422000000005,6.9592896,7.201037,7.419667400000001,7.638297800000001,7.8569282000000005,8.0755586,8.294189000000001,8.5665428,8.8388966,9.111250400000001,9.3836042,9.655958,10.0099022,10.3638464,10.7177906,11.0717348,11.425679,11.847005600000001,12.2683322,12.6896588,13.110985399999999,13.532312,14.030161399999999,14.528010799999999,15.0258602,15.5237096,16.021559,16.599679599999998,17.1778002,17.7559208,18.3340414,18.912162,19.575868,20.239573999999998,20.90328,21.566985999999996,22.230691999999998,22.9804164,23.730140799999997,24.4798652,25.229589599999997,25.979314,26.8091074,27.6389008,28.468694199999998,29.298487599999998,30.128280999999998,31.031740799999998,31.935200599999998,32.8386604,33.7421202,34.64558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wup_rural_pop,2.3681300000000003,2.420869,2.473608,2.526347,2.5790859999999998,2.6318249999999996,2.6914219999999998,2.751019,2.8106159999999996,2.8702129999999997,2.92981,2.9964383999999997,3.0630668,3.1296952,3.1963236000000004,3.2629520000000003,3.3635604000000003,3.4641688000000004,3.5647772,3.6653856,3.765994,3.9085438000000003,4.051093600000001,4.1936434,4.3361932,4.478743000000001,4.630832600000001,4.782922200000001,4.9350118,5.0871014,5.239191,5.4607946,5.6823982,5.9040018,6.1256053999999995,6.347208999999999,6.5659566,6.7847042,7.0034518,7.2221994,7.440947,7.6624616,7.8839762,8.1054908,8.327005400000001,8.54852,8.7359208,8.9233216,9.1107224,9.2981232,9.485524,9.596842,9.70816,9.819478,9.930795999999999,10.042114,10.1827658,10.323417599999999,10.4640694,10.604721199999998,10.745372999999999,10.932856999999998,11.120341,11.307825,11.495309,11.682793,11.874122,12.065451,12.256780000000001,12.448109,12.639438,12.825364800000001,13.0112916,13.1972184,13.3831452,13.569072,13.7402864,13.9115008,14.082715199999999,14.2539296,14.425144,14.576226,14.727308,14.87839,15.029472,15.180554,15.3077852,15.4350164,15.5622476,15.6894788,15.816709999999999,15.9205054,16.0243008,16.128096199999998,16.2318916,16.335687,16.4144692,16.493251400000002,16.5720336,16.650815800000004,16.729598000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wup_rural_prop,0.90038,0.894062,0.887744,0.881426,0.875108,0.86879,0.859674,0.850558,0.841442,0.832326,0.82321,0.8095680000000001,0.795926,0.782284,0.768642,0.755,0.747674,0.740348,0.7330220000000001,0.725696,0.71837,0.710238,0.702106,0.6939740000000001,0.6858420000000001,0.67771,0.66851,0.6593100000000001,0.65011,0.64091,0.63171,0.629548,0.627386,0.625224,0.623062,0.6209,0.6180300000000001,0.61516,0.61229,0.6094200000000001,0.60655,0.60282,0.59909,0.59536,0.59163,0.5879,0.5840099999999999,0.58012,0.57623,0.5723400000000001,0.56845,0.564292,0.560134,0.555976,0.5518179999999999,0.54766,0.5434680000000001,0.539276,0.535084,0.5308919999999999,0.5267,0.522472,0.5182439999999999,0.514016,0.5097879999999999,0.50556,0.5010359999999999,0.49651199999999995,0.491988,0.4874639999999999,0.4829399999999999,0.47806399999999993,0.47318799999999994,0.46831199999999995,0.46343599999999996,0.45855999999999997,0.453388,0.44821600000000006,0.443044,0.43787200000000004,0.4327000000000001,0.42731600000000003,0.4219320000000001,0.41654800000000003,0.4111640000000001,0.40578000000000003,0.40031000000000005,0.3948400000000001,0.38937,0.3839,0.37843000000000004,0.37306000000000006,0.3676900000000001,0.36232,0.35695,0.35158,0.34639200000000003,0.34120399999999995,0.336016,0.3308279999999999,0.32563999999999993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
urban_pop_median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.021559,16.599679599999998,17.1778002,17.7559208,18.3340414,18.912162,19.575868,20.239573999999998,20.90328,21.566985999999996,22.230691999999998,22.9804164,23.730140799999997,24.4798652,25.229589599999997,25.979314,26.8091074,27.6389008,28.468694199999998,29.298487599999998,30.128280999999998,31.031740799999998,31.935200599999998,32.8386604,33.7421202,34.64558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
