,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
wpp_median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.856964999999995,27.612557999999996,28.368150999999997,29.123744,29.879337,30.640817,31.410383999999997,32.190668,32.979282,33.777189,34.584117,35.399671000000005,36.223483,37.054809999999996,37.893817999999996,38.742468,39.600372,40.463012,41.33284,42.208003,43.089980000000004,43.976016,44.857801,45.741474000000004,46.629039,47.519038,48.413783,49.308765,50.203269,51.096317000000006,51.98901600000001,52.885711,53.780179,54.670862,55.557082,56.438109,57.320853,58.204677000000004,59.084925000000005,59.960896,60.830908,61.695066,62.554749,63.411694000000004,64.266376,65.117258,65.962218,66.79915700000001,67.630705,68.45822,69.28100199999999,70.100398,70.912212,71.71667500000001,72.513578,73.29675599999999,74.07110300000001,74.83784200000001,75.593956,76.344375,77.08503900000001,77.810057,78.523921,79.226074,79.91676600000001,80.59517699999999,81.262709,81.920827,82.567871,83.203329,83.82594999999999,84.434007,85.02932399999999,85.616518,86.190175,86.750799,87.301733,87.83865700000001,88.36238300000001,88.875688
wpp_lower95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.256898000000003,27.848784000000002,28.44067,29.032556,29.624442,30.220983,30.804835,31.38551,31.95232,32.512113,33.056067999999996,33.57178699999999,34.064993,34.578608,35.058735999999996,35.527326,36.006279,36.460214,36.918827,37.363733,37.780523,38.214165,38.684777000000004,39.118966,39.510566,39.884218999999995,40.278139,40.723576,41.105098,41.399480000000004,41.72965,42.099792,42.483833,42.861367,43.187173,43.449431,43.7303,44.033502999999996,44.258277,44.448961000000004,44.644349000000005,44.849112999999996,44.998686,45.082654000000005,45.202254,45.386635999999996,45.487152,45.568878,45.750102,45.860506,45.929309,46.089721,46.314182,46.413286,46.380317000000005,46.401898,46.456476,46.463452,46.472643,46.512463000000004,46.507374000000006,46.600203,46.729801,46.672949,46.560314,46.502138,46.496660000000006,46.497257,46.541438,46.613352,46.603826,46.642442,46.495827,46.185999,45.980655,45.943672,46.095794999999995,46.427150000000005,46.641749000000004,46.446659
wpp_lower80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.119229,27.768038,28.416847,29.065656,29.714465,30.376127,31.037796,31.696869,32.358395,33.012806,33.654561,34.293362,34.92998,35.567466,36.187013,36.807007,37.424945,38.032862,38.65103,39.250419,39.829449999999994,40.464484,41.081373,41.646730000000005,42.215519,42.767033000000005,43.336385,43.890663,44.437225,44.988579,45.496286999999995,46.034424,46.563216,47.019434000000004,47.454798000000004,47.890767,48.318951999999996,48.741032,49.210691,49.684673000000004,50.095722,50.451003,50.77530599999999,51.125076,51.447883000000004,51.747061,52.04358800000001,52.294706,52.531659,52.769183,53.11399900000001,53.50932,53.896273,54.246001,54.517637,54.754764,54.982330999999995,55.172674,55.392686000000005,55.690315999999996,55.926605,56.153262000000005,56.387159,56.508487,56.567254999999996,56.660006,56.821758,57.048979,57.280339,57.458436,57.440868,57.460488,57.518805,57.472107,57.444519,57.470822,57.612606,57.76893,57.826463000000004,57.722991
wpp_upper80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.588124000000004,27.452267000000003,28.31641,29.180553,30.044696,30.912948,31.793495999999998,32.6912,33.602341,34.539305999999996,35.497703,36.460996,37.456494,38.477374000000005,39.509660000000004,40.537895,41.578146000000004,42.642680999999996,43.716089,44.812025,45.936375999999996,47.052444,48.171209000000005,49.375811999999996,50.598485999999994,51.776184,52.963142999999995,54.178697,55.390439,56.648091,57.97226,59.318275,60.65482,61.986289,63.366814,64.829819,66.290701,67.70639299999999,69.188205,70.715235,72.194456,73.670156,75.15596099999999,76.58246000000001,78.023094,79.54126600000001,80.997059,82.459484,83.95911699999999,85.496703,87.15049400000001,88.826177,90.469474,92.106368,93.679076,95.304382,97.066297,98.736846,100.31822500000001,102.065527,103.88622,105.712322,107.57358900000001,109.265813,110.983443,112.80612699999999,114.59624400000001,116.427965,118.235332,120.11474199999999,121.832846,123.598943,125.522102,127.12098,128.555009,130.214836,132.311236,134.503324,136.348666,138.16175099999998
wpp_upper95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.453103000000006,27.371710000000004,28.290317,29.208924,30.127530999999998,31.046491999999997,31.991679,32.961426,33.936252,34.934636,35.967706,37.03491,38.118109,39.192595999999995,40.274891000000004,41.40671,42.583433,43.786685,45.002729,46.235597999999996,47.510178999999994,48.836292,50.173021,51.529262,52.892202,54.256862,55.667331,57.077784,58.459196000000006,59.803781,61.269031999999996,62.869575,64.493968,66.117738,67.78271099999999,69.48746700000001,71.027928,72.693916,74.753909,76.825444,78.795542,80.75487,82.679358,84.662071,86.63632000000001,88.46603200000001,90.380651,92.41179799999999,94.54464200000001,96.870191,99.312681,101.811567,104.215091,106.53261900000001,108.841231,111.382734,113.989349,116.18769,118.516558,120.858025,123.03277,125.608804,128.26967299999998,130.79914,133.53365,136.466331,139.312815,141.94851500000001,144.39448000000002,146.83753099999998,149.695946,152.846045,155.51588800000002,157.845563,160.38396400000002,163.45325200000002,166.80403099999998,170.16348399999998,173.096737,175.70772200000002
wup_urban_prop,0.09333,0.097532,0.10173399999999999,0.105936,0.110138,0.11434,0.119346,0.12435199999999999,0.129358,0.13436399999999998,0.13937,0.145256,0.151142,0.15702799999999997,0.16291399999999998,0.16879999999999998,0.17564,0.18248,0.18932,0.19616,0.203,0.216984,0.230968,0.244952,0.258936,0.27292,0.282178,0.291436,0.300694,0.309952,0.31921,0.327832,0.336454,0.345076,0.35369799999999996,0.36232,0.36917,0.37601999999999997,0.38287,0.38971999999999996,0.39657,0.402402,0.408234,0.414066,0.419898,0.42573,0.431668,0.437606,0.443544,0.449482,0.45542,0.461418,0.467416,0.47341399999999995,0.47941199999999995,0.48540999999999995,0.49144599999999994,0.497482,0.503518,0.509554,0.51559,0.521628,0.527666,0.5337040000000001,0.539742,0.54578,0.551744,0.557708,0.5636720000000001,0.569636,0.5756,0.581408,0.587216,0.593024,0.5988319999999999,0.60464,0.610196,0.615752,0.621308,0.626864,0.63242,0.637652,0.642884,0.648116,0.653348,0.65858,0.663618,0.668656,0.673694,0.678732,0.68377,0.688602,0.693434,0.698266,0.703098,0.7079300000000001,0.7125400000000001,0.7171500000000001,0.72176,0.72637,0.73098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wup_urban_pop,0.401988,0.42917120000000003,0.45635440000000005,0.4835376,0.5107208000000001,0.537904,0.5746030000000001,0.611302,0.648001,0.6847000000000001,0.721399,0.772182,0.8229650000000001,0.873748,0.924531,0.975314,1.0452732,1.1152324,1.1851916,1.2551508,1.32511,1.4671376,1.6091652,1.7511928,1.8932204000000001,2.035248,2.1784196000000002,2.3215912000000003,2.4647628,2.6079344,2.751106,2.929147,3.107188,3.285229,3.46327,3.641311,3.842237,4.043163,4.244089,4.445015,4.645941,4.862895,5.079849,5.296803,5.513757,5.730711,5.9757924000000004,6.220873800000001,6.4659552,6.7110366,6.956118,7.2561294,7.5561408,7.8561522,8.1561636,8.456175,8.8242616,9.1923482,9.560434800000001,9.928521400000001,10.296608,10.7298094,11.1630108,11.5962122,12.0294136,12.462615,12.9583966,13.4541782,13.9499598,14.4457414,14.941523,15.5011536,16.0607842,16.6204148,17.1800454,17.739676,18.3631626,18.9866492,19.610135800000002,20.2336224,20.857109,21.5438388,22.2305686,22.9172984,23.604028200000002,24.290758,25.042403,25.794048,26.545693,27.297338,28.048983,28.8603034,29.6716238,30.4829442,31.294264599999998,32.105585,32.967533599999996,33.8294822,34.6914308,35.553379400000004,36.415328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wup_rural_pop,3.905034,3.957293,4.009551999999999,4.061811,4.11407,4.166328999999999,4.224036999999999,4.281744999999999,4.339453,4.397161,4.4548689999999995,4.5243991999999995,4.5939293999999995,4.6634596,4.7329898,4.80252,4.8825210000000006,4.962522,5.042523,5.122523999999999,5.202525,5.2464428,5.2903606,5.3342784,5.3781962,5.422114,5.5111408,5.6001676,5.6891944,5.7782212,5.867248,5.9755408,6.0838336,6.1921264,6.3004192,6.408712,6.540825000000001,6.672938,6.805051000000001,6.937164,7.0692770000000005,7.2014782,7.3336794,7.4658806,7.5980818,7.730283,7.8478496,7.9654162,8.0829828,8.2005494,8.318116,8.4474168,8.5767176,8.7060184,8.8353192,8.96462,9.1064734,9.248326800000001,9.3901802,9.5320336,9.673887,9.813491,9.953095,10.092699,10.232302999999998,10.371906999999998,10.500857799999999,10.629808599999999,10.7587594,10.8877102,11.016661000000001,11.1332102,11.2497594,11.3663086,11.4828578,11.599407,11.7040326,11.8086582,11.913283799999999,12.017909399999999,12.122535,12.216602799999999,12.3106706,12.4047384,12.4988062,12.592874,12.6686704,12.7444668,12.8202632,12.8960596,12.971855999999999,13.026575399999999,13.081294799999998,13.1360142,13.1907336,13.245453,13.2767748,13.308096599999999,13.3394184,13.370740199999998,13.402061999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wup_rural_prop,0.90667,0.902468,0.898266,0.894064,0.889862,0.88566,0.880654,0.875648,0.870642,0.8656360000000001,0.86063,0.854744,0.848858,0.842972,0.837086,0.8312,0.82436,0.81752,0.8106800000000001,0.80384,0.7969999999999999,0.7830159999999999,0.7690319999999999,0.7550479999999999,0.741064,0.72708,0.717822,0.708564,0.699306,0.690048,0.68079,0.672168,0.663546,0.6549240000000001,0.646302,0.63768,0.63083,0.62398,0.61713,0.61028,0.60343,0.5975980000000001,0.591766,0.585934,0.580102,0.5742700000000001,0.5683320000000001,0.5623940000000001,0.5564560000000001,0.5505180000000001,0.5445800000000001,0.538582,0.532584,0.526586,0.520588,0.5145900000000001,0.5085540000000001,0.502518,0.496482,0.49044600000000005,0.48441,0.478372,0.47233400000000003,0.46629599999999993,0.46025799999999994,0.45421999999999996,0.448256,0.442292,0.43632799999999994,0.43036399999999997,0.4244,0.41859199999999996,0.41278400000000004,0.406976,0.4011680000000001,0.39536000000000004,0.38980400000000004,0.38424800000000003,0.37869200000000003,0.373136,0.36758,0.362348,0.357116,0.351884,0.34665199999999996,0.34141999999999995,0.33638199999999996,0.33134399999999997,0.326306,0.321268,0.31623,0.31139799999999995,0.306566,0.30173399999999995,0.296902,0.29206999999999994,0.28745999999999994,0.28284999999999993,0.27824000000000004,0.27363000000000004,0.26902000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
urban_pop_median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.739676,18.3631626,18.9866492,19.610135800000002,20.2336224,20.857109,21.5438388,22.2305686,22.9172984,23.604028200000002,24.290758,25.042403,25.794048,26.545693,27.297338,28.048983,28.8603034,29.6716238,30.4829442,31.294264599999998,32.105585,32.967533599999996,33.8294822,34.6914308,35.553379400000004,36.415328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
