,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
wpp_median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.757615,99.010212,102.26280899999999,105.625114,109.07556,112.60766000000001,116.225955,119.929158,123.716492,127.582053,131.523203,135.53880999999998,139.62669,143.789026,148.02570699999998,152.323103,156.665737,161.055774,165.50285,170.013816,174.575803,179.185515,183.840294,188.52385,193.253818,198.033915,202.854315,207.716794,212.606516,217.494004,222.377938,227.28363399999998,232.212652,237.147248,242.080875,247.018393,251.95975,256.909906,261.852707,266.798687,271.74228000000005,276.664287,281.587113,286.515138,291.43265399999996,296.330409,301.233508,306.121456,310.951699,315.728446,320.46742700000004,325.19091,329.883887,334.5286,339.115662,343.636093,348.082554,352.486036,356.853155,361.162317,365.414839,369.607113,373.738264,377.788508,381.778102,385.70380200000005,389.54927899999996,393.324747,397.01763400000004,400.62903700000004,404.151462,407.589574,410.96262,414.274425,417.510877,420.64955599999996,423.6992,426.674046,429.570083,432.3784
wpp_lower95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.14200600000001,98.679854,101.217702,103.801485,106.405022,108.96938,111.526678,114.0823,116.612253,119.02088499999999,121.246065,123.413065,125.703997,128.088413,130.446183,132.768413,135.013701,137.308105,139.575814,141.775179,143.936984,146.04690599999998,148.352089,150.68158300000002,152.761582,154.940313,157.03575700000002,158.928714,161.05261199999998,162.96053400000002,164.800003,166.80974600000002,168.42648,169.920994,171.61142900000002,173.216677,174.665196,176.31815799999998,177.90697899999998,179.41950599999998,180.83987,181.99166200000002,183.006338,184.055761,185.260367,186.333047,187.370584,188.243237,189.16565100000003,190.139758,191.021344,191.796153,192.35838099999998,192.868287,193.48025099999998,193.658725,193.424869,193.227862,192.894039,192.95144399999998,193.122983,193.36133600000002,193.535811,193.483275,193.436694,193.069015,192.544353,191.955635,191.7008,191.645709,191.357404,190.818527,189.837384,188.282285,186.694716,185.495326,184.345327,183.254809,182.574649,181.833784
wpp_lower80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.99144700000001,98.794195,101.596943,104.449444,107.313621,110.197489,113.12728200000001,116.070059,118.980307,121.89918300000001,124.801917,127.654611,130.520937,133.407195,136.296817,139.17385099999998,142.05674,144.87547899999998,147.63593400000002,150.424742,153.186751,155.991669,158.815375,161.704735,164.506019,167.304576,170.046296,172.706503,175.50305600000002,178.013481,180.68412700000002,183.447983,185.681781,187.871149,190.017892,191.881082,193.99943900000002,196.544382,198.89640100000003,201.116413,203.508302,205.64401999999998,207.66248199999998,209.700963,211.457252,213.18391,215.10808799999998,217.0043,218.776836,220.35612700000001,221.782258,223.439302,225.076936,226.305654,227.490646,228.54675500000002,229.177984,229.640276,230.322475,231.110668,231.660427,232.37987700000002,232.83624700000001,233.310584,234.260657,234.757182,235.11943599999998,235.561873,236.036246,236.262373,236.450169,236.47483499999998,236.151812,236.030236,235.656487,234.945497,234.235487,233.155064,232.66181899999998,233.004232
wpp_upper80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.580877,99.175557,102.770237,106.499302,110.346619,114.330643,118.46884,122.71732899999999,127.127357,131.717618,136.45572399999998,141.354733,146.38911199999998,151.571948,156.917472,162.410644,168.052244,173.850723,179.832304,185.98967000000002,192.396955,199.06336100000001,206.01026199999998,213.24828599999998,220.707673,228.621187,236.616103,244.591669,252.997312,261.633725,270.655669,279.85643400000004,288.996942,298.44730400000003,308.183261,317.9685,328.238997,339.089517,349.971254,361.048728,371.991197,383.21146000000005,395.22305200000005,407.297946,419.62098100000003,432.379163,444.971343,457.691496,470.653952,483.172826,495.837262,509.060465,522.334568,535.930836,549.229919,562.722924,577.134117,591.1458660000001,604.1644719999999,617.957916,631.5226090000001,645.6229350000001,660.439758,675.106689,689.853311,703.726637,718.4286500000001,734.93474,750.693,764.037677,778.61753,793.335463,806.3138349999999,821.2247759999999,838.470452,855.621789,872.158042,888.463037,904.949183,920.424302
wpp_upper95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.520475,99.234989,102.94950299999999,106.794716,110.76796,114.891055,119.18220699999999,123.609601,128.218765,132.99448199999998,137.894687,142.955326,148.236957,153.695247,159.355782,165.208134,171.27269,177.67369,184.29190100000002,191.09532000000002,198.161294,205.49738699999997,213.264748,221.412903,229.84455300000002,238.677167,247.580534,256.69943900000004,266.327227,276.205071,286.595055,297.32971399999997,308.12463299999996,319.21294,330.60456,342.426934,354.36728899999997,367.31169400000005,381.41193699999997,395.411783,409.662713,424.294955,439.561083,455.295142,471.19305599999996,487.870065,504.66425799999996,522.002377,540.788429,559.557774,578.672071,598.545891,618.362754,639.9628680000001,662.1395679999999,684.470579,706.0779660000001,727.622012,751.1794229999999,776.2779840000001,802.908632,830.0035330000001,858.522316,886.510027,915.236315,944.835736,974.543955,1005.364458,1038.369583,1074.0468230000001,1106.350568,1133.9065220000002,1164.460592,1200.298194,1238.1836210000001,1278.0185049999998,1317.016169,1352.611916,1386.331607,1422.1416100000001
wup_urban_prop,0.191,0.194108,0.197216,0.200324,0.203432,0.20654,0.209832,0.213124,0.216416,0.21970800000000001,0.223,0.225268,0.22753600000000002,0.229804,0.23207200000000003,0.23434000000000002,0.236688,0.239036,0.24138400000000002,0.243732,0.24608,0.248506,0.250932,0.25335799999999997,0.255784,0.25821,0.260712,0.263214,0.265716,0.268218,0.27072,0.273602,0.276484,0.279366,0.282248,0.28513,0.28937,0.29361,0.29785,0.30208999999999997,0.30633,0.31074,0.31515,0.31956,0.32397,0.32838,0.332948,0.337516,0.342084,0.34665199999999996,0.35122,0.355938,0.360656,0.36537400000000003,0.37009200000000003,0.37481000000000003,0.37987400000000004,0.384938,0.390002,0.395066,0.40013,0.405584,0.411038,0.416492,0.421946,0.4274,0.433196,0.438992,0.444788,0.450584,0.45638,0.462442,0.468504,0.474566,0.48062799999999994,0.48668999999999996,0.492876,0.49906199999999995,0.5052479999999999,0.5114339999999999,0.51762,0.52379,0.52996,0.53613,0.5423,0.54847,0.554566,0.560662,0.5667580000000001,0.5728540000000001,0.5789500000000001,0.5849280000000001,0.590906,0.5968840000000001,0.602862,0.60884,0.61466,0.62048,0.6263,0.63212,0.63794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wup_urban_pop,2.3270790000000003,2.4200440000000003,2.5130090000000003,2.6059740000000002,2.698939,2.791904,2.9135952,3.0352864,3.1569776000000003,3.2786688,3.40036,3.5343824,3.6684048000000002,3.8024272000000003,3.9364496000000004,4.0704720000000005,4.241182200000001,4.4118924,4.5826026,4.7533128,4.924023,5.121925,5.319827,5.517729,5.715631,5.913533,6.1579308,6.4023286,6.6467264,6.8911242,7.135522,7.412533,7.689544,7.966555,8.243566,8.520577,8.9371374,9.353697799999999,9.7702582,10.1868186,10.603379,11.2145378,11.8256966,12.4368554,13.0480142,13.659173000000001,14.2341852,14.8091974,15.384209600000002,15.959221800000002,16.534234,17.3316838,18.1291336,18.926583400000002,19.7240332,20.521483,21.5807666,22.6400502,23.6993338,24.758617400000002,25.817901000000003,27.167622400000003,28.517343800000003,29.8670652,31.2167866,32.566508,34.222895799999996,35.8792836,37.5356714,39.1920592,40.848447,42.8233292,44.7982114,46.7730936,48.7479758,50.722858,53.046982400000005,55.37110680000001,57.6952312,60.019355600000004,62.34348000000001,65.029306,67.71513200000001,70.400958,73.086784,75.77261,78.8102778,81.8479456,84.8856134,87.9232812,90.960949,94.3169194,97.67288980000001,101.0288602,104.3848306,107.740801,111.3788802,115.0169594,118.6550386,122.2931178,125.931197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wup_rural_pop,9.85658,10.0303858,10.2041916,10.3779974,10.5518032,10.725609,10.9500654,11.174521799999999,11.3989782,11.6234346,11.847890999999999,12.138195,12.428498999999999,12.718803,13.009106999999998,13.299411,13.6567112,14.0140114,14.3713116,14.7286118,15.085912,15.4664868,15.8470616,16.2276364,16.6082112,16.988786,17.435416800000002,17.8820476,18.3286784,18.7753092,19.22194,19.6501258,20.0783116,20.5064974,20.9346832,21.362869,21.8925356,22.4222022,22.9518688,23.481535400000002,24.011202,24.7962758,25.5813496,26.366423400000002,27.1514972,27.936571,28.4576874,28.9788038,29.4999202,30.0210366,30.542153,31.279721,32.017289,32.754857,33.492425,34.229993,35.1250668,36.0201406,36.9152144,37.8102882,38.705362,39.6903118,40.6752616,41.6602114,42.6451612,43.630111,44.6354396,45.6407682,46.6460968,47.6514254,48.656754,49.6249432,50.593132399999995,51.5613216,52.5295108,53.497699999999995,54.418052599999996,55.3384052,56.2587578,57.1791104,58.099463,58.9557102,59.8119574,60.6682046,61.5244518,62.380699,63.1351694,63.889639800000005,64.6441102,65.3985806,66.153051,66.7664536,67.3798562,67.99325879999999,68.6066614,69.220064,69.67065219999999,70.12124039999999,70.5718286,71.0224168,71.473005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wup_rural_prop,0.8089999999999999,0.805892,0.8027839999999999,0.799676,0.7965679999999999,0.79346,0.790168,0.786876,0.7835840000000001,0.780292,0.777,0.774732,0.772464,0.770196,0.7679279999999999,0.76566,0.763312,0.760964,0.758616,0.7562679999999999,0.75392,0.751494,0.7490680000000001,0.746642,0.744216,0.74179,0.739288,0.7367859999999999,0.7342839999999999,0.7317819999999999,0.7292799999999999,0.726398,0.723516,0.720634,0.717752,0.71487,0.71063,0.7063900000000001,0.70215,0.69791,0.69367,0.68926,0.68485,0.6804399999999999,0.67603,0.67162,0.667052,0.6624840000000001,0.657916,0.653348,0.64878,0.644062,0.639344,0.6346259999999999,0.6299079999999999,0.6251899999999999,0.620126,0.615062,0.609998,0.6049340000000001,0.59987,0.594416,0.588962,0.583508,0.5780540000000001,0.5726,0.566804,0.561008,0.555212,0.549416,0.54362,0.537558,0.531496,0.525434,0.5193720000000001,0.51331,0.507124,0.5009380000000001,0.4947520000000001,0.48856600000000006,0.48238000000000003,0.47621,0.47004,0.46387,0.4577,0.45153,0.445434,0.439338,0.4332419999999999,0.4271459999999999,0.4210499999999999,0.4150719999999999,0.40909399999999996,0.4031159999999999,0.397138,0.39115999999999995,0.38534,0.37951999999999997,0.37370000000000003,0.36788,0.36206000000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
urban_pop_median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.722858,53.046982400000005,55.37110680000001,57.6952312,60.019355600000004,62.34348000000001,65.029306,67.71513200000001,70.400958,73.086784,75.77261,78.8102778,81.8479456,84.8856134,87.9232812,90.960949,94.3169194,97.67288980000001,101.0288602,104.3848306,107.740801,111.3788802,115.0169594,118.6550386,122.2931178,125.931197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
