,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
wpp_median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.878533000000001,6.030009000000001,6.181485,6.332961,6.484437,6.637786,6.794294,6.953971999999999,7.1164629999999995,7.282266,7.4524099999999995,7.6264769999999995,7.802999,7.981344,8.160732,8.341712,8.524802,8.709726,8.896174,9.083972,9.274659999999999,9.46676,9.658841,9.850507,10.041901,10.234371999999999,10.427912000000001,10.621399,10.813655,11.006472,11.200449,11.394540000000001,11.588702,11.783763,11.977754000000001,12.170788,12.364402,12.558479,12.754018,12.95078,13.148492000000001,13.348744,13.549288,13.747451,13.945146000000001,14.143856,14.340898,14.536301,14.733635,14.929960999999999,15.124134,15.317712,15.510183000000001,15.700216000000001,15.888665999999999,16.074469999999998,16.257210999999998,16.440547,16.622258000000002,16.802276000000003,16.980264,17.158126,17.336315,17.511543000000003,17.683692,17.854605,18.025474,18.195508999999998,18.362315,18.525565,18.687358,18.846995,19.003266,19.155559,19.305619,19.454162,19.600616000000002,19.745457,19.887449,20.025644
wpp_lower95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.056478000000002,6.135558000000001,6.214638000000001,6.293718,6.3727979999999995,6.460318,6.5533459999999994,6.644578999999999,6.734085,6.8255479999999995,6.919453000000001,7.014258,7.1009009999999995,7.196372,7.298447,7.399075,7.50186,7.592861,7.677448,7.781499,7.88567,7.971237,8.051807,8.149041,8.262113,8.352135,8.418843,8.494504000000001,8.579138,8.657751000000001,8.737295,8.822307,8.895415000000002,8.955546,9.004982,9.062056,9.136815,9.200884,9.237950000000001,9.236025,9.252880999999999,9.313925999999999,9.371959,9.428136,9.491412,9.531663,9.537412,9.536223,9.549566,9.555646000000001,9.550724,9.568537000000001,9.615742000000001,9.670484,9.66216,9.644838,9.665633,9.655883,9.628986000000001,9.630672,9.645367,9.683579,9.699470999999999,9.649186,9.591081,9.557632,9.52025,9.503281000000001,9.50265,9.442575999999999,9.378406,9.382937,9.397734,9.385111,9.357693999999999,9.329595,9.289787,9.23602,9.195004999999998,9.136002000000001
wpp_lower80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.987596999999997,6.094581999999998,6.201566999999999,6.308552,6.4155370000000005,6.525100999999999,6.636032,6.748397,6.859512,6.971564,7.091976,7.218481,7.3394960000000005,7.45724,7.580837000000001,7.705893,7.8310439999999994,7.962563,8.08874,8.201761000000001,8.317169,8.440922,8.55955,8.682779,8.812322,8.944388,9.06857,9.190593000000002,9.319342,9.42071,9.527174,9.649899,9.741100000000001,9.828515,9.922872,10.010411,10.086021,10.164442,10.252251,10.321337,10.381653,10.445993,10.493822,10.549705,10.641482,10.73134,10.814018,10.903893,10.983553,11.057561,11.113768,11.134283,11.164283,11.238822,11.325578,11.421952,11.489825999999999,11.534206,11.570758,11.597916999999999,11.655593999999999,11.738359,11.770087,11.778954,11.840589,11.900579,11.923165999999998,11.921114,11.927226000000001,11.920373999999999,11.914429,11.957485,11.999695,12.024535,12.061446,12.078745000000001,12.06423,12.071574,12.09341,12.106108
wpp_upper80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.760814000000001,5.960024000000001,6.1592340000000005,6.358444,6.557654,6.758877,6.964640999999999,7.170117,7.382354,7.595422999999999,7.807061,8.02278,8.244159999999999,8.473796,8.705988,8.949179,9.205043,9.465472,9.731557,9.989851,10.240992,10.503176,10.774946,11.04739,11.319261000000001,11.598809,11.873662,12.159626,12.457469,12.741301,13.027316999999998,13.343333000000001,13.657627,13.966338,14.292707,14.603053,14.915824,15.247472,15.589291999999999,15.946963,16.295751,16.666781,17.066644,17.445891,17.811563,18.153592,18.490178,18.878674999999998,19.265862000000002,19.633398,19.991346,20.360434,20.740726,21.118751,21.520005,21.919541000000002,22.350325,22.791177,23.219582,23.667229,24.095269000000002,24.566277999999997,25.042721,25.451217,25.885681,26.344947,26.848245,27.367538,27.762676,28.143448,28.550802,28.989995999999998,29.497152999999997,29.974395,30.431922999999998,30.811352,31.204506000000002,31.686238,32.201046,32.724052
wpp_upper95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.693191999999999,5.918933999999999,6.144676,6.370418,6.59616,6.824038,7.062715,7.3012749999999995,7.537024000000001,7.781861,8.025309,8.267179,8.526551999999999,8.797311,9.054884,9.312501000000001,9.600802999999999,9.90791,10.210809,10.514425,10.840286,11.182545,11.474374,11.781973,12.114818,12.427705,12.763665999999999,13.111011000000001,13.459406000000001,13.808888000000001,14.162474,14.528838,14.919575,15.310391,15.695348,16.094611999999998,16.540423999999998,17.030554,17.437587,17.795124,18.181019,18.607554,19.031086,19.452355,19.974904,20.470245,20.941325,21.474299,22.045325000000002,22.628246,23.153112,23.663173,24.239546999999998,24.873706,25.496991,26.158985,26.783945,27.344604,27.910929,28.481779,29.082632,29.762391,30.515396,31.20774,31.812424999999998,32.415223999999995,33.004081,33.608423,34.290545,34.947374,35.400108,35.927707000000005,36.667775999999996,37.429458,38.106583,38.722256,39.432059,40.174206,40.884980999999996,41.627494
wup_urban_prop,0.24925999999999998,0.255694,0.26212799999999997,0.268562,0.274996,0.28143,0.288346,0.295262,0.302178,0.30909400000000004,0.31601,0.32335400000000003,0.33069800000000005,0.338042,0.345386,0.35273000000000004,0.36044200000000004,0.36815400000000004,0.375866,0.383578,0.39128999999999997,0.39955999999999997,0.40782999999999997,0.4161,0.42437,0.43264,0.441826,0.451012,0.460198,0.469384,0.47857,0.487298,0.49602599999999997,0.5047539999999999,0.513482,0.52221,0.526416,0.5306219999999999,0.534828,0.5390339999999999,0.54324,0.547418,0.551596,0.555774,0.559952,0.56413,0.568694,0.573258,0.577822,0.582386,0.58695,0.591536,0.5961219999999999,0.600708,0.605294,0.60988,0.614416,0.618952,0.623488,0.628024,0.63256,0.637134,0.6417080000000001,0.646282,0.6508560000000001,0.6554300000000001,0.6600020000000001,0.664574,0.669146,0.6737179999999999,0.67829,0.6828019999999999,0.687314,0.6918259999999999,0.696338,0.70085,0.70524,0.70963,0.71402,0.71841,0.7228,0.726984,0.731168,0.735352,0.7395360000000001,0.74372,0.7476900000000001,0.75166,0.75563,0.7595999999999999,0.76357,0.76732,0.77107,0.77482,0.77857,0.78232,0.785852,0.789384,0.7929160000000001,0.796448,0.79998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wup_urban_pop,0.20619900000000002,0.21675380000000002,0.22730860000000003,0.2378634,0.2484182,0.258973,0.27273220000000004,0.2864914,0.30025060000000003,0.3140098,0.32776900000000003,0.3457644,0.3637598,0.3817552,0.3997506,0.417746,0.4410052,0.4642644,0.4875236,0.5107828,0.534042,0.5648154,0.5955888,0.6263622,0.6571356,0.687909,0.7264336,0.7649582,0.8034828,0.8420074000000001,0.8805320000000001,0.9266530000000001,0.972774,1.018895,1.065016,1.111137,1.1540618,1.1969866,1.2399114,1.2828362,1.325761,1.3764352,1.4271094,1.4777836,1.5284578,1.579132,1.6419736,1.7048152,1.7676568,1.8304984,1.89334,1.968208,2.043076,2.117944,2.192812,2.26768,2.3691094,2.4705388,2.5719682,2.6733976,2.774827,2.8747188,2.9746106,3.0745024,3.1743942,3.274286,3.3908994,3.5075128,3.6241262,3.7407396000000004,3.8573530000000003,3.9907332,4.124113400000001,4.2574936,4.3908738,4.524254,4.677426,4.830598,4.98377,5.136942,5.290114,5.4632222,5.636330399999999,5.8094386,5.9825468,6.155654999999999,6.346072599999999,6.536490199999999,6.7269078,6.9173254,7.107743,7.3116968,7.5156506,7.7196044,7.9235581999999996,8.127512,8.3435144,8.559516799999999,8.7755192,8.991521599999999,9.207524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wup_rural_pop,0.621053,0.6290914,0.6371298,0.6451682,0.6532066,0.661245,0.6708862,0.6805274,0.6901686,0.6998098,0.709451,0.7208748,0.7322986,0.7437224000000001,0.7551462000000001,0.7665700000000001,0.77941,0.79225,0.8050900000000001,0.81793,0.83077,0.845042,0.859314,0.873586,0.887858,0.90213,0.9135846,0.9250392,0.9364938,0.9479484,0.959403,0.9708490000000001,0.982295,0.9937410000000001,1.005187,1.0166330000000001,1.0362456,1.0558582,1.0754708,1.0950834,1.114696,1.1357814,1.1568668,1.1779522,1.1990376,1.220123,1.2425758,1.2650286,1.2874814,1.3099342,1.332387,1.3560222,1.3796574,1.4032926000000001,1.4269278,1.450563,1.4828236000000001,1.5150842,1.5473448,1.5796054,1.611866,1.6337652,1.6556644,1.6775636,1.6994628,1.721362,1.7430024,1.7646428,1.7862832,1.8079236,1.829564,1.849875,1.870186,1.8904969999999999,1.9108079999999998,1.9311189999999998,1.9506497999999999,1.9701805999999997,1.9897113999999998,2.0092421999999996,2.0287729999999997,2.0472563999999998,2.0657398,2.0842232,2.1027066,2.12119,2.137129,2.153068,2.169007,2.1849460000000005,2.2008850000000004,2.2129946000000005,2.2251042,2.2372138,2.2493233999999998,2.261433,2.2695718,2.2777106,2.2858494,2.2939882,2.302127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wup_rural_prop,0.75074,0.744306,0.7378720000000001,0.731438,0.725004,0.7185699999999999,0.711654,0.704738,0.6978219999999999,0.690906,0.68399,0.676646,0.669302,0.661958,0.654614,0.64727,0.639558,0.6318459999999999,0.624134,0.616422,0.6087100000000001,0.6004400000000001,0.5921700000000001,0.5839,0.57563,0.56736,0.558174,0.548988,0.539802,0.530616,0.5214300000000001,0.512702,0.503974,0.4952460000000001,0.486518,0.47779000000000005,0.473584,0.4693780000000001,0.46517200000000003,0.4609660000000001,0.45676000000000005,0.45258200000000004,0.448404,0.444226,0.440048,0.43587,0.43130599999999997,0.42674199999999995,0.42217800000000005,0.41761400000000004,0.41305000000000003,0.40846400000000005,0.40387800000000007,0.399292,0.394706,0.39012,0.38558400000000004,0.38104800000000005,0.37651199999999996,0.371976,0.36744,0.362866,0.35829199999999994,0.353718,0.3491439999999999,0.34456999999999993,0.3399979999999999,0.335426,0.330854,0.32628200000000007,0.32171000000000005,0.3171980000000001,0.312686,0.30817400000000006,0.303662,0.29915,0.29476,0.29037,0.28598,0.28159,0.2772,0.27301600000000004,0.26883199999999996,0.264648,0.2604639999999999,0.25627999999999995,0.2523099999999999,0.24834,0.24436999999999998,0.24040000000000006,0.23643000000000003,0.23268,0.22892999999999997,0.22518000000000005,0.22143000000000002,0.21767999999999998,0.214148,0.21061600000000003,0.20708399999999993,0.20355199999999996,0.20001999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
urban_pop_median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.524254,4.677426,4.830598,4.98377,5.136942,5.290114,5.4632222,5.636330399999999,5.8094386,5.9825468,6.155654999999999,6.346072599999999,6.536490199999999,6.7269078,6.9173254,7.107743,7.3116968,7.5156506,7.7196044,7.9235581999999996,8.127512,8.3435144,8.559516799999999,8.7755192,8.991521599999999,9.207524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
