,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
wpp_median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8179680000000004,0.8341880000000003,0.8504080000000002,0.8666280000000001,0.882848,0.89901,0.9151739999999999,0.931431,0.9478070000000001,0.964264,0.980776,0.9973500000000001,1.014062,1.03087,1.047763,1.0648510000000002,1.081999,1.099148,1.11642,1.133778,1.151149,1.168512,1.185959,1.2035440000000002,1.221072,1.238454,1.255711,1.2730380000000001,1.2903689999999999,1.307558,1.324686,1.34172,1.358539,1.375094,1.3915,1.407726,1.423737,1.4395740000000001,1.455278,1.470859,1.486298,1.501452,1.516378,1.53121,1.545863,1.560376,1.5747929999999999,1.589013,1.602955,1.616592,1.6301199999999998,1.643543,1.6567129999999999,1.669672,1.682479,1.695137,1.707465,1.719485,1.731166,1.742529,1.753679,1.7646089999999999,1.775397,1.7858889999999998,1.7959349999999998,1.8057059999999998,1.815169,1.8243099999999999,1.833228,1.841867,1.8501969999999999,1.85816,1.865734,1.873048,1.880189,1.886981,1.893461,1.899646,1.9054790000000001,1.9110340000000001
wpp_lower95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8328909999999998,0.8432239999999999,0.8535569999999999,0.8638899999999999,0.874223,0.883961,0.892557,0.900372,0.9090280000000001,0.917067,0.9247920000000001,0.932673,0.940387,0.9476870000000001,0.953437,0.95988,0.9667960000000001,0.9714020000000001,0.974111,0.977546,0.982735,0.987778,0.991527,0.9955170000000001,0.999853,1.004751,1.010866,1.015291,1.017679,1.02064,1.0243900000000001,1.02847,1.0304,1.02884,1.029029,1.029095,1.025709,1.023007,1.02417,1.0278969999999998,1.0292029999999999,1.027844,1.024703,1.0202609999999999,1.016838,1.014312,1.010797,1.008725,1.007509,1.003515,0.998866,0.993814,0.987376,0.9843500000000001,0.983583,0.984519,0.982459,0.975544,0.970275,0.9663339999999999,0.965979,0.967838,0.969444,0.9676440000000001,0.962675,0.952801,0.937645,0.9245639999999999,0.913987,0.907539,0.901639,0.895795,0.893321,0.890907,0.8837659999999999,0.873424,0.867546,0.864097,0.859957,0.856075
wpp_lower80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.827362,0.839848,0.852334,0.86482,0.877306,0.889289,0.900815,0.9120560000000001,0.923295,0.934418,0.944977,0.9556570000000001,0.966549,0.9770019999999999,0.98662,0.996793,1.007583,1.017647,1.02754,1.036857,1.046029,1.054467,1.062722,1.071132,1.0803420000000001,1.089981,1.098514,1.107372,1.116163,1.1235460000000002,1.1314849999999999,1.140067,1.146378,1.1521579999999998,1.1584100000000002,1.162606,1.16392,1.166941,1.173218,1.178934,1.1834,1.18733,1.1904400000000002,1.1956980000000001,1.2015,1.204176,1.205573,1.207434,1.20869,1.206894,1.2049210000000001,1.205104,1.204831,1.204667,1.2052360000000002,1.207208,1.206826,1.204547,1.203674,1.202524,1.2024480000000002,1.202462,1.205632,1.210367,1.209634,1.20397,1.195995,1.190107,1.1880899999999999,1.188782,1.189374,1.189177,1.1869090000000002,1.182506,1.174254,1.161522,1.154648,1.1526020000000001,1.150637,1.145654
wpp_upper80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8078420000000003,0.8280320000000002,0.8482220000000001,0.8684120000000001,0.888602,0.909215,0.9299930000000001,0.951192,0.973195,0.995764,1.018732,1.042154,1.0662349999999998,1.0908900000000001,1.115559,1.140932,1.166978,1.1918510000000002,1.2164780000000002,1.2419090000000002,1.267733,1.294543,1.322539,1.3502,1.377501,1.404817,1.433872,1.463959,1.492776,1.521948,1.553628,1.5852249999999999,1.6145440000000002,1.646519,1.6778119999999999,1.706675,1.736754,1.7668199999999998,1.799141,1.831565,1.864245,1.8966500000000002,1.927012,1.960716,1.994104,2.0238009999999997,2.054872,2.089245,2.1210479999999996,2.1515410000000004,2.186681,2.220131,2.251481,2.288952,2.3235189999999997,2.3561900000000002,2.3878939999999997,2.4181179999999998,2.456228,2.496819,2.533001,2.563831,2.600039,2.6413699999999998,2.674073,2.708495,2.7463939999999996,2.776602,2.809996,2.8505,2.891427,2.931146,2.9693539999999996,3.009055,3.043278,3.074333,3.1084479999999997,3.143193,3.178764,3.214925
wpp_upper95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8030160000000001,0.825119,0.847222,0.869325,0.891428,0.914311,0.937446,0.9612459999999999,0.985681,1.0101090000000001,1.03604,1.0642429999999998,1.0931520000000001,1.12207,1.151028,1.180409,1.2108489999999998,1.2427270000000001,1.274191,1.304,1.3372629999999999,1.371202,1.402518,1.436764,1.47474,1.513999,1.552635,1.59574,1.6373579999999999,1.674047,1.713288,1.7555370000000001,1.799389,1.841734,1.885588,1.928788,1.97055,2.0129200000000003,2.057881,2.106481,2.1505569999999996,2.1940560000000002,2.240785,2.286673,2.3334119999999996,2.377126,2.428807,2.483692,2.539484,2.5945500000000004,2.638723,2.689641,2.750219,2.809986,2.8715509999999997,2.938421,3.000267,3.052839,3.101415,3.159408,3.224181,3.289965,3.354832,3.426,3.499647,3.555355,3.615375,3.695988,3.777142,3.853361,3.929587,4.0111799999999995,4.10563,4.203075,4.282242,4.344994,4.409555,4.479946,4.549949,4.625640000000001
wup_urban_prop,0.06601,0.071108,0.076206,0.081304,0.086402,0.0915,0.098302,0.105104,0.111906,0.11870800000000001,0.12551,0.134364,0.143218,0.152072,0.160926,0.16978000000000001,0.174604,0.179428,0.18425200000000003,0.18907600000000002,0.19390000000000002,0.19759800000000002,0.201296,0.204994,0.208692,0.21239,0.216342,0.220294,0.224246,0.22819799999999998,0.23215,0.236658,0.24116600000000002,0.245674,0.250182,0.25469,0.25949,0.26429,0.26909,0.27389,0.27869,0.27955399999999997,0.280418,0.281282,0.282146,0.28301,0.282568,0.282126,0.281684,0.281242,0.2808,0.28039,0.27998,0.27957,0.27916,0.27875,0.27894599999999997,0.279142,0.279338,0.279534,0.27973,0.280724,0.28171799999999997,0.282712,0.283706,0.2847,0.28652,0.28834,0.29016000000000003,0.29198,0.2938,0.296484,0.299168,0.301852,0.304536,0.30722,0.310822,0.314424,0.31802600000000003,0.321628,0.32523,0.329286,0.333342,0.33739800000000003,0.34145400000000004,0.34551000000000004,0.34968000000000005,0.35385000000000005,0.35802,0.36219,0.36636,0.370634,0.374908,0.379182,0.383456,0.38773,0.392092,0.39645400000000003,0.400816,0.40517800000000004,0.40954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wup_urban_pop,0.010526,0.0116398,0.0127536,0.013867399999999998,0.014981199999999998,0.016094999999999998,0.017673599999999998,0.019252199999999997,0.020830799999999997,0.0224094,0.023988,0.026233799999999998,0.0284796,0.0307254,0.0329712,0.035217,0.037094999999999996,0.038973,0.040851,0.042729,0.044607,0.046615000000000004,0.048623,0.050631,0.052639000000000005,0.054647,0.0580102,0.0613734,0.0647366,0.0680998,0.071463,0.0752704,0.0790778,0.08288519999999999,0.0866926,0.0905,0.0953418,0.1001836,0.1050254,0.1098672,0.114709,0.1186758,0.1226426,0.1266094,0.1305762,0.134543,0.138093,0.141643,0.14519300000000002,0.14874300000000001,0.152293,0.15593300000000002,0.15957300000000002,0.163213,0.166853,0.170493,0.1749794,0.1794658,0.1839522,0.1884386,0.192925,0.1986068,0.20428860000000001,0.2099704,0.21565220000000002,0.221334,0.2281646,0.23499520000000002,0.2418258,0.24865640000000003,0.255487,0.2636586,0.2718302,0.2800018,0.2881734,0.296345,0.30614020000000003,0.31593540000000003,0.32573060000000004,0.33552580000000004,0.34532100000000004,0.35648820000000003,0.3676554,0.3788226,0.3899898,0.401157,0.4133906,0.4256242,0.43785779999999996,0.4500914,0.462325,0.475562,0.488799,0.502036,0.515273,0.52851,0.5426162,0.5567224000000001,0.5708286,0.5849348000000001,0.599041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wup_rural_pop,0.14893299999999998,0.151108,0.153283,0.15545799999999999,0.157633,0.159808,0.161273,0.162738,0.16420300000000002,0.165668,0.167133,0.16814780000000001,0.1691626,0.1701774,0.1711922,0.172207,0.174855,0.177503,0.180151,0.182799,0.185447,0.1888862,0.1923254,0.19576459999999998,0.1992038,0.202643,0.2093876,0.2161322,0.2228768,0.2296214,0.23636600000000002,0.2420602,0.2477544,0.2534486,0.2591428,0.264837,0.2712466,0.2776562,0.2840658,0.2904754,0.296885,0.3056782,0.3144714,0.3232646,0.3320578,0.340851,0.3506936,0.36053620000000003,0.3703788,0.38022140000000004,0.390064,0.400278,0.410492,0.420706,0.43092,0.441134,0.4522606,0.4633872,0.47451380000000004,0.4856404,0.496767,0.5086316000000001,0.5204962000000001,0.5323608000000001,0.5442254000000001,0.5560900000000001,0.5676948,0.5792996,0.5909044000000001,0.6025092000000001,0.614114,0.6249404000000001,0.6357668000000001,0.6465932,0.6574196,0.668246,0.6778876,0.6875292,0.6971708,0.7068123999999999,0.7164539999999999,0.725146,0.733838,0.7425299999999999,0.751222,0.759914,0.7678545999999999,0.7757951999999999,0.7837358,0.7916764,0.7996169999999999,0.8066112,0.8136053999999999,0.8205996,0.8275937999999999,0.834588,0.8404092,0.8462303999999999,0.8520516,0.8578728,0.863694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wup_rural_prop,0.93399,0.928892,0.923794,0.918696,0.913598,0.9085,0.901698,0.894896,0.8880939999999999,0.881292,0.87449,0.865636,0.8567819999999999,0.847928,0.839074,0.83022,0.825396,0.820572,0.8157479999999999,0.810924,0.8061,0.802402,0.798704,0.795006,0.791308,0.78761,0.783658,0.779706,0.775754,0.771802,0.76785,0.763342,0.758834,0.754326,0.749818,0.7453099999999999,0.74051,0.73571,0.73091,0.72611,0.72131,0.720446,0.7195819999999999,0.718718,0.717854,0.71699,0.7174320000000001,0.717874,0.718316,0.718758,0.7192000000000001,0.7196100000000001,0.72002,0.72043,0.7208399999999999,0.72125,0.7210540000000001,0.720858,0.720662,0.720466,0.72027,0.719276,0.7182820000000001,0.7172879999999999,0.716294,0.7153,0.71348,0.71166,0.70984,0.70802,0.7061999999999999,0.703516,0.700832,0.698148,0.6954640000000001,0.69278,0.6891780000000001,0.685576,0.681974,0.678372,0.67477,0.670714,0.666658,0.6626019999999999,0.658546,0.65449,0.65032,0.64615,0.64198,0.63781,0.63364,0.629366,0.625092,0.620818,0.616544,0.61227,0.607908,0.6035459999999999,0.5991839999999999,0.594822,0.59046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
urban_pop_median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.296345,0.30614020000000003,0.31593540000000003,0.32573060000000004,0.33552580000000004,0.34532100000000004,0.35648820000000003,0.3676554,0.3788226,0.3899898,0.401157,0.4133906,0.4256242,0.43785779999999996,0.4500914,0.462325,0.475562,0.488799,0.502036,0.515273,0.52851,0.5426162,0.5567224000000001,0.5708286,0.5849348000000001,0.599041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
