,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
wpp_median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5175329999999996,0.5199809999999997,0.5224289999999998,0.5248769999999999,0.527325,0.52963,0.531872,0.534115,0.5363479999999999,0.538614,0.540764,0.5427949999999999,0.5447580000000001,0.546652,0.548591,0.550474,0.5522870000000001,0.554082,0.555797,0.557374,0.558818,0.560137,0.5613469999999999,0.5624640000000001,0.563476,0.564354,0.565021,0.565507,0.565898,0.566134,0.5662010000000001,0.566144,0.5659109999999999,0.565404,0.564662,0.563784,0.562744,0.56151,0.5600539999999999,0.558428,0.5566599999999999,0.5546810000000001,0.552571,0.550404,0.548114,0.545628,0.5429400000000001,0.540164,0.537327,0.5344059999999999,0.531509,0.528562,0.525478,0.5222899999999999,0.5189750000000001,0.515553,0.512082,0.508554,0.504874,0.501052,0.497147,0.493164,0.48917200000000005,0.485114,0.480956,0.476784,0.47259500000000004,0.468371,0.464068,0.459735,0.455444,0.45116,0.446839,0.44249900000000003,0.438182,0.433905,0.429649,0.425417,0.421186,0.41694
wpp_lower95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5272899999999999,0.525905,0.52452,0.523135,0.52175,0.519651,0.5170410000000001,0.513966,0.510311,0.506048,0.501288,0.496229,0.49181400000000003,0.48633800000000005,0.47968500000000003,0.47359500000000004,0.467478,0.46138,0.454202,0.44679800000000003,0.440176,0.433107,0.426289,0.419702,0.41370999999999997,0.408392,0.402971,0.39694799999999997,0.389197,0.380742,0.37270299999999995,0.365876,0.358285,0.34957299999999997,0.34222,0.333992,0.326637,0.321075,0.31344900000000003,0.305409,0.298388,0.290547,0.282492,0.273453,0.26575299999999996,0.260202,0.253994,0.247084,0.239726,0.23291399999999998,0.224661,0.21665199999999998,0.212181,0.20915799999999998,0.205714,0.199776,0.193714,0.18854300000000002,0.182972,0.17843199999999998,0.173201,0.167942,0.163466,0.15973400000000001,0.155419,0.150508,0.14519900000000002,0.140121,0.136324,0.132313,0.128334,0.123871,0.119119,0.115271,0.111758,0.107045,0.102691,0.099793,0.097078,0.09467199999999999
wpp_lower80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.523663,0.523686,0.523709,0.523732,0.523755,0.523285,0.522475,0.52116,0.519205,0.51711,0.515261,0.5133690000000001,0.511036,0.508445,0.505598,0.502321,0.49908199999999997,0.496033,0.49280799999999997,0.488396,0.48310000000000003,0.47800099999999995,0.474115,0.47069099999999997,0.466043,0.461072,0.45611,0.452262,0.448084,0.44278300000000004,0.437201,0.431498,0.426879,0.42194099999999995,0.416392,0.410622,0.404712,0.398363,0.391243,0.384687,0.378613,0.37326,0.36843400000000004,0.36182,0.35547199999999995,0.35108999999999996,0.345922,0.339414,0.33371,0.327793,0.319987,0.311993,0.30468599999999996,0.29833499999999996,0.29284899999999997,0.287296,0.28181799999999996,0.27570999999999996,0.268438,0.26370299999999997,0.259567,0.252527,0.245606,0.240292,0.234,0.228187,0.222957,0.216944,0.212435,0.207401,0.201617,0.195041,0.18838300000000002,0.182846,0.177437,0.171396,0.165643,0.160966,0.156379,0.152634
wpp_upper80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5115580000000002,0.5163590000000001,0.5211600000000001,0.525961,0.530762,0.535723,0.541239,0.547381,0.553624,0.560121,0.56689,0.574076,0.5813780000000001,0.588463,0.5957530000000001,0.603432,0.611024,0.6185700000000001,0.626818,0.634818,0.643433,0.652389,0.6604800000000001,0.6680470000000001,0.6768379999999999,0.6875030000000001,0.69609,0.703448,0.71184,0.72045,0.7300570000000001,0.739712,0.7487140000000001,0.757786,0.766967,0.774988,0.783729,0.792264,0.800016,0.806643,0.812493,0.821298,0.82924,0.8354969999999999,0.8440599999999999,0.8532219999999999,0.859124,0.864423,0.870396,0.8763920000000001,0.8834740000000001,0.890853,0.897318,0.9032279999999999,0.91135,0.922117,0.932049,0.937039,0.943245,0.953605,0.962186,0.971562,0.981401,0.988381,0.9929199999999999,0.99583,1.001979,1.011519,1.021384,1.028256,1.033186,1.03722,1.04075,1.048965,1.0576949999999998,1.060385,1.063672,1.073074,1.084272,1.0898299999999999
wpp_upper95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5083150000000001,0.5143840000000001,0.520453,0.526522,0.532591,0.539254,0.546706,0.554717,0.563061,0.572271,0.581551,0.590905,0.60094,0.6117039999999999,0.622853,0.634131,0.645045,0.6577970000000001,0.672676,0.686438,0.699367,0.714244,0.7309450000000001,0.746698,0.760648,0.7753289999999999,0.7918869999999999,0.808706,0.822757,0.8386359999999999,0.856151,0.871765,0.889633,0.9078809999999999,0.928654,0.948121,0.964034,0.9814769999999999,1.002722,1.028412,1.0509220000000001,1.067059,1.087367,1.107421,1.1252719999999998,1.145422,1.172306,1.206719,1.234469,1.2563060000000001,1.275167,1.293711,1.310374,1.322623,1.338271,1.359262,1.395205,1.434431,1.460127,1.48999,1.520403,1.544548,1.560405,1.575186,1.5994249999999999,1.628181,1.66538,1.699354,1.7290519999999998,1.764307,1.798538,1.837732,1.87818,1.890488,1.897528,1.9109909999999999,1.923479,1.948251,1.976342,2.024706
wup_urban_prop,0.142,0.144398,0.14679599999999998,0.149194,0.15159199999999998,0.15399,0.15655,0.15911,0.16166999999999998,0.16423,0.16679,0.169578,0.172366,0.175154,0.177942,0.18073,0.183702,0.186674,0.189646,0.192618,0.19559,0.19931000000000001,0.20303000000000002,0.20675,0.21047,0.21419,0.218388,0.222586,0.22678399999999999,0.230982,0.23518,0.251144,0.267108,0.283072,0.29903599999999997,0.315,0.34024,0.36547999999999997,0.39071999999999996,0.41596,0.4412,0.450496,0.459792,0.469088,0.478384,0.48768,0.497014,0.506348,0.515682,0.525016,0.53435,0.542858,0.551366,0.559874,0.568382,0.57689,0.585154,0.593418,0.6016819999999999,0.609946,0.6182099999999999,0.6231679999999999,0.628126,0.633084,0.638042,0.643,0.6477040000000001,0.652408,0.657112,0.661816,0.66652,0.670886,0.675252,0.6796179999999999,0.6839839999999999,0.6883499999999999,0.6923819999999999,0.696414,0.7004459999999999,0.7044779999999999,0.70851,0.712214,0.715918,0.719622,0.723326,0.7270300000000001,0.7304080000000001,0.733786,0.7371639999999999,0.7405419999999999,0.7439199999999999,0.7470539999999999,0.750188,0.7533219999999999,0.756456,0.75959,0.76259,0.76559,0.76859,0.77159,0.77459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wup_urban_pop,0.025285,0.026307999999999998,0.027330999999999998,0.028354,0.029377,0.0304,0.031068600000000002,0.0317372,0.0324058,0.033074400000000004,0.033743,0.035359600000000005,0.0369762,0.038592800000000003,0.0402094,0.041826,0.0440306,0.0462352,0.0484398,0.05064439999999999,0.05284899999999999,0.053949,0.055048999999999994,0.056149,0.057248999999999994,0.058349,0.0601626,0.0619762,0.06378980000000001,0.0656034,0.067417,0.073783,0.080149,0.08651500000000001,0.092881,0.099247,0.10956540000000001,0.1198838,0.1302022,0.1405206,0.150839,0.158625,0.166411,0.174197,0.181983,0.189769,0.1983122,0.2068554,0.21539860000000002,0.22394180000000002,0.23248500000000002,0.24074280000000003,0.24900060000000002,0.2572584,0.26551620000000004,0.273774,0.2811346,0.2884952,0.2958558,0.3032164,0.310577,0.3169942,0.3234114,0.32982859999999997,0.3362458,0.342663,0.34976,0.35685700000000004,0.363954,0.371051,0.37814800000000004,0.38537600000000005,0.392604,0.399832,0.40706,0.414288,0.421422,0.428556,0.43569,0.442824,0.449958,0.456729,0.4635,0.470271,0.477042,0.483813,0.490041,0.496269,0.502497,0.508725,0.514953,0.5205964,0.5262397999999999,0.5318832,0.5375266,0.5431699999999999,0.5482769999999999,0.553384,0.558491,0.563598,0.568705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wup_rural_pop,0.152781,0.155629,0.15847699999999998,0.161325,0.16417299999999999,0.16702099999999998,0.16733019999999998,0.1676394,0.16794859999999998,0.16825779999999999,0.168567,0.17277399999999998,0.176981,0.181188,0.185395,0.189602,0.1951514,0.20070079999999998,0.2062502,0.21179959999999998,0.217349,0.216694,0.216039,0.215384,0.214729,0.21407400000000001,0.21510720000000003,0.2161404,0.21717360000000002,0.2182068,0.21924000000000002,0.2185564,0.2178728,0.21718920000000003,0.21650560000000002,0.215822,0.2108664,0.2059108,0.20095520000000003,0.19599960000000002,0.19104400000000002,0.1927068,0.1943696,0.19603240000000002,0.19769520000000002,0.199358,0.2000052,0.2006524,0.2012996,0.2019468,0.202594,0.2022338,0.2018736,0.2015134,0.2011532,0.200793,0.1989958,0.1971986,0.19540139999999998,0.19360419999999998,0.19180699999999998,0.1914956,0.1911842,0.19087279999999998,0.1905614,0.19025,0.19004,0.18983,0.18961999999999998,0.18941,0.18919999999999998,0.1888732,0.1885464,0.1882196,0.1878928,0.187566,0.1870756,0.1865852,0.1860948,0.1856044,0.185114,0.184422,0.18373,0.183038,0.182346,0.181654,0.18077500000000002,0.179896,0.179017,0.178138,0.177259,0.1761896,0.1751202,0.1740508,0.1729814,0.171912,0.1706284,0.16934480000000002,0.1680612,0.1667776,0.165494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wup_rural_prop,0.858,0.855602,0.8532040000000001,0.850806,0.848408,0.84601,0.84345,0.84089,0.83833,0.83577,0.83321,0.830422,0.827634,0.824846,0.822058,0.8192699999999999,0.816298,0.813326,0.810354,0.807382,0.80441,0.80069,0.79697,0.79325,0.7895300000000001,0.78581,0.781612,0.777414,0.773216,0.769018,0.76482,0.748856,0.732892,0.716928,0.700964,0.685,0.65976,0.63452,0.60928,0.58404,0.5588,0.549504,0.540208,0.530912,0.5216160000000001,0.51232,0.5029859999999999,0.493652,0.484318,0.47498399999999996,0.46565,0.45714200000000005,0.448634,0.440126,0.43161799999999995,0.42311,0.41484600000000005,0.406582,0.39831800000000006,0.390054,0.3817900000000001,0.37683200000000006,0.37187400000000004,0.366916,0.361958,0.357,0.35229599999999994,0.347592,0.34288799999999997,0.33818400000000004,0.33348,0.329114,0.32474800000000004,0.32038200000000006,0.3160160000000001,0.3116500000000001,0.30761800000000006,0.303586,0.2995540000000001,0.29552200000000006,0.29149,0.287786,0.28408199999999995,0.280378,0.276674,0.27296999999999993,0.26959199999999994,0.26621399999999995,0.26283600000000007,0.2594580000000001,0.2560800000000001,0.2529460000000001,0.24981200000000003,0.24667800000000006,0.24354399999999998,0.24041,0.23741,0.23441,0.23141,0.22841,0.22541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
urban_pop_median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.414288,0.421422,0.428556,0.43569,0.442824,0.449958,0.456729,0.4635,0.470271,0.477042,0.483813,0.490041,0.496269,0.502497,0.508725,0.514953,0.5205964,0.5262397999999999,0.5318832,0.5375266,0.5431699999999999,0.5482769999999999,0.553384,0.558491,0.563598,0.568705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
