,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
wpp_median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3214029999999997,3.392803,3.464203,3.535603,3.607003,3.6826689999999997,3.7603739999999997,3.840143,3.920472,4.0026720000000005,4.085046,4.166514,4.249505,4.334729,4.420923,4.509757,4.601934,4.692344,4.780475999999999,4.868676000000001,4.9544880000000004,5.039301,5.124265,5.20787,5.292768,5.375967999999999,5.456501,5.537542,5.617356,5.6960619999999995,5.775739,5.858065,5.941185000000001,6.018816,6.095238999999999,6.170191,6.243952,6.321629,6.39981,6.478361,6.556896,6.632337000000001,6.709274000000001,6.784082000000001,6.852234999999999,6.922396,6.992724,7.061501,7.129182,7.194167,7.257209,7.318844,7.381154,7.439757999999999,7.497515,7.555651,7.610587000000001,7.66475,7.7161930000000005,7.768724,7.816263,7.858174,7.901725000000001,7.946506,7.9927399999999995,8.036914,8.076333,8.112912999999999,8.148192,8.182352,8.214604999999999,8.247064,8.277312,8.302904,8.328759,8.352718000000001,8.374835,8.397345999999999,8.420966,8.444382
wpp_lower95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.634739999999999,3.5727409999999993,3.5107419999999996,3.448743,3.386744,3.378727,3.3791990000000003,3.393295,3.399179,3.3930599999999997,3.415039,3.4420520000000003,3.4613850000000004,3.496336,3.525759,3.546635,3.590427,3.653023,3.689442,3.725152,3.772319,3.797607,3.807328,3.809243,3.821905,3.829203,3.851209,3.888983,3.905663,3.917005,3.9526260000000004,4.007119,4.02032,3.9816260000000003,3.937905,3.918358,3.939171,3.974571,3.9720050000000002,3.962571,3.977208,4.009242,4.040851,4.03732,4.026781,4.0345949999999995,4.05512,4.070956,4.068676,4.079008,4.094572,4.098872999999999,4.106890999999999,4.105264,4.1111189999999995,4.13706,4.14318,4.102693,4.061997,4.044831,4.05854,4.0557,4.016573,4.000339,4.0219380000000005,4.042068,4.018866,3.967271,3.937462,3.924908,3.931333,3.929018,3.89792,3.8610300000000004,3.8264720000000003,3.803159,3.768928,3.742151,3.70913,3.6669940000000003
wpp_lower80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5255920000000005,3.5098390000000004,3.4940860000000002,3.478333,3.46258,3.481667,3.513507,3.554,3.586761,3.623388,3.660972,3.699998,3.756813,3.8135770000000004,3.858854,3.906956,3.961557,4.011686,4.057145,4.102406,4.134411,4.15995,4.194174,4.233093,4.265849,4.3095609999999995,4.354857,4.387335,4.41972,4.461162,4.521146,4.561219,4.570685,4.5819600000000005,4.6032969999999995,4.621816,4.651491,4.668781,4.679732,4.696484000000001,4.704325,4.751242,4.807128,4.814890999999999,4.820825,4.842969,4.874918,4.89358,4.9094359999999995,4.954458,4.981769,4.987569000000001,5.0042979999999995,5.024326,5.048217999999999,5.087122,5.125622,5.121158,5.114686,5.128687,5.139959,5.153747,5.12704,5.095515000000001,5.095662,5.099467,5.098587,5.065037,5.023008,4.993265,4.9730240000000006,4.954274000000001,4.941167,4.9535290000000005,4.948978,4.937558,4.927817,4.907167,4.9082669999999995,4.892309
wpp_upper80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.131439,3.284045,3.436651,3.589257,3.741863,3.872566,4.010517,4.147048,4.276241,4.399131000000001,4.532417000000001,4.675566,4.813911,4.962406,5.108915,5.252288999999999,5.396507,5.534586,5.6698900000000005,5.830902,5.992899,6.130844,6.268285,6.405209,6.529122,6.655178,6.791291,6.942107,7.077948999999999,7.194834,7.3578019999999995,7.540152,7.716424,7.8847309999999995,8.037957,8.164951,8.299816,8.501165,8.694457,8.864647999999999,9.048701,9.220524,9.399702999999999,9.585784,9.734433000000001,9.868319,10.057739,10.231039,10.360468999999998,10.526828,10.728939,10.916606,11.054315,11.233526,11.461856,11.650909,11.839303,11.976537,12.090892,12.294066,12.501653000000001,12.648243,12.761263000000001,12.901758,13.096988999999999,13.249893,13.350253,13.49664,13.671226,13.819970999999999,13.978493,14.173435,14.354897000000001,14.488796,14.614102,14.764952,14.890562,15.036512,15.226413,15.409647999999999
wpp_upper95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.021797,3.221154,3.420511,3.619868,3.819225,3.987326,4.151256999999999,4.312531,4.480655,4.655014,4.826547,5.000845999999999,5.174318,5.353598,5.544421000000001,5.722109000000001,5.896611,6.071176,6.231557,6.401022,6.590194,6.766551000000001,6.962045,7.146008,7.2660100000000005,7.416944,7.599924,7.7923789999999995,7.995473,8.154341,8.372392,8.613772,8.791556,9.016408,9.278559999999999,9.455191999999998,9.62571,9.854344,10.155033,10.422238,10.596037,10.81434,11.070083,11.326816,11.60882,11.897147,12.135273,12.328873999999999,12.524674000000001,12.777595999999999,13.138471,13.445532,13.719285,13.992342,14.296147000000001,14.683302,15.008205,15.19258,15.472796,15.8411,16.121143,16.288476,16.361138999999998,16.565967,16.964091,17.263935,17.640843,18.200504000000002,18.467477,18.562776000000003,18.752114000000002,19.158068,19.431580999999998,19.721208999999998,20.18743,20.5365,21.1132,21.69534,22.037224,22.293349
wup_urban_prop,0.071,0.073502,0.076004,0.078506,0.08100800000000001,0.08351000000000001,0.08640600000000001,0.089302,0.092198,0.095094,0.09799,0.101324,0.104658,0.10799199999999999,0.111326,0.11466,0.117084,0.119508,0.121932,0.12435600000000001,0.12678,0.128446,0.130112,0.13177799999999998,0.13344399999999998,0.13510999999999998,0.136868,0.138626,0.14038399999999998,0.142142,0.1439,0.146634,0.149368,0.152102,0.154836,0.15757,0.16386599999999998,0.170162,0.176458,0.18275400000000003,0.18905000000000002,0.19626800000000003,0.20348600000000003,0.210704,0.217922,0.22514,0.233286,0.241432,0.249578,0.257724,0.26587,0.27489399999999997,0.283918,0.292942,0.301966,0.31099,0.319142,0.327294,0.33544599999999997,0.34359799999999996,0.35174999999999995,0.35781199999999996,0.363874,0.369936,0.375998,0.38206,0.388342,0.39462400000000003,0.400906,0.407188,0.41347,0.41989,0.42631,0.43273,0.43915000000000004,0.44557,0.45202800000000004,0.458486,0.464944,0.471402,0.47786,0.484216,0.490572,0.496928,0.503284,0.50964,0.515824,0.5220079999999999,0.528192,0.534376,0.5405599999999999,0.5466859999999999,0.552812,0.5589379999999999,0.565064,0.57119,0.57721,0.58323,0.5892499999999999,0.59527,0.60129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wup_urban_pop,0.081093,0.085738,0.09038299999999999,0.095028,0.099673,0.104318,0.11084319999999999,0.11736839999999998,0.12389359999999999,0.13041879999999997,0.13694399999999998,0.14599979999999999,0.1550556,0.16411140000000002,0.17316720000000002,0.18222300000000002,0.191722,0.201221,0.21072,0.220219,0.22971799999999998,0.23987299999999998,0.250028,0.260183,0.27033799999999997,0.280493,0.2930522,0.3056114,0.3181706,0.3307298,0.343289,0.3613944,0.3794998,0.3976052,0.4157106,0.433816,0.46476799999999996,0.49572,0.526672,0.557624,0.588576,0.610005,0.631434,0.652863,0.674292,0.695721,0.7369876000000001,0.7782542,0.8195208,0.8607874,0.902054,0.9685078,1.0349616,1.1014154,1.1678692000000002,1.234323,1.2963554,1.3583878,1.4204202,1.4824526,1.5444849999999999,1.6059582,1.6674314,1.7289046000000001,1.7903778000000001,1.8518510000000001,1.9306884000000002,2.0095258,2.0883632,2.1672006,2.246038,2.3365808,2.4271236,2.5176664,2.6082091999999997,2.698752,2.801028,2.903304,3.00558,3.107856,3.210132,3.3244918,3.4388516,3.5532114000000004,3.6675712000000003,3.781931,3.9069282000000003,4.0319254,4.1569226,4.2819198,4.406917,4.5408804,4.6748438,4.8088072,4.9427706,5.076734,5.2166604,5.3565868000000005,5.4965132,5.6364396,5.776366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wup_rural_pop,1.061055,1.077819,1.094583,1.111347,1.128111,1.144875,1.1680094,1.1911438,1.2142782,1.2374126,1.260547,1.2898288,1.3191106,1.3483924,1.3776742,1.4069559999999999,1.4419967999999999,1.4770375999999998,1.5120784,1.5471192,1.58216,1.6248224,1.6674848,1.7101472,1.7528096,1.795472,1.8448278,1.8941835999999999,1.9435394,1.9928951999999998,2.042251,2.0976678,2.1530846,2.2085014,2.2639182,2.319335,2.360415,2.401495,2.442575,2.483655,2.524735,2.4986756000000003,2.4726162,2.4465568,2.4204974,2.394438,2.4136998,2.4329616,2.4522234,2.4714852,2.490747,2.5395344,2.5883218,2.6371092,2.6858966,2.734684,2.7570182,2.7793524,2.8016866,2.8240208,2.846355,2.876109,2.905863,2.9356169999999997,2.9653709999999998,2.995125,3.0333356,3.0715462,3.1097568,3.1479673999999997,3.186178,3.220568,3.2549580000000002,3.289348,3.323738,3.3581280000000002,3.3880134,3.4178988,3.4477842,3.4776696,3.507555,3.5338188,3.5600826,3.5863464,3.6126101999999998,3.638874,3.6602238,3.6815736,3.7029234,3.7242732000000003,3.745623,3.7587492,3.7718754,3.7850016,3.7981278,3.811254,3.8150627999999998,3.8188716,3.8226804,3.8264892,3.830298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wup_rural_prop,0.929,0.926498,0.923996,0.921494,0.918992,0.91649,0.913594,0.910698,0.907802,0.904906,0.90201,0.898676,0.895342,0.892008,0.888674,0.88534,0.882916,0.880492,0.878068,0.875644,0.87322,0.8715539999999999,0.869888,0.868222,0.866556,0.86489,0.863132,0.861374,0.859616,0.857858,0.8561,0.8533660000000001,0.850632,0.847898,0.845164,0.84243,0.836134,0.829838,0.823542,0.8172459999999999,0.81095,0.803732,0.7965139999999999,0.789296,0.782078,0.77486,0.766714,0.758568,0.750422,0.7422759999999999,0.73413,0.725106,0.716082,0.707058,0.698034,0.68901,0.680858,0.672706,0.6645540000000001,0.656402,0.64825,0.642188,0.636126,0.630064,0.624002,0.6179399999999999,0.611658,0.6053759999999999,0.599094,0.592812,0.58653,0.58011,0.57369,0.5672699999999999,0.56085,0.55443,0.5479719999999999,0.541514,0.535056,0.528598,0.52214,0.515784,0.509428,0.503072,0.49671600000000005,0.49036,0.48417600000000005,0.4779920000000001,0.471808,0.46562400000000004,0.45944000000000007,0.4533140000000001,0.44718800000000003,0.44106200000000007,0.434936,0.42881,0.42279,0.41677,0.41075000000000006,0.40473000000000003,0.39871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
urban_pop_median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.698752,2.801028,2.903304,3.00558,3.107856,3.210132,3.3244918,3.4388516,3.5532114000000004,3.6675712000000003,3.781931,3.9069282000000003,4.0319254,4.1569226,4.2819198,4.406917,4.5408804,4.6748438,4.8088072,4.9427706,5.076734,5.2166604,5.3565868000000005,5.4965132,5.6364396,5.776366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
