,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
wpp_median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.23278800000001,123.379924,126.52705999999999,129.719719,132.93855499999998,136.180141,139.43974400000002,142.715864,146.003944,149.296378,152.585021,155.874633,159.160258,162.438815,165.715492,168.98641,172.252604,175.514171,178.779627,182.052579,185.33269399999998,188.61357500000003,191.902757,195.19669699999997,198.485649,201.76487,205.033876,208.29723199999998,211.557468,214.812309,218.046158,221.266154,224.472476,227.653409,230.800275,233.90333900000002,236.96788800000002,240.002932,242.99075200000001,245.91953400000003,248.807501,251.667029,254.48318700000002,257.248325,259.964974,262.6357,265.25931099999997,267.82627399999996,270.350005,272.841874,275.289974,277.68263,280.013831,282.290972,284.52571,286.715684,288.85213,290.936911,292.975227,294.960456,296.89162,298.777308,300.615316,302.399144,304.126907,305.803942,307.425854,308.98918199999997,310.50044799999995,311.95814399999995,313.36363400000005,314.729463,316.049671,317.313085,318.519616,319.66649,320.760088,321.805378,322.799552,323.74159999999995
wpp_lower95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.568759,123.086747,125.604735,128.097265,130.542914,133.008984,135.408366,137.714562,139.99467,142.23395499999998,144.455534,146.632486,148.744012,150.818554,152.98044399999998,155.100831,157.131216,159.16486600000002,161.29049600000002,163.451872,165.326574,166.949836,168.614971,170.40074299999998,172.196029,174.093587,175.983111,177.691376,179.336705,181.014647,182.621558,184.09595499999998,185.617381,187.034951,188.349017,189.645206,190.704174,191.788319,193.019666,193.914712,194.441024,195.04521599999998,195.869818,196.805036,197.377838,197.84176300000001,198.475117,198.77533499999998,198.85027,199.00964100000002,199.346755,199.677042,199.867431,199.935273,199.828432,199.676981,199.35242399999998,198.865677,198.91822,199.11001199999998,198.992763,198.811555,198.449357,198.11881400000001,197.978941,197.68389000000002,196.92191200000002,196.08517999999998,195.866255,195.266606,194.165965,193.31370800000002,192.63582300000002,191.83239,190.69897500000002,189.52950399999997,188.216119,187.260167,186.80019399999998,186.21043
wpp_lower80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.439198,123.185579,125.93196,128.686002,131.39170499999997,134.08768700000002,136.776243,139.395728,142.006627,144.658275,147.292168,149.926636,152.533199,154.99897,157.489305,159.994229,162.440597,164.912122,167.405612,169.825957,172.198895,174.525422,176.818521,179.233525,181.57815100000002,183.844267,186.02891200000002,188.02942199999998,189.942199,191.975909,193.945084,195.82507999999999,197.80444,199.684835,201.47787599999998,203.22201199999998,204.85445800000002,206.437002,208.05494399999998,209.475393,210.732081,212.112996,213.539059,214.772898,215.815481,217.068449,218.31076000000002,219.261534,220.348637,221.44814000000002,222.26654399999998,222.828562,223.41727,224.041427,224.64404000000002,225.431924,226.043719,226.234855,226.635163,227.33903400000003,227.870863,228.278828,228.509718,228.65131599999998,228.864223,228.990523,229.137584,229.152009,229.127115,229.07809400000002,228.919164,228.76328,228.302686,227.905113,227.462959,226.827693,226.051952,225.59532199999998,225.62543,225.700302
wpp_upper80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.02598600000002,123.57285300000001,127.11972,130.745179,134.417043,138.141655,141.91061,145.719813,149.57783799999999,153.45105999999998,157.358687,161.308041,165.243859,169.14352499999998,173.100076,177.168364,181.261646,185.370229,189.52331,193.659809,197.85676199999997,202.053408,206.30303,210.671502,215.05246,219.62802100000002,224.224695,228.766006,233.350592,238.086867,242.830326,247.408893,252.13383100000001,256.929604,261.695337,266.426167,271.017627,275.89455200000003,281.02368800000005,285.843817,290.55607299999997,295.349996,300.192848,304.92888,309.484852,314.233978,319.029007,323.734859,328.457692,333.476292,338.520481,343.121907,347.707447,352.327509,356.85069799999997,361.2753,365.660148,370.38706099999996,375.296295,380.269907,384.87169900000004,389.086267,393.365572,397.894273,402.881402,407.556198,412.105567,416.763671,421.40901,426.05223700000005,430.18304700000004,433.970819,437.647315,441.097474,444.50541499999997,448.346007,452.537727,457.111544,461.998233,466.527872
wpp_upper95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.91222600000002,123.669391,127.42655599999999,131.285503,135.177366,139.135369,143.165492,147.251164,151.46631,155.70420199999998,159.979153,164.385112,168.751835,173.163439,177.767613,182.448859,187.134396,191.73051999999998,196.252256,200.84082899999999,205.475277,210.047082,214.772609,219.651453,224.651372,229.763197,235.08695,240.38628400000002,245.3385,250.544074,256.212667,262.05158,268.145754,274.290609,280.13468800000004,285.831325,291.219169,296.959616,303.419133,309.69303499999995,315.50838,321.31633,327.334839,333.605354,339.917921,346.37134299999997,352.867884,359.214471,365.785792,372.02383399999997,378.584299,385.683745,392.156443,398.71511200000003,405.707967,412.49046899999996,418.86413400000004,425.383511,432.354015,439.476295,446.491222,453.148572,459.63255499999997,466.556561,473.663687,480.578466,487.740677,495.699949,504.121548,511.940452,519.811603,526.921299,533.342827,540.128468,547.658828,556.0422169999999,564.038581,571.64313,579.042631,586.1299769999999
wup_urban_prop,0.046,0.047688,0.049376,0.051064,0.052752,0.05444,0.056418,0.058396,0.060374,0.062352,0.06433,0.066638,0.068946,0.071254,0.07356199999999999,0.07586999999999999,0.077872,0.079874,0.08187599999999999,0.083878,0.08588,0.087624,0.089368,0.091112,0.09285600000000001,0.0946,0.0965,0.0984,0.1003,0.1022,0.1041,0.106186,0.108272,0.110358,0.11244399999999999,0.11452999999999999,0.116866,0.119202,0.12153800000000001,0.12387400000000001,0.12621000000000002,0.12862200000000001,0.131034,0.133446,0.135858,0.13827,0.140096,0.141922,0.14374800000000001,0.145574,0.1474,0.14932,0.15124,0.15316,0.15508,0.157,0.160238,0.16347599999999998,0.166714,0.169952,0.17318999999999998,0.17740799999999998,0.18162599999999998,0.185844,0.190062,0.19428,0.19881400000000002,0.203348,0.207882,0.212416,0.21695,0.221906,0.22686199999999998,0.231818,0.23677399999999998,0.24172999999999997,0.24709599999999998,0.25246199999999996,0.257828,0.26319400000000004,0.26856,0.27429600000000004,0.280032,0.285768,0.291504,0.29724,0.303272,0.309304,0.315336,0.32136800000000004,0.3274,0.3336,0.33980000000000005,0.34600000000000003,0.35220000000000007,0.35840000000000005,0.36482200000000004,0.371244,0.37766600000000006,0.38408800000000004,0.39051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wup_urban_pop,0.83389,0.8843112000000001,0.9347324000000001,0.9851536000000001,1.0355748000000002,1.0859960000000002,1.1538160000000002,1.2216360000000002,1.289456,1.357276,1.425096,1.5196446,1.6141931999999999,1.7087417999999999,1.8032903999999998,1.8978389999999998,2.0063074,2.1147758,2.2232442,2.3317126,2.440181,2.5682864,2.6963918,2.8244972,2.9526026,3.080708,3.1988106,3.3169132,3.4350158,3.5531184000000002,3.671221,3.8715868,4.0719526,4.2723184,4.4726842,4.67305,4.9522496,5.2314492,5.510648799999999,5.7898483999999995,6.0690479999999996,6.440135,6.811222,7.182309,7.553396,7.924483,8.3010442,8.677605400000001,9.0541666,9.430727800000001,9.807289,10.2551058,10.7029226,11.150739399999999,11.598556199999999,12.046372999999999,12.674926399999999,13.3034798,13.9320332,14.5605866,15.18914,16.0319294,16.8747188,17.7175082,18.5602976,19.403087,20.4151542,21.4272214,22.439288599999998,23.451355799999998,24.463423,25.668203,26.872982999999998,28.077763,29.282543,30.487323,31.8890024,33.2906818,34.6923612,36.0940406,37.49572,39.0941914,40.6926628,42.291134199999995,43.889605599999996,45.488077,47.269304,49.050531,50.831757999999994,52.612984999999995,54.394211999999996,56.332859,58.271505999999995,60.210153,62.148799999999994,64.087447,66.1773206,68.2671942,70.3570678,72.4469414,74.536815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wup_rural_pop,17.294144,17.6075744,17.9210048,18.2344352,18.547865599999998,18.861296,19.2342732,19.6072504,19.9802276,20.3532048,20.726182,21.204103,21.682024000000002,22.159945,22.637866000000002,23.115787,23.6876088,24.2594306,24.8312524,25.403074200000002,25.974896,26.6771394,27.379382800000002,28.0816262,28.7838696,29.486113,29.907625799999998,30.3291386,30.7506514,31.1721642,31.593677,32.5004002,33.407123399999996,34.3138466,35.22056979999999,36.127292999999995,37.305327999999996,38.483363,39.661398,40.839433,42.017468,43.4910538,44.9646396,46.4382254,47.911811199999995,49.385397,50.854326,52.323255,53.792184,55.261113,56.730042000000005,58.320175600000006,59.91030920000001,61.5004428,63.0905764,64.68071,66.247274,67.813838,69.380402,70.946966,72.51353,74.1048132,75.6960964,77.2873796,78.8786628,80.469946,82.0350862,83.6002264,85.1653666,86.7305068,88.295647,89.7631894,91.2307318,92.6982742,94.1658166,95.633359,96.9315788,98.2297986,99.52801840000001,100.8262382,102.124458,103.2091558,104.2938536,105.37855139999999,106.46324919999999,107.547947,108.3873938,109.2268406,110.0662874,110.9057342,111.745181,112.34218320000001,112.9391854,113.5361876,114.1331898,114.730192,115.050717,115.371242,115.691767,116.01229199999999,116.33281699999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wup_rural_prop,0.954,0.952312,0.950624,0.948936,0.947248,0.94556,0.943582,0.941604,0.939626,0.937648,0.93567,0.933362,0.931054,0.928746,0.926438,0.92413,0.9221280000000001,0.920126,0.918124,0.916122,0.91412,0.912376,0.910632,0.908888,0.907144,0.9054,0.9035,0.9016,0.8996999999999999,0.8978,0.8959,0.893814,0.891728,0.889642,0.887556,0.88547,0.883134,0.880798,0.878462,0.876126,0.87379,0.871378,0.868966,0.866554,0.864142,0.86173,0.859904,0.858078,0.856252,0.854426,0.8526,0.85068,0.84876,0.84684,0.84492,0.843,0.839762,0.836524,0.833286,0.830048,0.82681,0.822592,0.818374,0.814156,0.809938,0.80572,0.801186,0.796652,0.792118,0.7875840000000001,0.78305,0.7780940000000001,0.773138,0.768182,0.763226,0.75827,0.752904,0.747538,0.742172,0.736806,0.73144,0.7257039999999999,0.7199679999999999,0.714232,0.708496,0.70276,0.696728,0.690696,0.6846639999999999,0.6786319999999999,0.6726,0.6664,0.6601999999999999,0.6539999999999999,0.6477999999999999,0.6416,0.635178,0.628756,0.6223339999999999,0.615912,0.60949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
urban_pop_median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.487323,31.8890024,33.2906818,34.6923612,36.0940406,37.49572,39.0941914,40.6926628,42.291134199999995,43.889605599999996,45.488077,47.269304,49.050531,50.831757999999994,52.612984999999995,54.394211999999996,56.332859,58.271505999999995,60.210153,62.148799999999994,64.087447,66.1773206,68.2671942,70.3570678,72.4469414,74.536815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
