,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
wpp_median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.341418,2.388992,2.436566,2.484558,2.532884,2.581236,2.629578,2.67779,2.726063,2.774522,2.823293,2.8723110000000003,2.92151,2.970796,3.02024,3.069918,3.119671,3.169408,3.219237,3.269247,3.3193539999999997,3.369409,3.4192739999999997,3.468868,3.518105,3.566979,3.615404,3.663232,3.710489,3.757053,3.802797,3.8479200000000002,3.892418,3.936315,3.9796590000000003,4.022338,4.0643,4.105663,4.146336,4.186273,4.225714,4.264651,4.3029340000000005,4.340521,4.377508,4.413912,4.449776,4.485296999999999,4.52031,4.554639,4.588412999999999,4.6217,4.654478,4.686616,4.71804,4.748702000000001,4.778655,4.80797,4.836682,4.864748,4.892062,4.918628,4.944338,4.969229,4.993451,5.01703,5.039975,5.0622430000000005,5.083662,5.104184,5.123939999999999,5.142976,5.161161,5.178741,5.195641999999999,5.2116549999999995,5.226899,5.241402,5.255197,5.268088
wpp_lower95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.348981,2.381237,2.413493,2.446556,2.4792620000000003,2.5105560000000002,2.541734,2.572304,2.601581,2.630941,2.661989,2.6931100000000003,2.721643,2.748433,2.775157,2.8047359999999997,2.836048,2.865444,2.8928409999999998,2.919173,2.9446190000000003,2.969372,2.994076,3.016542,3.0380599999999998,3.061049,3.084817,3.107619,3.1271869999999997,3.144416,3.160342,3.174945,3.188042,3.199366,3.2097979999999997,3.221444,3.2319560000000003,3.238715,3.245563,3.2537249999999998,3.2626950000000003,3.2696840000000003,3.273165,3.277274,3.282989,3.285601,3.285936,3.282761,3.276944,3.272341,3.264602,3.25933,3.256262,3.252085,3.251433,3.250531,3.248324,3.2465479999999998,3.2409209999999997,3.232519,3.2238189999999998,3.212423,3.197736,3.183442,3.172165,3.164212,3.155354,3.1385500000000004,3.119625,3.1122579999999997,3.101157,3.0776709999999996,3.053704,3.035601,3.020538,3.005701,2.991744,2.972811,2.9546729999999997,2.934201
wpp_lower80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.346717,2.383801,2.420885,2.4584740000000003,2.496491,2.534357,2.57158,2.6077109999999997,2.643199,2.679208,2.7157220000000004,2.7519430000000003,2.7883400000000003,2.824112,2.8582229999999997,2.8934409999999997,2.930647,2.966519,3.00085,3.034847,3.067619,3.0988290000000003,3.130355,3.160279,3.18975,3.219833,3.249347,3.278098,3.304798,3.330737,3.3565500000000004,3.38023,3.4028560000000003,3.4252190000000002,3.4436280000000004,3.461824,3.480404,3.49714,3.512527,3.527897,3.542971,3.555402,3.5682139999999998,3.5798400000000004,3.589682,3.598226,3.604939,3.611723,3.6204140000000002,3.627872,3.6302849999999998,3.632314,3.634544,3.637615,3.642989,3.647834,3.6550369999999996,3.665682,3.671581,3.6739070000000003,3.6750160000000003,3.674165,3.673886,3.6706860000000003,3.663167,3.65874,3.65624,3.6493130000000003,3.636799,3.6270320000000003,3.620985,3.6069989999999996,3.592992,3.5836550000000003,3.5672159999999997,3.5555700000000003,3.547069,3.535547,3.521451,3.50248
wpp_upper80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.335543,2.394647,2.453751,2.514018,2.575122,2.6361779999999997,2.6977040000000003,2.758899,2.818975,2.8798850000000003,2.9431529999999997,3.006764,3.069013,3.131538,3.194675,3.258915,3.324109,3.3878719999999998,3.452448,3.519087,3.585533,3.652058,3.7199180000000003,3.786685,3.852324,3.920973,3.991655,4.059263,4.1243490000000005,4.1919319999999995,4.2633469999999996,4.332272,4.401282,4.4708760000000005,4.538068,4.6062579999999995,4.675038,4.747639,4.822686,4.895598,4.962457000000001,5.032198,5.105973,5.176939999999999,5.249084,5.321975999999999,5.396851,5.4740079999999995,5.551159999999999,5.622558,5.692953999999999,5.771182,5.8490720000000005,5.925215000000001,6.006714,6.089517,6.174008,6.2595540000000005,6.333743,6.402633,6.476666,6.551344,6.623663,6.69821,6.775405,6.85082,6.924549,6.999561,7.067694,7.133178,7.205402,7.273204,7.337962,7.409657,7.478273,7.540382999999999,7.609904,7.687936,7.753237,7.809533
wpp_upper95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.33228,2.397874,2.4634679999999998,2.529944,2.597772,2.66617,2.734077,2.8026750000000002,2.871647,2.9416840000000004,3.0122910000000003,3.0821799999999997,3.1531599999999997,3.224742,3.298643,3.373049,3.446732,3.5211069999999998,3.596942,3.67538,3.755154,3.835442,3.916394,3.993769,4.073134,4.155499,4.233629,4.314431,4.396779,4.481377999999999,4.571814000000001,4.666226,4.7594899999999996,4.849202,4.943962000000001,5.049306,5.147914,5.241096,5.336406,5.42873,5.52212,5.614447,5.712596,5.816814,5.91378,6.009505,6.113139,6.216914,6.318713,6.421019,6.513731,6.5946940000000005,6.676549,6.766343,6.87235,6.990407,7.111367,7.228342,7.341868000000001,7.456796000000001,7.569877,7.679112,7.784624,7.89367,8.01853,8.150093,8.270283,8.379432000000001,8.480669,8.584211,8.702739,8.819268,8.929759,9.040655000000001,9.147718999999999,9.261706,9.360081000000001,9.452171,9.561829,9.685896000000001
wup_urban_prop,0.114,0.11947,0.12494000000000001,0.13041,0.13588,0.14135,0.147876,0.154402,0.160928,0.167454,0.17398,0.18673399999999998,0.199488,0.212242,0.22499599999999997,0.23775,0.2542,0.27065,0.2871,0.30355,0.32,0.341942,0.363884,0.385826,0.407768,0.42971,0.453132,0.476554,0.499976,0.523398,0.54682,0.56226,0.5777,0.59314,0.60858,0.62402,0.637502,0.650984,0.664466,0.677948,0.69143,0.702738,0.714046,0.725354,0.736662,0.74797,0.7561340000000001,0.764298,0.7724620000000001,0.780626,0.7887900000000001,0.7959360000000001,0.8030820000000001,0.8102280000000001,0.817374,0.82452,0.830682,0.836844,0.843006,0.849168,0.85533,0.8605,0.86567,0.87084,0.87601,0.88118,0.8851279999999999,0.889076,0.8930239999999999,0.896972,0.9009199999999999,0.9038719999999999,0.906824,0.9097759999999999,0.912728,0.9156799999999999,0.91787,0.92006,0.9222499999999999,0.9244399999999999,0.92663,0.9282279999999999,0.9298259999999999,0.931424,0.933022,0.93462,0.935762,0.936904,0.938046,0.939188,0.94033,0.941308,0.9422860000000001,0.943264,0.944242,0.9452200000000001,0.9461240000000001,0.9470280000000001,0.947932,0.948836,0.94974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wup_urban_pop,0.053956000000000004,0.056806600000000006,0.05965720000000001,0.0625078,0.06535840000000001,0.068209,0.0719366,0.0756642,0.0793918,0.0831194,0.086847,0.094798,0.102749,0.11069999999999999,0.11865099999999999,0.126602,0.13904919999999998,0.1514964,0.1639436,0.17639080000000001,0.188838,0.2069084,0.2249788,0.2430492,0.2611196,0.27919,0.30309579999999997,0.3270016,0.3509074,0.37481319999999996,0.398719,0.422573,0.446427,0.470281,0.494135,0.517989,0.5460682,0.5741474,0.6022266000000001,0.6303058,0.658385,0.6891878,0.7199906,0.7507933999999999,0.7815962,0.812399,0.8441374,0.8758758,0.9076142,0.9393526000000001,0.971091,1.0082544,1.0454178,1.0825812,1.1197445999999998,1.1569079999999998,1.2061102,1.2553124,1.3045145999999999,1.3537168,1.402919,1.462502,1.522085,1.581668,1.641251,1.700834,1.748295,1.795756,1.8432169999999999,1.8906779999999999,1.9381389999999998,1.9847515999999998,2.0313642,2.0779768,2.1245894,2.171202,2.2176050000000003,2.264008,2.310411,2.356814,2.403217,2.4498496000000003,2.4964822,2.5431148,2.5897474,2.63638,2.6833182,2.7302564,2.7771945999999996,2.8241327999999997,2.8710709999999997,2.9182727999999996,2.9654746,3.0126763999999997,3.0598782,3.10708,3.1535469999999997,3.200014,3.2464809999999997,3.292948,3.339415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wup_rural_pop,0.419342,0.4183438,0.4173456,0.41634740000000003,0.41534920000000003,0.414351,0.41394820000000004,0.4135454,0.4131426,0.4127398,0.412337,0.4110514,0.4097658,0.40848019999999996,0.40719459999999996,0.40590899999999996,0.4049832,0.40405739999999996,0.4031316,0.40220579999999995,0.40127999999999997,0.39512919999999996,0.3889784,0.3828276,0.37667680000000003,0.370526,0.3625088,0.3544916,0.3464744,0.3384572,0.33044,0.3267712,0.3231024,0.3194336,0.3157648,0.312096,0.3084422,0.3047884,0.3011346,0.2974808,0.293827,0.2898092,0.2857914,0.2817736,0.2777558,0.273738,0.2709966,0.26825519999999997,0.2655138,0.2627724,0.260031,0.2572684,0.2545058,0.2517432,0.2489806,0.246218,0.2444326,0.2426472,0.2408618,0.2390764,0.237291,0.235701,0.234111,0.232521,0.23093100000000003,0.22934100000000002,0.22610280000000002,0.22286460000000002,0.2196264,0.2163882,0.21315,0.210507,0.207864,0.20522100000000001,0.202578,0.199935,0.1980074,0.1960798,0.1941522,0.1922246,0.190297,0.1891232,0.1879494,0.1867756,0.1856018,0.184428,0.183981,0.183534,0.18308700000000003,0.18264000000000002,0.18219300000000002,0.1817658,0.18133860000000002,0.1809114,0.1804842,0.180057,0.1793908,0.17872459999999998,0.1780584,0.1773922,0.176726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wup_rural_prop,0.886,0.88053,0.87506,0.86959,0.86412,0.85865,0.852124,0.845598,0.839072,0.832546,0.82602,0.813266,0.800512,0.787758,0.775004,0.76225,0.7458,0.7293499999999999,0.7129,0.69645,0.6799999999999999,0.658058,0.636116,0.614174,0.592232,0.57029,0.546868,0.5234460000000001,0.500024,0.47660199999999997,0.45318,0.43774,0.4223,0.40686,0.39142,0.37598,0.362498,0.349016,0.335534,0.322052,0.30857,0.297262,0.28595400000000004,0.27464599999999995,0.26333799999999996,0.25203,0.24386599999999992,0.23570199999999997,0.2275379999999999,0.21937399999999996,0.2112099999999999,0.2040639999999999,0.19691799999999993,0.18977199999999994,0.18262599999999996,0.17547999999999997,0.16931799999999997,0.16315599999999997,0.15699399999999997,0.15083199999999997,0.14466999999999997,0.13949999999999996,0.13432999999999995,0.12916000000000005,0.12399000000000004,0.11882000000000004,0.11487200000000009,0.11092400000000002,0.10697600000000007,0.10302800000000001,0.09908000000000006,0.0961280000000001,0.09317600000000004,0.09022400000000008,0.08727200000000002,0.08432000000000006,0.08213000000000004,0.07994000000000001,0.0777500000000001,0.07556000000000007,0.07337000000000005,0.07177200000000006,0.07017400000000007,0.06857599999999997,0.06697799999999998,0.06538,0.06423800000000002,0.06309600000000004,0.061953999999999954,0.06081199999999998,0.05967,0.058691999999999966,0.05771399999999993,0.05673600000000001,0.055757999999999974,0.05477999999999994,0.053875999999999924,0.05297199999999991,0.052068,0.05116399999999999,0.05025999999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
urban_pop_median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.171202,2.2176050000000003,2.264008,2.310411,2.356814,2.403217,2.4498496000000003,2.4964822,2.5431148,2.5897474,2.63638,2.6833182,2.7302564,2.7771945999999996,2.8241327999999997,2.8710709999999997,2.9182727999999996,2.9654746,3.0126763999999997,3.0598782,3.10708,3.1535469999999997,3.200014,3.2464809999999997,3.292948,3.339415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
