,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
wpp_median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.829756999999994,33.475871,34.121985,34.777522,35.439785,36.102736,36.767488,37.435099,38.104805,38.77585,39.447703999999995,40.121418,40.79766,41.475941,42.158201,42.844159,43.533063999999996,44.22324,44.910363,45.595915,46.280424,46.961808,47.640796,48.318003,48.988099999999996,49.650303,50.306482,50.955129,51.596894,52.231784,52.859802,53.479555999999995,54.088921,54.688858999999994,55.278504,55.860699999999994,56.435445,56.999668,57.558074999999995,58.109963,58.654292,59.192188,59.720681,60.240747000000006,60.75286,61.255455000000005,61.750655,62.236967,62.716478,63.190565,63.656832,64.116349,64.567716,65.008006,65.438902,65.860868,66.272614,66.676704,67.070908,67.45259399999999,67.82390600000001,68.18473900000001,68.53455,68.872356,69.19603699999999,69.508405,69.81046400000001,70.10204399999999,70.383394,70.652939,70.91247100000001,71.162508,71.40238599999999,71.63185899999999,71.851742,72.063671,72.266277,72.460269,72.647096,72.82646799999999
wpp_lower95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.89399100000001,33.416453000000004,33.938915,34.462481,34.985541,35.506761,36.009672,36.497135,36.976057,37.456114,37.941171000000004,38.413038,38.899958,39.381281,39.834338,40.302487,40.778392,41.222378,41.651125,42.080749000000004,42.47271,42.872816,43.281169999999996,43.631025,43.955209,44.274189,44.590812,44.872388,45.134648999999996,45.372803,45.59106,45.835347999999996,46.09748200000001,46.31579,46.48876,46.645638,46.775822,46.901703000000005,47.021118,47.103266000000005,47.225696000000006,47.395574,47.494472,47.524534,47.523123,47.546845999999995,47.609185,47.658025,47.658881,47.643894,47.63196,47.635795,47.628953,47.608828,47.618443,47.652179,47.621093,47.477856,47.355775,47.275792,47.16784,47.18272,47.197575,47.036992,46.794232,46.656065999999996,46.575447,46.432095000000004,46.206848,45.884686,45.571492,45.363866,45.141703,44.844105000000006,44.681236,44.404606,44.112421999999995,43.991363,43.845366999999996,43.605177000000005
wpp_lower80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.87396400000001,33.435512,33.99706,34.564008,35.134341,35.696655,36.251246,36.79884,37.34826,37.901956,38.445233,38.986472,39.541556,40.092278,40.623078,41.145830000000004,41.667756000000004,42.186096,42.705196,43.238057999999995,43.757324999999994,44.235220999999996,44.708093999999996,45.163371,45.61911,46.077739,46.533025,46.982373,47.395194000000004,47.816676,48.230653,48.598855,48.974642,49.339091999999994,49.682719,50.013382,50.306955,50.581751,50.851089,51.091021,51.327189,51.584754999999994,51.815774,52.008160000000004,52.166171999999996,52.353562,52.518999,52.635106,52.786072,52.918371,53.009527999999996,53.160682,53.306451,53.357008,53.441297,53.598515,53.67562,53.669839,53.707729,53.778743000000006,53.852548999999996,53.918986,53.939499000000005,53.95319,53.878265,53.777197,53.731465,53.675658000000006,53.602197999999994,53.514279,53.430785,53.331323,53.210091999999996,53.05451600000001,52.933142999999994,52.830267,52.719245,52.616713000000004,52.474652999999996,52.333161
wpp_upper80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.782841000000005,33.517195,34.251549,35.004076999999995,35.766048000000005,36.536182999999994,37.314228,38.096954,38.891923999999996,39.693073,40.491839999999996,41.305997000000005,42.14125,42.969838,43.799078,44.666768,45.561132,46.44992,47.314375999999996,48.175264999999996,49.05819,49.913211000000004,50.768733999999995,51.653521999999995,52.576737,53.492000999999995,54.365379999999995,55.262233,56.194746,57.137197,58.04697,58.942899,59.890729,60.834680999999996,61.759286,62.71094,63.634063999999995,64.540294,65.521849,66.460112,67.430143,68.479848,69.447725,70.450677,71.42871000000001,72.350312,73.32901600000001,74.308914,75.206549,76.104943,77.033386,77.981553,78.98172,79.959859,80.903674,81.83222,82.709659,83.556137,84.44355999999999,85.53000999999999,86.704464,87.78611500000001,88.823599,89.81705000000001,90.658197,91.534509,92.585026,93.654405,94.682157,95.66268600000001,96.56633500000001,97.44355800000001,98.43496,99.459444,100.40386199999999,101.33830499999999,102.280005,103.177373,104.126076,105.113736
wpp_upper95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.760681,33.541888,34.323095,35.119396,35.932521,36.767398,37.612691,38.46594,39.341674,40.225322999999996,41.104555,41.996597,42.889589,43.782862,44.69982,45.630315,46.572993000000004,47.517076,48.462322,49.423072999999995,50.400353,51.383767,52.37205,53.335401,54.326525000000004,55.357512,56.353305,57.394345,58.445371,59.499164,60.579539,61.603122000000006,62.650965,63.807512,64.983306,66.136599,67.26117699999999,68.30898699999999,69.359781,70.421678,71.53035799999999,72.737689,74.001036,75.225239,76.408045,77.63513800000001,78.84252000000001,79.990257,81.13230899999999,82.313452,83.67076,85.096001,86.411816,87.724873,89.074271,90.422141,91.82527,93.193758,94.54363599999999,95.964459,97.401331,98.851715,100.28841,101.65835899999999,102.895114,104.194191,105.464271,106.77565,108.176756,109.59545200000001,110.96208800000001,112.25987300000001,113.61343099999999,115.018516,116.640492,118.290988,119.82550599999999,121.36799400000001,122.8315,124.257284
wup_urban_prop,0.15444000000000002,0.16173,0.16902,0.17631,0.18359999999999999,0.19088999999999998,0.19921599999999998,0.20754199999999998,0.21586799999999998,0.22419399999999998,0.23251999999999998,0.23814999999999997,0.24378,0.24941,0.25504,0.26067,0.266452,0.27223400000000003,0.278016,0.283798,0.28958,0.291762,0.293944,0.296126,0.29830799999999996,0.30049,0.302718,0.304946,0.307174,0.309402,0.31163,0.31509600000000004,0.318562,0.32202800000000004,0.325494,0.32896000000000003,0.33605,0.34314,0.35023000000000004,0.35732,0.36441,0.371808,0.379206,0.386604,0.39400199999999996,0.4014,0.408978,0.416556,0.424134,0.431712,0.43929,0.446048,0.452806,0.45956400000000003,0.466322,0.47308,0.47989,0.48669999999999997,0.49351,0.50032,0.50713,0.513876,0.520622,0.527368,0.534114,0.54086,0.547386,0.553912,0.560438,0.5669639999999999,0.5734899999999999,0.579718,0.585946,0.592174,0.598402,0.60463,0.610484,0.616338,0.622192,0.628046,0.6339,0.639302,0.6447039999999999,0.650106,0.6555079999999999,0.6609099999999999,0.6658479999999999,0.6707859999999999,0.675724,0.680662,0.6856,0.690326,0.695052,0.699778,0.704504,0.70923,0.71374,0.71825,0.72276,0.72727,0.73178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wup_urban_pop,0.769242,0.8322546,0.8952672,0.9582798,1.0212924,1.084305,1.1768022,1.2692994,1.3617966,1.4542938,1.546791,1.639418,1.732045,1.824672,1.917299,2.009926,2.1058474,2.2017688,2.2976902,2.3936116,2.4895329999999998,2.5824716,2.6754102,2.7683488,2.8612874,2.9542260000000002,3.0366252,3.1190244000000003,3.2014236,3.2838228000000003,3.366222,3.5295982,3.6929744,3.8563506,4.0197268,4.183103,4.4126221999999995,4.6421414,4.871660599999999,5.1011798,5.330698999999999,5.6100878,5.889476599999999,6.1688654,6.448254199999999,6.727643,7.0460404,7.3644378,7.6828351999999995,8.0012326,8.31963,8.693926,9.068222,9.442518,9.816814,10.19111,10.6390438,11.0869776,11.5349114,11.982845200000002,12.430779000000001,12.9283142,13.4258494,13.9233846,14.4209198,14.918455,15.4598774,16.001299799999998,16.5427222,17.084144600000002,17.625567,18.2082948,18.7910226,19.3737504,19.9564782,20.539206,21.159525,21.779844,22.400163,23.020482,23.640801,24.2949986,24.9491962,25.603393800000003,26.257591400000003,26.911789000000002,27.593145200000002,28.274501400000002,28.9558576,29.6372138,30.31857,31.0303854,31.7422008,32.4540162,33.1658316,33.877646999999996,34.6057772,35.3339074,36.0620376,36.7901678,37.518298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wup_rural_pop,4.211633,4.2885273999999995,4.3654218,4.4423162,4.5192106,4.596105,4.6979831999999995,4.7998614,4.9017396,5.003617800000001,5.1054960000000005,5.2245214,5.3435468,5.462572199999999,5.581597599999999,5.700622999999999,5.7819883999999995,5.8633538,5.9447192,6.0260846,6.10745,6.2613962,6.4153424,6.569288599999999,6.723234799999999,6.877180999999999,6.988905999999999,7.100630999999999,7.212356,7.324081,7.4358059999999995,7.655269799999999,7.8747336,8.0941974,8.3136612,8.533125,8.6860122,8.8388994,8.9917866,9.1446738,9.297561,9.4446136,9.5916662,9.7387188,9.8857714,10.032824,10.1500856,10.2673472,10.3846088,10.5018704,10.619132,10.765485400000001,10.9118388,11.0581922,11.2045456,11.350899,11.4969842,11.6430694,11.789154600000002,11.935239800000002,12.081325000000001,12.197933200000001,12.314541400000001,12.4311496,12.5477578,12.664366,12.7531304,12.8418948,12.9306592,13.0194236,13.108188,13.172660800000001,13.2371336,13.3016064,13.3660792,13.430552,13.4750852,13.5196184,13.5641516,13.6086848,13.653218,13.684083800000002,13.7149496,13.745815400000001,13.7766812,13.807547000000001,13.826688400000002,13.8458298,13.864971200000001,13.8841126,13.903254,13.9004154,13.8975768,13.8947382,13.8918996,13.889061,13.8615778,13.8340946,13.8066114,13.7791282,13.751645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wup_rural_prop,0.84556,0.83827,0.83098,0.82369,0.8164,0.80911,0.800784,0.792458,0.784132,0.775806,0.76748,0.76185,0.75622,0.75059,0.7449600000000001,0.73933,0.733548,0.7277659999999999,0.721984,0.716202,0.71042,0.7082379999999999,0.706056,0.703874,0.701692,0.6995100000000001,0.697282,0.6950540000000001,0.6928259999999999,0.690598,0.6883699999999999,0.684904,0.681438,0.677972,0.674506,0.67104,0.66395,0.65686,0.64977,0.6426799999999999,0.63559,0.628192,0.6207940000000001,0.613396,0.605998,0.5986,0.5910219999999999,0.5834440000000001,0.575866,0.568288,0.56071,0.553952,0.547194,0.5404359999999999,0.533678,0.52692,0.5201100000000001,0.5133000000000001,0.50649,0.49968,0.49287000000000003,0.486124,0.47937799999999997,0.47263200000000005,0.465886,0.45914,0.45261399999999996,0.44608800000000004,0.439562,0.4330360000000001,0.42651000000000006,0.42028200000000004,0.41405400000000003,0.407826,0.401598,0.39537,0.389516,0.38366199999999995,0.37780800000000003,0.371954,0.3661,0.36069799999999996,0.35529600000000006,0.34989400000000004,0.34449200000000013,0.3390900000000001,0.3341520000000001,0.3292140000000001,0.324276,0.319338,0.3144,0.309674,0.304948,0.300222,0.295496,0.29077,0.28625999999999996,0.28174999999999994,0.27724000000000004,0.27273000000000003,0.26822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
urban_pop_median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.539206,21.159525,21.779844,22.400163,23.020482,23.640801,24.2949986,24.9491962,25.603393800000003,26.257591400000003,26.911789000000002,27.593145200000002,28.274501400000002,28.9558576,29.6372138,30.31857,31.0303854,31.7422008,32.4540162,33.1658316,33.877646999999996,34.6057772,35.3339074,36.0620376,36.7901678,37.518298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
