,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
wpp_median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.528068,13.85934,14.190612,14.52877,14.873052,15.220392,15.568760000000001,15.918453,16.269856,16.622387,16.976052,17.330988,17.687444,18.044749,18.402323,18.759589,19.115845,19.471306000000002,19.82766,20.185302,20.54298,20.900496999999998,21.256643,21.611646,21.96644,22.319580000000002,22.669657,23.018196,23.366122,23.7117,24.054128000000002,24.393988,24.729625,25.060330999999998,25.387425,25.711015,26.031641,26.346868999999998,26.656836,26.961882000000003,27.260232,27.554231,27.844495,28.128439999999998,28.406102999999998,28.678485000000002,28.944619,29.204357,29.458803,29.70758,29.950404,30.187037,30.416859,30.640077,30.856683,31.066325,31.268952000000002,31.465467,31.656447,31.841065999999998,32.01966,32.190991000000004,32.354311,32.510468,32.659836,32.802848,32.939602,33.069952,33.193169000000005,33.311488,33.42535,33.533719,33.635025999999996,33.729776,33.818688,33.90166000000001,33.979254,34.050906000000005,34.117293,34.178281999999996
wpp_lower95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.567274000000001,13.822145,14.077016,14.332236,14.583574,14.826585,15.062505999999999,15.286914000000001,15.496735000000001,15.701668,15.907616,16.117435,16.328604,16.5213,16.691941,16.883461999999998,17.072459,17.239708999999998,17.411316,17.597368,17.787976999999998,17.956011999999998,18.119027,18.289754000000002,18.459775,18.635499,18.803762,18.954624,19.092899000000003,19.229249,19.367408,19.490171,19.605520000000002,19.688119,19.740322,19.823522,19.919369,20.006106,20.079293,20.123383999999998,20.162048,20.191133,20.209331,20.238371,20.243223999999998,20.214058,20.189192,20.128880000000002,20.07891,20.095928,20.08504,20.059670999999998,20.007711,19.929302,19.883342,19.819651999999998,19.713583999999997,19.608756,19.532729,19.449698,19.375881,19.307890999999998,19.192277999999998,19.051876,18.890767,18.760453000000002,18.651359,18.504844000000002,18.377755,18.239228999999998,18.101996,17.968293000000003,17.79446,17.610176,17.434989,17.287968,17.121562,16.901588,16.677088,16.510118
wpp_lower80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.551752000000002,13.836787000000001,14.121822,14.407579,14.694139999999999,14.980297,15.261065,15.534844,15.80339,16.074606,16.343754,16.602899,16.862724,17.128083999999998,17.377758999999998,17.611643,17.853078,18.097746,18.345457,18.585677,18.815093,19.042703000000003,19.267218,19.48273,19.696176,19.914641,20.118083,20.320494,20.523917,20.720213,20.895103,21.052229999999998,21.205824,21.352674,21.520017,21.672681,21.800836,21.944350999999997,22.063418000000002,22.144002,22.243923,22.342598000000002,22.427338,22.516935,22.565512,22.601907,22.676183,22.751969000000003,22.800068,22.832117999999998,22.846382000000002,22.879226,22.918577000000003,22.929455,22.947172,22.958435,22.933426,22.899237,22.860636,22.806146000000002,22.762969000000002,22.728171999999997,22.654786,22.580021000000002,22.522275,22.475338,22.403175,22.295012999999997,22.211233,22.119218,22.048112,21.965657999999998,21.837508999999997,21.711053,21.584069,21.470748,21.336468,21.175642,21.034149000000003,20.895463
wpp_upper80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.506134000000001,13.88133,14.256526,14.643094,15.040784,15.442307000000001,15.847714,16.26138,16.682627,17.109865000000003,17.548216,17.996212,18.449448,18.911766,19.367382000000003,19.813063999999997,20.268205000000002,20.735005,21.214702000000003,21.696109,22.174127000000002,22.659586,23.148955,23.641198,24.146785,24.660319,25.185706999999997,25.716511999999998,26.260635999999998,26.815757,27.366198,27.906352,28.448915,29.008076000000003,29.571194,30.136207,30.686495999999998,31.232851999999998,31.786204,32.337451,32.917385,33.503904000000006,34.063403,34.638877,35.198443,35.754718999999994,36.308798,36.880548000000005,37.446046,37.985484,38.534037,39.074087,39.661092,40.252513,40.826045,41.38562,41.938204,42.474833,42.979944,43.51458,44.12732,44.740023,45.29452,45.826873,46.339648000000004,46.920819,47.577822999999995,48.134422,48.675597,49.26949,49.889672,50.571360999999996,51.24403,51.857226000000004,52.431298999999996,53.045692,53.631133,54.121084,54.548198,55.015328000000004
wpp_upper95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.493058999999999,13.892906,14.292753000000001,14.704979,15.131647999999998,15.567907,16.009884,16.455825,16.908407999999998,17.367566999999998,17.833066,18.314975999999998,18.804173,19.296204000000003,19.788745,20.275199,20.765991999999997,21.285580000000003,21.816232,22.340215,22.874166000000002,23.424525000000003,23.98588,24.561676,25.146297999999998,25.74568,26.36157,26.987951000000002,27.631421,28.285279,28.956832,29.612005,30.267015999999998,30.928732,31.595200000000002,32.295172,32.97312,33.643847,34.391983,35.0808,35.741578000000004,36.43285,37.159334,37.914842,38.62354,39.369053,40.102642,40.785197,41.456502,42.265591,43.12414,43.895038,44.619544999999995,45.342878,46.143581,46.971148,47.774499000000006,48.619505,49.50902,50.383609,51.230074,51.995406,52.80136,53.673458,54.520829,55.360896999999994,56.189468999999995,57.035374000000004,57.908563,58.820526,59.841103000000004,60.880364,61.753693,62.625788,63.559908,64.484365,65.435848,66.357561,67.24366599999999,68.103932
wup_urban_prop,0.06711,0.070492,0.073874,0.077256,0.080638,0.08402,0.08816,0.0923,0.09644,0.10058,0.10472,0.109732,0.114744,0.119756,0.124768,0.12978,0.135778,0.141776,0.147774,0.153772,0.15977,0.166846,0.173922,0.18099800000000002,0.18807400000000002,0.19515000000000002,0.203354,0.21155800000000002,0.219762,0.227966,0.23617000000000002,0.242178,0.24818600000000002,0.25419400000000003,0.260202,0.26621,0.26902,0.27183,0.27464,0.27745000000000003,0.28026,0.283158,0.28605600000000003,0.288954,0.291852,0.29475,0.297538,0.30032600000000004,0.303114,0.305902,0.30869,0.311466,0.314242,0.31701799999999997,0.31979399999999997,0.32256999999999997,0.325412,0.328254,0.33109599999999995,0.33393799999999996,0.33677999999999997,0.33970599999999995,0.342632,0.345558,0.348484,0.35141,0.354878,0.358346,0.361814,0.365282,0.36875,0.37292600000000004,0.37710200000000005,0.381278,0.385454,0.38963000000000003,0.39451400000000003,0.39939800000000003,0.40428200000000003,0.40916600000000003,0.41405000000000003,0.41961800000000005,0.425186,0.430754,0.436322,0.44189,0.44804,0.45419,0.46034,0.46649,0.47264,0.479008,0.48537600000000003,0.491744,0.49811200000000005,0.50448,0.5108400000000001,0.5172,0.52356,0.52992,0.53628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wup_urban_pop,0.207613,0.2218142,0.2360154,0.2502166,0.2644178,0.278619,0.2978188,0.3170186,0.33621840000000003,0.3554182,0.374618,0.4003452,0.4260724,0.45179959999999997,0.4775268,0.503254,0.5374452,0.5716364,0.6058276,0.6400188,0.6742100000000001,0.7097138000000001,0.7452176,0.7807214000000001,0.8162252000000001,0.8517290000000001,0.8944946,0.9372602000000001,0.9800258000000001,1.0227914,1.065557,1.12317,1.1807830000000001,1.238396,1.2960090000000002,1.353622,1.421512,1.4894020000000001,1.557292,1.625182,1.693072,1.8184643999999999,1.9438568,2.0692492000000002,2.1946416,2.320034,2.3998496,2.4796652,2.5594808000000002,2.6392964,2.719112,2.7997744,2.8804368,2.9610992,3.0417616,3.122424,3.224991,3.3275580000000002,3.430125,3.532692,3.635259,3.7580334,3.8808078,4.0035822,4.1263566,4.249131,4.413436,4.577741,4.742046,4.906351,5.070656,5.273065,5.475474,5.677883,5.880292,6.082701,6.3262156,6.5697302,6.8132448,7.0567594,7.300274,7.5890844,7.8778948,8.166705199999999,8.4555156,8.744326,9.0807568,9.4171876,9.753618399999999,10.0900492,10.42648,10.8054206,11.1843612,11.563301800000001,11.942242400000001,12.321183000000001,12.737008200000002,13.1528334,13.568658600000001,13.9844838,14.400309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wup_rural_pop,2.886041,2.9163360000000003,2.946631,2.976926,3.007221,3.037516,3.070571,3.103626,3.1366810000000003,3.1697360000000003,3.2027910000000004,3.2371432,3.2714954,3.3058476000000003,3.3401998,3.374552,3.4087536,3.4429552,3.4771568,3.5113584,3.54556,3.539005,3.53245,3.5258950000000002,3.51934,3.512785,3.499497,3.486209,3.472921,3.459633,3.446345,3.503305,3.5602650000000002,3.617225,3.674185,3.731145,3.8545204,3.9778958,4.1012712,4.2246466,4.348022,4.5886454,4.8292688,5.0698922,5.3105156000000004,5.551139,5.658798,5.766457,5.874116,5.981775,6.089434,6.1830114,6.2765888,6.3701662,6.4637436,6.557321,6.677639,6.797957,6.9182749999999995,7.038593,7.158911,7.2956091999999995,7.4323074,7.5690056,7.7057038,7.842402,8.0099556,8.1775092,8.345062800000001,8.5126164,8.68017,8.8499158,9.0196616,9.1894074,9.3591532,9.528899,9.689340399999999,9.849781799999999,10.0102232,10.1706646,10.331106,10.4737312,10.616356399999999,10.7589816,10.9016068,11.044232,11.162075199999999,11.2799184,11.397761599999999,11.5156048,11.633448,11.7272406,11.8210332,11.9148258,12.0086184,12.102411,12.1723342,12.2422574,12.3121806,12.3821038,12.452027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wup_rural_prop,0.93289,0.929508,0.926126,0.922744,0.919362,0.91598,0.91184,0.9077,0.90356,0.89942,0.89528,0.8902680000000001,0.885256,0.880244,0.875232,0.87022,0.864222,0.858224,0.852226,0.846228,0.84023,0.833154,0.826078,0.819002,0.8119259999999999,0.80485,0.796646,0.788442,0.780238,0.772034,0.76383,0.757822,0.751814,0.745806,0.739798,0.7337899999999999,0.73098,0.72817,0.72536,0.72255,0.71974,0.716842,0.7139439999999999,0.7110460000000001,0.708148,0.7052499999999999,0.7024619999999999,0.6996739999999999,0.696886,0.694098,0.69131,0.688534,0.685758,0.682982,0.6802060000000001,0.67743,0.674588,0.671746,0.668904,0.666062,0.66322,0.660294,0.657368,0.654442,0.651516,0.64859,0.645122,0.641654,0.6381859999999999,0.634718,0.63125,0.6270739999999999,0.622898,0.618722,0.614546,0.61037,0.605486,0.600602,0.595718,0.590834,0.58595,0.580382,0.5748139999999999,0.5692459999999999,0.563678,0.55811,0.55196,0.54581,0.53966,0.5335099999999999,0.52736,0.520992,0.514624,0.508256,0.5018879999999999,0.49551999999999996,0.48915999999999993,0.4828,0.47644,0.47008000000000005,0.46372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
urban_pop_median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.082701,6.3262156,6.5697302,6.8132448,7.0567594,7.300274,7.5890844,7.8778948,8.166705199999999,8.4555156,8.744326,9.0807568,9.4171876,9.753618399999999,10.0900492,10.42648,10.8054206,11.1843612,11.563301800000001,11.942242400000001,12.321183000000001,12.737008200000002,13.1528334,13.568658600000001,13.9844838,14.400309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
