,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
wpp_median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6388160000000003,2.705992,2.773168,2.841804,2.9112080000000002,2.981096,3.051308,3.121685,3.192412,3.263651,3.335154,3.406846,3.478942,3.551235,3.623616,3.696214,3.7687660000000003,3.84111,3.9131590000000003,3.984778,4.0560540000000005,4.126791,4.196882,4.266667999999999,4.336076,4.405075,4.473508,4.5410569999999995,4.607658000000001,4.673742,4.739403,4.804254,4.868481,4.932104000000001,4.994705,5.056357,5.117439,5.177703999999999,5.236987,5.295353,5.352804,5.409496,5.4653220000000005,5.520138,5.574008,5.626996,5.679036,5.729698999999999,5.7789459999999995,5.827158000000001,5.874254,5.920052,5.964522,6.007776,6.049863,6.090489,6.12967,6.1677219999999995,6.204524,6.23989,6.274076,6.306978,6.338296000000001,6.368006,6.396248,6.4232640000000005,6.4488140000000005,6.473148,6.496364,6.51816,6.538736,6.557904000000001,6.575640999999999,6.592207999999999,6.607698,6.6220799999999995,6.635135,6.6469629999999995,6.657714,6.667396
wpp_lower95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.647109,2.698362,2.749615,2.8006309999999996,2.850009,2.897482,2.943234,2.987922,3.031069,3.072172,3.113271,3.155141,3.1942559999999998,3.2349319999999997,3.275259,3.312087,3.351319,3.388331,3.422444,3.460007,3.499239,3.536175,3.5736239999999997,3.610804,3.64642,3.681139,3.713301,3.744738,3.777561,3.811847,3.842213,3.867692,3.889207,3.909489,3.933389,3.958091,3.981629,4.004153,4.016155,4.022427,4.0330070000000005,4.041162,4.049181,4.058387,4.066717,4.074233,4.077774,4.079842,4.077893,4.070868,4.059641,4.0546880000000005,4.057438,4.057461,4.052662,4.043701,4.027799,4.01103,4.008072,4.004806,3.991881,3.976455,3.967813,3.960344,3.95221,3.953881,3.9506750000000004,3.935235,3.921189,3.90865,3.8875520000000003,3.860529,3.83292,3.807398,3.779937,3.7463800000000003,3.710712,3.677542,3.645293,3.609712
wpp_lower80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.644302,2.700942,2.7575819999999998,2.814694,2.871209,2.9274270000000002,2.983526,3.0382130000000003,3.091855,3.145791,3.1996909999999996,3.253222,3.306752,3.3597040000000002,3.411289,3.4620010000000003,3.511451,3.560116,3.6067750000000003,3.6536500000000003,3.701308,3.747419,3.795623,3.84387,3.892301,3.939045,3.982742,4.025627,4.0689,4.113182,4.152851,4.1911130000000005,4.227805999999999,4.263559,4.300883,4.335895000000001,4.369034,4.399799,4.426438,4.450253,4.474940999999999,4.499502000000001,4.523073999999999,4.54014,4.555864,4.578518,4.593898,4.603354,4.613671999999999,4.624524999999999,4.634457,4.641864,4.649886,4.659985,4.672256,4.681908999999999,4.6887039999999995,4.694495,4.692634,4.690640999999999,4.689675,4.682531,4.680933,4.685417999999999,4.691901,4.700604,4.701623,4.691435,4.676181,4.663381,4.652907,4.639562,4.624345999999999,4.615432,4.606534,4.587628,4.563867,4.535171999999999,4.504779999999999,4.471076
wpp_upper80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.633724,2.710515,2.787306,2.866638,2.947892,3.030442,3.114772,3.201266,3.2876529999999997,3.375547,3.465481,3.5560419999999997,3.647792,3.742712,3.840161,3.937695,4.03411,4.128211,4.224494,4.326693000000001,4.431222,4.532959,4.637002000000001,4.742119,4.8436069999999996,4.944676,5.053197,5.162182,5.2669120000000005,5.3764899999999995,5.4831769999999995,5.584501,5.684323,5.784720999999999,5.889174,5.994539,6.1025860000000005,6.215541,6.3234520000000005,6.430058,6.54421,6.659566,6.772444,6.88399,6.993417999999999,7.108594,7.2199539999999995,7.324198,7.431457999999999,7.543515,7.651287,7.750286,7.852353,7.961307,8.072849,8.178785,8.290181,8.401944,8.508308000000001,8.623535,8.747404000000001,8.865613,8.978281,9.095464,9.214030000000001,9.331278000000001,9.440628,9.539335,9.639322,9.742125,9.843043999999999,9.953972,10.069645000000001,10.169138,10.27385,10.366082,10.446035,10.530939,10.621781,10.716405
wpp_upper95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.630872,2.712815,2.794758,2.8799189999999997,2.9678400000000003,3.0573099999999998,3.147406,3.238503,3.331857,3.428264,3.5278449999999997,3.6313400000000002,3.737701,3.846913,3.9581060000000003,4.071726,4.186382,4.301051999999999,4.417645,4.5335209999999995,4.649678,4.7719499999999995,4.899991,5.028447,5.151505,5.280126,5.416226,5.544595999999999,5.667266,5.796729,5.9286,6.052179,6.181169,6.315039,6.447001,6.57791,6.711817,6.857874,7.0127690000000005,7.170274,7.332964,7.50208,7.665395,7.818493,7.97496,8.134911,8.285897,8.431018,8.573767,8.723593000000001,8.896108,9.08164,9.267950999999998,9.456295,9.651412,9.847153,10.008982,10.128119,10.258272999999999,10.413485000000001,10.562198,10.716188,10.89541,11.091544,11.296082,11.512236999999999,11.705122,11.881254,12.073585999999999,12.278968,12.478789,12.661052999999999,12.863774,13.062566,13.253845,13.440878000000001,13.622225,13.821788,14.019131999999999,14.208977999999998
wup_urban_prop,0.10265,0.10444600000000001,0.106242,0.10803800000000001,0.109834,0.11163000000000001,0.11356200000000001,0.115494,0.117426,0.11935799999999999,0.12129,0.126098,0.130906,0.135714,0.14052199999999998,0.14533,0.15525599999999998,0.165182,0.17510799999999999,0.18503399999999998,0.19496,0.20482,0.21467999999999998,0.22454,0.2344,0.24425999999999998,0.25223599999999996,0.260212,0.268188,0.276164,0.28414,0.29335,0.30256,0.31177,0.32098,0.33019,0.34077599999999997,0.35136199999999995,0.361948,0.372534,0.38311999999999996,0.39321999999999996,0.40331999999999996,0.41342,0.42352,0.43362,0.442632,0.451644,0.460656,0.469668,0.47868,0.486984,0.495288,0.503592,0.511896,0.5202,0.527484,0.534768,0.542052,0.549336,0.55662,0.563752,0.5708840000000001,0.578016,0.585148,0.59228,0.5989880000000001,0.605696,0.6124040000000001,0.619112,0.62582,0.632012,0.638204,0.644396,0.6505879999999999,0.6567799999999999,0.6624119999999999,0.668044,0.6736759999999999,0.679308,0.68494,0.689984,0.695028,0.700072,0.705116,0.71016,0.714586,0.719012,0.723438,0.727864,0.73229,0.736398,0.740506,0.744614,0.748722,0.75283,0.756722,0.760614,0.764506,0.768398,0.77229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wup_urban_pop,0.027856000000000002,0.0290726,0.0302892,0.0315058,0.0327224,0.033939,0.0360768,0.0382146,0.0403524,0.0424902,0.044628,0.047353400000000004,0.0500788,0.0528042,0.0555296,0.058255,0.0640448,0.0698346,0.0756244,0.08141419999999999,0.08720399999999999,0.09521819999999999,0.1032324,0.1112466,0.1192608,0.127275,0.1361652,0.1450554,0.1539456,0.16283579999999998,0.171726,0.1857268,0.1997276,0.21372839999999999,0.2277292,0.24173,0.263634,0.285538,0.307442,0.329346,0.35125,0.3734672,0.3956844,0.4179016,0.44011880000000003,0.462336,0.48780140000000005,0.5132668,0.5387322,0.5641976000000001,0.589663,0.6219842,0.6543054,0.6866266,0.7189478,0.751269,0.7893903999999999,0.8275117999999999,0.8656332,0.9037546,0.9418759999999999,0.987757,1.033638,1.079519,1.1254,1.171281,1.2240864,1.2768918,1.3296972,1.3825026,1.435308,1.4944654,1.5536228,1.6127802,1.6719376000000001,1.731095,1.7959336000000001,1.8607722,1.9256108,1.9904494000000001,2.055288,2.1247898,2.1942916,2.2637934,2.3332952000000002,2.402797,2.4754212,2.5480454,2.6206696000000003,2.6932938,2.765918,2.8409880000000003,2.916058,2.9911280000000002,3.066198,3.141268,3.217677,3.294086,3.370495,3.446904,3.523313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wup_rural_pop,0.243521,0.2488348,0.2541486,0.2594624,0.2647762,0.27009,0.280732,0.291374,0.302016,0.31265800000000005,0.32330000000000003,0.32716120000000004,0.33102240000000005,0.3348836,0.3387448,0.342606,0.34610100000000005,0.349596,0.35309100000000004,0.356586,0.36008100000000004,0.36682380000000003,0.3735666,0.3803094,0.3870522,0.393795,0.4015646,0.4093342,0.4171038,0.4248734,0.432643,0.4441876,0.4557322,0.4672768,0.47882139999999995,0.49036599999999997,0.5054044,0.5204428,0.5354812,0.5505196,0.565558,0.5732238,0.5808896,0.5885554,0.5962212,0.603887,0.6115457999999999,0.6192046,0.6268634,0.6345222,0.642181,0.6523318,0.6624826,0.6726333999999999,0.6827842,0.692935,0.7044026,0.7158702,0.7273378,0.7388054000000001,0.7502730000000001,0.7614802,0.7726874,0.7838946,0.7951018,0.8063089999999999,0.8166842,0.8270594,0.8374345999999999,0.8478098,0.858185,0.8674769999999999,0.876769,0.886061,0.8953530000000001,0.904645,0.9127918,0.9209386,0.9290854,0.9372322,0.945379,0.9524388,0.9594986,0.9665584,0.9736182,0.980678,0.9867792,0.9928804,0.9989815999999999,1.0050827999999998,1.0111839999999999,1.0152138,1.0192436,1.0232733999999999,1.0273032,1.031333,1.0328342,1.0343354,1.0358365999999999,1.0373378,1.0388389999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wup_rural_prop,0.89735,0.895554,0.893758,0.891962,0.890166,0.88837,0.886438,0.884506,0.882574,0.880642,0.87871,0.873902,0.869094,0.864286,0.859478,0.85467,0.844744,0.8348180000000001,0.824892,0.8149660000000001,0.80504,0.79518,0.78532,0.77546,0.7656000000000001,0.7557400000000001,0.7477640000000001,0.739788,0.731812,0.7238359999999999,0.7158599999999999,0.70665,0.6974400000000001,0.68823,0.67902,0.66981,0.659224,0.648638,0.6380520000000001,0.6274660000000001,0.6168800000000001,0.6067800000000001,0.5966800000000001,0.58658,0.57648,0.56638,0.557368,0.5483560000000001,0.539344,0.530332,0.52132,0.513016,0.504712,0.49640799999999996,0.488104,0.4798,0.47251600000000005,0.465232,0.457948,0.45066399999999995,0.44338,0.43624799999999997,0.42911599999999994,0.421984,0.414852,0.40771999999999997,0.4010119999999999,0.394304,0.38759599999999994,0.380888,0.37417999999999996,0.367988,0.361796,0.35560400000000003,0.34941200000000006,0.3432200000000001,0.3375880000000001,0.33195600000000003,0.32632400000000006,0.320692,0.31506,0.31001599999999996,0.304972,0.299928,0.29488400000000003,0.28984,0.28541399999999995,0.280988,0.276562,0.27213600000000004,0.26771,0.263602,0.259494,0.255386,0.251278,0.24717,0.243278,0.239386,0.23549399999999998,0.23160199999999997,0.22770999999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
urban_pop_median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.731095,1.7959336000000001,1.8607722,1.9256108,1.9904494000000001,2.055288,2.1247898,2.1942916,2.2637934,2.3332952000000002,2.402797,2.4754212,2.5480454,2.6206696000000003,2.6932938,2.765918,2.8409880000000003,2.916058,2.9911280000000002,3.066198,3.141268,3.217677,3.294086,3.370495,3.446904,3.523313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
