,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
wpp_median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.060288,2.105565,2.150842,2.197149,2.244368,2.2918960000000004,2.339676,2.387792,2.436201,2.484863,2.533716,2.582689,2.631836,2.681179,2.730576,2.7799229999999997,2.829211,2.8784389999999997,2.927526,2.9763539999999997,3.0249050000000004,3.073149,3.121217,3.168974,3.216222,3.263074,3.309375,3.3551759999999997,3.400527,3.4452890000000003,3.4893899999999998,3.532788,3.575738,3.6182950000000003,3.660149,3.701323,3.74198,3.781946,3.82113,3.8595900000000003,3.897559,3.934826,3.9712739999999997,4.007032000000001,4.042037,4.076529,4.110496,4.143878,4.176551000000001,4.208333,4.2392780000000005,4.269470999999999,4.29892,4.3273779999999995,4.354826,4.381327000000001,4.406992,4.431902,4.455925000000001,4.47905,4.50126,4.522627000000001,4.5429759999999995,4.562307,4.580795,4.5983220000000005,4.6150780000000005,4.631161,4.6464,4.660786,4.67441,4.687379,4.699682,4.711232,4.722054,4.732209,4.7415959999999995,4.750324,4.75849,4.765962
wpp_lower95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0656890000000003,2.100359,2.135029,2.169955,2.204285,2.2378310000000003,2.270266,2.301279,2.332303,2.362013,2.3893530000000003,2.417671,2.446329,2.473539,2.500475,2.5279070000000003,2.5568380000000004,2.5844720000000003,2.610282,2.635482,2.657683,2.6798290000000002,2.70089,2.721383,2.7417,2.759264,2.7772930000000002,2.793176,2.807587,2.819857,2.829559,2.8402779999999996,2.84925,2.860009,2.873029,2.8845210000000003,2.894417,2.8981660000000002,2.89771,2.901748,2.905983,2.908544,2.915166,2.918226,2.915554,2.914248,2.911819,2.908701,2.905208,2.900481,2.893893,2.883032,2.873837,2.865148,2.855892,2.847638,2.8358939999999997,2.827321,2.822339,2.807773,2.787764,2.77354,2.761826,2.7520540000000002,2.737959,2.718323,2.703741,2.69454,2.686769,2.674966,2.663815,2.6462730000000003,2.6186570000000002,2.595393,2.575565,2.557145,2.539346,2.520028,2.503931,2.488869
wpp_lower80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0639249999999993,2.102127,2.1403290000000004,2.1790659999999997,2.21835,2.257138,2.295534,2.333652,2.37087,2.407626,2.443565,2.478864,2.514754,2.550585,2.585806,2.620216,2.653002,2.6850140000000002,2.717991,2.7521419999999996,2.7840529999999997,2.8148400000000002,2.8443899999999998,2.8718209999999997,2.89995,2.9287199999999998,2.9565590000000004,2.9824499999999996,3.006728,3.0286779999999998,3.050387,3.0706930000000003,3.08904,3.110096,3.132242,3.150781,3.167201,3.182057,3.194234,3.207907,3.2224540000000004,3.2366610000000002,3.251241,3.263694,3.273788,3.283281,3.2902069999999997,3.296465,3.3044729999999998,3.311,3.314978,3.316531,3.318703,3.320128,3.320605,3.321241,3.319045,3.3175700000000004,3.318398,3.316672,3.315376,3.3113449999999998,3.303945,3.30023,3.291305,3.277628,3.2690590000000004,3.263431,3.251742,3.241225,3.236848,3.2242469999999996,3.205082,3.188294,3.1742939999999997,3.161571,3.149722,3.134734,3.115814,3.099088
wpp_upper80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.056899,2.108817,2.1607350000000003,2.213944,2.268558,2.324014,2.380156,2.436718,2.494326,2.553499,2.613627,2.674721,2.7355259999999997,2.795938,2.857595,2.9194459999999998,2.981937,3.0455300000000003,3.1096190000000004,3.173855,3.236606,3.300351,3.364969,3.4288049999999997,3.495273,3.563457,3.631144,3.699083,3.7667800000000002,3.8358600000000003,3.906418,3.975533,4.0437199999999995,4.11271,4.182341999999999,4.2533140000000005,4.323833,4.392548,4.462466,4.535629,4.610472,4.685709,4.76154,4.8336239999999995,4.901222,4.970626,5.042531,5.117874,5.194443000000001,5.266138,5.335926000000001,5.404338,5.470737,5.539527,5.613283,5.689277,5.764077,5.83653,5.905064,5.972116,6.039105999999999,6.106724,6.17721,6.250876,6.317787999999999,6.377144,6.446584,6.524881000000001,6.599475999999999,6.67421,6.747597,6.8145299999999995,6.881716,6.9494,7.020529000000001,7.092480999999999,7.1629499999999995,7.227164,7.282706,7.345267
wpp_upper95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.055170999999999,2.1103069999999997,2.1654430000000002,2.2222210000000002,2.280792,2.340888,2.401119,2.461922,2.523924,2.587288,2.652936,2.7184090000000003,2.783486,2.850745,2.919203,2.987757,3.056547,3.1261080000000003,3.197923,3.2685619999999997,3.338614,3.412629,3.488397,3.563456,3.638853,3.714684,3.792131,3.8688119999999997,3.947634,4.029001,4.1120730000000005,4.199173,4.284216000000001,4.3673280000000005,4.452107,4.539293,4.627153,4.71517,4.802732,4.890687,4.977697,5.068822,5.165745,5.254128,5.338915,5.429023,5.519719,5.610105,5.700903,5.794566,5.889984999999999,5.9846580000000005,6.074037000000001,6.168323,6.27567,6.385242,6.488936,6.593112,6.70875,6.819774000000001,6.925339,7.038272,7.152018,7.265653,7.374957,7.4847600000000005,7.601633,7.722929,7.837884,7.938136999999999,8.042602,8.154237,8.268407999999999,8.385724,8.496619,8.602946,8.710942999999999,8.812646,8.911612,9.019097
wup_urban_prop,0.10013999999999999,0.103488,0.106836,0.110184,0.11353200000000001,0.11688000000000001,0.120704,0.12452800000000001,0.12835200000000002,0.13217600000000002,0.136,0.137498,0.138996,0.140494,0.141992,0.14349,0.14505600000000002,0.146622,0.14818800000000001,0.149754,0.15132,0.152956,0.154592,0.156228,0.157864,0.1595,0.163208,0.16691599999999998,0.170624,0.174332,0.17803999999999998,0.18983999999999998,0.20163999999999999,0.21344,0.22524,0.23704,0.251292,0.265544,0.279796,0.294048,0.30829999999999996,0.315382,0.322464,0.329546,0.336628,0.34371,0.34745400000000004,0.351198,0.35494200000000004,0.358686,0.36243000000000003,0.36625800000000003,0.370086,0.37391399999999997,0.37774199999999997,0.38156999999999996,0.385478,0.38938599999999995,0.393294,0.39720199999999994,0.40110999999999997,0.405134,0.40915799999999997,0.413182,0.41720599999999997,0.42123,0.425376,0.42952199999999996,0.433668,0.437814,0.44195999999999996,0.446212,0.450464,0.454716,0.458968,0.46322,0.467554,0.47188800000000003,0.476222,0.480556,0.48489,0.489278,0.493666,0.498054,0.502442,0.50683,0.511224,0.515618,0.520012,0.524406,0.5288,0.5331720000000001,0.537544,0.5419160000000001,0.546288,0.55066,0.554992,0.559324,0.5636559999999999,0.5679879999999999,0.5723199999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wup_urban_pop,0.053616,0.05634259999999999,0.059069199999999995,0.06179579999999999,0.0645224,0.06724899999999999,0.07056559999999999,0.0738822,0.07719879999999998,0.08051539999999999,0.08383199999999999,0.0857926,0.0877532,0.0897138,0.0916744,0.09363500000000001,0.0964504,0.0992658,0.10208120000000001,0.1048966,0.107712,0.1110022,0.1142924,0.1175826,0.1208728,0.124163,0.1278464,0.1315298,0.1352132,0.1388966,0.14258,0.1567086,0.17083720000000002,0.1849658,0.1990944,0.21322300000000002,0.2329948,0.2527666,0.2725384,0.29231019999999996,0.31208199999999997,0.327833,0.343584,0.35933499999999996,0.375086,0.390837,0.4027866,0.4147362,0.42668579999999995,0.43863539999999995,0.45058499999999996,0.4658458,0.4811066,0.4963674,0.5116282000000001,0.526889,0.546326,0.565763,0.5851999999999999,0.604637,0.6240739999999999,0.648419,0.6727639999999999,0.697109,0.7214539999999999,0.745799,0.7734856,0.8011722,0.8288588,0.8565454,0.884232,0.9150804,0.9459288,0.9767771999999999,1.0076256,1.038474,1.0725057999999998,1.1065376,1.1405694,1.1746012000000001,1.208633,1.2462172,1.2838014,1.3213856000000002,1.3589698000000001,1.396554,1.4378212000000001,1.4790884000000002,1.5203556,1.5616228,1.6028900000000001,1.6474716,1.6920532000000001,1.7366348,1.7812164000000001,1.825798,1.8730216,1.9202452,1.9674688,2.0146924,2.061916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wup_rural_pop,0.481814,0.4870778,0.4923416,0.4976054,0.5028691999999999,0.508133,0.5130218,0.5179106,0.5227993999999999,0.5276881999999999,0.532577,0.537847,0.543117,0.5483870000000001,0.5536570000000001,0.5589270000000001,0.5679646,0.5770022,0.5860398,0.5950774,0.604115,0.6141534,0.6241918,0.6342302,0.6442686,0.654307,0.6551004,0.6558938,0.6566872,0.6574806,0.658274,0.6638764,0.6694788,0.6750811999999999,0.6806835999999999,0.686286,0.6890683999999999,0.6918508,0.6946332,0.6974156,0.700198,0.7094154,0.7186328,0.7278502,0.7370675999999999,0.746285,0.7555568,0.7648286,0.7741004,0.7833722,0.792644,0.804905,0.817166,0.829427,0.841688,0.853949,0.8695204,0.8850918,0.9006632,0.9162346,0.931806,0.9503902000000001,0.9689744000000001,0.9875586000000001,1.0061428000000001,1.0247270000000002,1.043074,1.0614210000000002,1.079768,1.0981150000000002,1.116462,1.1338478,1.1512336,1.1686194,1.1860052,1.203391,1.2195022,1.2356134,1.2517246,1.2678358,1.283947,1.2989414,1.3139357999999999,1.3289302,1.3439246,1.358919,1.3727964,1.3866738,1.4005512,1.4144286000000001,1.428306,1.4406212,1.4529364,1.4652516000000002,1.4775668000000002,1.4898820000000002,1.5000696,1.5102572,1.5204448,1.5306324,1.5408199999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wup_rural_prop,0.89986,0.896512,0.893164,0.8898159999999999,0.886468,0.88312,0.879296,0.875472,0.871648,0.8678239999999999,0.864,0.862502,0.861004,0.859506,0.858008,0.85651,0.8549439999999999,0.853378,0.851812,0.8502460000000001,0.84868,0.847044,0.8454079999999999,0.843772,0.842136,0.8405,0.836792,0.833084,0.829376,0.8256680000000001,0.82196,0.81016,0.79836,0.78656,0.77476,0.76296,0.7487079999999999,0.734456,0.7202040000000001,0.705952,0.6917,0.684618,0.677536,0.670454,0.6633720000000001,0.65629,0.652546,0.648802,0.6450579999999999,0.6413139999999999,0.63757,0.633742,0.629914,0.626086,0.622258,0.61843,0.614522,0.610614,0.606706,0.6027980000000001,0.59889,0.594866,0.5908420000000001,0.5868180000000001,0.582794,0.57877,0.574624,0.570478,0.5663320000000001,0.5621860000000001,0.5580400000000001,0.553788,0.549536,0.545284,0.541032,0.53678,0.532446,0.5281119999999999,0.5237780000000001,0.519444,0.51511,0.510722,0.5063340000000001,0.501946,0.49755799999999994,0.49317,0.488776,0.484382,0.47998799999999997,0.47559399999999996,0.47119999999999995,0.4668279999999999,0.462456,0.45808399999999994,0.453712,0.44933999999999996,0.44500799999999996,0.44067599999999996,0.43634400000000007,0.43201200000000006,0.42768000000000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
urban_pop_median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.038474,1.0725057999999998,1.1065376,1.1405694,1.1746012000000001,1.208633,1.2462172,1.2838014,1.3213856000000002,1.3589698000000001,1.396554,1.4378212000000001,1.4790884000000002,1.5203556,1.5616228,1.6028900000000001,1.6474716,1.6920532000000001,1.7366348,1.7812164000000001,1.825798,1.8730216,1.9202452,1.9674688,2.0146924,2.061916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
