,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
wpp_median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7547710000000003,1.8006860000000002,1.8466010000000002,1.892516,1.938431,1.9844680000000001,2.030754,2.077262,2.123702,2.170445,2.2180839999999997,2.26703,2.3159989999999997,2.364852,2.41427,2.463889,2.513958,2.5648530000000003,2.615425,2.665586,2.715482,2.764776,2.8137730000000003,2.862519,2.911235,2.959096,3.00556,3.051491,3.097638,3.143728,3.190136,3.237094,3.284237,3.331639,3.3791320000000002,3.425911,3.472109,3.5189090000000003,3.56552,3.610535,3.654515,3.697765,3.740624,3.784117,3.827946,3.8707409999999998,3.9124540000000003,3.95319,3.99422,4.036253,4.0776129999999995,4.118431999999999,4.159066,4.199394,4.2401480000000005,4.281147,4.320748,4.3586279999999995,4.396374,4.433198999999999,4.468442,4.5024239999999995,4.535219,4.568716,4.601319999999999,4.631729,4.661875,4.692341000000001,4.722944999999999,4.75186,4.778441,4.805066,4.8324549999999995,4.859878,4.886362,4.91097,4.9347520000000005,4.958289,4.981039,5.003223
wpp_lower95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.844548,1.855164,1.86578,1.876396,1.887012,1.8911479999999998,1.890887,1.887367,1.882442,1.876893,1.867521,1.859882,1.855663,1.851247,1.8394490000000001,1.826257,1.8236700000000001,1.820118,1.817563,1.814994,1.808866,1.809481,1.815768,1.8161530000000001,1.809671,1.799801,1.781566,1.763002,1.7562119999999999,1.759171,1.75746,1.749665,1.740638,1.738021,1.742819,1.742568,1.734808,1.734748,1.740507,1.749552,1.7591949999999998,1.7604870000000001,1.763426,1.770814,1.7739610000000001,1.754494,1.740548,1.731597,1.711875,1.6971289999999999,1.670326,1.6508530000000001,1.656457,1.650639,1.640548,1.6410129999999998,1.631159,1.610831,1.6055920000000001,1.622598,1.637945,1.642587,1.635122,1.6141690000000002,1.6013510000000002,1.603648,1.611233,1.625103,1.6413330000000002,1.651461,1.662334,1.6638,1.661897,1.6454090000000001,1.626929,1.636711,1.6497080000000002,1.657736,1.681402,1.707589
wpp_lower80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8128310000000005,1.8358450000000004,1.8588590000000003,1.8818730000000001,1.904887,1.923042,1.939208,1.955086,1.9692239999999999,1.98176,1.993769,2.003349,2.009093,2.016813,2.0249010000000003,2.030127,2.038301,2.045346,2.056694,2.068558,2.081277,2.098344,2.1099,2.1184659999999997,2.128273,2.132438,2.1237730000000004,2.1147869999999998,2.117627,2.1225859999999996,2.130472,2.141696,2.139221,2.140038,2.147161,2.142885,2.1380369999999997,2.154668,2.1683429999999997,2.1731100000000003,2.182954,2.194735,2.208603,2.223793,2.237269,2.228344,2.212824,2.204615,2.1980500000000003,2.204588,2.202288,2.1984879999999998,2.225937,2.234963,2.227085,2.22709,2.224707,2.218661,2.215038,2.236245,2.262357,2.282899,2.2980270000000003,2.2931,2.2846979999999997,2.285411,2.285237,2.279725,2.2774810000000003,2.276866,2.274665,2.270667,2.269242,2.267081,2.255986,2.248086,2.246849,2.243495,2.258477,2.28086
wpp_upper80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.69725,1.765874,1.834498,1.903122,1.971746,2.043254,2.118613,2.198741,2.279755,2.363918,2.455079,2.546601,2.6388960000000004,2.74092,2.849886,2.961843,3.07865,3.1912849999999997,3.307556,3.4263600000000003,3.548674,3.682743,3.8099830000000003,3.935758,4.063337,4.184457999999999,4.319394,4.473641,4.639524000000001,4.800036,4.9527920000000005,5.121162999999999,5.307258,5.488422,5.651915,5.794292,5.957446,6.178986,6.396715,6.593586,6.779795,6.976956,7.189539,7.365024999999999,7.544447,7.750106,7.97492,8.214176,8.459691000000001,8.687286,8.900189000000001,9.165434999999999,9.425576,9.651009,9.875276,10.089001,10.287346,10.505627,10.777689,11.076486999999998,11.414755,11.739796,11.992728999999999,12.209348,12.449866,12.685134,12.920536,13.262338,13.648706,13.911332,14.178565,14.539860000000001,14.891641,15.189289,15.485163,15.763225,15.932724,16.118242,16.333181,16.554287
wpp_upper95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.669060999999999,1.7488049999999993,1.8285489999999995,1.9082929999999998,1.988037,2.070713,2.1594189999999998,2.255353,2.3551599999999997,2.462215,2.582187,2.706736,2.831629,2.967741,3.109985,3.252301,3.4166239999999997,3.597659,3.767572,3.926739,4.098388,4.282398,4.456977,4.627136999999999,4.81188,5.034521,5.284778,5.5326580000000005,5.815390000000001,6.116304,6.368811,6.630973,6.9464939999999995,7.2538670000000005,7.5651459999999995,7.890326,8.193864,8.552238,8.960134,9.338277,9.759264,10.152276,10.475937,10.875566000000001,11.319040000000001,11.738248,12.168864,12.622566,13.141137,13.680187,14.123965,14.633947000000001,15.310049999999999,15.957736,16.512306,17.037731,17.552448000000002,18.266669,18.937493,19.469336,19.907555,20.200549,20.735521000000002,21.368248,22.020125,22.76508,23.683098,24.492679,25.098095,26.073553,27.110816,28.093491999999998,29.232795999999997,30.312604999999998,31.318677,32.461977,33.503695,34.42544,35.285041,36.081563
wup_urban_prop,0.15463,0.164414,0.174198,0.183982,0.193766,0.20355,0.213914,0.224278,0.234642,0.245006,0.25537,0.2573,0.25922999999999996,0.26116,0.26309,0.26502,0.265924,0.266828,0.26773199999999997,0.268636,0.26954,0.270452,0.271364,0.272276,0.273188,0.2741,0.275024,0.275948,0.276872,0.27779600000000004,0.27872,0.282856,0.286992,0.291128,0.295264,0.2994,0.30901,0.31862,0.32822999999999997,0.33784,0.34745,0.358948,0.370446,0.381944,0.393442,0.40494,0.422136,0.439332,0.456528,0.473724,0.49091999999999997,0.508216,0.525512,0.542808,0.560104,0.5774,0.5938,0.6102,0.6266,0.643,0.6594,0.668752,0.678104,0.687456,0.696808,0.70616,0.711128,0.716096,0.721064,0.726032,0.731,0.73538,0.73976,0.74414,0.74852,0.7529,0.756734,0.760568,0.7644019999999999,0.7682359999999999,0.7720699999999999,0.775404,0.7787379999999999,0.782072,0.7854059999999999,0.78874,0.791612,0.794484,0.7973560000000001,0.800228,0.8031,0.805658,0.808216,0.810774,0.813332,0.81589,0.818318,0.820746,0.823174,0.825602,0.8280299999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wup_urban_pop,0.034875,0.037645000000000005,0.040415000000000006,0.043185,0.045955,0.048725000000000004,0.0520204,0.0553158,0.0586112,0.0619066,0.065202,0.0668648,0.06852760000000001,0.0701904,0.0718532,0.07351600000000001,0.07533640000000001,0.07715680000000001,0.0789772,0.0807976,0.082618,0.080334,0.07805,0.075766,0.07348199999999999,0.071198,0.0711912,0.0711844,0.07117760000000001,0.0711708,0.071164,0.0784222,0.0856804,0.0929386,0.1001968,0.107455,0.1156252,0.1237954,0.13196560000000002,0.14013580000000003,0.14830600000000002,0.15953360000000003,0.1707612,0.1819888,0.1932164,0.204444,0.2238724,0.24330079999999998,0.2627292,0.2821576,0.301586,0.3287238,0.3558616,0.3829994,0.4101372,0.43727499999999997,0.4752514,0.5132278,0.5512042,0.5891806,0.6271570000000001,0.6677282000000001,0.7082994,0.7488706,0.7894418000000001,0.830013,0.8696084,0.9092038,0.9487992,0.9883945999999999,1.02799,1.0688346,1.1096792,1.1505238,1.1913684,1.232213,1.2747142,1.3172154,1.3597166,1.4022178,1.444719,1.4877904000000002,1.5308618,1.5739332000000001,1.6170046,1.660076,1.7053098,1.7505436,1.7957774,1.8410112,1.886245,1.932713,1.9791809999999999,2.025649,2.072117,2.118585,2.1659766,2.2133682,2.2607597999999998,2.3081514,2.355543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wup_rural_pop,0.190662,0.1906596,0.1906572,0.1906548,0.1906524,0.19065000000000001,0.19054420000000002,0.1904384,0.19033260000000002,0.1902268,0.190121,0.1928728,0.1956246,0.1983764,0.2011282,0.20388,0.2078834,0.2118868,0.2158902,0.2198936,0.22389699999999998,0.21682739999999998,0.2097578,0.20268819999999999,0.1956186,0.188549,0.1876714,0.18679379999999998,0.1859162,0.1850386,0.184161,0.197617,0.211073,0.224529,0.237985,0.251441,0.2568608,0.26228060000000003,0.2677004,0.27312020000000004,0.27854,0.2829174,0.2872948,0.2916722,0.2960496,0.300427,0.302889,0.30535100000000004,0.307813,0.310275,0.31273700000000004,0.31419800000000003,0.315659,0.31712,0.318581,0.320042,0.32082299999999997,0.321604,0.322385,0.323166,0.323947,0.3282328,0.3325186,0.33680439999999995,0.34109019999999995,0.34537599999999996,0.35195879999999996,0.35854159999999996,0.3651244,0.3717072,0.37829,0.3835138,0.3887376,0.3939614,0.3991852,0.404409,0.4088274,0.4132458,0.4176642,0.4220826,0.42650099999999996,0.4301312,0.43376139999999996,0.4373916,0.44102179999999996,0.444652,0.4482154,0.4517788,0.45534220000000003,0.4589056,0.462469,0.4655886,0.4687082,0.4718278,0.4749474,0.478067,0.4802938,0.4825206,0.4847474,0.4869742,0.489201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wup_rural_prop,0.84537,0.8355859999999999,0.825802,0.816018,0.806234,0.79645,0.7860860000000001,0.775722,0.765358,0.7549939999999999,0.74463,0.7427,0.74077,0.7388399999999999,0.73691,0.73498,0.734076,0.7331719999999999,0.732268,0.731364,0.73046,0.729548,0.7286360000000001,0.727724,0.726812,0.7259,0.7249760000000001,0.7240519999999999,0.723128,0.722204,0.7212799999999999,0.717144,0.713008,0.708872,0.704736,0.7006,0.69099,0.68138,0.67177,0.6621600000000001,0.65255,0.641052,0.629554,0.6180559999999999,0.6065579999999999,0.5950599999999999,0.5778639999999999,0.5606679999999999,0.543472,0.526276,0.50908,0.491784,0.474488,0.45719200000000004,0.43989599999999995,0.4226,0.4062,0.38980000000000004,0.37339999999999995,0.357,0.3406,0.331248,0.32189599999999996,0.31254400000000004,0.303192,0.29384,0.288872,0.28390400000000005,0.27893599999999996,0.273968,0.269,0.26461999999999997,0.26024,0.25586,0.25148000000000004,0.2471,0.24326599999999998,0.23943199999999998,0.23559800000000009,0.23176400000000008,0.22793000000000008,0.22459600000000002,0.22126200000000007,0.217928,0.21459400000000006,0.21126,0.20838800000000002,0.20551600000000003,0.20264399999999994,0.19977199999999995,0.19689999999999996,0.19434200000000001,0.19178399999999995,0.189226,0.18666799999999995,0.18411,0.181682,0.17925400000000002,0.17682600000000004,0.17439800000000005,0.17197000000000007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
urban_pop_median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.232213,1.2747142,1.3172154,1.3597166,1.4022178,1.444719,1.4877904000000002,1.5308618,1.5739332000000001,1.6170046,1.660076,1.7053098,1.7505436,1.7957774,1.8410112,1.886245,1.932713,1.9791809999999999,2.025649,2.072117,2.118585,2.1659766,2.2133682,2.2607597999999998,2.3081514,2.355543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
