,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
wpp_median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.13430000000003,54.23384800000002,55.333396000000015,56.432944000000006,57.532492,58.636412,59.74575299999999,60.860444,61.979186,63.102246,64.230118,65.359034,66.48481,67.60463,68.715909,69.81888599999999,70.910401,71.990934,73.057766,74.108863,75.144352,76.161724,77.15912399999999,78.13498,79.088836,80.022375,80.938647,81.837664,82.72177099999999,83.593239,84.451673,85.294265,86.12094599999999,86.932929,87.732152,88.519874,89.300068,90.072742,90.829758,91.56958,92.29387200000001,93.001109,93.685074,94.345004,94.982484,95.598343,96.191419,96.760578,97.305742,97.825655,98.32281,98.797656,99.244966,99.664918,100.06262,100.440788,100.798,101.131619,101.44538899999999,101.743624,102.02268600000001,102.279087,102.517578,102.73928599999999,102.945214,103.13763300000001,103.31492,103.4782,103.62869,103.764128,103.881424,103.98050199999999,104.061383,104.12511500000001,104.175477,104.212773,104.23129399999999,104.234508,104.224938,104.1955
wpp_lower95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.84743100000001,54.667004000000006,55.486577000000004,56.30615,57.125723,57.915868,58.689761,59.448315,60.178587,60.875938999999995,61.550241,62.215381,62.87113,63.485004999999994,64.059101,64.661879,65.240854,65.75844500000001,66.280397,66.813641,67.305988,67.823629,68.322265,68.66847,68.971664,69.282285,69.530682,69.79705499999999,70.103615,70.31348200000001,70.51222800000001,70.841846,71.100443,71.304062,71.54679700000001,71.59074000000001,71.587412,71.774167,71.991094,72.13611999999999,72.24778599999999,72.291027,72.26078299999999,72.053121,71.776865,71.511194,71.326807,71.275073,71.20682099999999,71.01594899999999,70.668052,70.28036999999999,69.995167,69.773894,69.536406,69.205725,68.96549800000001,68.710127,68.321369,68.057607,67.72454499999999,67.38229700000001,66.78808900000001,66.115184,65.712783,65.349569,65.002445,64.56409,64.064307,63.554769,63.021586000000006,62.443222999999996,61.970947,61.620406,61.124962,60.521322,59.91432,59.31647,58.746495,58.157608999999994
wpp_lower80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.59302500000003,54.509486000000024,55.425947000000015,56.342408000000006,57.258869,58.170944000000006,59.054905,59.922197,60.784414,61.629801,62.46524,63.284526,64.110784,64.915936,65.649471,66.364841,67.084354,67.81963400000001,68.555927,69.244174,69.867642,70.507283,71.114096,71.642821,72.18944599999999,72.672118,73.107878,73.542318,73.973304,74.383296,74.82711,75.322929,75.745075,76.13480100000001,76.55892999999999,76.913212,77.17407700000001,77.55040600000001,78.008189,78.32036500000001,78.63303,78.976488,79.209197,79.30139,79.29825100000001,79.370041,79.50858500000001,79.649202,79.808645,79.904185,79.84449000000001,79.73343799999999,79.71382000000001,79.75913,79.677037,79.64392,79.727029,79.673197,79.491945,79.343659,79.116068,78.776321,78.41574899999999,78.099979,77.897103,77.784333,77.65502400000001,77.414012,77.150927,76.76601600000001,76.38502899999999,76.021654,75.58057799999999,75.226297,74.882992,74.473821,73.970929,73.558109,73.27441400000001,72.914497
wpp_upper80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.669861000000004,53.953143000000004,55.236425000000004,56.519707000000004,57.802989000000004,59.118826999999996,60.46293,61.820303,63.198803,64.590068,66.011702,67.47283900000001,68.945047,70.416679,71.87364,73.36157,74.853391,76.30368399999999,77.740054,79.19424599999999,80.609765,81.98106,83.4249,84.82951,86.128448,87.419335,88.728125,90.062106,91.40071,92.744091,94.08783199999999,95.506981,96.94274800000001,98.31994999999999,99.738558,101.227449,102.654739,104.1489,105.781682,107.280436,108.723036,110.198129,111.637826,113.03053,114.421099,115.764933,117.110561,118.50917299999999,119.942685,121.385444,122.613853,123.666241,124.953406,126.435924,127.66709900000001,129.015725,130.540621,131.714633,132.844987,134.13898600000002,135.240305,136.368272,137.541054,138.64769,139.94824799999998,141.207602,142.359046,143.586454,144.936765,146.31498499999998,147.441949,148.362481,149.420333,150.494492,151.432388,152.34536300000002,153.039332,153.901283,155.152105,156.16760200000002
wpp_upper95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.388791000000005,53.780922000000004,55.173053,56.565184,57.957315,59.39989,60.870650999999995,62.361511,63.900193,65.477008,67.06645,68.682625,70.31210300000001,71.906062,73.421224,75.064466,76.78992699999999,78.35882799999999,80.023507,81.699084,83.337947,85.12141700000001,86.855204,88.48093700000001,90.07850900000001,91.700519,93.39319400000001,95.04783599999999,96.786818,98.663795,100.441439,102.211393,104.06496700000001,105.997202,107.798899,109.640623,111.739688,113.87665799999999,116.124934,118.245085,120.328398,122.604747,124.83742,126.952066,129.062383,131.07141000000001,133.023526,135.18400599999998,137.430279,139.53417100000001,141.398293,143.31397399999997,145.466842,147.616462,149.652111,151.895131,154.138124,156.39060500000002,158.761177,160.953948,162.903073,164.99852299999998,166.951889,168.53622000000001,170.339902,172.43949600000002,174.78592,176.951384,179.07086999999999,180.995508,182.98122800000002,185.398635,187.97787,190.46492,192.42237899999998,194.742871,197.275089,199.547454,201.902082,203.98078
wup_urban_prop,0.0559,0.057558,0.059216,0.060874,0.062532,0.06419,0.066076,0.067962,0.06984800000000001,0.071734,0.07362,0.07610600000000001,0.07859200000000001,0.081078,0.083564,0.08605,0.08943,0.09281,0.09619,0.09957,0.10295,0.108188,0.113426,0.118664,0.12390200000000001,0.12914,0.13447800000000001,0.139816,0.145154,0.150492,0.15583,0.156822,0.157814,0.158806,0.15979800000000002,0.16079000000000002,0.16212800000000002,0.16346600000000003,0.164804,0.166142,0.16748000000000002,0.17051000000000002,0.17354000000000003,0.17657,0.1796,0.18263000000000001,0.185888,0.189146,0.192404,0.195662,0.19891999999999999,0.202486,0.20605199999999999,0.209618,0.21318399999999998,0.21675,0.220542,0.224334,0.228126,0.231918,0.23571,0.23988400000000001,0.24405800000000002,0.248232,0.252406,0.25658000000000003,0.26125400000000004,0.26592800000000005,0.270602,0.275276,0.27995000000000003,0.285136,0.290322,0.295508,0.300694,0.30588,0.311558,0.317236,0.322914,0.328592,0.33427,0.340374,0.346478,0.352582,0.358686,0.36479,0.37116,0.37753,0.3839,0.39027,0.39664,0.403196,0.409752,0.416308,0.422864,0.42942,0.43610200000000005,0.442784,0.44946600000000003,0.456148,0.46283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wup_urban_pop,0.339667,0.3613438,0.3830206,0.4046974,0.4263742,0.448051,0.4777922,0.5075334,0.5372745999999999,0.5670158,0.596757,0.6409872,0.6852174,0.7294476,0.7736778,0.817908,0.8860193999999999,0.9541308,1.0222422,1.0903535999999998,1.1584649999999999,1.2751177999999999,1.3917705999999999,1.5084233999999999,1.6250762,1.741729,1.9004348,2.0591406,2.2178464,2.3765522,2.535258,2.6601527999999997,2.7850476,2.9099424,3.0348372,3.159732,3.311673,3.4636139999999997,3.615555,3.767496,3.919437,4.1344094,4.3493818,4.5643541999999995,4.7793266,4.994299,5.2466762,5.4990534,5.7514306,6.003807800000001,6.256185,6.5676388,6.8790926,7.190546400000001,7.5020002,7.813454,8.200097,8.58674,8.973383,9.360026000000001,9.746669,10.2212864,10.6959038,11.1705212,11.6451386,12.119755999999999,12.6908166,13.261877199999999,13.8329378,14.403998399999999,14.975059,15.654440600000001,16.3338222,17.0132038,17.692585400000002,18.371967,19.1741704,19.9763738,20.7785772,21.5807806,22.382984,23.3115856,24.2401872,25.168788799999998,26.0973904,27.025992,28.0691706,29.112349199999997,30.155527799999998,31.1987064,32.241884999999996,33.38857719999999,34.5352694,35.681961599999994,36.8286538,37.975345999999995,39.217220999999995,40.459095999999995,41.700970999999996,42.942845999999996,44.184720999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wup_rural_pop,5.737091,5.8960488,6.0550066000000005,6.2139644,6.3729222000000005,6.53188,6.7272406,6.9226012,7.1179618,7.3133224,7.5086829999999996,7.7443054,7.9799278,8.2155502,8.4511726,8.686795,8.9682414,9.2496878,9.5311342,9.8125806,10.094027,10.4242016,10.7543762,11.0845508,11.4147254,11.7449,12.1426664,12.5404328,12.9381992,13.3359656,13.733732,14.2852842,14.8368364,15.388388599999999,15.939940799999999,16.491493,17.0898084,17.6881238,18.2864392,18.8847546,19.48307,20.0568874,20.6307048,21.2045222,21.7783396,22.352157,22.920585199999998,23.489013399999997,24.0574416,24.6258698,25.194298,25.8024052,26.410512399999998,27.0186196,27.6267268,28.234834,28.9085638,29.5822936,30.2560234,30.9297532,31.603483,32.306087,33.008691,33.711295,34.413898999999994,35.116502999999994,35.79653,36.476557,37.156583999999995,37.836611,38.516638,39.1515486,39.786459199999996,40.4213698,41.0562804,41.691190999999996,42.268354599999995,42.845518199999994,43.4226818,43.9998454,44.577009,45.073629999999994,45.570251,46.066872,46.563493,47.060114,47.4570872,47.8540604,48.2510336,48.648006800000005,49.04498,49.3277456,49.6105112,49.8932768,50.1760424,50.458808,50.6235296,50.7882512,50.9529728,51.1176944,51.282416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wup_rural_prop,0.9441,0.942442,0.940784,0.939126,0.937468,0.93581,0.933924,0.932038,0.930152,0.928266,0.92638,0.923894,0.921408,0.918922,0.916436,0.91395,0.91057,0.9071899999999999,0.90381,0.90043,0.89705,0.891812,0.886574,0.881336,0.876098,0.87086,0.865522,0.8601840000000001,0.854846,0.849508,0.84417,0.843178,0.842186,0.841194,0.840202,0.83921,0.837872,0.836534,0.835196,0.833858,0.8325199999999999,0.82949,0.82646,0.82343,0.8204,0.8173699999999999,0.814112,0.810854,0.807596,0.804338,0.80108,0.7975140000000001,0.793948,0.790382,0.786816,0.78325,0.779458,0.775666,0.771874,0.7680819999999999,0.76429,0.760116,0.755942,0.751768,0.747594,0.74342,0.7387459999999999,0.734072,0.729398,0.7247239999999999,0.72005,0.7148639999999999,0.709678,0.704492,0.699306,0.6941200000000001,0.688442,0.6827639999999999,0.6770860000000001,0.671408,0.6657299999999999,0.659626,0.6535219999999999,0.647418,0.6413139999999999,0.63521,0.6288400000000001,0.6224700000000001,0.6161,0.60973,0.60336,0.596804,0.590248,0.583692,0.577136,0.57058,0.563898,0.5572159999999999,0.550534,0.543852,0.5371699999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
urban_pop_median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.371967,19.1741704,19.9763738,20.7785772,21.5807806,22.382984,23.3115856,24.2401872,25.168788799999998,26.0973904,27.025992,28.0691706,29.112349199999997,30.155527799999998,31.1987064,32.241884999999996,33.38857719999999,34.5352694,35.681961599999994,36.8286538,37.975345999999995,39.217220999999995,40.459095999999995,41.700970999999996,42.942845999999996,44.184720999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
