,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
wpp_median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.186985999999999,5.302681,5.418376,5.536949,5.657228,5.779303,5.902858,6.028036,6.154515999999999,6.282074,6.410626000000001,6.539863,6.67012,6.800916,6.932308,7.064345,7.196804,7.329593,7.462143,7.59435,7.726261999999999,7.857657000000001,7.988702,8.11967,8.249922,8.379107,8.507778,8.635984,8.76358,8.8907,9.016680000000001,9.141551999999999,9.265807,9.389262,9.512103999999999,9.633859000000001,9.754062,9.873414,9.991286,10.107693999999999,10.223412,10.337515999999999,10.449841000000001,10.560646,10.670494000000001,10.77892,10.885645,10.991351,11.095503,11.197486000000001,11.297762,11.396336999999999,11.492835999999999,11.587135,11.679129999999999,11.768604999999999,11.855599,11.940196,12.022245000000002,12.102636,12.181028,12.256446,12.329158,12.399467000000001,12.467051999999999,12.532153000000001,12.594959999999999,12.655564,12.714058000000001,12.769796,12.823126,12.875146,12.925585,12.974012,13.020415000000002,13.064651,13.107256,13.148577999999999,13.188191000000002,13.22614
wpp_lower95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.201530000000002,5.289319000000001,5.377108,5.465352,5.551932,5.636615,5.720715,5.803557,5.886189,5.970562,6.053187,6.132414,6.213431,6.294988,6.368725,6.4430309999999995,6.521514,6.594317,6.669155,6.739482,6.805218,6.874248,6.9362330000000005,6.994026,7.055454,7.121086,7.187294,7.245934,7.29029,7.334375,7.379723,7.415832999999999,7.454164,7.493201,7.5310500000000005,7.570526,7.603485,7.627063,7.648506,7.674522,7.707979999999999,7.7431779999999995,7.763649999999999,7.7706040000000005,7.773421999999999,7.777167,7.777137,7.774107,7.768394,7.754779999999999,7.742478,7.730731,7.710833,7.69954,7.681831,7.661296,7.651815,7.639663,7.618227,7.582896,7.55055,7.520816,7.483758,7.446815,7.415787999999999,7.3881499999999996,7.350823,7.291008,7.2377579999999995,7.1959040000000005,7.156721999999999,7.120754,7.069438,7.020492,6.980912999999999,6.932189999999999,6.886994,6.843735,6.790134,6.730885
wpp_lower80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1967279999999985,5.294104999999999,5.391482,5.489491,5.587532,5.685994,5.783712,5.880557,5.979323,6.079006000000001,6.176584,6.274398,6.371952,6.469095,6.563626,6.656035,6.747241,6.834964,6.925332999999999,7.017,7.104774,7.190002000000001,7.272474,7.356357,7.442666,7.525804,7.60694,7.684202,7.755897,7.827624,7.900608,7.966344,8.031930000000001,8.095013,8.152661,8.210269,8.270503000000001,8.333302,8.388994,8.435122999999999,8.476158999999999,8.520796,8.560450000000001,8.590877,8.618191000000001,8.648264,8.676285,8.701432,8.732355,8.761211,8.778018,8.783952,8.78536,8.79225,8.800098,8.806315,8.813996,8.827129000000001,8.835863,8.831634,8.834473,8.841081,8.827219999999999,8.807208000000001,8.785763999999999,8.758872,8.746336999999999,8.72695,8.704493000000001,8.694621999999999,8.681374,8.651753000000001,8.614961,8.577323,8.534107,8.493819,8.465919,8.437204,8.393484,8.35318
wpp_upper80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.177899999999999,5.311509,5.445118000000001,5.5817950000000005,5.7209200000000004,5.864901,6.011819999999999,6.161055,6.313953000000001,6.470455,6.629968,6.793093,6.958544,7.123567,7.28696,7.45538,7.625507,7.791416,7.962402,8.140502999999999,8.319792,8.497103,8.681207,8.874635,9.072833000000001,9.269099,9.465128,9.663554,9.863638000000002,10.066267,10.265758,10.465812,10.664012000000001,10.865504999999999,11.080228,11.296287,11.511861000000001,11.728605,11.940046,12.156038,12.377275,12.595794,12.814011,13.033686,13.260575999999999,13.492052,13.714115,13.934204,14.161874,14.38836,14.622254000000002,14.852552,15.06802,15.290813,15.520107,15.750234,15.979668,16.201024,16.423949,16.646888,16.871912000000002,17.101988000000002,17.328135999999997,17.541117999999997,17.754753,17.992805,18.238812999999997,18.47004,18.705261999999998,18.954133000000002,19.19341,19.425366999999998,19.64727,19.873158,20.133665,20.39737,20.65915,20.907906,21.112616000000003,21.34308
wpp_upper95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.174231,5.316401,5.458571,5.605041,5.757007,5.912127000000001,6.070769,6.23285,6.399239,6.5737309999999995,6.750646,6.930757,7.114319,7.297471,7.482549,7.671259,7.864945,8.058311,8.250921,8.445135,8.647243,8.852584,9.048235,9.253261,9.476468,9.697075,9.92156,10.144533,10.364370999999998,10.595537,10.83533,11.066342,11.298767,11.54942,11.787891,12.027145,12.286639,12.553181,12.846028,13.128770000000001,13.384493,13.646403,13.918142,14.186219999999999,14.476540000000002,14.816677,15.140801999999999,15.434395,15.738676,16.048477000000002,16.368225,16.681988,16.988968,17.321543000000002,17.653603,17.985088,18.342613,18.679037,18.969780999999998,19.262905,19.577036,19.951331,20.318946,20.605205,20.860704000000002,21.146532,21.487403999999998,21.819049,22.177197,22.568675,22.938599,23.308739000000003,23.684571,24.078554,24.466903,24.872858,25.292247,25.680749,26.063257,26.444866
wup_urban_prop,0.1297,0.134944,0.140188,0.145432,0.150676,0.15592,0.162,0.16808,0.17416,0.18024,0.18632,0.193272,0.200224,0.207176,0.214128,0.22108,0.228914,0.236748,0.244582,0.252416,0.26025,0.268964,0.277678,0.28639200000000004,0.29510600000000003,0.30382000000000003,0.31339000000000006,0.32296,0.33253000000000005,0.3421,0.35167000000000004,0.366082,0.380494,0.39490600000000003,0.409318,0.42373,0.449828,0.47592599999999996,0.5020239999999999,0.528122,0.5542199999999999,0.535296,0.5163719999999999,0.497448,0.478524,0.4596,0.456342,0.45308400000000004,0.449826,0.446568,0.44331000000000004,0.44675000000000004,0.45019000000000003,0.45363000000000003,0.45707000000000003,0.46051000000000003,0.464034,0.46755800000000003,0.471082,0.47460600000000003,0.47813,0.482144,0.486158,0.490172,0.49418599999999996,0.4982,0.502738,0.507276,0.511814,0.5163519999999999,0.52089,0.5259039999999999,0.530918,0.535932,0.540946,0.54596,0.551368,0.5567759999999999,0.562184,0.567592,0.573,0.578646,0.5842919999999999,0.589938,0.5955839999999999,0.6012299999999999,0.60681,0.61239,0.6179699999999999,0.6235499999999999,0.62913,0.634544,0.639958,0.645372,0.650786,0.6562,0.661418,0.666636,0.671854,0.677072,0.68229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wup_urban_pop,0.12062300000000001,0.1279968,0.1353706,0.1427444,0.1501182,0.157492,0.16774139999999998,0.1779908,0.1882402,0.1984896,0.208739,0.22239140000000002,0.2360438,0.2496962,0.2633486,0.277001,0.295331,0.313661,0.331991,0.350321,0.368651,0.3936624,0.41867380000000004,0.4436852,0.4686966,0.49370800000000004,0.5277784,0.5618488,0.5959192,0.6299896,0.66406,0.7170572,0.7700544,0.8230516,0.8760488,0.929046,0.9757016000000001,1.0223572,1.0690128,1.1156684000000001,1.1623240000000001,1.1204522000000001,1.0785804,1.0367086,0.9948368000000001,0.9529650000000001,1.0181182,1.0832714,1.1484246,1.2135778,1.278731,1.3233486,1.3679662000000001,1.4125838,1.4572014,1.501819,1.5790018,1.6561846,1.7333674,1.8105501999999998,1.8877329999999999,1.9585294,2.0293258,2.1001222,2.1709186000000003,2.241715,2.3250842,2.4084534,2.4918226000000003,2.5751918000000003,2.658561,2.7568992000000003,2.8552374,2.9535756,3.0519138,3.150252,3.2645750000000002,3.378898,3.493221,3.607544,3.721867,3.8518324,3.9817978000000003,4.1117632,4.2417286,4.371694000000001,4.5149914,4.6582888,4.8015862,4.9448836,5.088181,5.24315,5.3981189999999994,5.553088,5.708056999999999,5.863026,6.0282596,6.1934932,6.3587268,6.5239604,6.6891940000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wup_rural_pop,0.8094020000000001,0.8180366000000001,0.8266712,0.8353058000000001,0.8439404,0.8525750000000001,0.8643748000000001,0.8761746,0.8879744,0.8997742,0.911574,0.9244534,0.9373328,0.9502122000000001,0.9630916,0.975971,0.9903524,1.0047338,1.0191151999999999,1.0334965999999999,1.0478779999999999,1.0645634,1.0812488,1.0979341999999999,1.1146196,1.131305,1.1498948,1.1684846,1.1870744,1.2056642,1.224254,1.232105,1.239956,1.2478069999999999,1.255658,1.263509,1.1977888,1.1320686,1.0663483999999999,1.0006282,0.934908,0.9720297999999999,1.0091516,1.0462734,1.0833952,1.120517,1.2175718,1.3146266,1.4116814,1.5087362,1.605791,1.636515,1.667239,1.6979630000000001,1.728687,1.759411,1.8196072,1.8798034,1.9399996,2.0001957999999997,2.060392,2.0998948,2.1393975999999997,2.1789004,2.2184031999999996,2.2579059999999997,2.2953832,2.3328604,2.3703375999999996,2.4078147999999997,2.445292,2.4802024,2.5151128,2.5500232,2.5849336,2.619844,2.6505772000000003,2.6813104,2.7120436000000003,2.7427768,2.7735100000000004,2.7987214000000002,2.8239328,2.8491442000000005,2.8743556000000003,2.8995670000000002,2.9195396000000002,2.9395122000000002,2.9594848,2.9794574,2.99943,3.0139006,3.0283712,3.0428417999999997,3.0573124,3.071783,3.0803938,3.0890046,3.0976154,3.1062262,3.114837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wup_rural_prop,0.8703,0.865056,0.859812,0.854568,0.849324,0.8440799999999999,0.838,0.83192,0.82584,0.81976,0.81368,0.806728,0.799776,0.792824,0.785872,0.7789200000000001,0.7710859999999999,0.763252,0.755418,0.747584,0.73975,0.731036,0.722322,0.713608,0.7048939999999999,0.69618,0.6866099999999999,0.67704,0.66747,0.6578999999999999,0.64833,0.633918,0.619506,0.605094,0.5906819999999999,0.5762700000000001,0.550172,0.524074,0.4979760000000001,0.471878,0.44578000000000007,0.464704,0.48362800000000006,0.502552,0.521476,0.5404,0.543658,0.546916,0.5501739999999999,0.5534319999999999,0.5566899999999999,0.55325,0.5498099999999999,0.54637,0.5429299999999999,0.53949,0.5359659999999999,0.532442,0.528918,0.5253939999999999,0.5218700000000001,0.517856,0.513842,0.509828,0.505814,0.5018,0.497262,0.49272400000000005,0.488186,0.4836480000000001,0.47911000000000004,0.4740960000000001,0.469082,0.46406800000000004,0.45905399999999996,0.45404,0.44863200000000003,0.44322400000000006,0.437816,0.432408,0.42700000000000005,0.421354,0.4157080000000001,0.41006200000000004,0.4044160000000001,0.39877000000000007,0.39319000000000004,0.38761,0.3820300000000001,0.37645000000000006,0.37087000000000003,0.365456,0.360042,0.35462800000000005,0.349214,0.3438,0.33858200000000005,0.333364,0.32814600000000005,0.322928,0.31771000000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
urban_pop_median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.150252,3.2645750000000002,3.378898,3.493221,3.607544,3.721867,3.8518324,3.9817978000000003,4.1117632,4.2417286,4.371694000000001,4.5149914,4.6582888,4.8015862,4.9448836,5.088181,5.24315,5.3981189999999994,5.553088,5.708056999999999,5.863026,6.0282596,6.1934932,6.3587268,6.5239604,6.6891940000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
