,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
wpp_median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.281334,2.305826,2.330318,2.356083,2.381382,2.406247,2.43072,2.454824,2.478552,2.501946,2.525056,2.547869,2.5704160000000003,2.592634,2.6146439999999997,2.6364140000000003,2.657782,2.678824,2.699646,2.72018,2.7402710000000003,2.759908,2.77904,2.797647,2.8157310000000004,2.8333380000000004,2.850533,2.867124,2.883056,2.898368,2.9131039999999997,2.927288,2.9409319999999997,2.954085,2.966695,2.978717,2.990208,3.00105,3.011248,3.020908,3.029937,3.038384,3.046272,3.0535579999999998,3.0602460000000002,3.0663359999999997,3.071843,3.076768,3.081092,3.084772,3.087847,3.09032,3.092214,3.093622,3.0946089999999997,3.0950390000000003,3.094814,3.094097,3.0929070000000003,3.091266,3.089158,3.086573,3.083569,3.080123,3.076177,3.071802,3.0670659999999996,3.0619609999999997,3.056428,3.050402,3.0439279999999997,3.0370340000000002,3.0296909999999997,3.021882,3.013558,3.004892,2.99594,2.9866680000000003,2.977133,2.9672680000000002
wpp_lower95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2864820000000003,2.300052,2.3136219999999996,2.328306,2.341828,2.354755,2.36733,2.379445,2.39079,2.40219,2.411956,2.421017,2.429254,2.4354699999999996,2.442165,2.4484369999999998,2.454555,2.46076,2.46535,2.469457,2.474547,2.4802,2.482384,2.480436,2.480376,2.4819850000000003,2.481442,2.481341,2.4835030000000002,2.48148,2.4735970000000003,2.4678240000000002,2.459843,2.446319,2.436217,2.429168,2.420609,2.41049,2.399734,2.3867469999999997,2.372033,2.3593870000000003,2.3481439999999996,2.336898,2.324898,2.310608,2.294197,2.2784609999999996,2.262326,2.241457,2.222651,2.208413,2.19146,2.176236,2.159914,2.1357890000000004,2.114028,2.09458,2.073089,2.0511060000000003,2.0268479999999998,2.007528,1.990952,1.972953,1.9566130000000002,1.9341959999999998,1.9095820000000001,1.887707,1.868068,1.849097,1.825653,1.8014780000000001,1.773985,1.7448620000000001,1.7169780000000001,1.687898,1.659066,1.6310879999999999,1.607699,1.585562
wpp_lower80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2848260000000002,2.3021030000000002,2.31938,2.337986,2.355575,2.37233,2.388275,2.403997,2.419685,2.4343359999999996,2.447425,2.459898,2.472709,2.485844,2.499277,2.511383,2.522776,2.533668,2.543328,2.551981,2.5600479999999997,2.568346,2.576025,2.5824540000000002,2.589108,2.5949780000000002,2.599691,2.6043890000000003,2.608084,2.6096280000000003,2.609736,2.6103400000000003,2.610979,2.607894,2.6048739999999997,2.602763,2.5988629999999997,2.595977,2.591717,2.584884,2.577848,2.572114,2.565627,2.556601,2.545937,2.5355239999999997,2.525019,2.516092,2.504641,2.4906669999999997,2.479946,2.467533,2.453739,2.439491,2.4209490000000002,2.403864,2.390683,2.3765050000000003,2.360627,2.343448,2.324364,2.3074540000000003,2.2931190000000004,2.278074,2.263004,2.2462959999999996,2.225998,2.2044099999999998,2.1872399999999996,2.1714789999999997,2.1516100000000002,2.130038,2.106929,2.0846199999999997,2.064235,2.044369,2.022527,1.997748,1.9780499999999999,1.960656
wpp_upper80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2775579999999995,2.3096579999999998,2.341758,2.375432,2.4083870000000003,2.4409549999999998,2.473447,2.505016,2.537174,2.569976,2.60169,2.6331770000000003,2.664813,2.696884,2.7295079999999996,2.761358,2.793116,2.826136,2.858015,2.888839,2.92003,2.9506460000000003,2.9798470000000004,3.011476,3.046089,3.0779229999999997,3.107138,3.1370839999999998,3.168379,3.19919,3.230886,3.262475,3.2932159999999997,3.322808,3.353797,3.3864319999999997,3.41826,3.450304,3.481328,3.509773,3.5382730000000002,3.5677060000000003,3.5960900000000002,3.6238780000000004,3.651855,3.679656,3.7072849999999997,3.7340329999999997,3.7549029999999997,3.773892,3.7959169999999998,3.817247,3.841043,3.864288,3.886208,3.910256,3.932576,3.954442,3.9739679999999997,3.9914769999999997,4.006609,4.024792,4.051228,4.074215000000001,4.093831,4.115957000000001,4.140506,4.161386,4.178969,4.199661,4.218511,4.236727,4.255364999999999,4.273232,4.2965,4.3185020000000005,4.329845000000001,4.338941,4.354223,4.373771
wpp_upper95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.275676,2.311674,2.347672,2.385004,2.4216819999999997,2.457996,2.4944430000000004,2.530129,2.5670390000000003,2.605002,2.641844,2.680032,2.718438,2.7545070000000003,2.789401,2.825653,2.862091,2.897249,2.934996,2.974897,3.0147820000000003,3.0534760000000003,3.090238,3.1297449999999998,3.172127,3.212934,3.255772,3.298683,3.3390120000000003,3.3778270000000004,3.416194,3.458185,3.4993510000000003,3.538337,3.580197,3.622598,3.667319,3.710388,3.751163,3.7902869999999997,3.829542,3.87563,3.921756,3.967123,4.011032,4.05307,4.098058,4.142256000000001,4.179513,4.217472,4.263154,4.310149999999999,4.349546999999999,4.385587,4.427658,4.475528000000001,4.520152,4.563094,4.608029,4.653848,4.698223,4.741533,4.787366,4.83051,4.874625,4.917752999999999,4.961184,5.004486,5.043772,5.088006,5.125946,5.154546,5.187774,5.231253,5.270982,5.296747,5.329005,5.374949,5.4279399999999995,5.483541
wup_urban_prop,0.0175,0.018098,0.018696,0.019294,0.019892,0.020489999999999998,0.023416,0.026341999999999997,0.029267999999999995,0.032194,0.03512,0.040827999999999996,0.046535999999999994,0.052244,0.057952,0.06366,0.068144,0.072628,0.077112,0.081596,0.08608,0.090508,0.094936,0.099364,0.103792,0.10822,0.10947599999999999,0.110732,0.11198799999999999,0.113244,0.11449999999999999,0.115104,0.115708,0.116312,0.116916,0.11752000000000001,0.12195000000000002,0.12638000000000002,0.13081,0.13524000000000003,0.13967000000000002,0.145646,0.151622,0.157598,0.163574,0.16954999999999998,0.17473599999999997,0.17992199999999997,0.185108,0.190294,0.19548,0.20088199999999998,0.206284,0.21168599999999999,0.217088,0.22249,0.22758799999999998,0.23268599999999998,0.237784,0.242882,0.24797999999999998,0.2522,0.25642,0.26064,0.26486,0.26908,0.27332,0.27756,0.2818,0.28603999999999996,0.29028,0.295004,0.299728,0.304452,0.309176,0.3139,0.319122,0.324344,0.32956599999999997,0.334788,0.34001,0.34570799999999996,0.351406,0.357104,0.362802,0.3685,0.374616,0.380732,0.38684799999999997,0.392964,0.39908,0.405458,0.411836,0.41821400000000003,0.424592,0.43097,0.43747800000000003,0.443986,0.450494,0.45700199999999996,0.46351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wup_urban_pop,0.012844,0.0135044,0.0141648,0.0148252,0.0154856,0.016146,0.018898,0.02165,0.024402,0.027153999999999998,0.029906,0.035812199999999995,0.041718399999999996,0.047624599999999996,0.053530799999999996,0.059437,0.0653342,0.0712314,0.07712859999999999,0.0830258,0.088923,0.0960418,0.1031606,0.1102794,0.11739820000000001,0.124517,0.1296148,0.13471260000000002,0.1398104,0.1449082,0.150006,0.1546076,0.1592092,0.1638108,0.1684124,0.173014,0.1832144,0.1934148,0.2036152,0.2138156,0.224016,0.2389406,0.2538652,0.26878979999999997,0.2837144,0.298639,0.3119688,0.3252986,0.3386284,0.3519582,0.365288,0.3789802,0.39267240000000003,0.4063646,0.42005680000000006,0.43374900000000005,0.44820220000000005,0.46265540000000005,0.4771086,0.4915618,0.506015,0.5218412,0.5376674,0.5534935999999999,0.5693197999999999,0.5851459999999999,0.6029352,0.6207244,0.6385136,0.6563028,0.674092,0.694109,0.714126,0.734143,0.75416,0.774177,0.7966854,0.8191938,0.8417022000000001,0.8642106,0.886719,0.9122384,0.9377578,0.9632772000000001,0.9887966,1.014316,1.0430926,1.0718692,1.1006458,1.1294224,1.158199,1.1898406,1.2214821999999999,1.2531238,1.2847654,1.3164069999999999,1.3500918,1.3837766,1.4174613999999999,1.4511462,1.484831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wup_rural_pop,0.721101,0.7312128,0.7413246,0.7514364,0.7615482,0.77166,0.781665,0.79167,0.801675,0.81168,0.821685,0.8321916,0.8426982,0.8532048,0.8637113999999999,0.8742179999999999,0.8881998,0.9021815999999999,0.9161634,0.9301451999999999,0.9441269999999999,0.9605252,0.9769233999999999,0.9933215999999999,1.0097197999999998,1.0261179999999999,1.0529168,1.0797155999999999,1.1065144,1.1333132,1.160112,1.1879252,1.2157384,1.2435516000000002,1.2713648000000002,1.2991780000000002,1.3153268000000002,1.3314756,1.3476244000000002,1.3637732,1.379922,1.3964816,1.4130412,1.4296008,1.4461604000000001,1.46272,1.4708582000000001,1.4789964,1.4871346,1.4952728,1.503411,1.5058876,1.5083642000000002,1.5108408,1.5133174,1.515794,1.5195424000000002,1.5232908,1.5270392000000002,1.5307876,1.5345360000000001,1.5455286000000001,1.5565212000000002,1.5675138,1.5785064,1.589499,1.6012242,1.6129494,1.6246746,1.6363998,1.648125,1.6569306000000001,1.6657362,1.6745418,1.6833474,1.692153,1.69797,1.703787,1.7096040000000001,1.715421,1.721238,1.7246394,1.7280408,1.7314421999999998,1.7348435999999998,1.7382449999999998,1.7393956,1.7405461999999998,1.7416968,1.7428473999999998,1.743998,1.7428173999999999,1.7416368,1.7404562,1.7392756,1.738095,1.7342038,1.7303126,1.7264213999999998,1.7225301999999998,1.7186389999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wup_rural_prop,0.9825,0.981902,0.981304,0.980706,0.980108,0.97951,0.976584,0.973658,0.970732,0.9678059999999999,0.96488,0.959172,0.953464,0.947756,0.942048,0.93634,0.931856,0.927372,0.922888,0.918404,0.91392,0.909492,0.905064,0.900636,0.896208,0.89178,0.890524,0.889268,0.888012,0.886756,0.8855,0.884896,0.884292,0.883688,0.883084,0.8824799999999999,0.87805,0.87362,0.86919,0.86476,0.86033,0.8543540000000001,0.848378,0.842402,0.836426,0.83045,0.825264,0.8200780000000001,0.814892,0.809706,0.80452,0.799118,0.793716,0.788314,0.782912,0.77751,0.772412,0.767314,0.762216,0.757118,0.75202,0.7478,0.74358,0.73936,0.73514,0.73092,0.72668,0.72244,0.7182,0.71396,0.70972,0.704996,0.700272,0.695548,0.690824,0.6860999999999999,0.680878,0.675656,0.670434,0.665212,0.6599900000000001,0.6542920000000001,0.648594,0.642896,0.6371979999999999,0.6315,0.6253839999999999,0.6192679999999999,0.613152,0.607036,0.60092,0.594542,0.588164,0.5817859999999999,0.5754079999999999,0.5690299999999999,0.562522,0.556014,0.549506,0.5429980000000001,0.53649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
urban_pop_median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.774177,0.7966854,0.8191938,0.8417022000000001,0.8642106,0.886719,0.9122384,0.9377578,0.9632772000000001,0.9887966,1.014316,1.0430926,1.0718692,1.1006458,1.1294224,1.158199,1.1898406,1.2214821999999999,1.2531238,1.2847654,1.3164069999999999,1.3500918,1.3837766,1.4174613999999999,1.4511462,1.484831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
