,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
wpp_median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.897696,29.611714,30.325732,31.05661,31.797306,32.544738,33.299316,34.061943,34.830841,35.604442999999996,36.38279,37.165274,37.952413,38.742689,39.534122,40.326745,41.120987,41.918816,42.720774,43.524300000000004,44.328120000000006,45.131260000000005,45.935275000000004,46.740496,47.546606,48.355513,49.165426,49.974855000000005,50.784139,51.592965,52.399823,53.206238,54.012665999999996,54.818203000000004,55.619949999999996,56.416688,57.210138,57.999237,58.786068,59.569663999999996,60.345946000000005,61.116588,61.880165999999996,62.634952,63.382661999999996,64.121854,64.851019,65.573232,66.288488,66.996741,67.69905499999999,68.39090399999999,69.073458,69.74775199999999,70.410412,71.060446,71.700163,72.330872,72.949534,73.555981,74.152083,74.732965,75.299218,75.857443,76.405171,76.942334,77.46983999999999,77.987912,78.494607,78.988978,79.47233,79.943251,80.402036,80.848031,81.282878,81.710424,82.128831,82.535584,82.932562,83.316557
wpp_lower95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.984262,29.522286,30.06031,30.600912,31.138436000000002,31.675223000000003,32.187418,32.694630000000004,33.196783,33.677045,34.169925000000006,34.659324999999995,35.124972,35.604620000000004,36.092006999999995,36.575913,37.084073,37.56336,37.992283,38.480506,38.952343,39.32071,39.731405,40.214035,40.62095,40.952523,41.368736,41.793555999999995,42.205483,42.543089,42.802322999999994,43.15180599999999,43.463317,43.733087,44.010999000000005,44.308581,44.612867,44.854026,45.04743,45.195268,45.334168,45.466342,45.635214,45.828677000000006,45.937459000000004,45.975797,46.054759,46.191389,46.268415999999995,46.347994,46.483415,46.571987,46.580402,46.548216000000004,46.566275000000005,46.661353000000005,46.69454,46.575394,46.476243000000004,46.503756,46.542255,46.451307,46.360761,46.288572,46.174679,46.101225,45.963877000000004,45.788925000000006,45.60139,45.347833,45.044665,44.706969,44.421927000000004,44.269748,44.215514000000006,44.094563,43.882379,43.717867,43.599105,43.411389
wpp_lower80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.957626999999995,29.556941,30.156255,30.76273,31.378937999999998,31.999997999999998,32.606178,33.20841,33.81947,34.428397,35.035993000000005,35.641974999999995,36.249102,36.844621,37.427822,38.019146,38.621898,39.225595999999996,39.807468,40.380224000000005,40.942814,41.495323,42.030632,42.545939,43.076944000000005,43.611148,44.132398,44.621958,45.118190000000006,45.607116000000005,46.099326999999995,46.627734,47.08671,47.48882,47.896258,48.310334000000005,48.723926,49.089093,49.369068,49.629695,49.951714,50.302875,50.584023,50.832114000000004,51.132839999999995,51.381620000000005,51.660608,52.008335,52.262426,52.46913,52.709497000000006,52.915125,53.053025,53.199816,53.427792000000004,53.660708,53.773047,53.812734,53.875194,53.973459999999996,54.102862,54.153225,54.144328,54.187625,54.242357000000005,54.315871,54.340294,54.377301,54.45417,54.442798,54.368749,54.228077,54.048891000000005,53.990659,54.05856,54.039759,53.919954,53.840900999999995,53.795883,53.703781
wpp_upper80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.847350000000002,29.663579000000002,30.479808000000002,31.317134,32.176552,33.050993000000005,33.932324,34.832994,35.74897,36.66589,37.587398,38.535424,39.506648999999996,40.472894000000004,41.426619,42.403110999999996,43.413242,44.428974000000004,45.455424,46.500007,47.531597999999995,48.580937,49.670086000000005,50.757307999999995,51.878983999999996,53.050115,54.237926,55.438997,56.635768,57.822697999999995,59.026826,60.223157,61.427254999999995,62.654720999999995,63.901705,65.17193400000001,66.43802000000001,67.738593,69.015942,70.308346,71.69376799999999,73.034575,74.29460300000001,75.548175,76.93764900000001,78.366568,79.783088,81.27126700000001,82.74829799999999,84.26396000000001,85.83470200000001,87.35253999999999,88.732199,90.100902,91.56581299999999,93.01791800000001,94.43852899999999,95.8724,97.309554,98.699011,100.078141,101.543731,103.046814,104.58727400000001,106.24538700000001,107.900139,109.47031600000001,111.086421,112.736084,114.30051399999999,115.756867,117.23420200000001,118.74286000000001,120.317137,121.901852,123.347932,124.912521,126.67938000000001,128.403417,130.113277
wpp_upper95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.810924000000004,29.691389,30.571854,31.475626000000002,32.398682,33.3386,34.291707,35.282681,36.284176,37.287409,38.305265,39.332738,40.389314,41.477578,42.563078999999995,43.646632,44.785115,45.939025,47.095889,48.289307,49.497803999999995,50.733247000000006,51.990061000000004,53.252845,54.523016000000005,55.813743,57.093282,58.367276,59.725635000000004,61.183174,62.692748,64.200199,65.724661,67.290419,68.832752,70.35195200000001,71.89611900000001,73.46361999999999,75.077342,76.74935099999999,78.477222,80.221279,82.059147,83.983199,85.79854399999999,87.53436,89.267975,90.98142999999999,92.636496,94.378462,96.424662,98.61287399999999,100.483254,102.27588899999999,104.321335,106.258742,107.998853,109.926431,112.04657300000001,114.233636,116.392132,118.427372,120.40072900000001,122.483588,124.810477,126.99321400000001,129.138706,131.653421,134.069217,136.19262799999998,138.43277799999998,140.59357999999997,142.56536799999998,144.785938,147.249198,149.878954,152.56522099999998,155.21668400000001,157.95784899999998,160.641504
wup_urban_prop,0.078,0.080644,0.083288,0.085932,0.088576,0.09122,0.09426,0.0973,0.10034,0.10338,0.10642,0.109894,0.113368,0.116842,0.12031599999999999,0.12379,0.12723199999999998,0.13067399999999998,0.13411599999999999,0.13755799999999999,0.141,0.145468,0.14993599999999999,0.15440399999999999,0.15887199999999999,0.16333999999999999,0.16771999999999998,0.1721,0.17648,0.18086000000000002,0.18524000000000002,0.190058,0.194876,0.199694,0.204512,0.20933,0.21459599999999998,0.21986199999999997,0.225128,0.230394,0.23565999999999998,0.24011999999999997,0.24457999999999996,0.24903999999999998,0.25349999999999995,0.25795999999999997,0.26060999999999995,0.26326,0.26591,0.26856,0.27121,0.274596,0.277982,0.281368,0.284754,0.28814,0.294388,0.300636,0.306884,0.313132,0.31938,0.32589,0.3324,0.33891,0.34541999999999995,0.35192999999999997,0.358612,0.365294,0.371976,0.378658,0.38534,0.39208000000000004,0.39882,0.40556000000000003,0.4123,0.41904,0.42571200000000003,0.43238400000000005,0.439056,0.445728,0.4524,0.458822,0.465244,0.47166600000000003,0.478088,0.48451,0.49085999999999996,0.49721,0.50356,0.50991,0.5162599999999999,0.5225839999999999,0.5289079999999999,0.5352319999999999,0.5415559999999999,0.5478799999999999,0.5541259999999999,0.560372,0.566618,0.572864,0.57911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wup_urban_pop,0.318517,0.337702,0.356887,0.376072,0.395257,0.41444200000000003,0.4400848,0.46572759999999996,0.4913704,0.5170132,0.5426559999999999,0.5769645999999999,0.6112732,0.6455817999999999,0.6798903999999999,0.7141989999999999,0.7568109999999999,0.799423,0.842035,0.884647,0.927259,0.9886502,1.0500414,1.1114325999999999,1.1728238,1.2342149999999998,1.3103082,1.3864014,1.4624945999999999,1.5385878,1.614681,1.7130676,1.8114542,1.9098408,2.0082274,2.106614,2.2319476,2.3572812,2.4826148,2.6079483999999997,2.733282,2.8818516,3.0304212,3.1789908,3.3275604,3.47613,3.6361382,3.7961464,3.9561546000000005,4.116162800000001,4.276171000000001,4.4776454,4.6791198000000005,4.8805942,5.0820686,5.283543,5.5779018,5.872260600000001,6.1666194,6.4609782000000004,6.755337000000001,7.1100282,7.464719400000001,7.8194106,8.1741018,8.528793,8.9570848,9.3853766,9.8136684,10.2419602,10.670252,11.1761914,11.6821308,12.1880702,12.694009600000001,13.199949,13.7802912,14.3606334,14.9409756,15.521317799999998,16.10166,16.7468796,17.3920992,18.0373188,18.682538400000002,19.327758000000003,20.04324,20.758722000000002,21.474204,22.189686000000002,22.905168,23.6947446,24.4843212,25.2738978,26.0634744,26.853051,27.713989,28.574927000000002,29.435865,30.296803,31.157741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wup_rural_pop,3.765037,3.8378496,3.9106622,3.9834748,4.0562874,4.1291,4.2146234,4.3001468,4.3856702,4.4711936,4.556717,4.6563774,4.7560378000000005,4.8556982,4.9553586,5.055019000000001,5.173824400000001,5.2926298,5.411435200000001,5.5302406,5.649046,5.783599,5.918152,6.052705,6.187258,6.321810999999999,6.4778232,6.6338354,6.7898476,6.9458598,7.101872,7.2728738,7.4438756,7.6148774,7.7858792,7.956881,8.138575,8.320269,8.501963,8.683657,8.865351,9.0921348,9.3189186,9.545702400000001,9.772486200000001,9.999270000000001,10.297543000000001,10.595816000000001,10.894089000000001,11.192362000000001,11.490635000000001,11.8031442,12.115653400000001,12.4281626,12.740671800000001,13.053181,13.3218054,13.5904298,13.8590542,14.1276786,14.396303,14.6581014,14.9198998,15.1816982,15.4434966,15.705295,15.9683452,16.2313954,16.4944456,16.7574958,17.020546,17.2764624,17.5323788,17.7882952,18.0442116,18.300128,18.538159,18.77619,19.014221,19.252252,19.490282999999998,19.7049524,19.919621799999998,20.1342912,20.348960599999998,20.56363,20.7434016,20.9231732,21.1029448,21.2827164,21.462488,21.6019778,21.7414676,21.880957400000003,22.020447200000003,22.159937000000003,22.256916200000003,22.353895400000003,22.4508746,22.5478538,22.644833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wup_rural_prop,0.922,0.9193560000000001,0.916712,0.914068,0.911424,0.90878,0.90574,0.9027000000000001,0.89966,0.89662,0.89358,0.890106,0.886632,0.883158,0.879684,0.87621,0.872768,0.869326,0.865884,0.862442,0.859,0.8545320000000001,0.850064,0.845596,0.841128,0.83666,0.83228,0.8279,0.82352,0.81914,0.8147599999999999,0.8099419999999999,0.805124,0.800306,0.795488,0.79067,0.785404,0.780138,0.774872,0.769606,0.76434,0.75988,0.75542,0.7509600000000001,0.7465,0.74204,0.73939,0.73674,0.73409,0.73144,0.72879,0.7254039999999999,0.722018,0.7186319999999999,0.715246,0.7118599999999999,0.705612,0.699364,0.6931160000000001,0.686868,0.68062,0.67411,0.6676,0.66109,0.65458,0.64807,0.6413880000000001,0.634706,0.628024,0.6213420000000001,0.61466,0.60792,0.60118,0.59444,0.5877,0.5809599999999999,0.5742879999999999,0.5676159999999999,0.560944,0.554272,0.5476,0.5411779999999999,0.534756,0.528334,0.5219119999999999,0.51549,0.50914,0.5027900000000001,0.49644,0.49009,0.48374000000000006,0.47741600000000006,0.47109200000000007,0.46476800000000007,0.4584440000000001,0.4521200000000001,0.4458740000000001,0.439628,0.43338200000000004,0.42713599999999996,0.42089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
urban_pop_median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.199949,13.7802912,14.3606334,14.9409756,15.521317799999998,16.10166,16.7468796,17.3920992,18.0373188,18.682538400000002,19.327758000000003,20.04324,20.758722000000002,21.474204,22.189686000000002,22.905168,23.6947446,24.4843212,25.2738978,26.0634744,26.853051,27.713989,28.574927000000002,29.435865,30.296803,31.157741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
