,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
wpp_median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.893482,22.59359,23.293698,24.015789,24.758658,25.518081,26.292780999999998,27.083625,27.89051,28.712294,29.550408,30.404609,31.272674,32.155238000000004,33.051142,33.959625,34.881646999999994,35.81141,36.745658999999996,37.68779,38.640265,39.601808,40.569803,41.544496,42.526196000000006,43.508588,44.489504000000004,45.473455,46.457488,47.439803,48.423321,49.408177,50.39129,51.369962,52.348487999999996,53.329387000000004,54.306256999999995,55.276888,56.247296,57.218253,58.188614,59.15733,60.116402,61.068197999999995,62.013086,62.949279000000004,63.880496,64.805051,65.719829,66.622485,67.513141,68.394709,69.26617,70.12468799999999,70.969504,71.805062,72.627379,73.434674,74.233137,75.017018,75.785234,76.541346,77.281629,78.001846,78.70502400000001,79.39135300000001,80.05714900000001,80.70241,81.332321,81.945929,82.542443,83.121639,83.68154399999999,84.222986,84.74305100000001,85.244467,85.72839,86.194302,86.645133,87.079523
wpp_lower95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.979050999999995,22.51834,23.057629000000002,23.611321,24.173977999999998,24.726442,25.280506000000003,25.842457999999997,26.395279,26.92593,27.440227999999998,27.952538,28.476861,28.994911,29.507769,29.992214,30.432751,30.91797,31.433580000000003,31.945506,32.475328000000005,32.959678999999994,33.397912,33.840231,34.284084,34.687723,35.02749,35.405088000000006,35.797720999999996,36.15786,36.594972999999996,37.016812,37.368917,37.679939,37.968894999999996,38.252701,38.519809,38.758345,38.922088,39.177015,39.435896,39.637214,39.881434999999996,40.077690000000004,40.237497000000005,40.431666,40.625489,40.808508,41.034227,41.210794,41.257745,41.270493,41.300883999999996,41.329634,41.301177,41.270618999999996,41.284665000000004,41.227405,41.096214999999994,40.973265,40.938536,40.968050000000005,40.997287,40.908432999999995,40.712364,40.596658000000005,40.524415999999995,40.433842,40.307375,40.111466,39.927741999999995,39.770364,39.613771,39.440722,39.295016000000004,39.175706,39.024021999999995,38.822063,38.518498,38.170639
wpp_lower80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.949118,22.543522,23.137926,23.742662,24.350960999999998,24.965813999999998,25.590143,26.219776999999997,26.86086,27.494242999999997,28.121903999999997,28.756452,29.386971000000003,30.004966,30.626046,31.261485,31.890184,32.507816999999996,33.146882,33.775934,34.359097999999996,34.964124000000005,35.567401,36.142441,36.732224,37.295539,37.853943,38.425110999999994,38.953475,39.47075,40.023336,40.579183,41.102341,41.577366999999995,42.052260000000004,42.574699,43.045943,43.451431,43.841899,44.321081,44.774713000000006,45.166647,45.601953,46.000014,46.384541,46.736067000000006,47.02512599999999,47.31812,47.667855,47.976656000000006,48.247510000000005,48.497611,48.728763,48.987916,49.171377,49.38148,49.632695,49.718621,49.70836,49.700315,49.768735,49.947504,50.115802,50.171443,50.162834000000004,50.111286,50.132867,50.139402000000004,50.04857,49.992794,49.950282,49.935255,49.934875999999996,49.936748,49.955842,50.00893,49.952220000000004,49.841305999999996,49.732378,49.585901
wpp_upper80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.847196,22.636049,23.424902,24.248435,25.107097000000003,25.995632,26.914662,27.863795999999997,28.847271,29.854558,30.884987000000002,31.959453,33.075279,34.22135,35.406108,36.636095000000005,37.907236,39.196366000000005,40.504684999999995,41.861798,43.284562,44.759794,46.27592,47.791249,49.291805999999994,50.809057,52.35185,53.981749,55.614681,57.29174,59.132083,61.001447,62.833366000000005,64.651627,66.549115,68.604529,70.65889200000001,72.645761,74.602766,76.535033,78.597534,80.790836,82.922229,84.875141,86.92311199999999,89.13784299999999,91.39230400000001,93.67122900000001,95.706778,97.815831,100.15154,102.442681,104.78957799999999,107.16618799999999,109.383321,111.620603,114.12151,116.646886,118.95055,121.35116599999999,123.76647100000001,126.272373,129.053598,131.812472,134.520944,137.117352,139.708812,142.518537,145.294372,147.712013,150.128655,152.721348,155.21794500000001,157.579918,160.210883,163.151513,166.14819599999998,168.97480900000002,171.750275,174.512579
wpp_upper95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.821078999999997,22.658905999999998,23.496733,24.372659,25.285826,26.23518,27.223662,28.240405,29.285694,30.372453,31.502647,32.673809,33.906456,35.188995999999996,36.523348,37.912792,39.321152999999995,40.748579,42.248419999999996,43.819385000000004,45.413736,47.054124,48.787919,50.585308,52.476017999999996,54.442424,56.390474000000005,58.493658,60.624480000000005,62.711876,64.991237,67.383566,69.821235,72.296047,74.826961,77.461052,80.064022,82.787178,85.674438,88.661855,91.747163,94.76883000000001,97.949189,101.326658,104.58774700000001,107.921866,111.316547,114.899708,118.973979,122.948837,126.86016099999999,130.902752,134.68588699999998,138.374173,142.079464,145.89474600000003,149.993864,154.243216,158.13745,161.99045900000002,166.46615,171.25083999999998,176.356097,181.846739,187.050812,192.18107999999998,198.147255,204.432567,209.67252,214.386745,220.235529,226.572268,231.580786,236.303081,242.329504,248.77705600000002,255.157801,261.52000200000003,267.078407,271.92397600000004
wup_urban_prop,0.08471999999999999,0.08715999999999999,0.0896,0.09204,0.09448000000000001,0.09692,0.099668,0.10241600000000001,0.10516400000000001,0.10791200000000001,0.11066000000000001,0.11374400000000001,0.116828,0.119912,0.122996,0.12608,0.129524,0.132968,0.136412,0.139856,0.1433,0.147128,0.150956,0.154784,0.158612,0.16244,0.16692,0.1714,0.17588,0.18036,0.18484,0.189898,0.19495600000000002,0.200014,0.205072,0.21013,0.214748,0.219366,0.223984,0.228602,0.23321999999999998,0.237614,0.24200799999999997,0.24640199999999998,0.25079599999999996,0.25519,0.260864,0.266538,0.272212,0.277886,0.28356000000000003,0.290968,0.29837600000000003,0.305784,0.313192,0.3206,0.328478,0.336356,0.34423400000000004,0.35211200000000004,0.35999000000000003,0.367974,0.375958,0.383942,0.391926,0.39991,0.407746,0.415582,0.42341799999999996,0.43125399999999997,0.43909,0.44660999999999995,0.45413,0.46164999999999995,0.46917,0.47668999999999995,0.48372599999999993,0.4907619999999999,0.49779799999999996,0.5048339999999999,0.5118699999999999,0.5182399999999999,0.5246099999999999,0.53098,0.53735,0.54372,0.549732,0.555744,0.5617559999999999,0.5677679999999999,0.57378,0.5796859999999999,0.585592,0.591498,0.597404,0.60331,0.609068,0.614826,0.620584,0.626342,0.6321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wup_urban_pop,0.39889800000000003,0.41555980000000003,0.43222160000000004,0.4488834,0.4655452,0.482207,0.5022672,0.5223274,0.5423876,0.5624478,0.582508,0.6064202,0.6303324,0.6542446,0.6781568,0.7020689999999999,0.7321546,0.7622401999999999,0.7923258,0.8224113999999999,0.852497,0.8925879999999999,0.9326789999999999,0.9727699999999999,1.012861,1.0529519999999999,1.1044756,1.1559992,1.2075228,1.2590464,1.31057,1.3775984000000001,1.4446268,1.5116552,1.5786836000000002,1.645712,1.7114282,1.7771444,1.8428605999999998,1.9085767999999999,1.9742929999999999,2.0696204,2.1649477999999998,2.2602752,2.3556026,2.45093,2.5827476000000003,2.7145652,2.8463828,2.9782004000000004,3.110018,3.3086812,3.5073444,3.7060076000000004,3.9046708000000003,4.103334,4.3680526,4.6327712000000005,4.8974898,5.1622084,5.426927,5.7386602,6.0503934,6.3621266,6.6738598,6.985593,7.3698016,7.7540102,8.1382188,8.5224274,8.906636,9.363434,9.820232,10.27703,10.733828,11.190626,11.7224708,12.2543156,12.7861604,13.3180052,13.84985,14.449117000000001,15.048384,15.647651000000002,16.246918,16.846185000000002,17.5133788,18.1805726,18.847766399999998,19.514960199999997,20.182153999999997,20.916944599999997,21.651735199999997,22.3865258,23.1213164,23.856107,24.6499118,25.443716600000002,26.237521400000002,27.031326200000002,27.825131000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wup_rural_pop,4.309531,4.3462629999999995,4.382994999999999,4.419727,4.456459,4.4931909999999995,4.530797799999999,4.5684046,4.6060114,4.643618200000001,4.681225,4.718263,4.755301,4.792339,4.829377,4.866415,4.9124416,4.9584681999999995,5.0044948,5.050521399999999,5.096547999999999,5.1631035999999995,5.2296591999999995,5.2962148,5.3627704,5.429326,5.499371999999999,5.569418,5.639463999999999,5.70951,5.7795559999999995,5.8608801999999995,5.9422044,6.0235286,6.1048528,6.186177,6.2471206,6.3080642,6.3690078,6.4299514,6.490895,6.62342,6.7559450000000005,6.88847,7.020995,7.15352,7.2943504,7.4351808,7.5760112,7.7168416,7.857672,8.0252234,8.1927748,8.360326200000001,8.5278776,8.695429,8.8859748,9.0765206,9.2670664,9.4576122,9.648157999999999,9.814988799999998,9.9818196,10.1486504,10.3154812,10.482312,10.661358400000001,10.8404048,11.0194512,11.1984976,11.377544,11.5590594,11.7405748,11.9220902,12.103605599999998,12.285120999999998,12.4695492,12.653977399999999,12.8384056,13.022833799999999,13.207262,13.393167,13.579072,13.764977,13.950882,14.136787,14.3077534,14.4787198,14.6496862,14.8206526,14.991619,15.1304974,15.2693758,15.4082542,15.547132600000001,15.686011,15.787816800000002,15.889622600000001,15.991428400000002,16.0932342,16.195040000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wup_rural_prop,0.91528,0.91284,0.9104,0.90796,0.90552,0.90308,0.900332,0.8975839999999999,0.894836,0.892088,0.88934,0.8862559999999999,0.883172,0.880088,0.877004,0.87392,0.870476,0.867032,0.863588,0.860144,0.8567,0.852872,0.849044,0.845216,0.841388,0.83756,0.83308,0.8286,0.82412,0.81964,0.81516,0.810102,0.805044,0.799986,0.794928,0.78987,0.7852520000000001,0.780634,0.776016,0.771398,0.76678,0.762386,0.757992,0.753598,0.749204,0.74481,0.739136,0.7334620000000001,0.727788,0.7221139999999999,0.71644,0.709032,0.701624,0.6942159999999999,0.686808,0.6794,0.671522,0.663644,0.655766,0.647888,0.64001,0.632026,0.624042,0.616058,0.608074,0.60009,0.5922540000000001,0.584418,0.576582,0.568746,0.56091,0.55339,0.5458700000000001,0.5383500000000001,0.53083,0.52331,0.5162740000000001,0.5092380000000001,0.502202,0.4951660000000001,0.48813000000000006,0.4817600000000001,0.4753900000000001,0.46902,0.46265,0.45628,0.450268,0.444256,0.4382440000000001,0.43223200000000006,0.42622000000000004,0.4203140000000001,0.414408,0.40850200000000003,0.40259599999999995,0.39669,0.39093199999999995,0.385174,0.379416,0.37365800000000005,0.3679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
urban_pop_median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.190626,11.7224708,12.2543156,12.7861604,13.3180052,13.84985,14.449117000000001,15.048384,15.647651000000002,16.246918,16.846185000000002,17.5133788,18.1805726,18.847766399999998,19.514960199999997,20.182153999999997,20.916944599999997,21.651735199999997,22.3865258,23.1213164,23.856107,24.6499118,25.443716600000002,26.237521400000002,27.031326200000002,27.825131000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
