,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
wpp_median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.632105000000024,32.63199200000002,33.63187900000001,34.631766000000006,35.631653,36.639849999999996,37.668658,38.714098,39.774943,40.846754000000004,41.931256999999995,43.032892999999994,44.144534,45.273526,46.411773000000004,47.54867,48.684557,49.822036999999995,50.971125,52.124215,53.271002,54.423406,55.574712,56.716584000000005,57.851792,58.981108,60.117595,61.254584,62.397014000000006,63.530951,64.647084,65.767624,66.879234,67.980807,69.093714,70.220052,71.34396000000001,72.45491,73.557988,74.638116,75.711926,76.774212,77.787902,78.781098,79.768191,80.749334,81.71708100000001,82.665218,83.625446,84.572376,85.489513,86.391303,87.272454,88.127646,88.965292,89.793732,90.60753100000001,91.416315,92.20824400000001,92.965358,93.700184,94.432106,95.15992200000001,95.857815,96.529133,97.186136,97.829473,98.45460700000001,99.06345,99.654091,100.196027,100.715459,101.237604,101.738215,102.217894,102.685103,103.127006,103.552014,103.958624,104.346534
wpp_lower95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.150733000000024,33.53454700000002,33.91836100000001,34.302175000000005,34.685989,35.118261,35.529331,35.936832,36.326438,36.650872,36.984924,37.412217,37.835049,38.32033800000001,38.858443,39.419216999999996,40.021274,40.325826,40.592667,41.015996,41.500293,42.093085,42.520606,42.917970000000004,43.281453,43.533873,43.843186,44.144040000000004,44.645263,45.024649,45.285424,45.713404000000004,45.923269999999995,46.063705,46.475308,47.119438,47.703085,48.010580999999995,48.263591999999996,48.477357000000005,48.64223200000001,48.990848,49.199424,49.430247,49.82061,50.058849,50.323428,50.408298,50.451983999999996,50.420863,50.340794,50.163633000000004,50.061983999999995,50.05362,50.078230000000005,50.407416,50.41263,50.263684,50.234002000000004,50.191942000000004,50.197409,50.350074,50.731213000000004,50.830687,50.616535000000006,50.614521999999994,50.64564,50.666921,50.554316,50.606118,50.695458,50.475311999999995,50.171461,49.655286,49.333358,49.282443,49.145644,49.108595,49.117512000000005,48.938263
wpp_lower80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.62511999999999,33.22228299999999,33.81944599999999,34.416608999999994,35.013771999999996,35.653580000000005,36.259045,36.872583,37.542792,38.190197999999995,38.817062,39.486309,40.168216,40.809191,41.504529999999995,42.192264,42.824444,43.553095,44.30804,45.032852,45.729699000000004,46.379422,46.967141000000005,47.487654,47.930095,48.345146,48.920708,49.532727,50.120968,50.691078999999995,51.201504,51.862077,52.480173,52.87385,53.44429,54.234550000000006,54.751132,54.975212,55.345294,55.748059,56.275267,56.847551,57.319559,57.761574,58.068545,58.525661,59.102427000000006,59.642326000000004,60.087627,60.331724,60.560997,60.809965,61.010025,61.176610999999994,61.536161,62.031104,62.193485,62.276905,62.465635999999996,62.628586000000006,62.977741,63.353746,63.725682,64.076874,64.134568,64.10172299999999,64.095643,64.320187,64.355937,64.185492,64.194024,63.951977,63.566487,63.481676,63.482707999999995,63.367763,63.278889,63.05164499999999,63.000426,63.084804
wpp_upper80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.602404000000035,32.009933000000025,33.417462000000015,34.824991000000004,36.232519999999994,37.684724,39.149663999999994,40.611289,42.11726,43.640509,45.196516,46.798053,48.317055999999994,49.842800000000004,51.416533,53.063964,54.875904000000006,56.649014,58.439214,60.225969,61.934900999999996,63.657849999999996,65.354081,67.14479399999999,69.001898,70.88593399999999,72.82955100000001,74.879469,76.86264999999999,78.650565,80.67367999999999,82.900465,84.835666,86.746935,88.970451,91.396032,93.699567,95.746905,97.92561,100.088865,102.283476,104.666618,107.111838,109.549278,111.798474,113.761984,116.034826,118.594279,120.76633199999999,122.577713,124.78900900000001,127.67344800000001,130.819959,133.48308799999998,135.478294,137.829351,140.318433,142.94867000000002,145.89839999999998,148.760458,151.110235,153.17408600000002,155.738316,158.326257,160.70433,162.636416,164.163929,166.044828,168.47944099999998,171.150835,173.43929,175.808603,178.164352,180.759533,183.778443,186.40386600000002,188.51436999999999,190.007696,191.780792,194.33647
wpp_upper95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.104856999999996,31.717276999999996,33.329696999999996,34.942116999999996,36.554536999999996,38.210586000000006,39.916154,41.654069,43.47276,45.280463000000005,47.032987,48.873003,50.779244,52.812608999999995,54.800605000000004,56.746441,58.802929,60.861615,62.951298,65.082279,67.16836500000001,69.236575,71.54343300000001,73.991607,76.13895699999999,78.272947,80.57346799999999,83.19740300000001,85.948443,88.522959,91.216567,93.948343,96.64497999999999,99.32971,102.163149,104.952508,107.877382,110.92368499999999,113.92817,117.09594,119.787042,122.9797,126.97495699999999,130.75580100000002,134.49984400000002,137.949282,141.145694,144.458612,148.418858,152.213852,155.98836,159.48512100000002,162.566343,166.381724,171.125532,176.526247,181.034764,185.95937700000002,190.869432,196.228285,201.87807199999997,205.523999,209.059612,213.311413,217.988113,222.074367,225.182611,229.402224,233.40601,236.798444,240.61155,243.550235,247.020221,251.567951,256.082205,261.026072,268.11900099999997,274.68674,278.913601,283.92063299999995
wup_urban_prop,0.054720000000000005,0.056042,0.057364000000000005,0.058686,0.060008000000000006,0.06133,0.06280000000000001,0.06427000000000001,0.06574,0.06721,0.06868,0.070664,0.072648,0.074632,0.076616,0.0786,0.08086,0.08312,0.08538000000000001,0.08764000000000001,0.08990000000000001,0.093658,0.097416,0.101174,0.104932,0.10869,0.113268,0.11784599999999999,0.122424,0.127002,0.13158,0.14191600000000001,0.152252,0.162588,0.17292400000000002,0.18326,0.196608,0.209956,0.223304,0.236652,0.25,0.25499,0.25998,0.26497000000000004,0.26996000000000003,0.27495,0.278156,0.281362,0.28456800000000004,0.28777400000000003,0.29098,0.292782,0.294584,0.296386,0.298188,0.29999,0.303652,0.307314,0.310976,0.314638,0.31829999999999997,0.32343999999999995,0.32858,0.33371999999999996,0.33886,0.344,0.349348,0.35469599999999996,0.360044,0.36539199999999994,0.37073999999999996,0.37639999999999996,0.38206,0.38772,0.39338000000000006,0.39904000000000006,0.40498000000000006,0.41092000000000006,0.41686,0.4228,0.42874,0.434898,0.441056,0.44721400000000006,0.45337200000000005,0.45953000000000005,0.46580400000000005,0.47207800000000005,0.47835200000000005,0.48462600000000006,0.49090000000000006,0.49713000000000007,0.50336,0.50959,0.5158200000000001,0.52205,0.52822,0.53439,0.5405599999999999,0.5467299999999999,0.5529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wup_urban_pop,0.336659,0.3515316,0.3664042,0.38127679999999997,0.3961494,0.411022,0.4303116,0.4496012,0.4688908,0.48818039999999996,0.50747,0.534929,0.562388,0.589847,0.617306,0.644765,0.6805406,0.7163162000000001,0.7520918,0.7878674,0.823643,0.883786,0.943929,1.004072,1.064215,1.124358,1.2112854,1.2982128,1.3851402,1.4720676,1.558995,1.7231032,1.8872114,2.0513196,2.2154277999999996,2.379536,2.5660111999999997,2.7524864,2.9389616,3.1254368,3.311912,3.5161268,3.7203416,3.9245564,4.1287712,4.332986,4.5178678,4.702749600000001,4.8876314,5.0725132,5.257395000000001,5.461277600000001,5.665160200000001,5.8690428,6.0729254,6.276808,6.5633778,6.8499476,7.1365174,7.423087199999999,7.709657,8.094846,8.480035,8.865224,9.250413,9.635602,10.1041694,10.5727368,11.0413042,11.5098716,11.978439,12.544887,13.111335,13.677783,14.244231,14.810679,15.4876022,16.1645254,16.8414486,17.518371799999997,18.195294999999998,18.9899128,19.7845306,20.579148399999998,21.3737662,22.168384,23.079881,23.991378,24.902874999999998,25.814372,26.725869,27.747077,28.768285,29.789493,30.810701,31.831909,32.9600396,34.0881702,35.2163008,36.3444314,37.472561999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wup_rural_pop,5.815578,5.9106078,6.0056376,6.1006674,6.1956972,6.2907269999999995,6.408826599999999,6.5269262,6.6450258,6.763125400000001,6.881225000000001,7.016642200000001,7.152059400000001,7.2874766,7.4228938,7.558311,7.714226999999999,7.870143,8.026059,8.181975,8.337890999999999,8.514339999999999,8.690788999999999,8.867238,9.043687,9.220136,9.433976,9.647815999999999,9.861656,10.075496,10.289335999999999,10.3524426,10.4155492,10.4786558,10.5417624,10.604869,10.4710426,10.3372162,10.2033898,10.0695634,9.935737,10.2338188,10.5319006,10.8299824,11.1280642,11.426146000000001,11.702975200000001,11.9798044,12.256633599999999,12.533462799999999,12.810291999999999,13.177485999999998,13.54468,13.911874,14.279068,14.646262,15.0193592,15.3924564,15.7655536,16.1386508,16.511748,16.8844162,17.2570844,17.6297526,18.0024208,18.375089,18.7662224,19.1573558,19.5484892,19.9396226,20.330756,20.7257086,21.1206612,21.5156138,21.9105664,22.305519,22.6930968,23.0806746,23.4682524,23.8558302,24.243408,24.6094024,24.9753968,25.3413912,25.7073856,26.07338,26.4021528,26.7309256,27.0596984,27.388471199999998,27.717243999999997,28.0023308,28.287417599999998,28.5725044,28.857591199999998,29.142678,29.3746186,29.6065592,29.8384998,30.0704404,30.302381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wup_rural_prop,0.94528,0.943958,0.942636,0.941314,0.9399919999999999,0.93867,0.9372,0.93573,0.93426,0.93279,0.93132,0.9293359999999999,0.927352,0.925368,0.923384,0.9214,0.91914,0.91688,0.91462,0.91236,0.9101,0.906342,0.902584,0.898826,0.895068,0.89131,0.886732,0.882154,0.877576,0.8729979999999999,0.86842,0.858084,0.847748,0.837412,0.8270759999999999,0.81674,0.803392,0.790044,0.776696,0.763348,0.75,0.74501,0.74002,0.73503,0.73004,0.72505,0.7218439999999999,0.718638,0.715432,0.712226,0.70902,0.707218,0.705416,0.703614,0.701812,0.70001,0.696348,0.692686,0.6890240000000001,0.685362,0.6817,0.67656,0.67142,0.66628,0.6611400000000001,0.656,0.650652,0.6453040000000001,0.639956,0.6346080000000001,0.62926,0.6236,0.6179399999999999,0.6122799999999999,0.6066199999999999,0.6009599999999999,0.5950199999999999,0.5890799999999999,0.58314,0.5771999999999999,0.57126,0.565102,0.558944,0.552786,0.5466279999999999,0.54047,0.5341959999999999,0.527922,0.5216479999999999,0.515374,0.5090999999999999,0.5028699999999999,0.49663999999999997,0.49041,0.48417999999999994,0.47795,0.47178,0.46560999999999997,0.45944000000000007,0.45327000000000006,0.44710000000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
urban_pop_median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.810679,15.4876022,16.1645254,16.8414486,17.518371799999997,18.195294999999998,18.9899128,19.7845306,20.579148399999998,21.3737662,22.168384,23.079881,23.991378,24.902874999999998,25.814372,26.725869,27.747077,28.768285,29.789493,30.810701,31.831909,32.9600396,34.0881702,35.2163008,36.3444314,37.472561999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
