,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
wpp_median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6092900000000006,4.7361390000000005,4.8629880000000005,4.9939219999999995,5.1281419999999995,5.264526,5.4032,5.543996,5.686446,5.830562,5.976298,6.123818,6.273096,6.424062,6.576462,6.729985,6.884282,7.038819999999999,7.1933869999999995,7.348229,7.503612,7.659504,7.8160169999999995,7.972905,8.129917,8.286959999999999,8.443897000000002,8.600536,8.757322,8.914673,9.072492,9.230222,9.387846,9.545347,9.702915,9.860748,10.017985000000001,10.174508,10.330006,10.484816,10.639438,10.79366,10.947287000000001,11.099844,11.25108,11.401067999999999,11.549832,11.697076,11.842836,11.987316,12.130474,12.271880999999999,12.411650999999999,12.549854999999999,12.686941999999998,12.822584,12.955752,13.086872,13.215758,13.342329,13.46797,13.592458,13.714132,13.833502000000001,13.951134,14.066715,14.179985,14.29056,14.398969999999998,14.505348,14.609665000000001,14.711364,14.810652,14.908325000000001,15.003593,15.096765999999999,15.187918,15.277068,15.364742,15.450984
wpp_lower95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.629324,4.7176670000000005,4.806010000000001,4.896195,4.986857,5.075823000000001,5.164408000000001,5.253995,5.343712,5.433115,5.5238249999999995,5.617048,5.711041,5.8006850000000005,5.8847629999999995,5.970584,6.060062,6.151102,6.242814,6.329922,6.418658000000001,6.506665,6.595325,6.68571,6.768792,6.843456,6.912018,6.978537,7.051118000000001,7.129722,7.2061589999999995,7.2821750000000005,7.345366,7.396261000000001,7.450551000000001,7.510573,7.5650249999999994,7.614274,7.663409,7.703166,7.743068,7.791517,7.844398,7.88793,7.919618000000001,7.94532,7.967082,7.991375,8.018205,8.034409,8.039201,8.040234,8.037411,8.03884,8.044745,8.061436,8.079452,8.080815,8.083149,8.075809,8.06968,8.077354,8.06952,8.054015999999999,8.03854,8.018626,7.9881,7.962712000000001,7.933591000000001,7.8891409999999995,7.845647,7.801379,7.752631,7.708494,7.682081,7.660893,7.637123,7.579283,7.529326,7.514333
wpp_lower80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.622669999999999,4.723548,4.824426000000001,4.9279020000000004,5.033729999999999,5.139656,5.245965,5.352494,5.459429,5.57063,5.683333999999999,5.79498,5.908086,6.020194,6.133140999999999,6.242405,6.348676,6.458081,6.564457,6.670560999999999,6.775174,6.877974,6.98062,7.078024999999999,7.176183,7.2727319999999995,7.367591999999999,7.467165,7.5656170000000005,7.6566790000000005,7.752419,7.8502979999999996,7.934968,8.007721,8.077018,8.159609999999999,8.248688,8.328790000000001,8.400366,8.464113,8.540057000000001,8.6234,8.688168,8.741427999999999,8.791404,8.842032999999999,8.894292,8.9424,8.997302,9.049869000000001,9.088781999999998,9.137929,9.19218,9.233227000000001,9.273382999999999,9.322305,9.371063,9.411239,9.445482,9.46644,9.490351,9.523997,9.543175999999999,9.552059,9.559414,9.567157,9.570158,9.575448,9.582466,9.589418,9.592613,9.584989,9.572117,9.562645,9.580532999999999,9.586585,9.558781999999999,9.519493,9.504008,9.515101000000001
wpp_upper80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.597428000000002,4.748087000000001,4.898746,5.054331,5.2149790000000005,5.379582999999999,5.548724,5.7219,5.898293,6.079225999999999,6.262563,6.450054,6.6415619999999995,6.835363999999999,7.03279,7.229520000000001,7.427435,7.62995,7.833518,8.043084,8.252407999999999,8.461268,8.676924000000001,8.894168,9.110657999999999,9.326506,9.550256,9.784017,10.021419,10.259846,10.502242,10.745575,10.988451999999999,11.240566999999999,11.502635,11.770181000000001,12.034346,12.296899999999999,12.565946,12.840603,13.132408,13.431757,13.719226,13.994761,14.280717000000001,14.573452,14.849979,15.149248,15.453022,15.726837999999999,16.003481999999998,16.299557,16.59306,16.883371,17.196044999999998,17.531579,17.864079,18.172018,18.484659999999998,18.808732,19.12137,19.419871999999998,19.7253,20.051738,20.377890999999998,20.69077,20.998016,21.303850999999998,21.639951,21.994151000000002,22.327562999999998,22.68382,23.031877,23.349288,23.693134999999998,24.028573,24.364856,24.681412,25.003182000000002,25.341206999999997
wpp_upper95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5895150000000005,4.754873,4.920230999999999,5.091606,5.270923,5.454006000000001,5.63963,5.830888,6.027106,6.231598,6.442743,6.6540349999999995,6.864872,7.077716000000001,7.294316,7.515386,7.7459560000000005,7.9767030000000005,8.206995000000001,8.446797,8.686896,8.921719999999999,9.161325999999999,9.414299999999999,9.666943999999999,9.926055,10.200704,10.479295,10.751638000000002,11.024676,11.330184,11.650968,11.96026,12.272409,12.591183000000001,12.90733,13.219532,13.525815,13.843674,14.175846,14.519176,14.882708000000001,15.242357,15.602345,15.982789,16.362534,16.744738,17.136622,17.524919,17.882270000000002,18.256808,18.670821,19.07417,19.477948,19.881075,20.301634,20.740934000000003,21.165738,21.579325,22.032729,22.486316,22.890982,23.294880000000003,23.736699,24.195546999999998,24.654061000000002,25.118973,25.633392,26.199956999999998,26.764830999999997,27.333703,27.922130000000003,28.480448,28.954196,29.463842,30.018005000000002,30.531651999999998,31.079811000000003,31.733456999999998,32.409929
wup_urban_prop,0.03102,0.034092,0.037163999999999996,0.040235999999999994,0.043308,0.04638,0.050864,0.055347999999999994,0.059831999999999996,0.064316,0.0688,0.07522,0.08164,0.08806,0.09448000000000001,0.1009,0.109848,0.118796,0.127744,0.13669199999999998,0.14564,0.15764999999999998,0.16965999999999998,0.18167,0.19368,0.20568999999999998,0.219294,0.232898,0.246502,0.260106,0.27371,0.288956,0.304202,0.319448,0.334694,0.34994,0.358598,0.36725599999999997,0.375914,0.384572,0.39323,0.391994,0.390758,0.38952200000000003,0.388286,0.38705,0.385822,0.384594,0.38336600000000004,0.38213800000000003,0.38091,0.38895,0.39699,0.40503,0.41307,0.42111,0.430064,0.439018,0.447972,0.456926,0.46588,0.474882,0.483884,0.492886,0.501888,0.51089,0.519366,0.5278419999999999,0.536318,0.5447939999999999,0.5532699999999999,0.5610179999999999,0.568766,0.576514,0.5842620000000001,0.59201,0.598932,0.605854,0.612776,0.619698,0.62662,0.632656,0.638692,0.644728,0.650764,0.6568,0.6619160000000001,0.6670320000000001,0.672148,0.677264,0.68238,0.687112,0.691844,0.696576,0.701308,0.70604,0.71056,0.71508,0.7196,0.7241200000000001,0.7286400000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wup_urban_pop,0.020489999999999998,0.023319199999999998,0.0261484,0.0289776,0.031806799999999996,0.034636,0.0395176,0.0443992,0.0492808,0.0541624,0.059044,0.0672612,0.0754784,0.0836956,0.09191279999999999,0.10013,0.11357039999999999,0.12701079999999998,0.1404512,0.1538916,0.16733199999999998,0.18852539999999998,0.20971879999999998,0.23091219999999996,0.25210559999999993,0.27329899999999996,0.3026192,0.3319394,0.3612596,0.3905798,0.4199,0.459795,0.49968999999999997,0.539585,0.57948,0.619375,0.6551614,0.6909478,0.7267342,0.7625206,0.798307,0.8187862,0.8392653999999999,0.8597446,0.8802237999999999,0.9007029999999999,0.9269691999999999,0.9532354,0.9795016000000001,1.0057678,1.0320340000000001,1.0893008000000002,1.1465676,1.2038344,1.2611012,1.318368,1.3910186,1.4636692,1.5363198,1.6089704,1.681621,1.7726366,1.8636522,1.9546678000000002,2.0456834,2.136699,2.238702,2.340705,2.442708,2.544711,2.646714,2.7587184,2.8707228,2.9827272,3.0947316,3.206736,3.3269422,3.4471483999999997,3.5673546,3.6875607999999995,3.8077669999999997,3.9350362,4.0623054,4.1895746,4.316843800000001,4.444113000000001,4.5764598,4.7088066,4.8411534000000005,4.9735002,5.105847,5.2451602,5.3844734,5.523786599999999,5.6630997999999995,5.802413,5.948385,6.094357,6.240329,6.386301,6.532273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wup_rural_pop,0.6400009999999999,0.6544344,0.6688678,0.6833011999999999,0.6977346,0.712168,0.7295592000000001,0.7469504,0.7643416000000001,0.7817328,0.7991240000000001,0.8177466,0.8363692,0.8549918,0.8736144,0.892237,0.9101047999999999,0.9279725999999999,0.9458404,0.9637082,0.981576,0.9963382,1.0111004,1.0258626,1.0406247999999998,1.0553869999999999,1.0671465999999998,1.0789061999999998,1.0906658,1.1024254,1.114185,1.1214614,1.1287378000000001,1.1360142,1.1432906,1.1505670000000001,1.1668202,1.1830734,1.1993266000000002,1.2155798000000002,1.2318330000000002,1.2707408000000002,1.3096486,1.3485564,1.3874642,1.426372,1.4765626,1.5267532,1.5769438,1.6271343999999999,1.677325,1.7043304,1.7313358,1.7583412,1.7853466000000002,1.8123520000000002,1.8354660000000003,1.8585800000000001,1.8816940000000002,1.904808,1.9279220000000001,1.9514660000000001,1.9750100000000002,1.998554,2.022098,2.045642,2.0639241999999998,2.0822064,2.1004886,2.1187708,2.137053,2.1516374,2.1662217999999998,2.1808062,2.1953906,2.209975,2.2217602,2.2335454,2.2453306,2.2571158000000002,2.268901,2.279564,2.2902270000000002,2.30089,2.311553,2.322216,2.333085,2.343954,2.354823,2.365692,2.376561,2.3844118,2.3922626,2.4001134000000004,2.4079642000000003,2.4158150000000003,2.4191974000000003,2.4225798000000003,2.4259622,2.4293446,2.432727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wup_rural_prop,0.96898,0.965908,0.962836,0.9597640000000001,0.956692,0.95362,0.949136,0.944652,0.940168,0.935684,0.9312,0.92478,0.91836,0.91194,0.90552,0.8991,0.890152,0.881204,0.872256,0.863308,0.85436,0.84235,0.8303400000000001,0.81833,0.80632,0.7943100000000001,0.780706,0.767102,0.753498,0.739894,0.72629,0.711044,0.695798,0.680552,0.665306,0.6500600000000001,0.641402,0.632744,0.6240859999999999,0.615428,0.60677,0.608006,0.6092420000000001,0.610478,0.611714,0.61295,0.614178,0.615406,0.6166339999999999,0.6178619999999999,0.6190899999999999,0.61105,0.60301,0.59497,0.58693,0.57889,0.569936,0.560982,0.552028,0.5430740000000001,0.5341199999999999,0.525118,0.516116,0.5071140000000001,0.498112,0.48911000000000004,0.480634,0.4721580000000001,0.46368200000000004,0.4552060000000001,0.44673000000000007,0.4389820000000001,0.431234,0.42348600000000003,0.41573799999999994,0.40798999999999996,0.401068,0.394146,0.387224,0.38030200000000003,0.37338000000000005,0.367344,0.36130799999999996,0.35527200000000003,0.349236,0.34319999999999995,0.33808399999999994,0.33296799999999993,0.32785200000000003,0.322736,0.31762,0.31288800000000005,0.308156,0.303424,0.29869199999999996,0.29396,0.28944000000000003,0.28491999999999995,0.2804,0.2758799999999999,0.27135999999999993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
urban_pop_median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.206736,3.3269422,3.4471483999999997,3.5673546,3.6875607999999995,3.8077669999999997,3.9350362,4.0623054,4.1895746,4.316843800000001,4.444113000000001,4.5764598,4.7088066,4.8411534000000005,4.9735002,5.105847,5.2451602,5.3844734,5.523786599999999,5.6630997999999995,5.802413,5.948385,6.094357,6.240329,6.386301,6.532273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
