,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
wpp_median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.298381,1.299469,1.300557,1.301978,1.30321,1.304199,1.304905,1.3053730000000001,1.305568,1.305425,1.304934,1.304095,1.302906,1.301364,1.299452,1.2971389999999998,1.294443,1.291363,1.2878859999999999,1.2840070000000001,1.279715,1.275002,1.269892,1.2644369999999998,1.258664,1.252597,1.246298,1.239794,1.233086,1.226235,1.219284,1.212269,1.205227,1.1981600000000001,1.191086,1.184001,1.1769079999999998,1.1698030000000001,1.162693,1.155585,1.148471,1.141348,1.134227,1.127095,1.119914,1.112671,1.1053499999999998,1.097943,1.0904770000000001,1.082932,1.0752840000000001,1.067544,1.0597159999999999,1.051816,1.043858,1.0358289999999999,1.027717,1.019533,1.011306,1.003054,0.99476,0.986442,0.9781219999999999,0.969802,0.96148,0.9531839999999999,0.9449460000000001,0.9367709999999999,0.928654,0.920616,0.912682,0.904869,0.89718,0.889624,0.882208,0.874889,0.867688,0.860622,0.8536889999999999,0.8469
wpp_lower95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2997020000000001,1.298121,1.29654,1.295302,1.293582,1.291409,1.288788,1.2855619999999999,1.281955,1.277941,1.2733679999999998,1.26852,1.263434,1.257476,1.250619,1.243358,1.2362639999999998,1.229346,1.222655,1.21519,1.206506,1.197649,1.188573,1.179853,1.170198,1.159828,1.149741,1.139166,1.128012,1.116858,1.1056,1.0944829999999999,1.083512,1.072674,1.062541,1.05092,1.038761,1.027644,1.0162,1.003984,0.992471,0.981697,0.970739,0.959645,0.949086,0.937751,0.926275,0.9157799999999999,0.904567,0.892222,0.879258,0.8666,0.85426,0.8428300000000001,0.831315,0.8181130000000001,0.80468,0.793548,0.783667,0.772685,0.7603970000000001,0.747765,0.735993,0.7243229999999999,0.711638,0.699416,0.689508,0.678387,0.665924,0.654405,0.642807,0.6317999999999999,0.620735,0.608738,0.59696,0.586438,0.576133,0.5656209999999999,0.555827,0.546395
wpp_lower80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.299191,1.298594,1.297997,1.29762,1.29686,1.295799,1.294251,1.292358,1.290068,1.2873610000000002,1.284221,1.280631,1.276631,1.272299,1.267449,1.261896,1.256262,1.2503199999999999,1.244035,1.237921,1.231699,1.225112,1.217914,1.209597,1.2006020000000002,1.191788,1.183243,1.1741590000000002,1.164431,1.15502,1.145372,1.134962,1.1251099999999998,1.115951,1.106351,1.096665,1.087266,1.077548,1.068049,1.059018,1.049512,1.039836,1.0301969999999998,1.020061,1.010227,1.000475,0.990263,0.979435,0.969186,0.959525,0.949788,0.939689,0.9293899999999999,0.920428,0.911925,0.902722,0.891933,0.880556,0.869697,0.859112,0.848187,0.8371470000000001,0.826885,0.817576,0.807475,0.7959919999999999,0.7858719999999999,0.7770739999999999,0.767246,0.756768,0.746816,0.736961,0.726693,0.716966,0.70751,0.697932,0.688181,0.678311,0.668939,0.660342
wpp_upper80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.297571,1.300337,1.3031030000000001,1.306244,1.3093240000000002,1.312324,1.315149,1.317817,1.320324,1.3225820000000001,1.324603,1.326324,1.327764,1.3287149999999999,1.329286,1.329628,1.329693,1.3296430000000001,1.329211,1.327964,1.326118,1.324211,1.322141,1.319209,1.315715,1.3117290000000001,1.3075080000000001,1.303637,1.299297,1.294873,1.2905730000000002,1.2856569999999998,1.280672,1.276237,1.271929,1.266927,1.261903,1.2569839999999999,1.252375,1.248562,1.244961,1.241505,1.2376969999999998,1.2339069999999999,1.2299190000000002,1.2249860000000001,1.220562,1.216899,1.213125,1.2086590000000001,1.204118,1.19979,1.1947370000000002,1.189952,1.185171,1.179278,1.172665,1.167086,1.161777,1.1558060000000001,1.149656,1.1436659999999998,1.1379110000000001,1.132343,1.1269449999999999,1.1215119999999998,1.117073,1.112368,1.10623,1.100286,1.094787,1.0895139999999999,1.0844200000000002,1.079089,1.0749069999999998,1.070824,1.06603,1.062077,1.058782,1.0558669999999999
wpp_upper95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.297121,1.300775,1.304429,1.30853,1.312632,1.316694,1.320652,1.324345,1.3279539999999999,1.331452,1.334484,1.337536,1.3407,1.343316,1.345206,1.3465429999999998,1.347866,1.349211,1.3501379999999998,1.350354,1.3501489999999998,1.3496320000000002,1.348165,1.346473,1.345013,1.342861,1.339753,1.3361010000000002,1.332503,1.3289179999999998,1.3253499999999998,1.322702,1.3200530000000001,1.316841,1.313863,1.310741,1.308035,1.306634,1.3053489999999999,1.3023520000000002,1.2993540000000001,1.297112,1.2952750000000002,1.293043,1.28899,1.2848140000000001,1.281325,1.2778260000000001,1.2742660000000001,1.271386,1.268914,1.26593,1.262166,1.259442,1.258071,1.25582,1.252315,1.249485,1.2467840000000001,1.242773,1.237981,1.232367,1.228138,1.2256859999999998,1.222308,1.2176969999999998,1.2130940000000001,1.209147,1.205891,1.20433,1.203134,1.201118,1.199712,1.197019,1.195309,1.1953610000000001,1.194079,1.192439,1.189341,1.186912
wup_urban_prop,0.29327000000000003,0.297854,0.302438,0.307022,0.311606,0.31618999999999997,0.32317399999999996,0.33015799999999995,0.337142,0.344126,0.35111,0.35842199999999996,0.365734,0.373046,0.38035800000000003,0.38767,0.395248,0.402826,0.410404,0.417982,0.42556,0.427334,0.429108,0.430882,0.432656,0.43443,0.43224599999999996,0.430062,0.427878,0.425694,0.42351,0.423458,0.423406,0.423354,0.423302,0.42325,0.4264,0.42955,0.43270000000000003,0.43585,0.439,0.437768,0.436536,0.435304,0.434072,0.43284,0.431612,0.430384,0.42915600000000004,0.42792800000000003,0.4267,0.425584,0.424468,0.423352,0.422236,0.42112,0.420006,0.418892,0.417778,0.416664,0.41555,0.41444,0.41333,0.41222,0.41111,0.41,0.40952,0.40903999999999996,0.40856,0.40807999999999994,0.40759999999999996,0.408166,0.408732,0.409298,0.409864,0.41043,0.412044,0.413658,0.41527200000000003,0.41688600000000003,0.41850000000000004,0.42118,0.42386,0.42654,0.42922,0.43189999999999995,0.435658,0.439416,0.443174,0.446932,0.45069000000000004,0.455104,0.45951800000000004,0.463932,0.46834600000000004,0.47276,0.477198,0.481636,0.486074,0.490512,0.49495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wup_urban_pop,0.14465799999999998,0.15181299999999998,0.15896799999999997,0.166123,0.173278,0.18043299999999998,0.19069419999999998,0.20095539999999998,0.2112166,0.2214778,0.231739,0.2437968,0.2558546,0.2679124,0.2799702,0.292028,0.3039622,0.3158964,0.3278306,0.33976480000000003,0.35169900000000004,0.3588792,0.36605940000000003,0.3732396,0.38041980000000003,0.3876,0.3919054,0.39621080000000003,0.4005162,0.4048216,0.409127,0.41328580000000004,0.4174446,0.4216034,0.4257622,0.429921,0.436642,0.443363,0.450084,0.456805,0.463526,0.4685282,0.4735304,0.4785326,0.4835348,0.488537,0.4919706,0.49540419999999996,0.4988378,0.5022713999999999,0.505705,0.507485,0.509265,0.511045,0.512825,0.514605,0.5154008,0.5161966,0.5169923999999999,0.5177881999999999,0.5185839999999999,0.5181425999999999,0.5177012,0.5172597999999999,0.5168184,0.516377,0.5169676,0.5175582,0.5181488000000001,0.5187394000000001,0.5193300000000001,0.5208018000000001,0.5222736,0.5237454,0.5252171999999999,0.526689,0.5290688,0.5314485999999999,0.5338284,0.5362081999999999,0.538588,0.541671,0.544754,0.547837,0.55092,0.554003,0.5576048,0.5612066,0.5648084,0.5684102,0.572012,0.5755732,0.5791343999999999,0.5826956,0.5862567999999999,0.589818,0.5927239999999999,0.59563,0.598536,0.601442,0.604348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wup_rural_pop,0.348597,0.3569206,0.36524419999999996,0.3735678,0.3818914,0.390215,0.3978288,0.4054426,0.4130564,0.4206702,0.428284,0.4348786,0.4414732,0.4480678,0.4546624,0.46125700000000003,0.46395400000000003,0.46665100000000004,0.469348,0.472045,0.474742,0.4807158,0.4866896,0.49266340000000003,0.4986372,0.504611,0.5150696,0.5255282,0.5359868,0.5464454,0.556904,0.5626914,0.5684788,0.5742662000000001,0.5800536000000001,0.5858410000000001,0.5871412,0.5884414,0.5897416000000001,0.5910418000000001,0.592342,0.6019008,0.6114596,0.6210184,0.6305772,0.6401359999999999,0.6479967999999999,0.6558575999999999,0.6637184,0.6715792,0.67944,0.6850316000000001,0.6906232,0.6962148,0.7018063999999999,0.707398,0.7117926,0.7161872,0.7205817999999999,0.7249764,0.729371,0.7321126,0.7348542,0.7375957999999999,0.7403373999999999,0.7430789999999999,0.74542,0.747761,0.7501019999999999,0.752443,0.754784,0.755144,0.755504,0.755864,0.7562239999999999,0.7565839999999999,0.7549364,0.7532888,0.7516411999999999,0.7499935999999999,0.748346,0.7444164,0.7404868,0.7365571999999999,0.7326275999999999,0.728698,0.7223959999999999,0.716094,0.709792,0.7034900000000001,0.697188,0.6893064,0.6814247999999999,0.6735432,0.6656616,0.6577799999999999,0.6495603999999999,0.6413407999999999,0.6331212,0.6249016000000001,0.6166820000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wup_rural_prop,0.70673,0.7021459999999999,0.697562,0.692978,0.688394,0.68381,0.676826,0.669842,0.662858,0.6558740000000001,0.64889,0.641578,0.634266,0.626954,0.619642,0.61233,0.604752,0.597174,0.589596,0.5820179999999999,0.5744400000000001,0.572666,0.570892,0.569118,0.5673440000000001,0.56557,0.5677540000000001,0.5699380000000001,0.572122,0.574306,0.57649,0.576542,0.576594,0.576646,0.5766979999999999,0.57675,0.5736,0.57045,0.5672999999999999,0.5641499999999999,0.5609999999999999,0.5622320000000001,0.563464,0.564696,0.565928,0.56716,0.568388,0.569616,0.5708439999999999,0.5720719999999999,0.5732999999999999,0.574416,0.5755319999999999,0.576648,0.5777639999999999,0.5788800000000001,0.579994,0.581108,0.582222,0.5833360000000001,0.58445,0.5855600000000001,0.58667,0.58778,0.58889,0.5900000000000001,0.59048,0.59096,0.59144,0.59192,0.5924,0.591834,0.591268,0.5907020000000001,0.590136,0.5895699999999999,0.5879559999999999,0.5863419999999999,0.5847279999999999,0.5831139999999999,0.5814999999999999,0.57882,0.57614,0.5734600000000001,0.5707800000000001,0.5681,0.564342,0.560584,0.556826,0.553068,0.54931,0.544896,0.5404819999999999,0.536068,0.531654,0.5272399999999999,0.522802,0.518364,0.513926,0.5094879999999999,0.50505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
urban_pop_median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.526689,0.5290688,0.5314485999999999,0.5338284,0.5362081999999999,0.538588,0.541671,0.544754,0.547837,0.55092,0.554003,0.5576048,0.5612066,0.5648084,0.5684102,0.572012,0.5755732,0.5791343999999999,0.5826956,0.5862567999999999,0.589818,0.5927239999999999,0.59563,0.598536,0.601442,0.604348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
urban_pop_lower95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5227978683389476,0.52388033569969,0.5248846301430372,0.5257267505615635,0.5265101343101238,0.5272487406844514,0.5285681252293218,0.5298934081336099,0.5312400835194558,0.5323404350512232,0.5331837404205773,0.5344858098618576,0.5359830569151364,0.5376837862834849,0.5396204113415318,0.5413547295925956,0.5426462292301021,0.5439989388452723,0.5453820146743188,0.5470393892700072,0.5483622666287429,0.5488260721301425,0.5494835359039331,0.5499557676323646,0.5501917897891956,0.5504417167867497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
urban_pop_lower80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5241226636842872,0.5256612081217666,0.5271095459045677,0.5285059545181338,0.5298422143906713,0.5311352136415344,0.5330731464510848,0.5349524841165713,0.5367890677815591,0.538615610298118,0.540358973126364,0.5424547922009901,0.5446532027514537,0.5468572652987579,0.5490565027937255,0.5514811578535007,0.5539772018510373,0.5564732471422005,0.558845263202225,0.560830208630086,0.5626097754730413,0.5639494190964851,0.5654947918475357,0.5668493566060169,0.5679552841423875,0.5692497987416768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
urban_pop_upper80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5291599575172076,0.5323648338107911,0.5356206734140798,0.5389173367327192,0.5422686183000808,0.5456665792489036,0.5498354948319225,0.5540396246408429,0.5582891217539869,0.562498784198733,0.5667223043698421,0.571570938052437,0.5764892603025393,0.5815510707687924,0.5866490437447104,0.5915943943981612,0.5964437244523977,0.6014862274399568,0.6066702863547451,0.6116518631384561,0.6165524634612572,0.6207050310642609,0.6248834468481858,0.629357518613576,0.6337366463279934,0.6381761308427829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
urban_pop_upper95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5304968772860859,0.534137592918872,0.5378618799737911,0.5415869428875884,0.5454023260548664,0.5493261349951165,0.5539370441447614,0.558723165217258,0.5637283625219318,0.568679977869374,0.5735095714331887,0.5788422368045368,0.5843681762082996,0.5901096021586494,0.5958852030440582,0.6015689106430104,0.607252068161114,0.6130330137057041,0.6186115146595142,0.6242928293512449,0.6302816936322957,0.6354365716698986,0.6402939580983039,0.6450301809300577,0.6499329887177375,0.6549551557931391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rural_pop_median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7565839999999999,0.7549364,0.7532888,0.7516411999999999,0.7499935999999999,0.748346,0.7444164,0.7404868,0.7365571999999999,0.7326275999999999,0.728698,0.7223959999999999,0.716094,0.709792,0.7034900000000001,0.697188,0.6893064,0.6814247999999999,0.6735432,0.6656616,0.6577799999999999,0.6495603999999999,0.6413407999999999,0.6331212,0.6249016000000001,0.6166820000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
