,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
wpp_median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.972784,20.533618,21.094452,21.655286,22.21612,22.785535,23.366187999999998,23.95445,24.553502,25.160287,25.763535,26.366761,26.978420999999997,27.595298,28.213794999999998,28.8356,29.462509999999998,30.081752,30.691587,31.302098,31.911246,32.517507,33.122491000000004,33.736528,34.350953999999994,34.959610999999995,35.567993,36.165760999999996,36.761002999999995,37.361682,37.964324999999995,38.568584,39.174572999999995,39.770455,40.357521999999996,40.938489000000004,41.511359,42.081233999999995,42.655652,43.228184,43.785931,44.33013,44.854818,45.372467,45.890788,46.408691,46.922127999999994,47.427613,47.923944000000006,48.41034,48.89006,49.355296,49.806633000000005,50.256738,50.708852,51.164010000000005,51.618822,52.055278,52.47523,52.893308,53.304783,53.704435,54.094649,54.46168,54.81202,55.159957999999996,55.500709,55.839159,56.166458,56.481188,56.783372,57.074419999999996,57.354603000000004,57.621841999999994,57.879214999999995,58.135896,58.389576,58.636392,58.888533,59.141258
wpp_lower95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.886648999999995,21.085240999999996,21.283832999999998,21.482425,21.681017,21.878884999999997,22.110778999999997,22.340245,22.529846000000003,22.729065,22.995258000000003,23.238971000000003,23.400716,23.566243,23.858412,24.20897,24.54829,24.793679,24.976113,25.249031,25.47807,25.701018,25.999768,26.336221000000002,26.664884999999998,26.985597000000002,27.180578,27.320091,27.501116999999997,27.603284,27.716789000000002,27.855283,27.933194,27.996886999999997,28.117834,28.259404999999997,28.384109,28.43059,28.447248,28.503973000000002,28.422387,28.425773,28.497807,28.407627,28.484436000000002,28.615689999999997,28.642637,28.570513,28.445670999999997,28.433487,28.483974999999997,28.537031,28.613344,28.57984,28.423846,28.298324,28.207398,27.982131000000003,27.772732,27.749504,27.726560000000003,27.618409,27.435346000000003,27.143342,26.961996,26.838428,26.624821,26.621378,26.529198,26.183813999999998,25.900753,25.659509,25.414558,25.100415,24.877131000000002,24.559887999999997,24.058010999999997,23.724875,23.510981,23.340922
wpp_lower80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.537556000000002,20.873947,21.210338,21.546729,21.883119999999998,22.215647,22.556082,22.905679,23.282866000000002,23.647552,23.997645000000002,24.349666000000003,24.712156,25.064518,25.406456,25.804276,26.224538,26.628768,26.9866,27.321707,27.642022,27.938946,28.256898,28.565092,28.877267,29.181925,29.432269,29.742953,30.051981,30.283638,30.533749,30.795457,31.049515,31.338457,31.69759,32.00356,32.272565,32.562751,32.882647,33.178029,33.334093,33.436377,33.529841999999995,33.630084000000004,33.733648,33.884513,34.045826999999996,34.165451999999995,34.273811,34.280626,34.272332999999996,34.275472,34.311547,34.433257,34.541364,34.528532,34.43456,34.388489,34.397286,34.448745,34.500635,34.420370999999996,34.327369,34.282585,34.421110999999996,34.579786999999996,34.475936999999995,34.535557999999995,34.562155,34.339443,34.225260999999996,34.169083,34.029739,33.789041,33.64201799999999,33.516383999999995,33.135864999999995,32.739903,32.663683,32.731211
wpp_upper80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.428896000000005,20.207743000000004,20.986590000000003,21.765437000000002,22.544284,23.334484,24.160462,25.018106,25.883109,26.769372,27.646348999999997,28.500241000000003,29.390819,30.301234,31.201155,32.119398000000004,33.071406,34.036552,34.975412,35.863828,36.733106,37.656881,38.641400000000004,39.639557999999994,40.62004,41.579322999999995,42.524080999999995,43.515370000000004,44.504209,45.451825,46.410031000000004,47.462509,48.581034,49.521508000000004,50.530675,51.736565999999996,52.947886,54.173967,55.381912,56.590472999999996,57.81461,58.974758,60.174338000000006,61.399197,62.57892,63.814599,65.080688,66.40709299999999,67.67261199999999,68.834513,70.119737,71.588876,73.10843700000001,74.391247,75.69094199999999,76.98989999999999,78.23168399999999,79.645402,81.087707,82.319569,83.48013800000001,84.57242699999999,85.44734600000001,86.385555,87.734387,89.045376,90.21097900000001,91.635042,92.913,94.10168399999999,95.26294899999999,96.62869599999999,97.887304,99.334823,101.11194400000001,102.60193,103.906488,104.61043099999999,105.302324,106.513404
wpp_upper95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.162762000000004,20.048101000000003,20.93344,21.818779,22.704117999999998,23.622411,24.561996999999998,25.531365,26.581795999999997,27.657118999999998,28.718019,29.778612000000003,30.862168,31.936376,33.024445,34.173335,35.322773,36.477993999999995,37.610777999999996,38.738229,39.907913,41.128818,42.459749,43.794470999999994,45.003016,46.133909,47.378333,48.680063000000004,50.06561,51.511493,52.72619400000001,53.759106,54.931332000000005,56.493957,58.195828,59.896396,61.663008999999995,63.310935,64.61200699999999,66.339489,68.24597800000001,69.664254,71.317583,72.987228,74.392825,75.792324,77.488061,79.207909,80.762202,82.776613,84.744242,86.248316,87.923322,90.125573,92.12590700000001,94.08565399999999,96.589534,98.875111,100.95890700000001,102.419921,104.194098,107.118101,109.876955,112.09050599999999,114.257144,116.503473,118.571967,121.36318399999999,123.739023,125.770685,128.35296,130.733259,132.961144,135.11046299999998,137.11973,139.19355,142.10987,144.346509,146.32961699999998,148.937174
wup_urban_prop,0.03506,0.035896,0.036732,0.037568,0.038404,0.03924,0.040172,0.041103999999999995,0.042036,0.04296799999999999,0.043899999999999995,0.044936,0.045972,0.047008,0.048044,0.049080000000000006,0.051370000000000006,0.053660000000000006,0.05595,0.05824,0.06053,0.063728,0.066926,0.070124,0.073322,0.07652,0.07931600000000001,0.082112,0.08490800000000001,0.087704,0.09050000000000001,0.092726,0.09495200000000001,0.097178,0.099404,0.10163,0.104424,0.10721800000000001,0.110012,0.112806,0.11560000000000001,0.119006,0.122412,0.125818,0.129224,0.13263,0.135324,0.138018,0.140712,0.143406,0.1461,0.146988,0.147876,0.148764,0.149652,0.15054,0.15152000000000002,0.1525,0.15348,0.15446,0.15544,0.156978,0.158516,0.160054,0.16159199999999999,0.16313,0.165358,0.167586,0.169814,0.172042,0.17427,0.177282,0.180294,0.183306,0.186318,0.18933,0.193236,0.19714199999999998,0.201048,0.204954,0.20886,0.213728,0.21859599999999998,0.223464,0.22833199999999998,0.2332,0.238626,0.244052,0.249478,0.254904,0.26033,0.266148,0.271966,0.27778400000000003,0.283602,0.28942,0.295606,0.301792,0.307978,0.314164,0.32034999999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wup_urban_pop,0.10356,0.1083722,0.11318439999999999,0.1179966,0.1228088,0.12762099999999998,0.1338664,0.1401118,0.1463572,0.1526026,0.15884800000000002,0.166916,0.174984,0.183052,0.19111999999999998,0.19918799999999998,0.21507959999999998,0.2309712,0.2468628,0.2627544,0.278646,0.303914,0.32918200000000003,0.35445000000000004,0.379718,0.404986,0.435543,0.46609999999999996,0.49665699999999996,0.527214,0.5577709999999999,0.5927889999999999,0.6278069999999999,0.662825,0.697843,0.732861,0.8044872,0.8761133999999999,0.9477396,1.0193658,1.090992,1.1356492,1.1803064,1.2249636,1.2696208,1.314278,1.3838324,1.4533868,1.5229412,1.5924956,1.66205,1.7222364000000001,1.7824228,1.8426092,1.9027956,1.962982,2.0419018,2.1208216,2.1997414,2.2786612,2.357581,2.4594048,2.5612286,2.6630523999999998,2.7648762,2.8667,3.0003271999999996,3.1339544,3.2675815999999998,3.4012088,3.534836,3.7092935999999996,3.8837512,4.0582088,4.232666399999999,4.407124,4.635923999999999,4.864724,5.0935239999999995,5.322324,5.551124,5.8452452,6.1393664,6.433487599999999,6.7276088,7.02173,7.379118999999999,7.736508,8.093897,8.451286,8.808675,9.230264,9.651853,10.073442,10.495030999999999,10.91662,11.405341,11.894062,12.382783,12.871504,13.360225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wup_rural_pop,2.850311,2.905191,2.9600709999999997,3.014951,3.0698309999999998,3.1247109999999996,3.1917181999999995,3.2587253999999994,3.3257326,3.3927397999999998,3.4597469999999997,3.5396946,3.6196422,3.6995898,3.7795374,3.8594850000000003,3.9526034,4.0457218,4.138840200000001,4.2319586000000005,4.325077,4.437626,4.550175,4.662724,4.775273,4.887822,5.0313194,5.1748168,5.3183142,5.4618116,5.605309,5.779896,5.954483,6.1290700000000005,6.303657,6.478244,6.8519074,7.2255708,7.5992342,7.9728976,8.346561,8.396210799999999,8.4458606,8.495510399999999,8.5451602,8.594809999999999,8.818672399999999,9.042534799999999,9.2663972,9.4902596,9.714122,9.9866434,10.259164799999999,10.5316862,10.804207599999998,11.076728999999998,11.423286,11.769843,12.116399999999999,12.462957,12.809514,13.1889926,13.5684712,13.9479498,14.327428399999999,14.706907,15.115296599999999,15.523686199999998,15.9320758,16.3404654,16.748855,17.173104,17.597353,18.021601999999998,18.445850999999998,18.870099999999997,19.301504599999998,19.732909199999998,20.1643138,20.5957184,21.027123,21.4393238,21.8515246,22.2637254,22.6759262,23.088127,23.476108,23.864089,24.25207,24.640051,25.028032,25.3829326,25.7378332,26.092733799999998,26.4476344,26.802535,27.1109834,27.419431799999998,27.727880199999998,28.036328599999997,28.344776999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wup_rural_prop,0.96494,0.964104,0.963268,0.962432,0.961596,0.9607600000000001,0.959828,0.958896,0.957964,0.957032,0.9561,0.955064,0.954028,0.952992,0.951956,0.95092,0.94863,0.94634,0.9440500000000001,0.94176,0.93947,0.936272,0.933074,0.929876,0.926678,0.92348,0.920684,0.917888,0.915092,0.912296,0.9095,0.907274,0.905048,0.902822,0.900596,0.89837,0.895576,0.892782,0.889988,0.887194,0.8844,0.880994,0.877588,0.874182,0.870776,0.86737,0.864676,0.861982,0.859288,0.856594,0.8539,0.853012,0.852124,0.851236,0.850348,0.84946,0.84848,0.8475,0.8465199999999999,0.84554,0.84456,0.8430219999999999,0.841484,0.839946,0.838408,0.83687,0.834642,0.832414,0.830186,0.827958,0.82573,0.8227180000000001,0.819706,0.816694,0.813682,0.81067,0.806764,0.8028580000000001,0.798952,0.795046,0.79114,0.786272,0.781404,0.776536,0.771668,0.7668,0.761374,0.7559480000000001,0.750522,0.745096,0.73967,0.733852,0.7280340000000001,0.722216,0.716398,0.71058,0.704394,0.6982079999999999,0.692022,0.685836,0.6796500000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
urban_pop_median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.407124,4.635923999999999,4.864724,5.0935239999999995,5.322324,5.551124,5.8452452,6.1393664,6.433487599999999,6.7276088,7.02173,7.379118999999999,7.736508,8.093897,8.451286,8.808675,9.230264,9.651853,10.073442,10.495030999999999,10.91662,11.405341,11.894062,12.382783,12.871504,13.360225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
