,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
wpp_median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8420759999999996,2.9047609999999997,2.967446,3.030131,3.092816,3.153246,3.212904,3.272163,3.330806,3.389958,3.449496,3.5082370000000003,3.5653420000000002,3.6218209999999997,3.67888,3.7359299999999998,3.7927959999999996,3.850301,3.90718,3.9624050000000004,4.017678,4.073357,4.129569999999999,4.186104,4.24335,4.299961000000001,4.355498,4.40945,4.460502,4.5123,4.564906,4.616272,4.666786,4.716094,4.764871,4.812928,4.859148,4.904468,4.948805999999999,4.99278,5.035412,5.076029999999999,5.115886000000001,5.153864,5.189914,5.2262070000000005,5.262698,5.297729,5.330812,5.3619520000000005,5.392094,5.421638,5.449974,5.4781379999999995,5.507229000000001,5.535423,5.561882,5.5874120000000005,5.61142,5.635057,5.658708,5.680542,5.70053,5.719149000000001,5.736758,5.754868999999999,5.772716999999999,5.788736,5.803191,5.817169,5.83057,5.842812,5.8543,5.863779999999999,5.871652,5.877535,5.881978,5.887092,5.892539,5.897944000000001
wpp_lower95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9726199999999987,2.982229999999999,2.9918399999999994,3.0014499999999997,3.01106,3.024925,3.0421590000000003,3.062949,3.087587,3.116565,3.1405770000000004,3.1637820000000003,3.185765,3.1989029999999996,3.218498,3.240556,3.264097,3.2927959999999996,3.3180039999999997,3.34042,3.3616610000000002,3.380076,3.406292,3.427794,3.436881,3.4400720000000002,3.44352,3.457817,3.4650920000000003,3.471353,3.479374,3.486657,3.5007979999999996,3.502509,3.4978029999999998,3.4998560000000003,3.5016260000000003,3.505738,3.498606,3.482939,3.4730030000000003,3.463223,3.456433,3.451534,3.439944,3.434519,3.440879,3.4400169999999997,3.431993,3.423757,3.397629,3.376938,3.369421,3.354948,3.331766,3.306457,3.277131,3.253007,3.234765,3.200203,3.177703,3.153553,3.122042,3.093858,3.049764,3.015925,2.991549,2.957514,2.929045,2.89667,2.848684,2.8126170000000004,2.804258,2.787321,2.762152,2.745755,2.7228600000000003,2.6907379999999996,2.662254,2.646715
wpp_lower80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.925786,2.954628,2.98347,3.012312,3.041154,3.070574,3.10104,3.131734,3.166188,3.204356,3.2424250000000003,3.2786500000000003,3.312654,3.3461030000000003,3.3823440000000002,3.4197100000000002,3.453989,3.486908,3.51687,3.5467959999999996,3.582534,3.61717,3.647211,3.6708890000000003,3.697474,3.724912,3.757194,3.7877080000000003,3.798757,3.8152280000000003,3.831744,3.8469119999999997,3.871096,3.888429,3.9028449999999997,3.922931,3.936629,3.954726,3.9674650000000002,3.97281,3.981768,3.98585,4.000158,4.008138,4.002534,3.9997249999999998,4.005143,4.00921,4.015462,4.020046,4.016293,4.011963000000001,4.000869,3.994829,3.9825500000000003,3.974839,3.971469,3.9546930000000002,3.928238,3.908614,3.905234,3.892255,3.8700189999999997,3.8570830000000003,3.846908,3.8388649999999997,3.818116,3.788458,3.77716,3.763592,3.744145,3.7316599999999998,3.729748,3.7164650000000004,3.692334,3.678067,3.661435,3.639777,3.6253040000000003,3.606377
wpp_upper80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.764761000000002,2.8588380000000013,2.952915000000001,3.0469920000000004,3.141069,3.231072,3.320645,3.409337,3.498434,3.586716,3.67451,3.7666120000000003,3.855049,3.940296,4.029031,4.120006999999999,4.210601,4.296536,4.386239,4.469303,4.5508310000000005,4.636607,4.722872000000001,4.812863999999999,4.900231,4.988347,5.08007,5.181247999999999,5.275169,5.35799,5.445054,5.534847,5.636929,5.740233,5.834311,5.9364099999999995,6.036866,6.1344840000000005,6.24287,6.338764,6.414016999999999,6.487408,6.564601,6.660337999999999,6.761677,6.867675,6.9762830000000005,7.062577,7.147616,7.246553,7.363122000000001,7.474099,7.551528,7.633709,7.727084,7.811577000000001,7.889277,7.962841999999999,8.019494,8.076583,8.166308,8.261426,8.341868,8.429753,8.524291999999999,8.612623,8.717844,8.802275999999999,8.886057000000001,9.006313,9.120467000000001,9.227529,9.304452999999999,9.38755,9.494771,9.587971,9.668044,9.751281,9.839912,9.929103999999999
wpp_upper95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7245219999999986,2.834582999999999,2.9446439999999994,3.054705,3.164766,3.271618,3.376362,3.479668,3.58424,3.695935,3.804868,3.904527,4.003077,4.113365,4.229044,4.3337259999999995,4.433439,4.553053,4.671944000000001,4.773501,4.883421,4.994871,5.094518,5.20266,5.327418,5.445262,5.549813,5.6552430000000005,5.774020999999999,5.9188860000000005,6.05507,6.162635,6.2718490000000005,6.393293,6.509221999999999,6.609649,6.71348,6.81344,6.9259319999999995,7.0667219999999995,7.207439999999999,7.343129,7.504448,7.69184,7.845593,7.975718,8.104228,8.186771,8.291229,8.446786,8.595186,8.720626,8.849857,9.020069,9.177848,9.337304,9.505783,9.686791999999999,9.854265999999999,9.980884,10.143038,10.325301999999999,10.488134,10.633895,10.774968999999999,10.885104,11.072880999999999,11.287085999999999,11.409501,11.501114,11.660468000000002,11.860099,12.037957,12.21133,12.363593000000002,12.534965,12.69923,12.787931,12.898231,13.105685
wup_urban_prop,0.13408,0.138316,0.142552,0.146788,0.15102400000000002,0.15526,0.160026,0.164792,0.16955800000000001,0.174324,0.17909,0.183342,0.187594,0.191846,0.196098,0.20035,0.204864,0.209378,0.213892,0.21840600000000002,0.22292,0.225638,0.228356,0.231074,0.233792,0.23651,0.23934,0.24217,0.245,0.24783,0.25066,0.25326,0.25586,0.25846,0.26106,0.26366,0.26624,0.26882,0.2714,0.27398,0.27656,0.28087399999999996,0.285188,0.289502,0.293816,0.29813,0.30325,0.30837,0.31349,0.31860999999999995,0.32372999999999996,0.332248,0.34076599999999996,0.349284,0.35780199999999995,0.36632,0.37628799999999996,0.386256,0.39622399999999997,0.406192,0.41616,0.426728,0.43729599999999996,0.447864,0.45843199999999995,0.469,0.47926599999999997,0.48953199999999997,0.49979799999999996,0.510064,0.52033,0.5296259999999999,0.5389219999999999,0.548218,0.557514,0.5668099999999999,0.5749719999999999,0.5831339999999999,0.591296,0.599458,0.60762,0.614562,0.6215040000000001,0.6284460000000001,0.6353880000000001,0.6423300000000001,0.6480180000000001,0.653706,0.659394,0.665082,0.67077,0.6756,0.68043,0.6852600000000001,0.6900900000000001,0.6949200000000001,0.6995500000000001,0.70418,0.70881,0.71344,0.71807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wup_urban_pop,0.065067,0.0687442,0.0724214,0.0760986,0.0797758,0.083453,0.0883442,0.0932354,0.09812660000000001,0.1030178,0.107909,0.1136772,0.11944540000000001,0.1252136,0.1309818,0.13675,0.14419200000000001,0.15163400000000002,0.159076,0.166518,0.17396,0.1819678,0.1899756,0.1979834,0.20599119999999999,0.213999,0.2219666,0.22993419999999998,0.2379018,0.2458694,0.253837,0.26362179999999996,0.2734066,0.2831914,0.2929762,0.302761,0.3204594,0.3381578,0.35585619999999996,0.37355459999999996,0.39125299999999996,0.41170579999999996,0.43215859999999995,0.4526114,0.4730642,0.493517,0.5177826,0.5420482,0.5663138,0.5905794,0.614845,0.6407615999999999,0.6666782,0.6925948,0.7185114,0.744428,0.7764184,0.8084087999999999,0.8403992,0.8723896,0.90438,0.9510216,0.9976632,1.0443048,1.0909464,1.137588,1.1906902,1.2437924,1.2968946,1.3499968,1.4030989999999999,1.4591888,1.5152786,1.5713683999999999,1.6274582,1.683548,1.7412614,1.7989748,1.8566882,1.9144016000000001,1.972115,2.0299906,2.0878662,2.1457417999999997,2.2036173999999997,2.2614929999999998,2.3184823999999997,2.3754717999999997,2.4324612,2.4894506,2.54644,2.602976,2.659512,2.7160480000000002,2.772584,2.82912,2.8865048,2.9438896,3.0012744000000002,3.0586592,3.116044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wup_rural_pop,0.420207,0.4269778,0.4337486,0.4405194,0.44729019999999997,0.454061,0.46217579999999997,0.4702906,0.4784054,0.4865202,0.494635,0.5048682,0.5151014,0.5253346000000001,0.5355678,0.5458010000000001,0.5579256,0.5700502000000001,0.5821748,0.5942994,0.606424,0.6233072,0.6401903999999999,0.6570736,0.6739568,0.69084,0.704439,0.7180380000000001,0.731637,0.745236,0.758835,0.7761762000000001,0.7935174,0.8108586000000001,0.8281998,0.8455410000000001,0.8811206,0.9167002000000001,0.9522798,0.9878594,1.023439,1.0511196,1.0788002,1.1064808,1.1341614,1.161842,1.186356,1.2108700000000001,1.235384,1.2598980000000002,1.284412,1.2850832,1.2857544,1.2864256,1.2870968,1.287768,1.2839724,1.2801768,1.2763811999999999,1.2725856,1.2687899999999999,1.2726266,1.2764632,1.2802997999999999,1.2841364,1.287973,1.289066,1.290159,1.291252,1.292345,1.293438,1.2920836,1.2907292,1.2893748,1.2880204,1.2866659999999999,1.2840416,1.2814172,1.2787928,1.2761684,1.273544,1.2706846,1.2678252,1.2649658,1.2621064,1.259247,1.2573734,1.2554998,1.2536262,1.2517525999999999,1.249879,1.2483066,1.2467342000000001,1.2451618,1.2435894,1.2420170000000001,1.2383044,1.2345918,1.2308792000000002,1.2271666,1.223454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wup_rural_prop,0.86592,0.861684,0.857448,0.853212,0.848976,0.84474,0.839974,0.835208,0.830442,0.825676,0.82091,0.816658,0.812406,0.808154,0.803902,0.79965,0.7951360000000001,0.7906219999999999,0.786108,0.781594,0.77708,0.774362,0.771644,0.768926,0.766208,0.76349,0.76066,0.75783,0.755,0.75217,0.74934,0.74674,0.74414,0.74154,0.7389399999999999,0.73634,0.73376,0.7311799999999999,0.7286,0.72602,0.7234400000000001,0.719126,0.714812,0.7104980000000001,0.7061839999999999,0.70187,0.69675,0.69163,0.68651,0.68139,0.67627,0.667752,0.6592340000000001,0.6507160000000001,0.642198,0.63368,0.623712,0.6137440000000001,0.6037760000000001,0.593808,0.58384,0.573272,0.5627040000000001,0.552136,0.541568,0.531,0.520734,0.510468,0.500202,0.48993600000000004,0.47967000000000004,0.47037400000000007,0.4610780000000001,0.451782,0.44248600000000005,0.4331900000000001,0.4250280000000001,0.41686600000000007,0.40870399999999996,0.40054199999999995,0.39237999999999995,0.38543799999999995,0.37849599999999994,0.37155399999999994,0.36461199999999994,0.35766999999999993,0.3519819999999999,0.346294,0.34060599999999996,0.33491800000000005,0.32923,0.3244,0.31957,0.3147399999999999,0.3099099999999999,0.3050799999999999,0.3004499999999999,0.29581999999999997,0.29118999999999995,0.28656000000000004,0.28193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
urban_pop_median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.683548,1.7412614,1.7989748,1.8566882,1.9144016000000001,1.972115,2.0299906,2.0878662,2.1457417999999997,2.2036173999999997,2.2614929999999998,2.3184823999999997,2.3754717999999997,2.4324612,2.4894506,2.54644,2.602976,2.659512,2.7160480000000002,2.772584,2.82912,2.8865048,2.9438896,3.0012744000000002,3.0586592,3.116044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
