,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
wpp_median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.213110999999998,26.207977,27.202843,28.238972,29.315971,30.42755,31.572965,32.753299,33.96922,35.217942,36.498898999999994,37.815958,39.167074,40.551807999999994,41.971174,43.423749,44.909739,46.431153,47.985369,49.56669,51.181048000000004,52.829809999999995,54.507499,56.212091,57.946394999999995,59.709807999999995,61.501999000000005,63.323896999999995,65.171542,67.043296,68.934312,70.84505100000001,72.77776300000001,74.730106,76.70157499999999,78.691383,80.697299,82.710065,84.72877199999999,86.760446,88.808072,90.869894,92.939658,95.024936,97.128585,99.24189,101.355273,103.467355,105.582845,107.69963800000001,109.81669000000001,111.933526,114.052174,116.169611,118.28422,120.39326200000001,122.491283,124.580386,126.665746,128.744959,130.813384,132.874226,134.92594,136.965048,138.991055,141.00705,143.006426,144.985399,146.94247700000003,148.878637,150.79697099999998,152.692196,154.566248,156.422121,158.252737,160.05558499999998,161.831477,163.580628,165.307884,167.008298
wpp_lower95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.299259000000003,26.131412,26.963565,27.81605,28.683224,29.564850999999997,30.455805,31.353501,32.278303,33.228319000000006,34.177783000000005,35.10364,36.00010700000001,36.886559999999996,37.773686000000005,38.672869,39.549291,40.403678,41.278681,42.15045,43.029486,43.875642,44.7265,45.577667999999996,46.385139,47.211166,48.045892,48.857257,49.620650000000005,50.391935,51.226299,52.073959,52.885472,53.673533000000006,54.42534,55.145074,55.833262000000005,56.481521,57.200008000000004,58.05663,58.935,59.674535000000006,60.317415999999994,60.939855,61.634449000000004,62.237847,62.760335,63.450777,64.109406,64.687105,65.218154,65.748592,66.358222,66.907402,67.495995,68.027828,68.419523,68.855157,69.174102,69.550202,69.994188,70.219054,70.571216,70.943719,71.090245,71.23880899999999,71.480299,71.718847,71.770393,71.886255,72.057652,72.05908199999999,72.097166,72.272503,72.35373200000001,72.370778,72.27627899999999,72.173307,72.337121,72.468942
wpp_lower80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.266534999999998,26.160387,27.054239000000003,27.973537,28.917599,29.880607,30.860537,31.858815999999997,32.879554,33.920970000000004,34.973796,36.0274,37.084094,38.146472,39.227318,40.32695,41.416608999999994,42.526804,43.699141000000004,44.851208,45.970137,47.106269,48.240947,49.353413999999994,50.463732,51.576608,52.668845999999995,53.749048,54.797034,55.871035000000006,56.962851,58.054617,59.1396,60.162655,61.155847,62.225933,63.323898,64.30792100000001,65.26968099999999,66.344625,67.389877,68.326841,69.257476,70.19473699999999,71.189096,72.110584,72.960928,73.953518,74.96481200000001,75.825496,76.618133,77.447793,78.327527,79.12124899999999,79.989299,80.850223,81.656071,82.512516,83.175011,83.913765,84.59630800000001,85.045752,85.64620699999999,86.30036,86.856473,87.337428,87.76925800000001,88.28604399999999,88.790678,89.25908,89.666387,90.039191,90.42703599999999,90.638718,90.772924,91.093886,91.33975,91.532439,91.86878200000001,92.02122
wpp_upper80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.161583999999998,26.254673999999998,27.347763999999998,28.493816,29.695282,30.948795999999998,32.248829,33.603375,35.016857,36.489514,38.024071000000006,39.613811999999996,41.265685,42.979937,44.749294,46.577442000000005,48.458383999999995,50.396435,52.423641,54.54396,56.764675000000004,59.058982,61.403281,63.802215,66.30754300000001,68.946562,71.710871,74.510398,77.321872,80.282276,83.410016,86.63939,89.965215,93.37899,96.885044,100.531674,104.218586,107.875724,111.629626,115.613328,119.79163199999999,123.965356,128.155726,132.473272,137.08583,141.98320800000002,146.90567800000002,151.776841,156.718878,161.853139,166.74458900000002,171.828161,177.30705700000001,182.63266000000002,187.898524,193.081066,198.09303500000001,203.45142199999998,209.11468100000002,214.794986,220.573275,226.082053,231.810723,238.041652,244.35843400000002,250.409137,256.802171,263.46182699999997,269.685422,275.887467,282.156881,287.964625,293.249256,298.676269,304.507375,311.149352,317.76115500000003,324.059625,331.120073,338.12967599999996
wpp_upper95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.140554000000005,26.275346000000003,27.410138,28.607798,29.866045999999997,31.18391,32.561005,33.982352,35.463314,37.014515,38.632206,40.334552,42.107502999999994,43.95861,45.883039,47.875763,49.918842,52.020714,54.252335,56.606576999999994,59.061318,61.626717,64.280015,66.977697,69.82386,72.86275,76.066269,79.392228,82.829815,86.425988,90.153176,93.84703599999999,97.62491,101.710897,106.219173,110.93854300000001,115.662472,120.480942,125.603026,131.088262,136.631054,142.24408300000002,148.12664,154.274588,160.770223,167.669063,174.76383900000002,182.16459400000002,189.891188,197.757101,205.67425899999998,213.638157,221.84793,230.346625,239.68418499999999,250.004726,260.494347,270.58953499999996,280.22497200000004,290.53467099999995,301.61233000000004,312.75653600000004,324.64135100000004,337.36617700000005,349.75154499999996,361.851257,374.276445,387.094549,399.720624,412.726809,427.124415,442.147826,457.649789,473.78045899999995,489.035394,504.62437800000004,521.1911240000001,538.20782,555.504937,572.282429
wup_urban_prop,0.04857,0.049468000000000005,0.050366,0.051264000000000004,0.052162,0.05306,0.054034000000000006,0.055008,0.055982000000000004,0.056956,0.05793,0.059962,0.061994,0.064026,0.066058,0.06809,0.07206,0.07603,0.08,0.08397,0.08794,0.09319000000000001,0.09844,0.10369,0.10894000000000001,0.11419,0.118238,0.12228599999999999,0.126334,0.130382,0.13443,0.136616,0.13880199999999998,0.140988,0.143174,0.14536,0.147024,0.148688,0.150352,0.152016,0.15368,0.15449000000000002,0.15530000000000002,0.15611,0.15692,0.15773,0.158556,0.159382,0.16020800000000002,0.161034,0.16186,0.161972,0.162084,0.162196,0.162308,0.16242,0.162378,0.162336,0.162294,0.162252,0.16221,0.162262,0.16231399999999999,0.162366,0.162418,0.16247,0.163228,0.16398600000000002,0.164744,0.165502,0.16626000000000002,0.167864,0.169468,0.17107200000000003,0.17267600000000002,0.17428000000000002,0.17681400000000003,0.179348,0.18188200000000002,0.184416,0.18695,0.19054400000000002,0.194138,0.19773200000000002,0.201326,0.20492000000000002,0.20967200000000003,0.214424,0.219176,0.223928,0.22868,0.23404799999999998,0.239416,0.24478399999999997,0.250152,0.25551999999999997,0.26128399999999996,0.267048,0.272812,0.27857600000000005,0.28434000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wup_urban_pop,0.124316,0.1308142,0.1373124,0.14381059999999998,0.15030879999999996,0.15680699999999997,0.16471099999999997,0.172615,0.18051899999999999,0.188423,0.196327,0.21035900000000002,0.224391,0.23842300000000002,0.25245500000000004,0.26648700000000003,0.2925188,0.3185506,0.3445824,0.3706142,0.396646,0.4357304,0.4748148,0.5138992,0.5529836,0.592068,0.6346726,0.6772772,0.7198818,0.7624864,0.805091,0.8451314,0.8851718,0.9252122,0.9652526,1.005293,1.050524,1.095755,1.140986,1.186217,1.231448,1.2841282,1.3368084,1.3894886,1.4421688,1.4948489999999999,1.5634,1.631951,1.700502,1.769053,1.837604,1.9124700000000001,1.9873360000000002,2.062202,2.137068,2.2119340000000003,2.3024114,2.3928888,2.4833662,2.5738436,2.6643209999999997,2.7779733999999996,2.8916258,3.0052782,3.1189306,3.232583,3.386594,3.5406050000000002,3.694616,3.848627,4.002638,4.2156460000000004,4.428654,4.641662,4.85467,5.067678,5.3625514,5.6574248,5.9522981999999995,6.2471716,6.542045,6.949835,7.3576250000000005,7.765415000000001,8.173205000000001,8.580995000000001,9.140402400000001,9.6998098,10.2592172,10.8186246,11.378032,12.098552399999999,12.819072799999999,13.539593199999999,14.2601136,14.980634,15.8773956,16.774157199999998,17.6709188,18.5676804,19.464442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wup_rural_pop,2.435387,2.5080564,2.5807258,2.6533952,2.7260646,2.798734,2.8774746,2.9562152,3.0349558,3.1136964,3.192437,3.283439,3.374441,3.465443,3.556445,3.647447,3.7407242,3.8340014,3.9272785999999997,4.0205557999999995,4.113833,4.209614999999999,4.305397,4.401179,4.496961000000001,4.5927430000000005,4.7109570000000005,4.8291710000000005,4.947385,5.065599,5.183813,5.3291772,5.4745414,5.6199056,5.7652698,5.910634,6.0847898,6.2589456,6.4331014,6.607257199999999,6.781413,7.0216272,7.2618414,7.5020556,7.7422698,7.982484,8.289061,8.595638000000001,8.902215,9.208791999999999,9.515369,9.8935982,10.2718274,10.6500566,11.028285799999999,11.406514999999999,11.877463399999998,12.3484118,12.819360199999998,13.2903086,13.761256999999999,14.341881999999998,14.922507,15.503131999999999,16.083757,16.664382,17.3459166,18.027451199999998,18.7089858,19.3905204,20.072055,20.8598264,21.6475978,22.4353692,23.2231406,24.010912,24.8990286,25.7871452,26.675261799999998,27.563378399999998,28.451494999999998,29.420097799999997,30.388700599999996,31.3573034,32.3259062,33.294509,34.3109848,35.3274606,36.3439364,37.3604122,38.376888,39.4310448,40.4852016,41.5393584,42.5935152,43.647672,44.7159946,45.784317200000004,46.8526398,47.9209624,48.989285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wup_rural_prop,0.95143,0.950532,0.949634,0.948736,0.947838,0.94694,0.945966,0.944992,0.944018,0.943044,0.94207,0.940038,0.938006,0.935974,0.933942,0.93191,0.92794,0.92397,0.92,0.91603,0.91206,0.90681,0.90156,0.8963099999999999,0.89106,0.88581,0.881762,0.877714,0.873666,0.869618,0.86557,0.863384,0.861198,0.859012,0.856826,0.8546400000000001,0.852976,0.8513120000000001,0.849648,0.847984,0.84632,0.84551,0.8447,0.84389,0.84308,0.84227,0.841444,0.840618,0.839792,0.838966,0.83814,0.838028,0.837916,0.837804,0.837692,0.83758,0.837622,0.837664,0.8377060000000001,0.8377479999999999,0.83779,0.837738,0.837686,0.837634,0.837582,0.83753,0.836772,0.836014,0.835256,0.834498,0.8337399999999999,0.832136,0.830532,0.828928,0.827324,0.82572,0.823186,0.8206519999999999,0.818118,0.815584,0.81305,0.809456,0.805862,0.802268,0.798674,0.79508,0.7903279999999999,0.785576,0.780824,0.776072,0.77132,0.765952,0.760584,0.755216,0.7498480000000001,0.74448,0.738716,0.732952,0.727188,0.721424,0.71566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
urban_pop_median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.067678,5.3625514,5.6574248,5.9522981999999995,6.2471716,6.542045,6.949835,7.3576250000000005,7.765415000000001,8.173205000000001,8.580995000000001,9.140402400000001,9.6998098,10.2592172,10.8186246,11.378032,12.098552399999999,12.819072799999999,13.539593199999999,14.2601136,14.980634,15.8773956,16.774157199999998,17.6709188,18.5676804,19.464442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
urban_pop_lower95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.95829877966082,5.210509328580231,5.457245669228849,5.697911149835569,5.936200413132677,6.17245488598837,6.507866237713228,6.829905492675869,7.137519920415936,7.434475341390452,7.722819730931761,8.140374628235937,8.542035847165618,8.927413632843914,9.306556624002466,9.675634360785438,10.171626245638157,10.646357595167153,11.110005528960334,11.562329593878385,11.991751866498788,12.553889962588217,13.104116261688052,13.633914874786237,14.137157755761864,14.630111503993923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
urban_pop_lower80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.998813795562903,5.266158165895703,5.5297678683366485,5.789742679994806,6.046774579147427,6.301120950896279,6.65943680996131,7.009635956465786,7.352435359583154,7.6884102351924755,8.020014394198505,8.488547374495003,8.945347686410917,9.396529934499554,9.852265631665114,10.295593267629046,10.86675894814969,11.430264308112847,11.982989679323946,12.520176312029209,13.046173094393328,13.714701760925523,14.364988402191463,14.998998921138769,15.61193402758421,16.22083914605675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
urban_pop_upper80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.133247242439829,5.45441579483443,5.778529984610542,6.10678358007311,6.439839200654628,6.778250773884801,7.2402463284792535,7.7074227107111755,8.181493702702301,8.662593687267535,9.148980871193407,9.804233223682756,10.46626229592123,11.135367945109655,11.819262912079902,12.520564158847804,13.41845120007058,14.330571882652798,15.252496649778209,16.185607360374192,17.142205880491137,18.33353475418858,19.558541879312262,20.792579976776892,22.0293668550256,23.308068040538934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
urban_pop_upper95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.162766202121976,5.495852286101708,5.834467469239079,6.175655546678409,6.521945692679502,6.875774364759161,7.356042640793357,7.847652786133305,8.348395782864582,8.859844943166285,9.38077472514362,10.077520921259728,10.78169866086845,11.494261273784883,12.23155428977614,12.994037820892698,13.961348556912375,14.95362886309827,15.967073704663974,16.99117664714482,18.051264295686387,19.374885718170457,20.74644035267027,22.154884345464186,23.59860585332055,25.091750123960136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rural_pop_median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.010912,24.8990286,25.7871452,26.675261799999998,27.563378399999998,28.451494999999998,29.420097799999997,30.388700599999996,31.3573034,32.3259062,33.294509,34.3109848,35.3274606,36.3439364,37.3604122,38.376888,39.4310448,40.4852016,41.5393584,42.5935152,43.647672,44.7159946,45.784317200000004,46.8526398,47.9209624,48.989285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rural_pop_lower95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.4926677796307,24.193077346146456,24.874707387091647,25.53522463558745,26.19133084889365,26.844139611761104,27.549152056536766,28.2090964330504,28.82181797985379,29.404150823575414,29.964764113821886,30.55710874782809,31.11075794852503,31.62593665417008,32.13872414385952,32.634882393793085,33.15089581962004,33.62333144297561,34.085403798798396,34.535507578583996,34.939245707112725,35.35590407384502,35.76710343162899,36.148935430127246,36.48631334998273,36.821949586375865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rural_pop_lower80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.684629952741048,24.451462187338784,25.205271299954642,25.946768215257606,26.679199243469043,27.403711106973542,28.190781830357373,28.951425004132908,29.689661956165516,30.408490682657764,31.11788801039642,31.864069785415346,32.57965098913412,33.28781130787912,34.023244054785124,34.72593764241074,35.41644031027145,36.09906598355797,36.763711851618886,37.3964987244629,38.01141420845774,38.62513382749978,39.20859794853092,39.76831662045232,40.29253452289837,40.82558913660771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
