,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
wpp_median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218.13456599999995,222.98286999999996,227.83117399999998,232.679478,237.527782,242.43183199999999,247.374263,252.346128,257.352638,262.38097,267.42107400000003,272.483642,277.555115,282.622397,287.685762,292.739396,297.77324400000003,302.782358,307.764756,312.710416,317.607244,322.450309,327.243939,331.983358,336.66250199999996,341.28176299999996,345.844009,350.34776899999997,354.792425,359.18555599999996,363.52360999999996,367.80370600000003,372.023922,376.17742,380.26849300000003,384.30068,388.268096,392.170714,396.009372,399.785267,403.50139399999995,407.149193,410.725691,414.232572,417.659131,420.998046,424.256028,427.425878,430.503484,433.485694,436.37328,439.170599,441.867332,444.465529,446.969593,449.370432,451.660302,453.850397,455.942795,457.92159000000004,459.785704,461.539632,463.189387,464.743616,466.191503,467.531292,468.768175,469.901801,470.94005200000004,471.885519,472.741816,473.50017599999995,474.160897,474.739497,475.24794199999997,475.69311300000004,476.068925,476.37512599999997,476.601904,476.74778100000003
wpp_lower95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221.84557900000004,225.22936300000003,228.61314700000003,231.99693100000002,235.380715,238.64315100000002,241.739798,244.818174,247.791783,250.525949,253.059533,255.600614,258.346342,261.059479,263.33840000000004,265.403706,267.68814299999997,270.02479100000005,271.990401,273.685072,275.861636,277.843273,279.603822,281.692919,283.726773,285.81160800000004,287.79598300000004,289.705763,291.84484999999995,293.66468,294.699635,295.860931,297.133907,298.01833,298.995611,299.735412,300.01808500000004,300.168257,300.38012599999996,300.971939,301.32186099999996,301.502187,302.14270500000003,302.615887,302.53588,301.86408500000005,301.347824,300.940103,300.477599,300.07086300000003,299.34669,298.651654,297.767072,296.714917,295.553264,294.081951,292.064419,290.60731300000003,290.04013299999997,289.106519,288.250895,287.49230200000005,286.048529,284.078538,282.825357,282.063696,281.131488,279.218248,276.80726500000003,275.156359,273.786564,271.955522,269.890944,268.498513,267.103397,264.826888,262.192365,259.79533100000003,257.30420499999997,255.513443
wpp_lower80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220.61308,224.477364,228.341648,232.205932,236.070216,239.939426,243.70815,247.353161,250.881988,254.30674,257.710984,261.107444,264.309164,267.387487,270.535734,273.57148,276.69570600000003,279.904733,282.95663299999995,285.959994,289.138002,292.262417,295.16937199999995,298.04571999999996,300.409351,302.704496,305.42609899999997,308.025874,310.560215,313.14166600000004,315.411288,317.278417,318.865195,320.403035,322.245004,323.793159,324.951772,326.12311200000005,327.304361,328.645346,329.730297,330.82648800000004,332.08583799999997,333.33834,334.464378,335.43575699999997,336.3095,336.40106,336.461992,336.589082,336.775286,337.42605699999996,337.535505,337.585921,337.99906,338.177112,337.81341499999996,337.63484600000004,337.843663,337.152146,336.025496,335.353008,334.72621000000004,333.836345,332.976286,331.763343,330.385996,328.96214100000003,327.460172,326.29623399999997,325.077603,323.30359999999996,321.51082299999996,320.251781,318.76997600000004,317.03163,315.24952399999995,313.381038,311.839613,310.427257
wpp_upper80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215.80478699999992,221.57630199999994,227.34781699999996,233.11933199999999,238.890847,244.81277799999998,250.854117,257.038382,263.327222,269.744424,276.38966700000003,283.142631,290.02335999999997,297.065264,304.069616,311.20828,318.71495400000003,326.060585,333.299581,340.72297,348.296697,355.96287900000004,363.28709000000003,370.825424,378.77559499999995,386.73656300000005,394.726392,402.781883,410.778563,418.621296,426.541206,434.358186,441.895022,450.583776,459.793548,468.509147,477.354738,486.12122600000004,494.94314299999996,503.97639799999996,512.48847,521.28826,530.49807,539.385655,548.4941230000001,557.6460870000001,566.135344,573.550616,581.968152,591.715623,600.979936,610.24982,620.127636,629.402245,638.002882,648.092832,658.1021069999999,666.9969,675.97217,684.166717,692.444834,701.021872,709.4355400000001,717.6982399999999,726.2775389999999,734.631292,742.430096,750.216737,757.8536439999999,766.013273,774.600466,782.2645699999999,789.360227,796.525752,803.6480359999999,811.070934,819.0679080000001,826.883644,835.130537,845.32315
wpp_upper95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214.68046799999996,220.90090199999997,227.12133599999999,233.34177,239.562204,245.93868799999998,252.39054800000002,259.085835,266.08533500000004,273.382499,280.789963,288.328347,296.265877,304.317134,312.505269,320.88559999999995,329.476987,338.508635,347.675733,356.821303,366.042885,375.355717,384.50816,393.56806800000004,403.147702,412.619548,422.477287,432.33700300000004,441.752696,451.58853700000003,461.359961,471.34649099999996,481.34895400000005,491.601792,502.983304,514.152886,526.3236629999999,539.794409,553.1039440000001,566.622098,579.767834,592.897518,605.742289,618.870786,631.905637,644.843078,658.3831650000001,671.1324490000001,683.070674,694.9469740000001,707.4759889999999,721.060228,735.970735,751.4732319999999,766.385266,781.179031,796.7320940000001,813.442789,828.632437,840.278601,853.2628860000001,868.63195,880.649875,892.593877,907.4614379999999,921.3703760000001,933.331814,948.149002,965.057354,981.422317,998.327649,1011.864312,1023.9387909999999,1041.2496019999999,1061.744439,1078.148211,1092.531651,1108.6091959999999,1125.526085,1142.489217
wup_urban_prop,0.0935,0.09891,0.10432,0.10973,0.11513999999999999,0.12054999999999999,0.12725999999999998,0.13397,0.14068,0.14739000000000002,0.15410000000000001,0.15638200000000002,0.158664,0.160946,0.16322799999999998,0.16551,0.167928,0.170346,0.172764,0.175182,0.1776,0.18164,0.18568,0.18972,0.19376000000000002,0.1978,0.20218,0.20656,0.21094,0.21531999999999998,0.21969999999999998,0.22702999999999998,0.23435999999999998,0.24169000000000002,0.24902000000000002,0.25635,0.26444,0.27253,0.28062000000000004,0.28871,0.2968,0.30185,0.3069,0.31195,0.317,0.32205,0.32732,0.33259,0.33786000000000005,0.34313000000000005,0.34840000000000004,0.356868,0.365336,0.373804,0.382272,0.39074,0.39955199999999996,0.40836399999999995,0.417176,0.425988,0.43479999999999996,0.44351599999999997,0.45223199999999997,0.460948,0.469664,0.47838,0.48662,0.49485999999999997,0.5031,0.5113399999999999,0.5195799999999999,0.527188,0.5347959999999999,0.542404,0.550012,0.55762,0.564474,0.5713280000000001,0.578182,0.585036,0.59189,0.59788,0.60387,0.60986,0.61585,0.62184,0.627184,0.632528,0.6378719999999999,0.6432159999999999,0.6485599999999999,0.6537299999999999,0.6588999999999999,0.66407,0.6692400000000001,0.6744100000000001,0.679374,0.684338,0.6893020000000001,0.694266,0.69923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wup_urban_pop,3.539994,3.822564,4.105134,4.387704,4.670274,4.952844,5.3534226,5.7540012,6.1545798000000005,6.5551584,6.955737,7.223943800000001,7.4921506,7.760357400000001,8.028564200000002,8.296771000000001,8.6258762,8.954981400000001,9.2840866,9.613191800000001,9.942297,10.4609544,10.9796118,11.4982692,12.0169266,12.535584,13.2563314,13.9770788,14.6978262,15.418573599999998,16.139321,17.19831,18.257299,19.316288,20.375277,21.434266,22.8026392,24.171012400000002,25.539385600000003,26.9077588,28.276132,29.5780146,30.8798972,32.1817798,33.4836624,34.785545,36.353924,37.922303,39.490682,41.059061,42.62744,44.9597356,47.2920312,49.6243268,51.9566224,54.288917999999995,57.22109999999999,60.153282,63.085463999999995,66.017646,68.949828,72.4944812,76.0391344,79.5837876,83.12844079999999,86.67309399999999,90.7609804,94.8488668,98.9367532,103.0246396,107.112526,111.752432,116.392338,121.03224399999999,125.67214999999999,130.31205599999998,135.50962099999998,140.70718599999998,145.904751,151.102316,156.299881,162.0174342,167.7349874,173.4525406,179.1700938,184.887647,191.12682479999998,197.36600259999997,203.6051804,209.8443582,216.08353599999998,222.92390699999999,229.764278,236.604649,243.44502,250.285391,257.6543826,265.0233742,272.3923658,279.76135739999995,287.13034899999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wup_rural_pop,34.31975,34.6823438,35.0449376,35.407531399999996,35.770125199999995,36.132718999999994,36.54259019999999,36.9524614,37.362332599999995,37.7722038,38.182075,38.911748599999996,39.6414222,40.3710958,41.100769400000004,41.830443,42.672175,43.513907,44.355639000000004,45.197371000000004,46.039103000000004,46.99888,47.958657,48.918434,49.878211,50.837987999999996,52.134671,53.431354,54.72803699999999,56.024719999999995,57.321403,58.292929199999996,59.264455399999996,60.2359816,61.2075078,62.179034,63.1419984,64.1049628,65.0679272,66.03089159999999,66.993856,68.2402688,69.4866816,70.7330944,71.9795072,73.22592,74.5256498,75.8253796,77.1251094,78.42483920000001,79.724569,80.7097672,81.6949654,82.6801636,83.6653618,84.65056,85.6461346,86.6417092,87.6372838,88.6328584,89.628433,90.6044764,91.58051979999999,92.5565632,93.5326066,94.50864999999999,95.41495499999999,96.32126,97.227565,98.13387,99.040175,99.90810640000001,100.7760378,101.6439692,102.51190059999999,103.379832,104.2573948,105.13495759999999,106.0125204,106.89008319999999,107.767646,108.701222,109.634798,110.56837399999999,111.50195,112.435526,113.366132,114.29673799999999,115.227344,116.15795,117.088556,117.8376384,118.5867208,119.3358032,120.08488559999999,120.833968,121.3686782,121.9033884,122.4380986,122.9728088,123.507519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wup_rural_prop,0.9065,0.90109,0.89568,0.89027,0.88486,0.8794500000000001,0.8727400000000001,0.86603,0.85932,0.85261,0.8459,0.843618,0.841336,0.839054,0.8367720000000001,0.83449,0.832072,0.829654,0.827236,0.824818,0.8224,0.81836,0.8143199999999999,0.81028,0.80624,0.8022,0.79782,0.79344,0.78906,0.78468,0.7803,0.77297,0.76564,0.75831,0.75098,0.7436499999999999,0.73556,0.7274700000000001,0.7193799999999999,0.71129,0.7032,0.69815,0.6931,0.68805,0.683,0.67795,0.67268,0.6674100000000001,0.66214,0.65687,0.6516,0.643132,0.634664,0.626196,0.617728,0.60926,0.6004480000000001,0.591636,0.582824,0.574012,0.5652,0.556484,0.547768,0.539052,0.5303359999999999,0.52162,0.51338,0.50514,0.4969,0.4886600000000001,0.48042000000000007,0.472812,0.46520400000000006,0.457596,0.44998800000000005,0.44238,0.43552599999999997,0.42867199999999994,0.421818,0.414964,0.40811,0.40212000000000003,0.39613,0.39014000000000004,0.38415,0.37816000000000005,0.37281600000000004,0.367472,0.3621280000000001,0.3567840000000001,0.3514400000000001,0.3462700000000001,0.34110000000000007,0.33592999999999995,0.33075999999999994,0.32558999999999994,0.32062599999999997,0.315662,0.3106979999999999,0.30573399999999995,0.30077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
urban_pop_median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.31205599999998,135.50962099999998,140.70718599999998,145.904751,151.102316,156.299881,162.0174342,167.7349874,173.4525406,179.1700938,184.887647,191.12682479999998,197.36600259999997,203.6051804,209.8443582,216.08353599999998,222.92390699999999,229.764278,236.604649,243.44502,250.285391,257.6543826,265.0233742,272.3923658,279.76135739999995,287.13034899999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
