,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
wpp_median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.318247999999993,13.631020999999995,13.943793999999997,14.256566999999999,14.56934,14.889693,15.214328,15.536462,15.844657999999999,16.154705,16.473109,16.771823,17.073475,17.402254,17.746319,18.076776000000002,18.395846000000002,18.729788,19.076787,19.44077,19.806175,20.153985000000002,20.500835,20.837083,21.152658,21.459156,21.764590000000002,22.086122,22.403893,22.70791,23.007763999999998,23.300259999999998,23.582537,23.867623,24.15945,24.442071,24.708958,25.005558,25.305692999999998,25.576760999999998,25.865302,26.141278,26.401101999999998,26.669009,26.933366000000003,27.184216,27.431209,27.68441,27.912791000000002,28.138805,28.368475,28.589814999999998,28.80991,29.015584,29.214158,29.4007,29.584169000000003,29.770220000000002,29.952990000000003,30.141578000000003,30.322788,30.500836,30.678624,30.835598,30.977278,31.124888,31.29684,31.464668000000003,31.633739000000002,31.781409,31.883054,31.9946,32.121007,32.229107,32.336909,32.444593,32.523673,32.600426,32.692043,32.779346
wpp_lower95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.443646999999999,14.833188999999999,14.222731,13.612273,13.001815,12.752414,12.560598,12.484521,12.350748,12.201655,12.145107,12.101682,12.066016,12.046092,12.068918,12.084062,12.19939,12.261262,12.232463,12.349313,12.499384,12.56211,12.509576,12.443619,12.570697000000001,12.716798,12.573283,12.637861000000001,12.833620999999999,12.856599000000001,12.89367,12.89238,12.804765999999999,12.782401,12.781597,12.582867,12.27747,12.164117000000001,12.224499,12.270593000000002,12.223519,12.101609,12.094145000000001,12.107213,12.317771,12.646700999999998,12.727675999999999,12.678595,12.695056000000001,12.660789000000001,12.575762000000001,12.633443999999999,12.507546,12.213121,12.111516,12.025413,11.93052,11.792309999999999,11.683674000000002,11.636308000000001,11.585181,11.603472,11.555124,11.473321,11.407661000000001,11.490641,11.574916,11.628566000000001,11.761842,11.775772000000002,11.921569,12.113153,12.117732,12.117638000000001,12.104981,11.956119000000001,11.824369,11.990988,12.182015,12.227788
wpp_lower80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.718284,14.422715,14.127146,13.831577,13.536007999999999,13.513819999999999,13.495355,13.508612,13.524665,13.559366,13.681992000000001,13.747244,13.886417999999999,14.103804,14.157538,14.204609,14.287722,14.416776,14.528661,14.572841,14.753966,14.929649999999999,15.039544,15.086203,15.166593,15.339252,15.308528,15.338852000000001,15.470074,15.552828,15.664958,15.76943,15.733111000000001,15.722506,15.827004,15.776412,15.711664,15.782305000000001,15.903722,16.106947,16.155504999999998,16.070973,16.077648,16.23121,16.435006,16.512907,16.484026999999998,16.549528,16.540937000000003,16.424837,16.466826,16.547044000000003,16.575409,16.482358,16.542145,16.582102,16.656698,16.652150000000002,16.428062999999998,16.27268,16.320202,16.477044999999997,16.532788,16.528752,16.492853999999998,16.499774000000002,16.477162,16.467664,16.651736,16.726449,16.704245,16.732045,16.630232,16.520122,16.482015999999998,16.524541000000003,16.516449,16.554984,16.696357,16.723992
wpp_upper80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.835931999999998,12.766146999999998,13.696361999999999,14.626577,15.556792,16.263113999999998,16.908583,17.600901,18.266939999999998,18.900209,19.540384999999997,20.065244,20.676358,21.49064,22.219874,22.890875,23.615658,24.327299,25.060484,25.879269,26.788152999999998,27.462414,28.025978,28.829377,29.651053,30.509055,31.139817999999998,31.914998,32.815064,33.571732000000004,34.331977,34.809392,35.280196000000004,35.888709000000006,36.626799,37.434635,38.012311000000004,38.607929,39.38637,40.047999000000004,40.522441,41.321863,42.26596,42.834233999999995,43.501239,44.402887,45.143478,45.756692,46.511459,47.165796,48.011326000000004,48.789855,49.477266,50.14338,50.747789,51.195228,51.639883000000005,52.390217,52.920978000000005,53.549869,54.649772,55.407025999999995,55.831897,56.423604,56.817773,57.416982000000004,58.176704,59.033389,59.618430000000004,60.28911,61.255297,62.001238,62.42471,63.140866,63.919047,64.20841399999999,64.702121,65.526291,66.3726,66.999747
wpp_upper95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.965640000000004,12.254990000000003,13.544340000000002,14.83369,16.12304,17.052255000000002,17.841836,18.74918,19.614987,20.441976,21.435946,22.378700000000002,23.306334,24.203518,24.984578000000003,25.945529999999998,27.017145,28.049842,29.057704,29.957687999999997,31.008046999999998,32.091482,33.007796,34.068286,35.152144,36.187652,36.934364,37.716014,38.795425,39.876771,40.858514,41.911431,43.148144,44.10212,45.284154,46.528282,47.52868,48.504244,49.489483,50.620134,51.734446000000005,52.813485,53.662047,54.514829,55.597267,57.015744,58.782121,60.272086,60.811169,61.904326999999995,63.61872,64.877891,66.059009,67.81050900000001,69.686701,70.22716,71.176794,72.958559,73.501671,74.67019400000001,76.921139,78.14144999999999,78.779037,79.93928100000001,80.775588,82.70685,84.97756600000001,86.325524,87.417599,88.83059,89.914739,90.057266,91.107945,91.986331,92.604389,94.16871,95.602987,97.077898,98.685458,99.81053
wup_urban_prop,0.02114,0.021602,0.022064,0.022526,0.022988,0.023450000000000002,0.023960000000000002,0.024470000000000002,0.024980000000000002,0.025490000000000002,0.026000000000000002,0.026564,0.027128000000000003,0.027692,0.028256000000000003,0.028820000000000002,0.029444,0.030068,0.030691999999999997,0.031316,0.031939999999999996,0.033547999999999994,0.035156,0.036764,0.038372,0.03998,0.041426000000000004,0.042872,0.044318,0.045764,0.04721,0.047882,0.048554,0.049226000000000006,0.049898000000000005,0.050570000000000004,0.05128800000000001,0.052006000000000004,0.05272400000000001,0.053442,0.05416000000000001,0.063002,0.071844,0.08068600000000001,0.089528,0.09837,0.108548,0.118726,0.12890400000000002,0.139082,0.14926,0.153232,0.157204,0.16117599999999999,0.165148,0.16912,0.169164,0.169208,0.169252,0.169296,0.16934000000000002,0.16948000000000002,0.16962000000000002,0.16976000000000002,0.16990000000000002,0.17004000000000002,0.17089600000000002,0.17175200000000002,0.17260799999999998,0.17346399999999998,0.17431999999999997,0.176034,0.177748,0.179462,0.181176,0.18289000000000002,0.18555000000000002,0.18821000000000002,0.19087,0.19353,0.19619,0.199922,0.203654,0.207386,0.211118,0.21484999999999999,0.219742,0.224634,0.229526,0.23441800000000002,0.23931000000000002,0.24481000000000003,0.25031000000000003,0.25581,0.26131,0.26681,0.272696,0.278582,0.284468,0.290354,0.29624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wup_urban_pop,0.046208,0.0488086,0.0514092,0.0540098,0.0566104,0.059211,0.0626226,0.0660342,0.0694458,0.0728574,0.076269,0.079652,0.083035,0.08641800000000001,0.089801,0.093184,0.09853440000000001,0.1038848,0.1092352,0.11458560000000001,0.119936,0.1308002,0.1416644,0.1525286,0.1633928,0.174257,0.187942,0.201627,0.215312,0.22899699999999998,0.24268199999999998,0.2560454,0.2694088,0.28277220000000003,0.2961356,0.309499,0.3259788,0.3424586,0.35893840000000005,0.37541820000000004,0.391898,0.4301512,0.46840440000000005,0.5066576,0.5449108,0.583164,0.7061152,0.8290664000000001,0.9520176,1.0749688000000002,1.19792,1.2624796,1.3270392,1.3915988000000001,1.4561584,1.520718,1.563614,1.60651,1.649406,1.692302,1.735198,1.7836518000000001,1.8321056,1.8805594,1.9290132,1.977467,2.0382396000000003,2.0990122,2.1597848,2.2205574,2.28133,2.3570528,2.4327756,2.5084984,2.5842212,2.659944,2.7567238,2.8535036,2.9502834,3.0470631999999997,3.143843,3.2688714,3.3938998000000002,3.5189282,3.6439566,3.7689850000000003,3.9277044,4.0864238,4.2451432,4.4038626,4.562582,4.745547,4.9285120000000004,5.111477,5.294442,5.477407,5.678618,5.879829,6.081040000000001,6.2822510000000005,6.483462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wup_rural_pop,2.139977,2.2052448,2.2705126,2.3357804,2.4010482,2.466316,2.5444846,2.6226532000000002,2.7008218,2.7789904,2.8571590000000002,2.9136772,2.9701954,3.0267136,3.0832318,3.13975,3.238721,3.337692,3.436663,3.535634,3.634605,3.744651,3.854697,3.964743,4.074789,4.184835,4.3274748,4.4701146,4.6127544,4.7553942,4.898034,5.0805488,5.2630636,5.4455784000000005,5.6280932,5.810608,6.0172664000000005,6.2239248,6.4305832,6.637241599999999,6.8439,6.5441028,6.2443056,5.9445084,5.6447112,5.344914,5.6414878,5.9380616,6.2346354,6.5312092,6.827783,6.9564298,7.0850766,7.2137234,7.3423701999999995,7.471017,7.6791424,7.8872678,8.0953932,8.3035186,8.511644,8.7397324,8.9678208,9.1959092,9.4239976,9.652085999999999,9.8828374,10.1135888,10.3443402,10.5750916,10.805843000000001,11.021478600000002,11.2371142,11.452749800000001,11.6683854,11.884021,12.083298600000001,12.282576200000001,12.4818538,12.6811314,12.880409,13.0590794,13.2377498,13.416420200000001,13.5950906,13.773761,13.919624,14.065487,14.21135,14.357212999999998,14.503075999999998,14.612855399999999,14.7226348,14.832414199999999,14.9421936,15.051973,15.1221014,15.1922298,15.2623582,15.3324866,15.402614999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wup_rural_prop,0.97886,0.978398,0.977936,0.977474,0.977012,0.97655,0.97604,0.97553,0.97502,0.97451,0.974,0.973436,0.972872,0.972308,0.9717439999999999,0.97118,0.970556,0.969932,0.9693080000000001,0.968684,0.96806,0.966452,0.964844,0.963236,0.961628,0.96002,0.958574,0.957128,0.955682,0.954236,0.95279,0.952118,0.951446,0.950774,0.950102,0.94943,0.948712,0.947994,0.947276,0.946558,0.94584,0.936998,0.928156,0.919314,0.910472,0.90163,0.891452,0.881274,0.871096,0.860918,0.85074,0.846768,0.842796,0.838824,0.834852,0.8308800000000001,0.830836,0.830792,0.830748,0.830704,0.83066,0.8305199999999999,0.83038,0.83024,0.8301,0.82996,0.829104,0.828248,0.827392,0.826536,0.82568,0.823966,0.822252,0.820538,0.818824,0.81711,0.81445,0.81179,0.80913,0.80647,0.80381,0.8000780000000001,0.796346,0.792614,0.788882,0.78515,0.780258,0.775366,0.770474,0.765582,0.76069,0.75519,0.74969,0.74419,0.7386900000000001,0.73319,0.727304,0.721418,0.7155320000000001,0.709646,0.7037599999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
urban_pop_median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.659944,2.7567238,2.8535036,2.9502834,3.0470631999999997,3.143843,3.2688714,3.3938998000000002,3.5189282,3.6439566,3.7689850000000003,3.9277044,4.0864238,4.2451432,4.4038626,4.562582,4.745547,4.9285120000000004,5.111477,5.294442,5.477407,5.678618,5.879829,6.081040000000001,6.2822510000000005,6.483462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
