,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
wpp_median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.809404,48.02259,49.235776,50.448962,51.662148,53.282719,54.724218,55.993834,57.27544,58.571616999999996,59.872938000000005,61.179480000000005,62.497203999999996,63.822357000000004,65.148316,66.470016,67.79124,69.107709,70.41662600000001,71.730599,73.05622,74.38756,75.723663,77.066454,78.41520299999999,79.767267,81.115239,82.463196,83.828354,85.206383,86.57906600000001,87.948533,89.31218799999999,90.67508199999999,92.037874,93.382431,94.710345,96.030148,97.334647,98.627439,99.911421,101.188856,102.45358999999999,103.694992,104.912031,106.12030800000001,107.32749199999999,108.50028,109.646932,110.78306500000001,111.909753,113.032704,114.137401,115.223067,116.288195,117.32393300000001,118.343023,119.35799499999999,120.351201,121.318084,122.26594,123.204358,124.144981,125.083376,126.001731,126.896229,127.774773,128.626454,129.448912,130.24160899999998,131.00282,131.753188,132.484572,133.16255999999998,133.817374,134.46573,135.09979800000002,135.721794,136.314738,136.890755
wpp_lower95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.00915299999999,49.38734099999999,49.765528999999994,50.143716999999995,50.521905,51.040266,51.385954,51.659428999999996,51.890276,52.035692000000004,52.179311,52.339605000000006,52.512231,52.577901,52.594755,52.662637000000004,52.692336000000005,52.688551,52.782236,53.005866000000005,53.075819,53.138684,53.31879,53.491755,53.729165,54.064152,54.442150999999996,54.720595,54.940413,55.379647,55.775514,56.077465,56.465117,56.785987,56.915274,56.949629,57.273928999999995,57.622128,57.740314,57.839579,57.860909,57.864681,57.751017999999995,57.608622000000004,57.540833,57.644748,57.911919999999995,57.963114999999995,57.774550000000005,57.6179,57.641579,57.577961,57.524519999999995,57.357157,57.017482,56.731545,56.692194,56.678238,56.510623,56.421195,56.445747000000004,56.166461000000005,55.894254000000004,55.816050000000004,55.251278,54.609142,54.350331,54.020267,53.72162599999999,53.903574,54.365245,54.444453,54.064025,53.747215,53.6626,53.66841,53.626582,53.290476000000005,53.24145,53.503099
wpp_lower80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.27720799999999,48.93432599999999,49.591443999999996,50.248562,50.905680000000004,51.75419,52.431048000000004,53.030361,53.668496,54.308235999999994,54.916907,55.544504,56.099957,56.542705000000005,56.96921,57.390536,57.868057,58.496257,59.038703,59.539523,60.251277,60.931538999999994,61.500091,62.101048999999996,62.806858999999996,63.602718,64.32875,64.864155,65.412973,66.11712399999999,66.677809,67.183656,67.874665,68.388313,68.83081600000001,69.465356,70.021333,70.39222500000001,70.886541,71.550924,71.964542,72.19372,72.550309,72.9565,73.318814,73.630315,74.137582,74.623782,74.886629,74.993045,75.028564,75.499935,76.00977800000001,76.175947,76.34845200000001,76.600588,76.83481900000001,77.02476700000001,76.993359,76.75263199999999,76.79054099999999,76.817684,76.537415,76.45922,76.27308900000001,76.008245,76.324844,76.81811,77.18528599999999,77.358636,77.308868,77.457033,77.31272100000001,76.74365700000001,76.404201,76.193567,76.029434,75.771412,75.75197800000001,75.542321
wpp_upper80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.78818899999999,47.40724699999999,49.026304999999994,50.645362999999996,52.264421,54.371309000000004,56.403295,58.376312,60.386086000000006,62.378319000000005,64.381781,66.412207,68.45664599999999,70.470806,72.498601,74.483906,76.569616,78.796056,80.848994,82.827974,84.987912,87.124644,89.221069,91.488242,93.867059,96.265678,98.71203200000001,101.11389,103.64654399999999,106.27919299999999,108.82508299999999,111.505221,114.105698,116.59125900000001,119.125152,121.573069,124.34892500000001,127.25128699999999,129.980061,132.748703,135.42413200000001,138.218521,141.387926,144.358651,147.11097,149.785552,152.499577,155.686492,158.70667,161.24785500000002,163.99098,166.983645,169.771979,172.323793,174.922577,177.70125,180.40340400000002,183.074649,186.062212,189.311621,192.370958,195.369484,198.281507,201.09953,203.871093,206.624178,210.03277799999998,213.557227,216.920581,220.352886,223.371672,226.307613,229.31586199999998,231.98452600000002,234.51838500000002,237.256104,239.981693,242.601949,245.380038,247.972814
wpp_upper95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.302361000000005,47.112675,48.922989,50.733303,52.543617,54.878362,57.210387000000004,59.508741,61.898305,64.278245,66.66090700000001,69.032234,71.406639,73.837922,76.213992,78.56530599999999,81.02219500000001,83.63991,86.195954,88.785739,91.47185,93.998446,96.638446,99.761778,102.982219,105.88002,108.82938,111.960381,114.965641,117.972003,120.91256299999999,123.540243,126.433135,129.551778,132.807886,136.28442,139.59536300000002,142.786946,145.822437,149.284707,152.87635699999998,156.497196,160.555047,164.626211,168.793002,172.757603,176.498313,180.616339,184.867521,189.016475,193.451342,198.128086,202.57027,206.350692,209.78923600000002,213.46013699999997,217.59286300000002,221.575983,226.053465,231.45472700000002,236.823589,242.26407999999998,247.42487,251.598917,254.90042300000002,258.01846,261.648974,265.42445899999996,270.18341,276.554792,283.51067800000004,290.353321,296.08230599999996,300.22614899999996,304.705247,310.738734,315.91287800000003,319.714626,324.46542999999997,329.68809999999996
wup_urban_prop,0.06824,0.07175999999999999,0.07528,0.0788,0.08232,0.08584,0.090164,0.094488,0.098812,0.103136,0.10746,0.112714,0.11796799999999999,0.123222,0.12847599999999998,0.13373,0.14003,0.14633,0.15263,0.15893,0.16523,0.17007,0.17491,0.17975,0.18459,0.18943000000000002,0.19146200000000002,0.193494,0.195526,0.19755799999999998,0.19959,0.205546,0.211502,0.217458,0.223414,0.22937000000000002,0.240716,0.252062,0.26340800000000003,0.274754,0.2861,0.293344,0.300588,0.307832,0.315076,0.32232,0.32284599999999997,0.323372,0.32389799999999996,0.324424,0.32494999999999996,0.32548,0.32600999999999997,0.32654,0.32706999999999997,0.3276,0.328258,0.328916,0.329574,0.33023199999999997,0.33088999999999996,0.33249999999999996,0.33410999999999996,0.33571999999999996,0.33732999999999996,0.33893999999999996,0.34165799999999996,0.34437599999999996,0.347094,0.349812,0.35253,0.356394,0.360258,0.364122,0.36798600000000004,0.37185,0.37689,0.38193,0.38697,0.39200999999999997,0.39704999999999996,0.403184,0.40931799999999996,0.415452,0.42158599999999996,0.42772,0.434204,0.440688,0.447172,0.45365600000000006,0.46014000000000005,0.46669400000000005,0.473248,0.479802,0.48635599999999996,0.49290999999999996,0.499474,0.506038,0.512602,0.519166,0.52573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wup_urban_pop,0.39125400000000005,0.42543980000000003,0.4596256,0.4938114,0.5279971999999999,0.562183,0.6118994,0.6616158,0.7113322,0.7610486,0.810765,0.8831694,0.9555738,1.0279782,1.1003826,1.172787,1.27799,1.383193,1.4883959999999998,1.593599,1.698802,1.8191271999999998,1.9394523999999997,2.0597776,2.1801028,2.3004279999999997,2.4194389999999997,2.5384499999999997,2.657461,2.776472,2.895483,3.1058766,3.3162702,3.5266638,3.7370574000000003,3.947451,4.3108032000000005,4.6741554,5.0375076000000005,5.400859800000001,5.764212000000001,6.1651296,6.566047200000001,6.9669648,7.367882400000001,7.768800000000001,7.986063000000001,8.203326,8.420589,8.637852,8.855115,9.10942,9.363725,9.61803,9.872335,10.12664,10.3769322,10.627224400000001,10.8775166,11.1278088,11.378101000000001,11.7223436,12.0665862,12.4108288,12.7550714,13.099314,13.549336,13.999358,14.44938,14.899402,15.349424,15.9236356,16.497847200000002,17.0720588,17.6462704,18.220482,18.931401,19.64232,20.353239,21.064158,21.775077,22.6378972,23.5007174,24.3635376,25.2263578,26.089178,27.0701422,28.0511064,29.0320706,30.0130348,30.993999,32.073937199999996,33.1538754,34.2338136,35.3137518,36.39369,37.5672006,38.7407112,39.9142218,41.0877324,42.261243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wup_rural_pop,5.342535,5.471451,5.600367,5.729283,5.858199,5.987115,6.1364372000000005,6.2857594,6.4350816,6.5844038,6.733726,6.9064428,7.0791596,7.2518764000000004,7.4245932,7.59731,7.7944276,7.991545199999999,8.1886628,8.385780399999998,8.582897999999998,8.835059799999998,9.0872216,9.3393834,9.5915452,9.843707,10.1973626,10.5510182,10.904673800000001,11.258329400000001,11.611985,11.942135200000001,12.272285400000001,12.6024356,12.9325858,13.262736,13.4868644,13.7109928,13.935121200000001,14.1592496,14.383378,14.7735396,15.1637012,15.5538628,15.9440244,16.334186,16.746432799999997,17.1586796,17.570926399999998,17.9831732,18.395419999999998,18.8733908,19.3513616,19.8293324,20.3073032,20.785274,21.229791600000002,21.6743092,22.1188268,22.5633444,23.007862,23.5159874,24.0241128,24.5322382,25.0403636,25.548489,26.077147,26.605805,27.134463,27.663121,28.191779,28.709269,29.226759,29.744249,30.261739000000002,30.779229,31.2368634,31.6944978,32.1521322,32.6097666,33.067401,33.4353072,33.8032134,34.1711196,34.5390258,34.906932,35.198238599999996,35.489545199999995,35.7808518,36.0721584,36.363465,36.5790174,36.7945698,37.0101222,37.2256746,37.441227,37.5778544,37.7144818,37.851109199999996,37.9877366,38.124364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wup_rural_prop,0.93176,0.92824,0.92472,0.9212,0.91768,0.91416,0.909836,0.905512,0.901188,0.896864,0.89254,0.887286,0.882032,0.8767780000000001,0.871524,0.86627,0.85997,0.85367,0.84737,0.84107,0.83477,0.8299300000000001,0.82509,0.82025,0.81541,0.81057,0.808538,0.806506,0.804474,0.802442,0.8004100000000001,0.794454,0.788498,0.782542,0.776586,0.7706299999999999,0.759284,0.747938,0.7365919999999999,0.7252460000000001,0.7139,0.706656,0.6994119999999999,0.692168,0.684924,0.6776800000000001,0.677154,0.676628,0.676102,0.675576,0.67505,0.67452,0.6739900000000001,0.67346,0.67293,0.6724,0.6717420000000001,0.671084,0.670426,0.669768,0.6691100000000001,0.6675,0.6658900000000001,0.66428,0.6626700000000001,0.66106,0.658342,0.655624,0.652906,0.650188,0.64747,0.643606,0.639742,0.6358779999999999,0.632014,0.62815,0.62311,0.61807,0.61303,0.60799,0.6029500000000001,0.596816,0.590682,0.5845480000000001,0.578414,0.57228,0.565796,0.559312,0.552828,0.5463439999999999,0.53986,0.533306,0.526752,0.5201979999999999,0.513644,0.50709,0.500526,0.493962,0.487398,0.480834,0.47426999999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
urban_pop_median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.220482,18.931401,19.64232,20.353239,21.064158,21.775077,22.6378972,23.5007174,24.3635376,25.2263578,26.089178,27.0701422,28.0511064,29.0320706,30.0130348,30.993999,32.073937199999996,33.1538754,34.2338136,35.3137518,36.39369,37.5672006,38.7407112,39.9142218,41.0877324,42.261243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
