,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
wpp_median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.869735000000006,17.316449000000002,17.763163,18.221567,18.6878,19.16105,19.641034,20.128434000000002,20.623578000000002,21.125872,21.635686,22.153523,22.679016,23.211962,23.75329,24.303115000000002,24.860626,25.424698,25.993655,26.568156,27.148556,27.732291,28.321001,28.916792,29.516982,30.119469000000002,30.724934,31.334118,31.947264999999998,32.562869,33.179978000000006,33.798654,34.419404,35.041619,35.66565,36.291914,36.919348,37.547731,38.176068,38.803343,39.431608999999995,40.062722,40.694682,41.327314,41.95926,42.590424,43.223440000000004,43.856930999999996,44.488363,45.116811,45.744198,46.37062400000001,46.995936,47.619943,48.241918,48.860685,49.475072,50.086879,50.696757,51.302065999999996,51.902665,52.500009,53.089897,53.673392,54.251318,54.82139299999999,55.384738,55.942465,56.495792,57.042167,57.576508000000004,58.102754999999995,58.625383,59.141478,59.6477,60.144124000000005,60.633039,61.114254,61.58822,62.054836
wpp_lower95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.907522999999994,17.279242999999997,17.650963,18.030258,18.411158,18.794838,19.17808,19.561823,19.941354,20.326482,20.711458,21.090743,21.475545999999998,21.855623,22.243562999999998,22.643086,23.050108,23.443768,23.825195,24.202019,24.580366,24.941399,25.285089,25.651058000000003,26.01193,26.368625,26.734505000000002,27.112552,27.479656,27.824719,28.157636999999998,28.495549999999998,28.830475999999997,29.120192,29.402282,29.694022,29.960662,30.244968,30.578512,30.911126,31.204651000000002,31.478325,31.733888,31.979894,32.224149000000004,32.453599,32.705784,32.944481,33.177624,33.422951,33.631468,33.81730399999999,34.014095999999995,34.224928,34.400256,34.507095,34.594624,34.741285000000005,34.877683,34.966586,35.064091999999995,35.174133999999995,35.294,35.462179,35.57588,35.638298999999996,35.716294999999995,35.809375,35.876124000000004,35.890178,35.912713000000004,35.960018,36.028552000000005,36.044729,35.985681,35.894538999999995,35.831649,35.777860000000004,35.693585,35.592647
wpp_lower80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.895300000000002,17.29278,17.69026,18.097212,18.507301,18.922855,19.342251,19.761095,20.180585999999998,20.602104999999998,21.031132000000003,21.469646,21.911239000000002,22.36297,22.811185000000002,23.252096,23.702249,24.150272,24.60125,25.058074,25.513288,25.968128,26.423448,26.883725,27.330561000000003,27.765261,28.183906,28.601748999999998,29.051558,29.497588,29.905771,30.335081,30.784392,31.209466,31.614749,31.988508000000003,32.351459999999996,32.739116,33.156977,33.564679,33.970478,34.359648,34.724328,35.106396999999994,35.508026,35.864474,36.202242,36.539356,36.838741999999996,37.137937,37.430701,37.729987,38.061463,38.387104,38.668535000000006,38.942084,39.209115,39.505684,39.773282,39.981604,40.208697,40.386933,40.527415,40.746474,40.933982,41.086487,41.260138,41.425017999999994,41.601351,41.757322,41.911301,42.110496,42.294290999999994,42.428829,42.535413999999996,42.671357,42.824495000000006,42.928230000000006,43.019306,43.132098
wpp_upper80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.841987999999997,17.340753,17.839518,18.353235,18.876900000000003,19.412697,19.959281999999998,20.517889999999998,21.086019,21.663453,22.254423,22.860511,23.479080000000003,24.109026,24.751518,25.409278999999998,26.079823,26.744529999999997,27.426432000000002,28.143218,28.860183,29.582221,30.319217000000002,31.072157,31.827609,32.578120999999996,33.349644999999995,34.143131999999994,34.939677,35.740906,36.571982000000006,37.430947999999994,38.285747,39.129648,39.947678,40.799112,41.705722,42.615176,43.55622,44.507667999999995,45.410485,46.304032,47.235836000000006,48.218326,49.219147,50.204568,51.227363,52.27496300000001,53.325529,54.41062599999999,55.473022,56.518971,57.577768,58.614007,59.619392999999995,60.633631,61.703511,62.752727,63.827067,64.969415,66.12559399999999,67.288832,68.399732,69.51367,70.650099,71.76431600000001,72.876734,74.07872400000001,75.374013,76.646686,77.801978,78.88673,80.00770200000001,81.223041,82.426141,83.53264999999999,84.728864,85.989418,87.169892,88.39766
wpp_upper95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.831187999999997,17.353731,17.876274000000002,18.41407,18.968254,19.536516,20.112714,20.703184,21.311571,21.935008999999997,22.567389,23.210838,23.880415,24.56009,25.255318,25.978525,26.707825,27.43793,28.198648000000002,28.968251,29.726881000000002,30.48745,31.266486,32.073715,32.885154,33.728483999999995,34.594013,35.464254000000004,36.387271999999996,37.332522,38.290572999999995,39.299609,40.322987999999995,41.326603000000006,42.324465,43.336776,44.406945,45.535446,46.622837,47.703466,48.822637,49.931818,51.073727,52.278492,53.443397,54.598546,55.828952,57.068258,58.291885,59.527836,60.805181,62.136815999999996,63.495808,64.866867,66.15171099999999,67.365655,68.653682,70.015421,71.390529,72.847061,74.403257,75.914836,77.412821,78.896211,80.502137,82.269087,83.824631,85.333432,87.070394,88.702698,90.235699,91.89910499999999,93.500624,95.27311599999999,96.961179,98.39041,99.84382000000001,101.392914,103.124112,104.860947
wup_urban_prop,0.1723,0.177756,0.18321199999999999,0.188668,0.194124,0.19957999999999998,0.20566399999999999,0.211748,0.217832,0.223916,0.23,0.236702,0.24340399999999998,0.250106,0.256808,0.26350999999999997,0.270808,0.27810599999999996,0.285404,0.29270199999999996,0.3,0.307386,0.314772,0.32215799999999994,0.32954399999999995,0.33692999999999995,0.34108199999999994,0.345234,0.349386,0.353538,0.35769,0.36125,0.36481,0.36837,0.37193,0.37549,0.378184,0.380878,0.383572,0.386266,0.38896000000000003,0.39038,0.39180000000000004,0.39322,0.39464000000000005,0.39606,0.397488,0.398916,0.40034400000000003,0.401772,0.4032,0.405988,0.40877600000000003,0.411564,0.414352,0.41714,0.421258,0.42537600000000003,0.429494,0.433612,0.43773,0.441908,0.44608600000000004,0.450264,0.454442,0.45862,0.46314,0.46766,0.47218,0.4767,0.48122,0.486154,0.49108799999999997,0.49602199999999996,0.500956,0.50589,0.5111859999999999,0.516482,0.521778,0.527074,0.53237,0.537946,0.5435220000000001,0.549098,0.554674,0.56025,0.565976,0.571702,0.5774279999999999,0.583154,0.58888,0.5945499999999999,0.60022,0.6058899999999999,0.61156,0.61723,0.6227419999999999,0.628254,0.6337659999999999,0.639278,0.64479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wup_urban_pop,0.428444,0.454851,0.481258,0.507665,0.5340720000000001,0.5604790000000001,0.5958936,0.6313082,0.6667228000000001,0.7021374,0.737552,0.784133,0.830714,0.8772949999999999,0.923876,0.970457,1.031816,1.093175,1.154534,1.2158930000000001,1.277252,1.3544366,1.4316212,1.5088058,1.5859904,1.6631749999999998,1.7306256,1.7980762000000001,1.8655268,1.9329774000000002,2.0004280000000003,2.0873346,2.1742412,2.2611478000000003,2.3480544,2.434961,2.5357347999999997,2.6365086,2.7372824,2.8380562,2.93883,3.0438975999999998,3.1489651999999997,3.2540328,3.3591004,3.464168,3.5683911999999998,3.6726144,3.7768376,3.8810608,3.985284,4.1269012,4.2685184,4.4101356,4.5517528,4.69337,4.8854584,5.0775468,5.2696352,5.4617236,5.653812,5.8967916,6.1397712,6.3827508,6.6257304,6.86871,7.1503926,7.4320752,7.7137578,7.9954404,8.277123,8.6024446,8.9277662,9.2530878,9.5784094,9.903731,10.2785122,10.6532934,11.0280746,11.402855800000001,11.777637,12.2078322,12.6380274,13.068222599999999,13.498417799999999,13.928612999999999,14.415339199999998,14.9020654,15.3887916,15.8755178,16.362244,16.8992094,17.4361748,17.9731402,18.5101056,19.047071,19.626185,20.205299,20.784412999999997,21.363526999999998,21.942641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wup_rural_pop,2.058191,2.096102,2.134013,2.171924,2.209835,2.2477460000000002,2.2920362,2.3363264000000004,2.3806166,2.4249068000000005,2.4691970000000003,2.5178414,2.5664858,2.6151302,2.6637746,2.7124189999999997,2.7659857999999997,2.8195525999999997,2.8731194,2.9266862000000002,2.9802530000000003,3.0388092,3.0973654,3.1559216,3.2144778,3.273034,3.3368708,3.4007076,3.4645444,3.5283812,3.592218,3.6837298,3.7752415999999998,3.8667534,3.9582651999999996,4.049777,4.1631789999999995,4.276581,4.389983,4.503385000000001,4.616787,4.7499172000000005,4.883047400000001,5.0161776,5.1493078,5.282438,5.405704,5.52897,5.652236,5.775502,5.8987680000000005,6.0305936,6.1624192,6.2942447999999995,6.4260703999999995,6.5578959999999995,6.6988002,6.8397044,6.9806086,7.1215128,7.262417,7.4315904,7.6007638,7.769937199999999,7.939110599999999,8.108284,8.2712334,8.4341828,8.5971322,8.760081600000001,8.923031000000002,9.073034600000002,9.223038200000001,9.373041800000001,9.5230454,9.673049,9.807557800000001,9.9420666,10.076575400000001,10.2110842,10.345593000000001,10.4630086,10.580424200000001,10.6978398,10.815255400000002,10.932671000000001,11.030719800000002,11.1287686,11.226817400000002,11.3248662,11.422915000000001,11.500754800000001,11.5785946,11.6564344,11.7342742,11.812114,11.867287,11.92246,11.977632999999999,12.032805999999999,12.087978999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wup_rural_prop,0.8277,0.822244,0.8167880000000001,0.8113319999999999,0.805876,0.80042,0.794336,0.788252,0.782168,0.776084,0.77,0.763298,0.756596,0.7498940000000001,0.7431920000000001,0.7364900000000001,0.7291920000000001,0.721894,0.714596,0.707298,0.7,0.6926140000000001,0.685228,0.6778420000000001,0.670456,0.66307,0.6589180000000001,0.654766,0.650614,0.646462,0.6423099999999999,0.6387499999999999,0.6351899999999999,0.63163,0.62807,0.62451,0.6218159999999999,0.619122,0.616428,0.613734,0.61104,0.60962,0.6082,0.60678,0.6053599999999999,0.6039399999999999,0.6025119999999999,0.601084,0.599656,0.598228,0.5968,0.594012,0.591224,0.588436,0.585648,0.5828599999999999,0.578742,0.574624,0.570506,0.566388,0.56227,0.558092,0.553914,0.549736,0.545558,0.54138,0.53686,0.53234,0.52782,0.5233,0.51878,0.513846,0.508912,0.503978,0.49904400000000004,0.49411000000000005,0.4888140000000001,0.483518,0.47822200000000004,0.47292599999999996,0.46763,0.46205399999999996,0.45647799999999994,0.450902,0.445326,0.43975,0.43402399999999997,0.42829799999999996,0.42257200000000006,0.41684600000000005,0.41112000000000004,0.4054500000000001,0.39978,0.39411000000000007,0.38844,0.38277000000000005,0.3772580000000001,0.371746,0.36623400000000006,0.360722,0.35521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
urban_pop_median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.903731,10.2785122,10.6532934,11.0280746,11.402855800000001,11.777637,12.2078322,12.6380274,13.068222599999999,13.498417799999999,13.928612999999999,14.415339199999998,14.9020654,15.3887916,15.8755178,16.362244,16.8992094,17.4361748,17.9731402,18.5101056,19.047071,19.626185,20.205299,20.784412999999997,21.363526999999998,21.942641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
