,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
wpp_median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.420344000000002,8.605718000000001,8.791092,8.977972,9.165376,9.35315,9.540987999999999,9.728848,9.917104,10.105188,10.292482,10.479347,10.666285,10.852748,11.037682,11.220979,11.402875,11.583095,11.761686,11.938548,12.113573,12.286370000000002,12.457057,12.62622,12.793558,12.958857,13.122257,13.283012000000001,13.440438,13.595023,13.74766,13.898072,14.045664,14.190036,14.331676,14.470925999999999,14.606993000000001,14.739550999999999,14.868164,14.993238,15.114456,15.231306,15.344427,15.453397,15.558524,15.660088,15.758034,15.85299,15.944502,16.031833,16.115154,16.194928,16.270946,16.343462,16.411916,16.475776000000003,16.535527,16.591197,16.643294,16.691488,16.735848,16.776778999999998,16.813579,16.84709,16.877651999999998,16.904580999999997,16.928019,16.948314999999997,16.965353,16.979454,16.990764,16.998746999999998,17.003370999999998,17.005234,17.00462,17.001759999999997,16.996800999999998,16.989077,16.978646,16.965728
wpp_lower95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.445496000000002,8.581788000000001,8.71808,8.852416999999999,8.983428,9.110994,9.233761000000001,9.353427,9.468742,9.578509,9.690292,9.800434,9.90727,10.01675,10.122628,10.228437,10.331131,10.427978,10.526949,10.623769,10.716811,10.8049,10.898674000000002,10.988654,11.061765,11.132448,11.197267,11.260816,11.326749,11.393697,11.460527,11.519375,11.566939,11.601485,11.631122999999999,11.655584000000001,11.673276,11.691794,11.709273999999999,11.719147999999999,11.721326,11.722161,11.726938,11.73018,11.716256999999999,11.700057000000001,11.688495000000001,11.663413,11.632107,11.597430000000001,11.570198,11.540267,11.487440000000001,11.435127,11.380863,11.317229,11.26775,11.211336,11.131191999999999,11.042787,10.959665000000001,10.884761000000001,10.811813,10.750748,10.681917,10.602418,10.529375,10.441106,10.334764999999999,10.215895,10.102454999999999,10.0,9.900426,9.801675,9.690531,9.568902,9.445537,9.325009,9.210593999999999,9.101125
wpp_lower80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.437712,8.589677,8.741642,8.894193999999999,9.045211,9.193581,9.34186,9.486255,9.625215,9.763079,9.902305,10.038548,10.175518,10.314096,10.449269000000001,10.583051,10.711215,10.839533,10.966108,11.086712,11.211847,11.336618,11.450676999999999,11.557748,11.663950000000002,11.769203,11.861491,11.951068,12.050252,12.141128,12.228594999999999,12.311991,12.384459000000001,12.446111,12.506433999999999,12.569438,12.629153,12.688761000000001,12.739868,12.779568999999999,12.819591,12.852120000000001,12.876965,12.899274,12.907107,12.914609,12.928199000000001,12.947372999999999,12.959905000000001,12.950279,12.945907,12.944302,12.934936,12.930849,12.919959,12.898567,12.856091000000001,12.811522,12.786539000000001,12.760674000000002,12.720911,12.669722,12.633592,12.608178,12.566049999999999,12.519006,12.473165999999999,12.411115,12.345685,12.273372,12.206994,12.133517,12.039078,11.946566,11.858308999999998,11.771734,11.691424999999999,11.62516,11.551283,11.474870000000001
wpp_upper80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.403873999999998,8.621082,8.83829,9.058883,9.28005,9.502822,9.728436,9.958046,10.187918999999999,10.418106,10.652121999999999,10.883274,11.118802,11.361756999999999,11.605378,11.848945,12.09016,12.335825000000002,12.585555000000001,12.828921000000001,13.075382,13.320856,13.570159,13.826641,14.078937,14.325573,14.564064,14.808187,15.066891,15.317857,15.555884,15.799085,16.046523,16.2951,16.546661,16.794887,17.035149,17.28459,17.547,17.821476999999998,18.093034,18.357018,18.622552,18.867817,19.091151999999997,19.333154999999998,19.575331,19.814456999999997,20.067169000000003,20.296851999999998,20.508172,20.71437,20.929743,21.170724,21.392141,21.596803,21.797931000000002,21.994633,22.205098999999997,22.405274000000002,22.603142,22.802668,22.97855,23.158843,23.369256,23.584832,23.802704000000002,24.001656,24.191756,24.368144,24.568307,24.788148,24.966801,25.110736,25.225227,25.375631000000002,25.577005,25.757673,25.913283,26.079573
wpp_upper95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.394496000000002,8.630165000000002,8.865834000000001,9.106079,9.350247,9.596819,9.838626,10.085702,10.346326,10.609144,10.876232,11.128675,11.375442,11.643209,11.919737999999999,12.19215,12.466536,12.744423000000001,13.022564000000001,13.299143,13.566411,13.838515,14.118630999999999,14.404031000000002,14.686914,14.978759,15.284450999999999,15.582437,15.885695,16.196939,16.509601,16.822011999999997,17.124784,17.427108,17.736518,18.063148,18.407040000000002,18.753847,19.096884,19.425492,19.737525,20.069369,20.41403,20.742651000000002,21.054573,21.380768,21.707078000000003,22.042562999999998,22.389958,22.699728,23.012557,23.363712,23.722514,24.085297999999998,24.469733,24.837793,25.170383,25.490715,25.803745,26.127115,26.466099,26.82243,27.176986,27.495889,27.816288,28.132787,28.437424,28.75084,29.095581,29.427249,29.771673999999997,30.122365000000002,30.452243,30.757313,31.069264,31.442072,31.835383,32.188044999999995,32.472323,32.732670999999996
wup_urban_prop,0.12560000000000002,0.13007200000000002,0.134544,0.139016,0.14348799999999998,0.14795999999999998,0.15307199999999999,0.158184,0.163296,0.168408,0.17352,0.179574,0.18562800000000002,0.19168200000000002,0.19773600000000002,0.20379000000000003,0.21097000000000002,0.21815,0.22533000000000003,0.23251000000000002,0.23969000000000001,0.24721,0.25473,0.26225,0.26977,0.27729,0.28147,0.28565,0.28983,0.29401,0.29819,0.302546,0.306902,0.311258,0.315614,0.31997,0.32248,0.32499,0.3275,0.33001,0.33252000000000004,0.33487400000000006,0.337228,0.33958200000000005,0.341936,0.34429000000000004,0.34668400000000005,0.349078,0.351472,0.35386599999999996,0.35625999999999997,0.35884599999999994,0.361432,0.36401799999999995,0.366604,0.36918999999999996,0.37306399999999995,0.376938,0.380812,0.38468600000000003,0.38856,0.392506,0.396452,0.400398,0.404344,0.40829,0.412478,0.416666,0.420854,0.425042,0.42923,0.43392000000000003,0.43861,0.4433,0.44799,0.45268,0.457842,0.463004,0.46816599999999997,0.47332799999999997,0.47848999999999997,0.48406799999999994,0.48964599999999997,0.49522399999999994,0.500802,0.5063799999999999,0.512278,0.518176,0.524074,0.529972,0.5358700000000001,0.5418740000000001,0.5478780000000001,0.553882,0.559886,0.56589,0.571812,0.577734,0.583656,0.5895779999999999,0.5954999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wup_urban_pop,0.256369,0.2689474,0.2815258,0.29410420000000004,0.3066826,0.319261,0.3351286,0.3509962,0.3668638,0.3827314,0.398599,0.4196856,0.4407722,0.4618588,0.4829454,0.504032,0.5322868000000001,0.5605416000000001,0.5887964,0.6170512,0.645306,0.6822794000000001,0.7192528,0.7562262000000001,0.7931996000000001,0.830173,0.86485,0.899527,0.934204,0.968881,1.003558,1.0459914,1.0884247999999999,1.1308582,1.1732916,1.215725,1.2593581999999999,1.3029914,1.3466246,1.3902578,1.433891,1.4414656,1.4490402,1.4566147999999999,1.4641894,1.4717639999999999,1.5026221999999998,1.5334804,1.5643386,1.5951968,1.626055,1.7186496,1.8112442,1.9038388,1.9964334,2.089028,2.1731434,2.2572588,2.3413742,2.4254896,2.509605,2.5986422,2.6876794,2.7767166000000003,2.8657538000000002,2.954791,3.054627,3.1544630000000002,3.254299,3.3541350000000003,3.453971,3.5665880000000003,3.679205,3.7918220000000002,3.904439,4.017056,4.1437798,4.2705036000000005,4.3972274,4.523951200000001,4.650675000000001,4.7907774000000005,4.9308798000000005,5.0709821999999996,5.2110845999999995,5.3511869999999995,5.5030556,5.6549242,5.806792799999999,5.9586613999999996,6.11053,6.2702134,6.4298968,6.5895802,6.7492636,6.908947,7.072069,7.235191,7.398313,7.561435,7.724557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wup_rural_pop,1.784834,1.7955656,1.8062972,1.8170288,1.8277604,1.838492,1.8504958,1.8624996,1.8745034,1.8865072,1.898511,1.9126612,1.9268114,1.9409615999999998,1.9551117999999998,1.9692619999999998,1.9848001999999998,2.0003384,2.0158766,2.0314148,2.046953,2.070303,2.0936529999999998,2.117003,2.1403529999999997,2.163703,2.2033389999999997,2.242975,2.2826109999999997,2.322247,2.3618829999999997,2.4062713999999996,2.4506598,2.4950482,2.5394366,2.583825,2.642731,2.701637,2.760543,2.819449,2.878355,2.863295,2.848235,2.8331749999999998,2.8181149999999997,2.8030549999999996,2.8300924,2.8571298,2.8841672,2.9112046,2.9382420000000002,3.0644638000000004,3.1906856,3.3169074000000003,3.4431292000000004,3.569351,3.6453038,3.7212566000000002,3.7972094,3.8731622,3.949115,4.0157388,4.082362600000001,4.1489864,4.2156102,4.282234000000001,4.3443792000000006,4.4065244,4.4686696,4.5308148,4.59296,4.6457536,4.6985472,4.7513407999999995,4.8041344,4.856928,4.8993136,4.9416991999999995,4.9840848,5.026470399999999,5.068855999999999,5.098350399999999,5.1278448,5.1573392,5.186833600000001,5.216328000000001,5.2315738000000005,5.2468196,5.2620654,5.2773112,5.2925569999999995,5.2940466,5.2955362,5.2970258,5.2985154,5.3000050000000005,5.289417800000001,5.278830600000001,5.2682434,5.2576562000000004,5.247069000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wup_rural_prop,0.8744,0.869928,0.865456,0.860984,0.856512,0.85204,0.846928,0.841816,0.836704,0.831592,0.82648,0.820426,0.814372,0.808318,0.802264,0.79621,0.78903,0.7818499999999999,0.77467,0.76749,0.76031,0.75279,0.74527,0.73775,0.7302299999999999,0.72271,0.71853,0.71435,0.71017,0.70599,0.70181,0.697454,0.693098,0.688742,0.6843859999999999,0.68003,0.67752,0.67501,0.6725,0.66999,0.66748,0.6651259999999999,0.6627719999999999,0.660418,0.658064,0.65571,0.653316,0.650922,0.648528,0.646134,0.64374,0.641154,0.638568,0.635982,0.6333960000000001,0.6308100000000001,0.626936,0.623062,0.6191880000000001,0.6153139999999999,0.61144,0.607494,0.603548,0.599602,0.595656,0.59171,0.587522,0.583334,0.5791459999999999,0.5749580000000001,0.57077,0.5660799999999999,0.5613900000000001,0.5567,0.55201,0.54732,0.5421579999999999,0.536996,0.531834,0.526672,0.52151,0.5159320000000001,0.510354,0.5047760000000001,0.49919800000000003,0.49362000000000006,0.487722,0.48182400000000003,0.47592599999999996,0.470028,0.46412999999999993,0.4581259999999999,0.4521219999999999,0.446118,0.440114,0.43411,0.428188,0.42226600000000003,0.41634400000000005,0.41042200000000006,0.4045000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
urban_pop_median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.017056,4.1437798,4.2705036000000005,4.3972274,4.523951200000001,4.650675000000001,4.7907774000000005,4.9308798000000005,5.0709821999999996,5.2110845999999995,5.3511869999999995,5.5030556,5.6549242,5.806792799999999,5.9586613999999996,6.11053,6.2702134,6.4298968,6.5895802,6.7492636,6.908947,7.072069,7.235191,7.398313,7.561435,7.724557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
