,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
wpp_median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.051643999999992,17.597510999999997,18.143378000000002,18.706922,19.281903,19.867185000000003,20.463994,21.071158,21.689079000000003,22.316857,22.95469,23.603148,24.260801999999998,24.929001,25.606196,26.289266,26.980593000000002,27.679425,28.383844,29.094715,29.81216,30.535607,31.263713,31.997075000000002,32.734341,33.475243,34.220748,34.967417000000005,35.714724000000004,36.462830000000004,37.211341999999995,37.960722000000004,38.710516000000005,39.461312,40.210639,40.957262,41.701252000000004,42.442082,43.179007,43.9129,44.641487,45.364664,46.084962,46.800928,47.512003,48.217095,48.916612,49.608084000000005,50.290955000000004,50.967023999999995,51.636345,52.299004000000004,52.953815999999996,53.600468,54.239537,54.866625,55.479980000000005,56.084970999999996,56.681407,57.264688,57.833978,58.393789,58.945284,59.486365,60.016254,60.530014,61.02962599999999,61.521694000000004,62.000715,62.464711,62.916338,63.353514000000004,63.775871,64.184959,64.578676,64.955972,65.317937,65.66855199999999,66.00875,66.33573299999999
wpp_lower95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.101950999999996,17.553387999999998,18.004825,18.460363,18.910287,19.352987000000002,19.789524,20.219039000000002,20.641324,21.049310000000002,21.442273,21.828049999999998,22.208963,22.584122999999998,22.935967,23.276526,23.636902999999997,23.983669999999996,24.294142,24.617269,24.979666,25.352408,25.683434000000002,25.991225999999997,26.308501,26.625061000000002,26.920053,27.176381000000003,27.438045,27.716413,28.020376,28.322761999999997,28.582421999999998,28.795765,29.02601,29.233939999999997,29.400364,29.578546,29.667828,29.750028999999998,29.884952000000002,29.975035,30.088701,30.191828,30.22963,30.280847,30.333645,30.395222,30.458845,30.52206,30.568799,30.526418000000003,30.486779,30.484465,30.421889999999998,30.341448,30.257316,30.150752,30.058583,29.982034,29.879129000000002,29.77405,29.716234,29.656356,29.560516,29.453867,29.390257000000002,29.290806,29.156993,29.061353,28.954432,28.782798,28.568728,28.359711,28.205745999999998,28.10134,27.933092000000002,27.760305,27.615154999999998,27.396633
wpp_lower80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.083956999999995,17.569778999999997,18.055601,18.550115,19.045443,19.542703000000003,20.040066,20.533234,21.029692,21.52698,22.0169,22.495637,22.981774,23.467889,23.944605,24.412838999999998,24.86721,25.317182,25.784087,26.256121999999998,26.709977,27.156735,27.608455999999997,28.075384,28.503572,28.893755000000002,29.280606,29.655445,30.038112,30.412125,30.775354,31.154131,31.52284,31.878624,32.207625,32.54399,32.908277999999996,33.277602,33.609598,33.907422,34.189994,34.410254,34.696974000000004,35.023041,35.264556,35.467537,35.636491,35.82667,36.034737,36.196826,36.351358,36.44807,36.540954,36.663289,36.696894,36.724813000000005,36.797841999999996,36.863891,36.931987,36.991877,37.021374,37.056879,37.111581,37.164765,37.198533000000005,37.204875,37.248824,37.286916,37.251608,37.221779999999995,37.227745000000006,37.184794000000004,37.087513,36.955331,36.834958,36.777779,36.749074,36.679294,36.550012,36.406576
wpp_upper80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.022174000000007,17.625092000000002,18.228009999999998,18.855055,19.50294,20.169760999999998,20.859263,21.569273000000003,22.296326,23.048398000000002,23.827058,24.624823,25.434234,26.255829000000002,27.115701,28.000269,28.88933,29.804405,30.742132,31.707363,32.706753,33.741645,34.800276,35.876261,36.94354,38.012591,39.126041,40.256133,41.408671999999996,42.58734,43.815239,45.095786999999994,46.388015,47.719105000000006,49.083523,50.443515,51.855322,53.310306,54.732228000000006,56.171908,57.604583,59.052852,60.576181,62.173086000000005,63.821222,65.42499,67.026701,68.738622,70.449438,72.068621,73.79270600000001,75.544007,77.265652,79.06098399999999,80.809914,82.570678,84.347771,86.134451,87.940403,89.79265099999999,91.669806,93.657814,95.88091800000001,97.883098,99.78955,101.796766,103.749081,105.853069,107.87107,109.580686,111.395914,113.41257399999999,115.53636900000001,117.631512,119.77588,122.043427,124.196159,126.36836100000001,128.544553,130.736709
wpp_upper95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.006653999999994,17.636868999999997,18.267084,18.927804000000002,19.611715,20.323269,21.058962,21.814761999999998,22.594154,23.401723999999998,24.245427,25.110699,26.001656,26.928625,27.878862,28.852419,29.849439999999998,30.898608,31.992465,33.112555,34.264362999999996,35.447805,36.642162,37.84382,39.129108,40.486188,41.852042999999995,43.221991,44.612959000000004,46.068999000000005,47.633557,49.25674,50.896369,52.562525,54.226953,55.962017,57.799186999999996,59.63236,61.434397,63.307369,65.163484,67.126675,69.282679,71.4549,73.631704,75.807925,77.954125,79.941287,81.815563,83.856702,86.30525,88.984742,91.693825,94.371363,96.879055,99.468768,102.157273,104.910348,107.791992,110.611654,113.52438000000001,116.51686199999999,119.492057,122.65190799999999,125.797785,128.937979,132.251215,135.511273,138.84589499999998,142.452956,146.323043,150.245263,154.316913,158.117488,161.40429,164.90522399999998,168.78108799999998,172.868462,177.031197,181.316254
wup_urban_prop,0.12726,0.131554,0.135848,0.14014200000000002,0.144436,0.14873,0.153608,0.15848600000000002,0.163364,0.16824200000000003,0.17312000000000002,0.17842400000000003,0.183728,0.189032,0.19433599999999998,0.19963999999999998,0.205068,0.210496,0.215924,0.221352,0.22678,0.23242000000000002,0.23806,0.2437,0.24933999999999998,0.25498,0.25751,0.26004,0.26257,0.2651,0.26763000000000003,0.27023800000000003,0.27284600000000003,0.275454,0.278062,0.28067,0.283852,0.287034,0.290216,0.293398,0.29658,0.300114,0.30364800000000003,0.307182,0.31071600000000005,0.31425000000000003,0.317894,0.321538,0.325182,0.328826,0.33247,0.338598,0.344726,0.350854,0.35698199999999997,0.36311,0.369108,0.375106,0.381104,0.387102,0.3931,0.40097,0.40884,0.41671,0.42458,0.43245,0.438242,0.444034,0.449826,0.45561799999999997,0.46141,0.467366,0.473322,0.479278,0.485234,0.49119,0.49724,0.50329,0.50934,0.51539,0.52144,0.527486,0.533532,0.539578,0.545624,0.55167,0.557574,0.563478,0.5693819999999999,0.575286,0.58119,0.5869219999999999,0.592654,0.598386,0.604118,0.60985,0.615436,0.621022,0.626608,0.632194,0.63778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wup_urban_pop,0.288122,0.304612,0.321102,0.337592,0.354082,0.370572,0.3918802,0.4131884,0.4344966,0.4558048,0.477113,0.504209,0.531305,0.5584009999999999,0.5854969999999999,0.6125929999999999,0.6463074,0.6800218,0.7137361999999999,0.7474506,0.781165,0.8228138,0.8644626,0.9061114,0.9477602,0.989409,1.131912,1.2744149999999999,1.416918,1.559421,1.701924,1.742789,1.783654,1.824519,1.8653840000000002,1.906249,1.9637862,2.0213234,2.0788606,2.1363977999999997,2.1939349999999997,2.239397,2.284859,2.3303209999999996,2.3757829999999998,2.421245,2.5362071999999998,2.6511693999999997,2.7661316,2.8810938,2.996056,3.1528348,3.3096136,3.4663923999999997,3.6231712,3.77995,3.9715812,4.1632124,4.3548436,4.5464748,4.738106,4.9934036,5.2487012,5.5039988,5.7592964,6.014594,6.2978828,6.581171599999999,6.8644604,7.1477492,7.431037999999999,7.7785421999999995,8.1260464,8.4735506,8.8210548,9.168559,9.580697,9.992835,10.404973,10.817110999999999,11.229249,11.708629199999999,12.188009399999999,12.6673896,13.1467698,13.626149999999999,14.172529599999999,14.718909199999999,15.2652888,15.8116684,16.358048,16.973543799999998,17.5890396,18.204535399999997,18.8200312,19.435526999999997,20.121506999999998,20.807487,21.493467,22.179447,22.865427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wup_rural_pop,1.97596,2.0049576,2.0339552,2.0629527999999997,2.0919504,2.120948,2.1525252,2.1841024,2.2156795999999996,2.2472567999999997,2.278834,2.3142359999999997,2.3496379999999997,2.38504,2.420442,2.455844,2.4973528,2.5388615999999997,2.5803704,2.6218792,2.663388,2.7088926,2.7543972,2.7999017999999998,2.8454064,2.890911,3.2441692,3.5974274,3.9506856,4.3039438,4.657202,4.702855,4.748507999999999,4.794161,4.839814,4.885466999999999,4.949056,5.012645,5.0762339999999995,5.139823,5.203412,5.2194594,5.2355068000000005,5.2515542,5.267601600000001,5.2836490000000005,5.430003800000001,5.576358600000001,5.7227134,5.8690682,6.015423,6.1383334000000005,6.2612438,6.3841542,6.5070646,6.629975,6.7670034,6.9040318,7.0410601999999995,7.1780886,7.315117,7.4308005999999995,7.5464842,7.6621678,7.7778514,7.893535,8.0496552,8.2057754,8.3618956,8.5180158,8.674136,8.8387668,9.003397600000001,9.1680284,9.332659200000002,9.497290000000001,9.658986,9.820682000000001,9.982378,10.144074000000002,10.30577,10.4593086,10.612847200000001,10.7663858,10.919924400000001,11.073463,11.2163406,11.3592182,11.5020958,11.6449734,11.787851,11.9170304,12.0462098,12.1753892,12.3045686,12.433748,12.5442714,12.6547948,12.7653182,12.8758416,12.986365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wup_rural_prop,0.87274,0.868446,0.864152,0.859858,0.855564,0.85127,0.846392,0.841514,0.8366359999999999,0.831758,0.82688,0.821576,0.816272,0.810968,0.805664,0.80036,0.794932,0.789504,0.784076,0.778648,0.77322,0.7675799999999999,0.7619400000000001,0.7563,0.75066,0.74502,0.74249,0.73996,0.73743,0.7349,0.73237,0.729762,0.727154,0.724546,0.721938,0.71933,0.716148,0.712966,0.709784,0.706602,0.7034199999999999,0.699886,0.696352,0.6928179999999999,0.689284,0.68575,0.682106,0.678462,0.6748179999999999,0.6711739999999999,0.66753,0.661402,0.655274,0.649146,0.6430180000000001,0.63689,0.630892,0.6248940000000001,0.618896,0.6128979999999999,0.6069,0.59903,0.59116,0.58329,0.57542,0.56755,0.561758,0.555966,0.5501739999999999,0.544382,0.53859,0.532634,0.526678,0.520722,0.5147660000000001,0.50881,0.50276,0.49671,0.49066,0.48461,0.47856,0.472514,0.466468,0.460422,0.454376,0.44833,0.442426,0.43652199999999997,0.43061800000000006,0.42471400000000004,0.41881,0.41307800000000006,0.407346,0.401614,0.39588199999999996,0.39015,0.384564,0.37897800000000004,0.37339199999999995,0.36780599999999997,0.36222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
urban_pop_median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.168559,9.580697,9.992835,10.404973,10.817110999999999,11.229249,11.708629199999999,12.188009399999999,12.6673896,13.1467698,13.626149999999999,14.172529599999999,14.718909199999999,15.2652888,15.8116684,16.358048,16.973543799999998,17.5890396,18.204535399999997,18.8200312,19.435526999999997,20.121506999999998,20.807487,21.493467,22.179447,22.865427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
