,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
wpp_median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1180.5031589999999,1211.2141900000004,1241.925221,1273.3992630000002,1305.4226790000005,1337.8563580000005,1370.7150269999997,1403.981694,1437.6412720000005,1471.6512230000003,1505.9832450000001,1540.6417389999997,1575.595141,1610.8326060000004,1646.3211650000003,1681.9941540000002,1717.8604719999998,1753.9232060000002,1790.1357220000002,1826.4764729999997,1862.9403730000004,1899.478224,1936.0898220000004,1972.7703980000001,2009.4703050000003,2046.1697780000006,2082.8694500000006,2119.5593570000005,2156.1941409999995,2192.744881,2229.155511,2265.439783,2301.604699,2337.5928119999994,2373.4039460000004,2409.039257,2444.486484,2479.6965319999995,2514.615962,2549.2711029999996,2583.7022599999996,2617.914740000001,2651.8272229999993,2685.436965,2718.7219039999995,2751.6316359999996,2784.238148000001,2816.494375999999,2848.333807999999,2879.7375170000005,2910.699493,2941.26167,2971.404852,3001.0634029999997,3030.214432,3058.8403380000004,3086.9115269999998,3114.482719000001,3141.5777920000005,3168.1586430000007,3194.2277589999994,3219.771887,3244.7659840000006,3269.208024,3293.0907650000004,3316.3682909999998,3339.041779999999,3361.1533440000007,3382.6554600000013,3403.540945,3423.835511,3443.5493819999997,3462.6888859999995,3481.2570519999995,3499.2312819999997,3516.5927819999997,3533.348567,3549.5196870000004,3565.142013,3580.1935409999996
wpp_lower95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1184.191661,1207.8169899999998,1231.442319,1255.228393,1278.897702,1302.2828500000003,1325.3248230000006,1348.097174,1370.7500009999999,1393.0207519999997,1414.6012260000005,1435.6585499999999,1456.6808729999996,1477.6817889999995,1498.2236480000004,1518.318825,1538.1151630000002,1558.060455000001,1577.9649699999995,1597.5136880000005,1616.6933459999998,1635.213301,1653.7813190000002,1672.134663,1689.640838,1706.990353,1723.5461180000002,1739.349868,1755.062391,1770.0499840000004,1784.5469259999995,1798.3903180000004,1811.1147580000002,1822.956529,1834.2585090000005,1844.9780580000001,1855.162623,1865.484901,1874.995607,1883.628812,1891.531206,1898.365631,1905.3124919999996,1911.7285279999999,1916.9966250000004,1921.6041719999998,1925.5314290000001,1928.8346569999999,1932.2852380000002,1935.89087,1938.327892,1939.7116099999996,1940.6526839999997,1940.4525900000006,1939.676195,1938.476152,1936.8744969999993,1935.6037739999997,1933.5723300000004,1931.7419860000002,1929.882,1927.268868,1924.015113,1919.5524190000003,1914.4528800000003,1908.8265670000008,1901.8191499999998,1893.513485,1885.6706390000004,1877.7876460000007,1869.424865,1861.046488,1852.5395979999998,1843.4751730000003,1833.4194439999994,1822.1002439999993,1810.3561570000002,1799.2351729999998,1788.8304499999997,1778.1316909999998
wpp_lower80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1182.851092,1209.011489,1235.171886,1261.6849890000003,1288.250064,1314.7893830000005,1341.299957,1367.8095820000003,1394.2914250000001,1420.6467800000005,1446.8968120000002,1472.8366739999997,1498.56682,1524.3377089999992,1549.8088099999998,1575.008886,1600.0771089999998,1625.0123800000001,1650.0369609999996,1674.6822590000006,1698.6759010000005,1722.5130280000005,1746.0716929999996,1769.5497899999998,1792.6856590000007,1814.891872,1836.4761159999994,1857.7222199999999,1878.6677960000002,1899.4618860000005,1919.782568,1939.5306609999998,1958.5746990000002,1976.68401,1994.3195979999996,2011.0201870000003,2027.4954820000005,2043.716341,2059.1830080000004,2074.569604,2089.9361399999993,2104.57053,2118.633894999999,2131.7814930000004,2143.8431960000003,2156.2649,2168.0910019999997,2178.593178,2189.161998,2199.2955530000004,2207.891453,2216.101827,2224.3273260000005,2231.3564109999993,2237.716198,2243.8014569999996,2248.7855299999997,2252.624539,2255.722421000001,2259.250408,2262.6002289999997,2265.4748090000003,2267.806552999999,2269.274412,2270.080333,2270.6490200000003,2271.0972590000006,2270.347586,2268.941362,2266.562184000001,2263.611084,2260.863253,2257.1855950000004,2253.017385,2248.1915440000002,2242.4469430000004,2236.082597,2229.513067,2224.1012579999992,2218.9286570000004
wpp_upper80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1178.326346,1213.2540510000001,1248.181756,1284.1770840000004,1321.0747979999999,1358.827759,1397.3765789999998,1436.7314890000002,1477.008607,1518.0318559999994,1559.9992689999995,1602.7555220000006,1645.9292470000005,1689.9053409999997,1734.6077900000005,1780.3001759999995,1826.8487070000003,1873.9832900000001,1921.9660959999999,1970.6015089999996,2020.180789,2070.6065019999996,2122.037277000001,2174.7570889999997,2228.3550079999995,2283.1710149999994,2338.403195,2393.70014,2450.2523140000003,2508.1986979999992,2567.207194,2626.322870000001,2686.2482059999998,2747.0849100000005,2808.749871,2871.7388509999996,2936.299031999999,3001.546912,3066.619914,3132.4040449999993,3198.517217000001,3265.5404569999996,3334.019833,3402.461417,3471.5846459999993,3542.5271780000003,3614.2272469999994,3685.7322730000005,3756.4773069999997,3827.59094,3899.4780490000003,3971.2429110000003,4043.4692589999995,4117.0060539999995,4191.261903,4265.430611000002,4340.425888999999,4416.184149,4490.869862999999,4567.7149420000005,4643.626014,4719.69589,4798.1941959999995,4876.872654000001,4956.036715999998,5033.051230000001,5110.649438000002,5189.990946000001,5268.166770999999,5344.527763000001,5422.052302999999,5500.496603999999,5576.695367999999,5653.227054999999,5731.014633000001,5811.468204,5892.145178999999,5969.598897,6048.1202699999985,6126.799848999998
wpp_upper95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1177.2662460000004,1214.2491459999999,1251.2320459999996,1289.446331,1328.7498930000002,1369.1153209999998,1410.5145810000004,1452.8576449999998,1496.4124329999995,1540.9492690000002,1586.313723,1632.799959,1680.3344690000001,1729.2088609999994,1779.2135060000005,1830.0126900000002,1881.7879810000002,1934.7233659999997,1988.4926750000002,2043.575761,2100.011836,2157.4839839999995,2216.7613869999996,2277.1887,2338.6784390000003,2401.9510260000006,2467.2651260000002,2533.6111620000006,2600.915035999999,2670.189733999999,2741.707387,2815.117204,2889.5353259999997,2965.227989,3043.2073100000002,3122.71474,3204.249305000001,3288.198015,3373.547706,3459.1193559999997,3545.686669000001,3634.225566,3724.5548069999986,3816.0353230000005,3908.889248999999,4004.8389360000015,4101.345724,4199.691776000001,4302.214813000001,4405.481799,4510.031898,4618.723084000002,4726.576353000002,4835.601690000002,4948.753637000001,5064.709078999999,5180.396682,5296.480646,5414.1553840000015,5534.819884,5658.899614000001,5784.423859999999,5914.764371,6047.104284,6177.146428,6310.267589000001,6447.305384999999,6583.0637,6722.590805999998,6866.305741,7006.076080000001,7143.404135000001,7285.279588999997,7435.493165999998,7590.936141000001,7744.495311,7900.967765000001,8057.600217000002,8210.636186000002,8367.374403000002
wup_urban_prop,0.10942717083828848,0.1131904730475894,0.11680139957224638,0.12026902128454649,0.12360170308431832,0.12680717126908128,0.13125463521362268,0.13550238398875875,0.1395635746195536,0.14345023326977913,0.14717337418462,0.15077930797417696,0.15420948138196822,0.15747643904828776,0.16059155954834478,0.16356518780220433,0.16758949244602775,0.1714062257456734,0.17503104355879937,0.17847806591950593,0.18176006085858287,0.18647445759824968,0.19093235095900804,0.19515412048658165,0.1991580425171297,0.20296055467239135,0.2076783266172247,0.21212623405998648,0.2163267882170643,0.22030006429000498,0.22406402229768524,0.22923743275454442,0.23411192470357656,0.2387126778727787,0.2430621211735331,0.24718029836272565,0.25316560512416864,0.258810348875451,0.2641427925117342,0.2691881557745899,0.2739690140979872,0.27879312335620776,0.28334928693681793,0.2876592254017439,0.2917423734260722,0.2956161727995048,0.29957127051438687,0.3033143984595268,0.3068621524005296,0.3102294397211212,0.3134296888085527,0.31833350806630034,0.3229732367052379,0.32736964887070236,0.3315413955065707,0.33550526884692433,0.3407969997068391,0.34579748618645323,0.3505301284461784,0.3550158852366306,0.35927358420446676,0.36499976626850034,0.3704097907434959,0.37552913804836513,0.38038062214224566,0.38498473042958337,0.3908398678161533,0.3963818454079097,0.4016351326831535,0.4066217145262763,0.4113613987732306,0.4173764201019964,0.4230832377066089,0.4285049479492194,0.43366239568747983,0.4385744421018734,0.4446937185397726,0.4505131932206889,0.45605437162029,0.461336750396406,0.4663780465902149,0.47252018482471186,0.47837551475599294,0.4839636669102107,0.4893025202985948,0.4944083935016815,0.5005010716602434,0.5063247279511095,0.5118967954642877,0.5172332328781001,0.5223486771054653,0.5284133867406893,0.5342268920405698,0.5398044839032319,0.5451602368898095,0.5503071278103165,0.5563273705017431,0.5621152390569653,0.5676839327811067,0.5730456698933835,0.5782117770176094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wup_urban_pop,20.246723,21.384908799999998,22.523094600000004,23.6612804,24.799466199999998,25.937652000000003,27.478491399999992,29.019330800000002,30.560170199999998,32.1010096,33.64184900000001,35.3491302,37.056411399999995,38.763692600000006,40.4709738,42.178255,44.3911364,46.604017799999994,48.81689919999999,51.02978060000001,53.24266199999999,56.19514099999999,59.147620000000025,62.10009899999999,65.052578,68.00505700000001,71.69678280000001,75.3885086,79.0802344,82.7719602,86.46368599999998,91.1723626,95.88103920000003,100.5897158,105.29839239999998,110.00706900000003,116.0696882,122.1323074,128.19492660000003,134.25754579999997,140.320165,146.9896866,153.6592082,160.32872979999993,166.99825140000002,173.66777299999998,180.9744128,188.28105259999992,195.58769240000004,202.89433220000004,210.20097200000012,219.5655624,228.93015280000003,238.29474320000003,247.65933360000002,257.02392399999997,268.6808188,280.3377136,291.99460840000006,303.6515031999999,315.30839799999995,329.6938827999999,344.07936759999996,358.4648524,372.8503371999999,387.23582200000004,404.23233239999996,421.2288428,438.22535320000003,455.2218636000001,472.21837400000004,492.0610813999999,511.9037888,531.7464961999999,551.5892035999999,571.431911,594.3294966,617.2270822,640.1246678,663.0222534000002,685.9198389999998,711.973566,738.027293,764.0810199999999,790.1347469999997,816.1884740000002,845.3305938000001,874.4727136,903.6148334,932.7569532000005,961.8990730000002,994.0905139999999,1026.281955,1058.4733959999999,1090.664837,1122.8562779999997,1157.927162,1192.9980459999997,1228.0689300000001,1263.139814,1298.2106980000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wup_rural_pop,164.77791800000003,167.5436134,170.30930880000003,173.07500420000002,175.84069959999997,178.60639499999994,181.87404960000003,185.1417042,188.40935879999998,191.6770134,194.94466800000004,199.09371660000008,203.2427652,207.39181379999997,211.54086239999995,215.68991099999997,220.4890524,225.28819379999996,230.0873352,234.88647659999995,239.68561799999995,245.16056060000005,250.63550319999996,256.11044580000004,261.58538840000006,267.0603309999999,273.5331888,280.0060466,286.4789043999999,292.9517622,299.42462,306.54785920000006,313.6710984,320.7943376000001,327.91757680000006,335.040816,342.4036820000001,349.766548,357.12941399999994,364.49228000000005,371.85514600000005,380.2460100000002,388.63687400000003,397.02773799999983,405.418602,413.80946599999993,423.1369644,432.46446280000015,441.7919612000001,451.1194596,460.4469580000001,470.16880999999995,479.8906620000001,489.612514,499.33436599999993,509.05621800000006,519.7088062,530.3613944,541.0139825999998,551.6665708,562.319159,573.5776073999999,584.8360558000002,596.0945042000001,607.3529526,618.6114009999999,630.0335286,641.4556562,652.8777838,664.2999113999998,675.722039,686.8773006000001,698.0325622,709.1878238,720.3430853999998,731.4983470000001,742.1622770000004,752.8262070000002,763.490137,774.1540670000003,784.8179970000001,794.7844283999997,804.7508598000001,814.7172911999999,824.6837226,834.6501540000002,843.6380052000001,852.6258563999997,861.6137076,870.6015588000001,879.58941,887.1837666000001,894.7781232,902.3724798000002,909.9668363999999,917.5611930000001,923.450141,929.339089,935.2280369999999,941.1169849999999,947.0059330000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wup_rural_prop,0.8905728291617115,0.8868095269524106,0.8831986004277537,0.8797309787154535,0.8763982969156817,0.8731928287309187,0.8687453647863773,0.8644976160112412,0.8604364253804464,0.8565497667302209,0.85282662581538,0.8492206920258231,0.8457905186180318,0.8425235609517122,0.8394084404516552,0.8364348121977957,0.8324105075539723,0.8285937742543266,0.8249689564412006,0.821521934080494,0.8182399391414171,0.8135255424017503,0.8090676490409919,0.8048458795134183,0.8008419574828702,0.7970394453276086,0.7923216733827753,0.7878737659400135,0.7836732117829357,0.779699935709995,0.7759359777023147,0.7707625672454556,0.7658880752964234,0.7612873221272213,0.7569378788264669,0.7528197016372744,0.7468343948758314,0.741189651124549,0.7358572074882658,0.7308118442254101,0.7260309859020129,0.7212068766437922,0.7166507130631821,0.7123407745982562,0.7082576265739278,0.7043838272004952,0.7004287294856131,0.6966856015404732,0.6931378475994704,0.6897705602788788,0.6865703111914473,0.6816664919336997,0.6770267632947621,0.6726303511292977,0.6684586044934293,0.6644947311530757,0.6592030002931609,0.6542025138135468,0.6494698715538216,0.6449841147633695,0.6407264157955332,0.6350002337314997,0.6295902092565041,0.6244708619516348,0.6196193778577543,0.6150152695704166,0.6091601321838467,0.6036181545920902,0.5983648673168465,0.5933782854737237,0.5886386012267695,0.5826235798980036,0.5769167622933911,0.5714950520507807,0.5663376043125201,0.5614255578981266,0.5553062814602274,0.549486806779311,0.54394562837971,0.538663249603594,0.533621953409785,0.5274798151752882,0.5216244852440071,0.5160363330897892,0.5106974797014052,0.5055916064983186,0.4994989283397566,0.4936752720488905,0.4881032045357123,0.4827667671218999,0.4776513228945347,0.4715866132593107,0.46577310795943017,0.4601955160967681,0.4548397631101905,0.44969287218968346,0.4436726294982569,0.43788476094303475,0.43231606721889326,0.42695433010661654,0.4217882229823906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
urban_pop_median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,571.431911,594.3294966,617.2270822,640.1246678,663.0222534000002,685.9198389999998,711.973566,738.027293,764.0810199999999,790.1347469999997,816.1884740000002,845.3305938000001,874.4727136,903.6148334,932.7569532000005,961.8990730000002,994.0905139999999,1026.281955,1058.4733959999999,1090.664837,1122.8562779999997,1157.927162,1192.9980459999997,1228.0689300000001,1263.139814,1298.2106980000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
