,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
wpp_median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.737530000000001,10.913163,11.088796,11.277092,11.473439,11.676686,11.887262,12.105957,12.333241,12.570402,12.816418,13.069562,13.327396,13.588252,13.850995000000001,14.112523999999999,14.371521000000001,14.628915000000001,14.883662000000001,15.134634,15.383051,15.628860000000001,15.871459000000002,16.110244,16.343904000000002,16.573685,16.800487,17.023893,17.243955000000003,17.460846,17.675282,17.886381,18.094509,18.300053,18.503071,18.704513,18.904694,19.103064999999997,19.299675999999998,19.495206,19.690183,19.884335999999998,20.076181000000002,20.265487,20.452754000000002,20.637432,20.81887,20.996658,21.170579,21.339914,21.503005,21.658461,21.807904999999998,21.952423,22.090435000000003,22.221355,22.344858,22.461737,22.572754,22.677387,22.775233,22.866692999999998,22.952512,23.032835,23.107008,23.175094,23.237802,23.295783,23.349447,23.398668,23.443248,23.483974999999997,23.521850999999998,23.556908,23.589530999999997,23.619761999999998,23.647704,23.673711,23.697861,23.720026999999998
wpp_lower95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.787352000000002,10.867655000000001,10.947958,11.037544,11.129392,11.218743,11.309915,11.408133,11.517777,11.633544,11.745078,11.865357,11.975475000000001,12.080537,12.200925,12.32308,12.450481,12.568265,12.679127000000001,12.776277,12.880984,12.995744,13.094121,13.187311,13.281559,13.370648,13.462554,13.570577,13.654176,13.705979,13.750672,13.786357,13.812137,13.848252,13.868551,13.882849,13.905921000000001,13.903870000000001,13.887388999999999,13.8805,13.884822,13.868117,13.851040999999999,13.831228999999999,13.777939,13.715487,13.665019000000001,13.620116,13.599984000000001,13.604402,13.588854,13.547537,13.516463,13.474968,13.420228999999999,13.362613999999999,13.297911000000001,13.23708,13.189806,13.149688,13.100370999999999,13.037929,12.90666,12.757174000000001,12.649518,12.578596,12.480568,12.350496,12.23942,12.125110000000001,11.970156000000001,11.82408,11.702813,11.550243,11.397691,11.267322,11.137727,11.012416,10.892449000000001,10.75627
wpp_lower80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.772047999999998,10.881245999999999,10.990444,11.110053,11.235433,11.363044,11.493901,11.630392,11.775571,11.930857,12.087975,12.243409,12.395331,12.548396,12.711667,12.873756,13.034726000000001,13.188066000000001,13.331273,13.47084,13.600403,13.730385,13.872131,14.008728999999999,14.139099,14.261074,14.365457000000001,14.460852999999998,14.53782,14.614939,14.697334000000001,14.766095,14.837234,14.918256,14.974995999999999,15.023778,15.086638,15.141534,15.176245000000002,15.210987,15.261783,15.311879000000001,15.342485,15.366862999999999,15.388873,15.405848,15.422186,15.43048,15.431833000000001,15.438456,15.453925,15.45305,15.455838,15.448426999999999,15.418047,15.412149,15.411239,15.376211999999999,15.350322,15.327065000000001,15.276127,15.21837,15.135758,15.043652,14.958696,14.899899999999999,14.844198,14.738056,14.635394,14.558819999999999,14.458557,14.388684,14.350865,14.26552,14.15826,14.062693999999999,13.971432,13.884771,13.790875,13.676203
wpp_upper80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.704631000000001,10.944914,11.185197,11.442530000000001,11.712348,11.992709000000001,12.284666,12.588122,12.906557000000001,13.240797,13.594093,13.956208,14.32126,14.697445,15.074227,15.450569999999999,15.838725,16.229642,16.610702,17.000047,17.398267,17.786686000000003,18.18427,18.59665,19.003987000000002,19.412259,19.823995,20.235844,20.636174,21.019856,21.431696,21.862418,22.282187,22.733013,23.179365,23.591496,24.036565,24.520656,24.974383000000003,25.421885,25.901220000000002,26.385598,26.873948,27.369191999999998,27.878952,28.373394,28.840149,29.335451000000003,29.858038,30.369531,30.875464,31.37409,31.902189999999997,32.441438999999995,32.943287,33.461826,33.986997,34.491093,34.99862,35.49165,35.985193,36.501688,37.015817000000006,37.521507,37.989653,38.495091,39.030641,39.51662,39.990095000000004,40.442572,40.878201999999995,41.371961999999996,41.842358,42.271145,42.710276,43.174203,43.670457,44.097680999999994,44.463002,44.81742
wpp_upper95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.689566000000001,10.960608,11.23165,11.522798,11.826122,12.140531000000001,12.471468000000002,12.823248,13.195911,13.589951999999998,13.992515,14.417435,14.859965,15.304215000000001,15.784535,16.265079,16.711,17.147893,17.611383999999997,18.100144,18.58128,19.065719,19.560605,20.062951,20.56527,21.065916,21.597391,22.146095000000003,22.689168000000002,23.222946,23.787581,24.365597,24.950419,25.552749,26.098084,26.653488000000003,27.268462,27.909920999999997,28.55702,29.207638,29.851692,30.449856,30.995826,31.619289000000002,32.350602,33.090768,33.85472,34.555124000000006,35.245036,35.989288,36.662497,37.296408,37.993687,38.814334,39.737009,40.599681,41.350049,42.097339,42.907497000000006,43.699042999999996,44.453852,45.277271,46.100947999999995,46.877995999999996,47.638278,48.433097000000004,49.276339,50.079896999999995,50.756425,51.351451000000004,52.028926,52.824826,53.738464,54.655008,55.484356,56.306979,57.077495000000006,57.865343,58.749584000000006,59.661884
wup_urban_prop,0.08865,0.088532,0.08841399999999999,0.088296,0.08817799999999999,0.08805999999999999,0.08794399999999998,0.08782799999999999,0.08771199999999998,0.087596,0.08747999999999999,0.08736399999999998,0.08724799999999999,0.08713199999999999,0.087016,0.08689999999999999,0.08678599999999999,0.08667199999999999,0.086558,0.086444,0.08632999999999999,0.08621599999999999,0.086102,0.085988,0.085874,0.08576,0.085646,0.085532,0.08541800000000001,0.085304,0.08519,0.08784,0.09049,0.09314,0.09579,0.09844,0.105304,0.11216799999999999,0.119032,0.12589599999999998,0.13276,0.137954,0.143148,0.14834199999999997,0.15353599999999998,0.15872999999999998,0.159992,0.161254,0.162516,0.163778,0.16504000000000002,0.16634000000000002,0.16764,0.16894,0.17024,0.17154,0.172952,0.174364,0.175776,0.17718799999999998,0.17859999999999998,0.180584,0.18256799999999998,0.184552,0.18653599999999998,0.18852,0.191214,0.193908,0.196602,0.199296,0.20199,0.205478,0.208966,0.212454,0.21594200000000002,0.21943000000000001,0.223806,0.228182,0.23255800000000001,0.236934,0.24131,0.246606,0.25190199999999996,0.257198,0.262494,0.26779,0.27359999999999995,0.27941,0.28522,0.29103,0.29684,0.303,0.30916,0.31532000000000004,0.32148000000000004,0.32764000000000004,0.33411,0.34058000000000005,0.34705,0.35352000000000006,0.35999000000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wup_urban_pop,0.228973,0.2311124,0.2332518,0.2353912,0.2375306,0.23967,0.24344079999999998,0.24721159999999998,0.2509824,0.25475319999999996,0.258524,0.26354439999999996,0.2685648,0.2735852,0.2786056,0.283626,0.2898826,0.2961392,0.3023958,0.3086524,0.314909,0.32258359999999997,0.3302582,0.3379328,0.3456074,0.353282,0.3627954,0.3723088,0.3818222,0.3913356,0.400849,0.427991,0.455133,0.482275,0.509417,0.536559,0.5824128,0.6282666,0.6741204,0.7199742,0.765828,0.7859764,0.8061248,0.8262732,0.8464216,0.8665700000000001,0.9144260000000001,0.9622820000000001,1.010138,1.057994,1.10585,1.1628824,1.2199148,1.2769472,1.3339796,1.391012,1.4724077999999998,1.5538036,1.6351993999999999,1.7165952,1.797991,1.8863968,1.9748025999999999,2.0632083999999997,2.1516142,2.24002,2.3418282,2.4436364,2.5454446,2.6472528,2.749061,2.8748996,3.0007382000000002,3.1265768,3.2524154000000003,3.378254,3.5353250000000003,3.692396,3.849467,4.006538,4.163609,4.35828,4.552951,4.747622,4.942293,5.136964,5.3675391999999995,5.5981144,5.8286896,6.0592648,6.28984,6.55584,6.82184,7.08784,7.35384,7.61984,7.922188,8.224536,8.526883999999999,8.829232,9.13158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wup_rural_pop,2.353956,2.3795396,2.4051232000000002,2.4307068,2.4562904,2.481874,2.5248247999999998,2.5677756,2.6107264,2.6536772,2.696628,2.7533048,2.8099816,2.8666584000000004,2.9233352000000004,2.9800120000000003,3.0505696,3.1211272,3.1916848000000004,3.2622424000000003,3.3328,3.4194712000000003,3.5061424000000003,3.5928136,3.6794848,3.766156,3.8737998,3.9814436,4.0890874,4.1967312,4.304375,4.426273,4.548171,4.670069,4.791967,4.9138649999999995,4.9316226,4.9493802,4.9671378,4.9848954,5.0026530000000005,4.9207122000000005,4.838771400000001,4.7568306,4.6748898,4.592949,4.7933204,4.9936918,5.1940631999999995,5.394434599999999,5.594805999999999,5.819417799999999,6.044029599999999,6.2686414,6.4932532,6.717865,7.0281322,7.338399399999999,7.648666599999999,7.958933799999999,8.269200999999999,8.543783999999999,8.818366999999999,9.09295,9.367533,9.642116,9.885882,10.129648,10.373414,10.61718,10.860946,11.0922014,11.3234568,11.554712199999999,11.7859676,12.017223,12.23193,12.446636999999999,12.661344,12.876050999999999,13.090758,13.281791799999999,13.472825599999998,13.6638594,13.8548932,14.045926999999999,14.2166146,14.387302199999999,14.5579898,14.728677399999999,14.899365,15.046927,15.194488999999999,15.342051,15.489612999999999,15.637175,15.7566682,15.876161399999999,15.9956546,16.1151478,16.234641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wup_rural_prop,0.91135,0.911468,0.911586,0.911704,0.911822,0.91194,0.912056,0.912172,0.912288,0.912404,0.91252,0.912636,0.912752,0.912868,0.912984,0.9131,0.913214,0.913328,0.913442,0.913556,0.91367,0.913784,0.913898,0.914012,0.914126,0.9142399999999999,0.914354,0.9144680000000001,0.914582,0.914696,0.91481,0.91216,0.90951,0.90686,0.90421,0.90156,0.894696,0.887832,0.880968,0.874104,0.86724,0.862046,0.856852,0.851658,0.846464,0.84127,0.840008,0.838746,0.837484,0.836222,0.8349599999999999,0.83366,0.83236,0.83106,0.82976,0.82846,0.827048,0.825636,0.8242240000000001,0.822812,0.8214,0.819416,0.817432,0.815448,0.813464,0.81148,0.808786,0.806092,0.8033980000000001,0.800704,0.79801,0.794522,0.791034,0.787546,0.7840579999999999,0.78057,0.776194,0.771818,0.767442,0.763066,0.75869,0.753394,0.748098,0.742802,0.737506,0.73221,0.7264,0.7205900000000001,0.71478,0.70897,0.70316,0.6970000000000001,0.69084,0.68468,0.67852,0.67236,0.66589,0.6594199999999999,0.6529499999999999,0.6464799999999999,0.64001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
urban_pop_median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.378254,3.5353250000000003,3.692396,3.849467,4.006538,4.163609,4.35828,4.552951,4.747622,4.942293,5.136964,5.3675391999999995,5.5981144,5.8286896,6.0592648,6.28984,6.55584,6.82184,7.08784,7.35384,7.61984,7.922188,8.224536,8.526883999999999,8.829232,9.13158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
