,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
wpp_median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.221382,0.2261,0.230818,0.235536,0.240254,0.244993,0.249788,0.254661,0.25959699999999997,0.264564,0.26957,0.274644,0.279766,0.284919,0.290088,0.295273,0.30044400000000004,0.305594,0.310736,0.315842,0.32088900000000004,0.325898,0.33091699999999996,0.335928,0.340926,0.345888,0.350765,0.355582,0.360361,0.365115,0.369876,0.37460000000000004,0.379279,0.38394,0.388581,0.39316500000000004,0.39770999999999995,0.402246,0.406747,0.41125599999999995,0.415744,0.420207,0.424634,0.429019,0.433328,0.437581,0.441806,0.445913,0.449964,0.453954,0.45781299999999997,0.461578,0.465249,0.468845,0.47239800000000004,0.47589800000000004,0.47935700000000003,0.48272000000000004,0.485964,0.489154,0.492244,0.49520800000000004,0.49811,0.500912,0.503602,0.50619,0.508704,0.511202,0.5136280000000001,0.5159600000000001,0.518192,0.5203300000000001,0.522383,0.5243300000000001,0.52616,0.527916,0.529617,0.5312039999999999,0.53266,0.534014
wpp_lower95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22607499999999997,0.22893999999999998,0.23180499999999998,0.23467,0.237535,0.24019100000000002,0.242687,0.245058,0.24726900000000002,0.249382,0.251286,0.253236,0.25518199999999996,0.256505,0.25783,0.25912799999999997,0.26009,0.260996,0.262129,0.263415,0.264514,0.265765,0.266808,0.26787,0.269241,0.27000799999999997,0.26999900000000004,0.26918400000000003,0.267995,0.267291,0.267113,0.266938,0.2667,0.266548,0.26657600000000004,0.26650799999999997,0.265834,0.265092,0.26467399999999996,0.26403899999999997,0.263067,0.262459,0.26097000000000004,0.25970299999999996,0.259578,0.257851,0.25515,0.252709,0.250184,0.247455,0.244161,0.242197,0.24091100000000001,0.23949299999999998,0.238624,0.237141,0.235517,0.234244,0.233048,0.23127899999999998,0.22963999999999998,0.227547,0.22437200000000002,0.221959,0.219335,0.21673699999999999,0.214116,0.210813,0.20801599999999998,0.206686,0.206179,0.20415899999999998,0.20208,0.199981,0.196114,0.192136,0.189821,0.186951,0.183643,0.181519
wpp_lower80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.224405,0.227935,0.231465,0.234995,0.23852500000000001,0.241891,0.245159,0.24834299999999998,0.25152,0.254591,0.25751799999999997,0.260638,0.263869,0.26661,0.26913,0.271789,0.274266,0.276423,0.27872199999999997,0.281028,0.28300200000000003,0.28510599999999997,0.287176,0.289267,0.291499,0.293704,0.29577,0.29747199999999996,0.29889499999999997,0.300207,0.301234,0.301988,0.30335199999999996,0.30514199999999997,0.30645100000000003,0.307442,0.308336,0.309074,0.310172,0.31118900000000005,0.311799,0.31212900000000005,0.311461,0.311156,0.311672,0.311087,0.31057799999999997,0.310309,0.30912799999999996,0.307924,0.307405,0.307524,0.307318,0.30725,0.307417,0.306861,0.30494099999999996,0.302575,0.301595,0.301796,0.301205,0.299271,0.296891,0.29545699999999997,0.29434899999999997,0.292203,0.290846,0.290097,0.289608,0.289733,0.289752,0.289119,0.287219,0.284952,0.2825,0.28062099999999995,0.279968,0.277942,0.27455399999999996,0.27196499999999996
wpp_upper80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2185620000000001,0.22439100000000006,0.23022000000000004,0.236049,0.24187799999999998,0.247891,0.254119,0.260543,0.267259,0.274223,0.281372,0.28880500000000003,0.29635500000000004,0.30401799999999995,0.31199,0.32031099999999996,0.32864800000000005,0.33692,0.345323,0.3539,0.362182,0.37069799999999997,0.379553,0.38844999999999996,0.397974,0.40790499999999996,0.417644,0.42708100000000004,0.43753699999999995,0.448248,0.457729,0.46793799999999997,0.478726,0.48922899999999997,0.500372,0.511241,0.522098,0.532475,0.5431509999999999,0.555487,0.5680599999999999,0.580896,0.5934149999999999,0.606423,0.6208060000000001,0.633452,0.644201,0.6559550000000001,0.668375,0.679714,0.690283,0.70236,0.7145560000000001,0.726504,0.740306,0.7530330000000001,0.7649859999999999,0.7792899999999999,0.795428,0.809471,0.822178,0.839524,0.857047,0.870522,0.88163,0.895023,0.910121,0.921882,0.9321280000000001,0.946789,0.961544,0.975052,0.9898239999999999,0.999101,1.008481,1.018238,1.029315,1.038107,1.047838,1.061827
wpp_upper95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21741100000000002,0.22370700000000002,0.230003,0.236299,0.242595,0.249303,0.256545,0.264156,0.27195600000000003,0.279923,0.288549,0.297515,0.30629700000000004,0.315046,0.324392,0.33451400000000003,0.344481,0.35452,0.364754,0.37538,0.386137,0.397389,0.409029,0.420684,0.432803,0.445595,0.459386,0.473169,0.486834,0.49891800000000003,0.511085,0.525596,0.5417329999999999,0.559173,0.575121,0.589803,0.606571,0.6261140000000001,0.646215,0.6649360000000001,0.683959,0.705053,0.726392,0.748214,0.769148,0.78646,0.804432,0.823697,0.842626,0.8667849999999999,0.89648,0.922129,0.940594,0.959449,0.983429,1.007236,1.028792,1.052423,1.0787639999999998,1.10453,1.129527,1.150902,1.178558,1.2161359999999999,1.249966,1.2825909999999998,1.315574,1.348932,1.37989,1.407827,1.4326240000000001,1.454543,1.472644,1.496736,1.52272,1.544595,1.5720630000000002,1.599393,1.621901,1.64073
wup_urban_prop,0.1349,0.13738999999999998,0.13987999999999998,0.14237,0.14486,0.14734999999999998,0.150026,0.152702,0.155378,0.158054,0.16073,0.17225000000000001,0.18377000000000002,0.19529000000000002,0.20681,0.21833,0.2337,0.24906999999999999,0.26444,0.27981,0.29518,0.299422,0.303664,0.307906,0.312148,0.31639,0.320076,0.323762,0.327448,0.331134,0.33482,0.343954,0.353088,0.362222,0.371356,0.38049,0.391688,0.402886,0.414084,0.42528200000000005,0.43648000000000003,0.446446,0.45641200000000004,0.466378,0.47634400000000005,0.48631,0.495896,0.505482,0.5150680000000001,0.5246540000000001,0.53424,0.545722,0.557204,0.568686,0.580168,0.59165,0.603224,0.614798,0.626372,0.637946,0.64952,0.659964,0.670408,0.680852,0.691296,0.70174,0.7101000000000001,0.71846,0.72682,0.73518,0.74354,0.750018,0.756496,0.762974,0.769452,0.77593,0.780808,0.785686,0.7905639999999999,0.795442,0.8003199999999999,0.8038559999999999,0.8073919999999999,0.810928,0.814464,0.818,0.820506,0.823012,0.825518,0.828024,0.83053,0.832794,0.835058,0.837322,0.8395859999999999,0.84185,0.84399,0.8461299999999999,0.84827,0.8504099999999999,0.8525499999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wup_urban_pop,0.008093999999999999,0.008207399999999998,0.0083208,0.0084342,0.0085476,0.008661,0.0089942,0.0093274,0.0096606,0.009993799999999999,0.010327,0.011091,0.011855,0.012619,0.013382999999999999,0.014147,0.0157012,0.0172554,0.0188096,0.0203638,0.021918,0.0227616,0.0236052,0.0244488,0.0252924,0.026136,0.027267,0.028398,0.029529,0.03066,0.031791,0.0333192,0.0348474,0.0363756,0.0379038,0.039432,0.0414882,0.043544400000000004,0.0456006,0.0476568,0.049713,0.0520696,0.0544262,0.0567828,0.0591394,0.061496,0.0640066,0.0665172,0.0690278,0.0715384,0.074049,0.07765480000000001,0.0812606,0.08486640000000001,0.0884722,0.09207800000000001,0.0963664,0.1006548,0.1049432,0.1092316,0.11352,0.1182616,0.12300320000000001,0.12774480000000002,0.1324864,0.13722800000000002,0.1422026,0.1471772,0.1521518,0.1571264,0.162101,0.1672796,0.1724582,0.17763679999999998,0.1828154,0.187994,0.1933678,0.1987416,0.2041154,0.2094892,0.214863,0.220294,0.225725,0.231156,0.23658700000000002,0.242018,0.2474018,0.2527856,0.25816940000000005,0.26355320000000004,0.26893700000000004,0.2743992,0.27986140000000004,0.2853236,0.29078580000000004,0.296248,0.301749,0.30725,0.312751,0.31825200000000003,0.323753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wup_rural_pop,0.051908,0.0515508,0.0511936,0.050836400000000004,0.0504792,0.050122,0.0508828,0.0516436,0.052404400000000004,0.0531652,0.053926,0.0532706,0.0526152,0.0519598,0.0513044,0.050649,0.0509862,0.0513234,0.0516606,0.0519978,0.052335,0.0531622,0.0539894,0.05481659999999999,0.05564379999999999,0.05647099999999999,0.057808399999999996,0.0591458,0.0604832,0.0618206,0.063158,0.0633668,0.0635756,0.0637844,0.0639932,0.064202,0.0641976,0.06419319999999999,0.0641888,0.0641844,0.06418,0.0643356,0.0644912,0.0646468,0.0648024,0.064958,0.0648778,0.0647976,0.06471740000000001,0.0646372,0.064557,0.064356,0.064155,0.063954,0.063753,0.063552,0.0630928,0.0626336,0.0621744,0.0617152,0.061256,0.060669799999999996,0.0600836,0.0594974,0.058911200000000004,0.058325,0.057842,0.057359,0.056875999999999996,0.056393,0.055909999999999994,0.05558559999999999,0.055261199999999996,0.054936799999999994,0.0546124,0.054287999999999996,0.054152,0.054015999999999995,0.05388,0.05374399999999999,0.053607999999999996,0.0536556,0.0537032,0.053750799999999994,0.053798399999999996,0.053846,0.0540522,0.0542584,0.0544646,0.0546708,0.054877,0.0550324,0.0551878,0.0553432,0.0554986,0.055654,0.055722400000000005,0.0557908,0.055859200000000005,0.0559276,0.055996000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wup_rural_prop,0.8651,0.86261,0.86012,0.85763,0.85514,0.85265,0.849974,0.847298,0.844622,0.841946,0.83927,0.82775,0.81623,0.80471,0.7931900000000001,0.78167,0.7663,0.75093,0.73556,0.72019,0.70482,0.7005779999999999,0.6963360000000001,0.692094,0.687852,0.68361,0.679924,0.676238,0.672552,0.668866,0.66518,0.656046,0.6469119999999999,0.637778,0.628644,0.61951,0.608312,0.5971139999999999,0.585916,0.574718,0.56352,0.553554,0.543588,0.533622,0.5236559999999999,0.51369,0.504104,0.494518,0.4849319999999999,0.47534599999999994,0.46575999999999995,0.45427799999999996,0.44279599999999997,0.431314,0.419832,0.40835,0.396776,0.38520200000000004,0.37362799999999996,0.362054,0.35048,0.340036,0.329592,0.319148,0.308704,0.29825999999999997,0.28989999999999994,0.28154,0.27318,0.26482000000000006,0.25646,0.24998200000000004,0.24350400000000005,0.23702599999999996,0.23054799999999998,0.22407,0.21919200000000005,0.214314,0.20943600000000007,0.20455800000000002,0.19968000000000008,0.1961440000000001,0.1926080000000001,0.18907200000000002,0.18553600000000003,0.18200000000000005,0.17949400000000004,0.17698800000000003,0.17448200000000003,0.17197600000000002,0.16947,0.16720599999999997,0.16494200000000003,0.162678,0.16041400000000006,0.15815,0.15600999999999998,0.15387000000000006,0.15173000000000003,0.1495900000000001,0.14745000000000008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
urban_pop_median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.187994,0.1933678,0.1987416,0.2041154,0.2094892,0.214863,0.220294,0.225725,0.231156,0.23658700000000002,0.242018,0.2474018,0.2527856,0.25816940000000005,0.26355320000000004,0.26893700000000004,0.2743992,0.27986140000000004,0.2853236,0.29078580000000004,0.296248,0.301749,0.30725,0.312751,0.31825200000000003,0.323753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
