,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
wpp_median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2027659999999998,1.2161179999999998,1.2294699999999998,1.2428219999999999,1.256174,1.269858,1.283222,1.295967,1.308349,1.3209179999999998,1.333171,1.344897,1.356744,1.3683589999999999,1.3794179999999998,1.390155,1.400445,1.410501,1.4204510000000001,1.429781,1.439044,1.44811,1.456449,1.46437,1.472137,1.479611,1.486494,1.493023,1.499434,1.505331,1.5107819999999998,1.515942,1.520481,1.524362,1.527664,1.5306110000000002,1.5333610000000002,1.536017,1.538249,1.5395640000000002,1.540354,1.540952,1.5410760000000001,1.54078,1.540153,1.539333,1.5380530000000001,1.536165,1.5338900000000002,1.531453,1.528713,1.525547,1.522095,1.5180550000000002,1.513671,1.5090599999999998,1.504249,1.49964,1.494933,1.4897909999999999,1.484437,1.478619,1.472249,1.465479,1.4583430000000002,1.4512170000000002,1.444221,1.4371880000000001,1.4298710000000001,1.422364,1.414662,1.406865,1.3991069999999999,1.39114,1.38301,1.374858,1.3667360000000002,1.358519,1.349837,1.340879
wpp_lower95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.243503,1.240032,1.236561,1.23309,1.229619,1.22898,1.2286030000000001,1.228634,1.230307,1.233482,1.233578,1.23481,1.236034,1.234859,1.233472,1.229798,1.225902,1.225179,1.2258820000000001,1.227649,1.2284300000000001,1.229701,1.233288,1.23129,1.22824,1.2290530000000002,1.227134,1.222256,1.2204570000000001,1.21711,1.2114719999999999,1.203933,1.197366,1.195868,1.1912349999999998,1.184431,1.176976,1.1673900000000001,1.156781,1.143553,1.1310719999999999,1.122992,1.116895,1.1085099999999999,1.0990440000000001,1.088688,1.078806,1.069427,1.054567,1.0367460000000002,1.023639,1.014995,1.00594,0.9907619999999999,0.974826,0.9645779999999999,0.951357,0.937029,0.922348,0.90985,0.899002,0.8842000000000001,0.870093,0.8593310000000001,0.850603,0.837216,0.821546,0.81122,0.799747,0.7848890000000001,0.768796,0.756537,0.746488,0.733149,0.720831,0.710252,0.698408,0.6851849999999999,0.673327,0.6587419999999999
wpp_lower80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.230332,1.232337,1.234342,1.236347,1.2383520000000001,1.2423499999999998,1.246307,1.249949,1.25502,1.260901,1.266365,1.272306,1.275789,1.27951,1.284117,1.287115,1.289529,1.292056,1.294735,1.299166,1.30519,1.3085,1.310518,1.312921,1.3166289999999998,1.319987,1.3191030000000001,1.3164829999999998,1.316545,1.316017,1.313661,1.310854,1.30803,1.306332,1.301959,1.2948279999999999,1.290047,1.287239,1.28229,1.274829,1.269794,1.2657909999999999,1.259788,1.253442,1.246792,1.23831,1.228261,1.217325,1.206336,1.1942650000000001,1.182824,1.176236,1.1671259999999999,1.1540489999999999,1.142344,1.132757,1.121522,1.109172,1.099118,1.088526,1.07806,1.06729,1.053913,1.0406780000000002,1.030545,1.02027,1.008546,0.9996710000000001,0.987548,0.972005,0.959315,0.949699,0.941776,0.931936,0.9191950000000001,0.9049389999999999,0.892355,0.882689,0.872232,0.860637
wpp_upper80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1749699999999994,1.1995839999999995,1.2241979999999997,1.2488119999999998,1.273426,1.297018,1.3194670000000002,1.34098,1.361718,1.38222,1.402085,1.423139,1.4432909999999999,1.461577,1.481792,1.5022739999999999,1.519868,1.536761,1.5544090000000002,1.572272,1.590077,1.604822,1.6221880000000002,1.643818,1.663023,1.678854,1.695406,1.7097550000000001,1.724766,1.740589,1.7530519999999998,1.7662550000000001,1.778828,1.7917370000000001,1.8074659999999998,1.8223989999999999,1.836701,1.851389,1.8667529999999999,1.879623,1.89282,1.904108,1.914544,1.926101,1.9332850000000001,1.940582,1.947028,1.9530070000000002,1.960691,1.967713,1.9744300000000001,1.98624,1.995722,1.998662,2.000666,2.0055609999999997,2.012586,2.020772,2.027785,2.033491,2.034216,2.033676,2.037395,2.037948,2.040657,2.044171,2.047253,2.054794,2.0597950000000003,2.0610790000000003,2.060404,2.0601529999999997,2.064113,2.068114,2.069845,2.070258,2.067746,2.066809,2.0695,2.068069
wpp_upper95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.160488,1.191047,1.221606,1.252165,1.282724,1.310419,1.3373920000000001,1.363796,1.3899659999999998,1.416254,1.4414939999999998,1.4673530000000001,1.4946700000000002,1.521876,1.5471400000000002,1.5702,1.592162,1.617035,1.639836,1.664138,1.6881659999999998,1.708071,1.728679,1.752038,1.773863,1.791895,1.8107550000000001,1.828906,1.846423,1.867382,1.890452,1.9146400000000001,1.942125,1.9666869999999999,1.985114,2.003796,2.026353,2.050877,2.0738000000000003,2.0957310000000002,2.1164430000000003,2.135177,2.154945,2.173473,2.192143,2.218089,2.245565,2.266197,2.281597,2.293148,2.310245,2.329346,2.347988,2.356639,2.362327,2.3812860000000002,2.400717,2.415343,2.433438,2.454384,2.468313,2.476953,2.483475,2.490595,2.5000929999999997,2.507084,2.514475,2.526777,2.53438,2.546692,2.564362,2.592347,2.630351,2.630178,2.615888,2.618081,2.6231280000000003,2.62762,2.631888,2.645016
wup_urban_prop,0.022000000000000002,0.022652000000000002,0.023304000000000002,0.023955999999999998,0.024607999999999998,0.025259999999999998,0.028033999999999996,0.030808,0.033582,0.036356,0.03913,0.044292,0.049454,0.054616,0.059778,0.06494,0.071362,0.07778399999999999,0.084206,0.090628,0.09705,0.10564799999999999,0.114246,0.122844,0.131442,0.14004,0.144988,0.149936,0.154884,0.159832,0.16478,0.168356,0.171932,0.175508,0.179084,0.18266,0.186532,0.190404,0.194276,0.198148,0.20202,0.206188,0.21035600000000002,0.214524,0.218692,0.22286,0.22366,0.22446,0.22526000000000002,0.22606,0.22686,0.22556400000000001,0.224268,0.222972,0.22167599999999998,0.22038,0.221264,0.22214799999999998,0.223032,0.223916,0.2248,0.22644,0.22808,0.22972,0.23136,0.233,0.234742,0.236484,0.238226,0.239968,0.24170999999999998,0.243858,0.246006,0.24815399999999999,0.250302,0.25245,0.25503,0.25761,0.26019,0.26277,0.26535,0.26839199999999996,0.271434,0.274476,0.27751800000000004,0.28056000000000003,0.284096,0.287632,0.29116800000000004,0.294704,0.29824,0.302132,0.306024,0.30991599999999997,0.313808,0.3177,0.321726,0.325752,0.329778,0.333804,0.33783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wup_urban_pop,0.006006,0.006357,0.006708,0.007059,0.00741,0.0077610000000000005,0.008941600000000001,0.0101222,0.0113028,0.012483399999999999,0.013663999999999999,0.016016799999999998,0.0183696,0.020722400000000002,0.023075199999999997,0.025428,0.0289944,0.0325608,0.0361272,0.039693599999999996,0.04326,0.0490892,0.054918400000000006,0.06074760000000001,0.0665768,0.07240600000000001,0.07780980000000001,0.08321360000000001,0.08861740000000001,0.0940212,0.099425,0.1052982,0.11117139999999999,0.1170446,0.1229178,0.128791,0.13783499999999999,0.14687899999999998,0.155923,0.164967,0.174011,0.1820338,0.1900566,0.19807940000000002,0.2061022,0.214125,0.21946100000000002,0.22479700000000002,0.230133,0.235469,0.24080500000000002,0.2413866,0.2419682,0.2425498,0.2431314,0.24371299999999999,0.24905039999999998,0.2543878,0.2597252,0.2650626,0.2704,0.277786,0.285172,0.292558,0.299944,0.30733,0.315443,0.32355599999999995,0.331669,0.339782,0.34789499999999995,0.3568436,0.36579219999999996,0.3747408,0.38368939999999996,0.392638,0.402547,0.412456,0.422365,0.432274,0.442183,0.453329,0.46447499999999997,0.475621,0.486767,0.497913,0.5105497999999999,0.5231866,0.5358234,0.5484602,0.561097,0.5749812,0.5888654,0.6027496,0.6166338,0.630518,0.645022,0.6595260000000001,0.67403,0.6885340000000001,0.703038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wup_rural_pop,0.26699700000000004,0.27349060000000003,0.2799842,0.2864778,0.2929714,0.299465,0.306674,0.31388299999999997,0.321092,0.32830099999999995,0.33551,0.3416316,0.3477532,0.3538748,0.3599964,0.366118,0.3733882,0.3806584,0.3879286,0.3951988,0.402469,0.4108988,0.4193286,0.42775840000000004,0.4361882,0.444618,0.4564838,0.46834960000000003,0.4802154,0.49208120000000005,0.503947,0.5184164,0.5328858,0.5473552,0.5618246,0.576294,0.5985075999999999,0.6207212,0.6429347999999999,0.6651484,0.6873619999999999,0.6992229999999999,0.7110839999999999,0.7229450000000001,0.7348060000000001,0.7466670000000001,0.7614662000000001,0.7762654000000001,0.7910646,0.8058638,0.820663,0.8289624,0.8372618,0.8455612,0.8538606,0.8621599999999999,0.8762165999999999,0.8902732,0.9043298,0.9183864,0.932443,0.9482906,0.9641382000000001,0.9799858,0.9958334000000001,1.011681,1.0276248000000001,1.0435686000000002,1.0595124,1.0754562,1.0914000000000001,1.1056588,1.1199176,1.1341764,1.1484352,1.162694,1.1750056,1.1873171999999999,1.1996288,1.2119403999999998,1.224252,1.234756,1.24526,1.2557639999999999,1.266268,1.276772,1.2854722,1.2941724,1.3028726,1.3115727999999998,1.3202729999999998,1.3270364,1.3337998,1.3405631999999998,1.3473266,1.35409,1.3588716,1.3636532000000001,1.3684348,1.3732164,1.377998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wup_rural_prop,0.978,0.977348,0.976696,0.976044,0.975392,0.97474,0.971966,0.969192,0.966418,0.963644,0.96087,0.955708,0.950546,0.945384,0.940222,0.93506,0.928638,0.922216,0.915794,0.909372,0.90295,0.894352,0.885754,0.877156,0.8685579999999999,0.8599600000000001,0.855012,0.8500639999999999,0.845116,0.840168,0.83522,0.831644,0.828068,0.824492,0.820916,0.81734,0.813468,0.809596,0.805724,0.801852,0.79798,0.793812,0.789644,0.7854760000000001,0.781308,0.7771399999999999,0.77634,0.77554,0.77474,0.77394,0.7731399999999999,0.774436,0.775732,0.777028,0.778324,0.77962,0.778736,0.777852,0.776968,0.776084,0.7752,0.77356,0.7719199999999999,0.77028,0.76864,0.767,0.765258,0.763516,0.761774,0.760032,0.75829,0.756142,0.753994,0.751846,0.749698,0.7475499999999999,0.74497,0.74239,0.7398100000000001,0.73723,0.73465,0.731608,0.728566,0.7255240000000001,0.722482,0.71944,0.715904,0.712368,0.7088319999999999,0.7052959999999999,0.7017599999999999,0.6978679999999999,0.6939759999999999,0.690084,0.686192,0.6823,0.678274,0.674248,0.670222,0.666196,0.6621699999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
urban_pop_median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.392638,0.402547,0.412456,0.422365,0.432274,0.442183,0.453329,0.46447499999999997,0.475621,0.486767,0.497913,0.5105497999999999,0.5231866,0.5358234,0.5484602,0.561097,0.5749812,0.5888654,0.6027496,0.6166338,0.630518,0.645022,0.6595260000000001,0.67403,0.6885340000000001,0.703038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
