,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
wpp_median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.123335,0.125696,0.128057,0.130418,0.132779,0.134959,0.136898,0.13852,0.139722,0.140399,0.140778,0.141118,0.14140899999999998,0.14166399999999998,0.141891,0.14208199999999999,0.142238,0.14236000000000001,0.142454,0.142544,0.142601,0.14262,0.142618,0.142582,0.142524,0.142436,0.14230600000000002,0.142151,0.141961,0.141747,0.141517,0.14127,0.141012,0.14071899999999998,0.140387,0.140036,0.139653,0.139246,0.138822,0.138369,0.137887,0.137381,0.13684100000000002,0.136276,0.135692,0.13509100000000002,0.134488,0.133879,0.13326400000000002,0.13263399999999997,0.13198400000000002,0.131334,0.130676,0.130012,0.129344,0.12867699999999999,0.128008,0.127334,0.126668,0.12601300000000001,0.125372,0.124748,0.124137,0.123548,0.122972,0.122414,0.121872,0.12135599999999999,0.12085800000000001,0.12037600000000001,0.119912,0.11945,0.119,0.118554,0.11810599999999999,0.11766599999999999,0.117238,0.11681100000000001,0.116384,0.115964
wpp_lower95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12560200000000002,0.12706800000000001,0.128534,0.13,0.131466,0.132647,0.133483,0.133844,0.13375700000000001,0.13314199999999998,0.13222499999999998,0.131216,0.130131,0.129041,0.12781,0.126631,0.125531,0.124234,0.122898,0.121804,0.12070399999999999,0.119467,0.118233,0.117056,0.115777,0.114568,0.113437,0.11203700000000001,0.11067700000000001,0.109704,0.108744,0.107419,0.105942,0.104475,0.102547,0.100488,0.098559,0.09706699999999999,0.095778,0.094075,0.092595,0.091267,0.089765,0.08826300000000001,0.086661,0.08494499999999999,0.083268,0.08174200000000001,0.08040900000000001,0.079076,0.07753600000000001,0.07588500000000001,0.074167,0.072443,0.070898,0.069402,0.067797,0.066072,0.064815,0.06392300000000001,0.062985,0.061909,0.060692,0.059791,0.058809,0.057488,0.0564,0.055435000000000005,0.054469000000000004,0.053366,0.051945,0.050464,0.049161,0.048134,0.047189999999999996,0.046268000000000004,0.045406999999999996,0.044558,0.043584000000000005,0.042621
wpp_lower80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12478499999999995,0.12657199999999996,0.12835899999999997,0.13014599999999998,0.131933,0.133457,0.134644,0.135433,0.135708,0.135402,0.13484200000000002,0.134276,0.133635,0.132949,0.13216999999999998,0.131386,0.130616,0.129727,0.128884,0.128289,0.127609,0.126802,0.125881,0.124904,0.124096,0.12317499999999999,0.122284,0.121362,0.120297,0.119259,0.118409,0.117631,0.116605,0.115621,0.11463200000000001,0.113466,0.112045,0.110789,0.109923,0.10880500000000001,0.10767,0.10658,0.10521299999999999,0.103997,0.102967,0.102005,0.100789,0.099533,0.09857099999999999,0.097795,0.096819,0.09540699999999999,0.094124,0.09296299999999999,0.091674,0.090219,0.088822,0.08766299999999999,0.086566,0.085525,0.084361,0.083079,0.082041,0.081176,0.08025700000000001,0.07917,0.078133,0.07699800000000001,0.075742,0.07474599999999999,0.07374299999999999,0.072545,0.071312,0.070284,0.069312,0.06832899999999999,0.06759699999999999,0.06676,0.065801,0.064981
wpp_upper80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12178000000000008,0.12475500000000006,0.12773000000000004,0.13070500000000002,0.13368,0.136596,0.13941599999999998,0.142028,0.14428,0.14604499999999998,0.14758600000000002,0.14914,0.150749,0.15248699999999998,0.154136,0.15573599999999999,0.157575,0.159607,0.161528,0.16333,0.164969,0.16662000000000002,0.168293,0.16968799999999998,0.171139,0.172843,0.174346,0.175838,0.177468,0.179014,0.18060900000000002,0.182001,0.183337,0.18496100000000001,0.186264,0.187304,0.188535,0.190046,0.191553,0.192595,0.19375399999999998,0.19499,0.19629400000000002,0.197904,0.19924799999999998,0.201048,0.202737,0.203387,0.204513,0.206004,0.20687799999999998,0.20783600000000002,0.20901,0.209741,0.210177,0.21069200000000002,0.21116900000000002,0.211888,0.21326699999999998,0.215338,0.216979,0.21759299999999998,0.218601,0.21996100000000002,0.221123,0.222269,0.222742,0.222432,0.222327,0.223251,0.22466399999999997,0.225522,0.22650399999999998,0.227654,0.2278,0.228303,0.229911,0.23112100000000002,0.23226,0.234215
wpp_upper95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12093000000000009,0.12423800000000007,0.12754600000000005,0.13085400000000003,0.134162,0.137484,0.140824,0.14400200000000002,0.146781,0.149089,0.15127000000000002,0.153558,0.15595599999999998,0.158707,0.161623,0.164604,0.167406,0.17036400000000002,0.173541,0.176538,0.179793,0.183195,0.186561,0.189653,0.19268100000000002,0.195973,0.19953200000000001,0.203313,0.20711000000000002,0.211196,0.21522300000000003,0.218721,0.22181700000000001,0.224888,0.228403,0.23228000000000001,0.23599799999999999,0.23984899999999998,0.243404,0.24690199999999998,0.251848,0.256706,0.26029,0.264329,0.269524,0.27538,0.281499,0.285557,0.28893,0.293325,0.29835500000000004,0.303294,0.308202,0.313214,0.316442,0.319247,0.322836,0.325457,0.328778,0.333941,0.33919900000000003,0.343136,0.346574,0.352178,0.35826100000000005,0.364516,0.371722,0.37751,0.382573,0.38739,0.393621,0.40107600000000004,0.407472,0.414786,0.42239499999999996,0.427536,0.42937000000000003,0.431979,0.437342,0.441179
wup_urban_prop,0.27399,0.274102,0.274214,0.27432599999999996,0.27443799999999996,0.27454999999999996,0.27498599999999995,0.27542199999999994,0.275858,0.276294,0.27673,0.28763,0.29852999999999996,0.30943,0.32032999999999995,0.33122999999999997,0.34312,0.35501,0.36689999999999995,0.37878999999999996,0.39067999999999997,0.405076,0.41947199999999996,0.433868,0.44826399999999994,0.46265999999999996,0.46885999999999994,0.47506,0.48125999999999997,0.48746,0.49366,0.493512,0.493364,0.493216,0.493068,0.49292,0.49287600000000004,0.49283200000000005,0.492788,0.492744,0.4927,0.49342600000000003,0.49415200000000004,0.49487800000000004,0.49560400000000004,0.49633000000000005,0.49793000000000004,0.49953000000000003,0.50113,0.50273,0.50433,0.5068039999999999,0.509278,0.511752,0.5142260000000001,0.5167,0.520032,0.523364,0.5266959999999999,0.5300279999999999,0.53336,0.537488,0.541616,0.5457439999999999,0.5498719999999999,0.5539999999999999,0.5582919999999999,0.562584,0.5668759999999999,0.571168,0.57546,0.5796939999999999,0.583928,0.588162,0.592396,0.59663,0.6007939999999999,0.604958,0.6091219999999999,0.613286,0.6174499999999999,0.621528,0.625606,0.6296839999999999,0.6337619999999999,0.63784,0.641822,0.645804,0.649786,0.653768,0.6577500000000001,0.6616240000000001,0.665498,0.6693720000000001,0.673246,0.67712,0.680876,0.684632,0.6883880000000001,0.6921440000000001,0.6959000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wup_urban_pop,0.009953,0.010099,0.010245,0.010391,0.010537,0.010683,0.0108456,0.011008200000000001,0.0111708,0.0113334,0.011496000000000001,0.012295200000000001,0.0130944,0.0138936,0.0146928,0.015492,0.0164852,0.017478399999999998,0.018471599999999998,0.019464799999999997,0.020457999999999997,0.021880399999999998,0.0233028,0.0247252,0.0261476,0.02757,0.0286014,0.0296328,0.0306642,0.0316956,0.032727,0.0330662,0.0334054,0.0337446,0.034083800000000004,0.034423,0.0344976,0.034572200000000004,0.0346468,0.0347214,0.034796,0.0354508,0.0361056,0.0367604,0.0374152,0.03807,0.0386414,0.0392128,0.0397842,0.0403556,0.040927,0.041912399999999995,0.0428978,0.0438832,0.0448686,0.045854,0.0464336,0.0470132,0.047592800000000005,0.048172400000000004,0.048752000000000004,0.0493882,0.050024400000000004,0.0506606,0.051296800000000004,0.051933,0.052608,0.053283000000000004,0.053958,0.054633,0.055308,0.0558704,0.0564328,0.0569952,0.0575576,0.05812,0.0585992,0.059078399999999996,0.0595576,0.0600368,0.060516,0.0609452,0.061374399999999996,0.0618036,0.0622328,0.062662,0.06304599999999999,0.06343,0.063814,0.064198,0.064582,0.0648994,0.06521679999999999,0.0655342,0.0658516,0.06616899999999999,0.066386,0.066603,0.06682,0.067037,0.06725400000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wup_rural_pop,0.026372,0.0267428,0.027113599999999998,0.0274844,0.027855199999999997,0.028225999999999998,0.0285896,0.0289532,0.0293168,0.0296804,0.030044,0.0302912,0.0305384,0.030785600000000003,0.031032800000000003,0.03128,0.0314054,0.0315308,0.0316562,0.0317816,0.031907,0.031929599999999995,0.0319522,0.0319748,0.0319974,0.03202,0.0323294,0.0326388,0.0329482,0.0332576,0.033567,0.0339362,0.0343054,0.0346746,0.0350438,0.035413,0.035496,0.035579,0.035662000000000006,0.035745000000000006,0.035828000000000006,0.036389000000000005,0.036950000000000004,0.037511,0.038072,0.038633,0.0389512,0.039269399999999996,0.0395876,0.0399058,0.040223999999999996,0.04075719999999999,0.0412904,0.041823599999999996,0.0423568,0.04289,0.042842599999999995,0.0427952,0.042747799999999996,0.0427004,0.042652999999999996,0.0424842,0.042315399999999996,0.0421466,0.041977799999999996,0.041809,0.041608,0.041407,0.041206,0.041005,0.040804,0.040501999999999996,0.0402,0.039897999999999996,0.039596,0.039293999999999996,0.038933999999999996,0.038574,0.038214,0.037854,0.037494,0.037111,0.036728,0.036345,0.035962,0.035579,0.0351838,0.0347886,0.0343934,0.0339982,0.033603,0.0331928,0.0327826,0.032372399999999996,0.031962199999999996,0.031552,0.0311194,0.030686799999999997,0.0302542,0.029821599999999997,0.029389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wup_rural_prop,0.72601,0.7258979999999999,0.725786,0.725674,0.725562,0.72545,0.725014,0.724578,0.7241420000000001,0.723706,0.7232700000000001,0.71237,0.70147,0.69057,0.67967,0.6687700000000001,0.65688,0.64499,0.6331,0.62121,0.6093200000000001,0.594924,0.580528,0.5661320000000001,0.551736,0.53734,0.5311400000000001,0.52494,0.51874,0.51254,0.50634,0.506488,0.506636,0.506784,0.5069319999999999,0.50708,0.5071239999999999,0.507168,0.507212,0.5072559999999999,0.5073,0.506574,0.505848,0.505122,0.504396,0.50367,0.50207,0.50047,0.49887000000000004,0.49727,0.49567000000000005,0.4931960000000001,0.490722,0.488248,0.48577399999999993,0.48329999999999995,0.47996799999999995,0.47663599999999995,0.47330400000000006,0.46997200000000006,0.46664000000000005,0.46251200000000003,0.458384,0.4542560000000001,0.4501280000000001,0.44600000000000006,0.4417080000000001,0.437416,0.43312400000000006,0.428832,0.42454000000000003,0.42030600000000007,0.416072,0.41183800000000004,0.40760399999999997,0.40337,0.39920600000000006,0.395042,0.39087800000000006,0.386714,0.38255000000000006,0.37847200000000003,0.374394,0.3703160000000001,0.36623800000000006,0.36216000000000004,0.358178,0.35419599999999996,0.350214,0.346232,0.34224999999999994,0.3383759999999999,0.33450199999999997,0.3306279999999999,0.326754,0.32287999999999994,0.31912399999999996,0.315368,0.3116119999999999,0.3078559999999999,0.3040999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
urban_pop_median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05812,0.0585992,0.059078399999999996,0.0595576,0.0600368,0.060516,0.0609452,0.061374399999999996,0.0618036,0.0622328,0.062662,0.06304599999999999,0.06343,0.063814,0.064198,0.064582,0.0648994,0.06521679999999999,0.0655342,0.0658516,0.06616899999999999,0.066386,0.066603,0.06682,0.067037,0.06725400000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
