,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
wpp_median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.168063,17.723315,18.278567,18.847148,19.42596,20.013209,20.610497,21.217718,21.833626,22.460393,23.097491,23.742562000000003,24.395658,25.057645,25.72989,26.409295999999998,27.095478,27.791218,28.494382,29.202529,29.916884,30.634772,31.353516,32.075501,32.800555,33.528227,34.258635999999996,34.991776,35.722806,36.452035,37.183463,37.917318,38.652662,39.388682,40.122175000000006,40.851943,41.579327,42.30093,43.017002,43.72871,44.440720999999996,45.149124,45.848606,46.543424,47.234989999999996,47.923729,48.60868,49.286165999999994,49.955966999999994,50.619091999999995,51.27187,51.915595,52.54849900000001,53.172129999999996,53.791047,54.39891,54.993728000000004,55.578511,56.150752999999995,56.711611,57.265032,57.806992,58.333897,58.84951,59.35106,59.838663999999994,60.317401,60.781014000000006,61.223538,61.650800000000004,62.066434,62.464943,62.849132,63.221227,63.579346,63.923224999999995,64.252463,64.56706,64.866185,65.152512
wpp_lower95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.244312,17.651944,18.059576,18.469223999999997,18.877174,19.274067,19.654665,20.04034,20.433511,20.807118,21.172019,21.532086,21.875222,22.217205000000003,22.587579,22.949151999999998,23.295558,23.672818,24.052003,24.405972000000002,24.746632,25.079455000000003,25.400662,25.711589,26.006247,26.299319,26.598701000000002,26.883716,27.115579,27.312736,27.537586,27.737748,27.909612000000003,28.089211,28.25209,28.371684000000002,28.494287,28.660062999999997,28.785521,28.872709999999998,28.959877,29.070919999999997,29.224762,29.287136,29.299281,29.351631,29.405878,29.421185,29.403461,29.407876,29.440114,29.456718000000002,29.417381000000002,29.353894,29.311909,29.258007000000003,29.168635,29.104185,29.036617999999997,28.946908,28.742804,28.443893,28.171486,28.012325,27.831952,27.610799,27.429572,27.222473,27.109293,27.0743,26.992722,26.832987,26.532617,26.258174,26.087490000000003,25.864488,25.616644,25.418832,25.219647000000002,24.952076
wpp_lower80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.220779000000004,17.673651000000003,18.126523000000002,18.586955000000003,19.050196,19.510675,19.96791,20.423994999999998,20.890275000000003,21.35347,21.804139,22.243187000000002,22.670791,23.109874,23.554554,23.998071,24.439242999999998,24.877864000000002,25.320228,25.739628,26.172385,26.634487,27.070827,27.501538,27.906578,28.267443,28.653783,29.066502,29.453948,29.814613,30.174939,30.488297,30.795446,31.123514,31.453697000000002,31.750127,32.00075,32.257346,32.505877,32.772538999999995,33.014747,33.259715,33.545338,33.801156000000006,34.006752,34.19489299999999,34.3363,34.470315,34.648485,34.816493,34.979777,35.142734,35.251356,35.304055,35.394040999999994,35.444167,35.451706,35.489269,35.519285,35.522698,35.48219,35.449283,35.452127,35.517703000000004,35.472612,35.359758,35.303765,35.162619,35.082373,35.135949999999994,35.155688000000005,35.059783,34.774288,34.508355,34.379473,34.2601,34.109255,33.968257,33.841733999999995,33.662448
wpp_upper80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.115567999999996,17.770217,18.424866,19.103367,19.800486,20.516818999999998,21.255128,22.012278,22.797172999999997,23.608498,24.448123,25.300703000000002,26.165284,27.065586,28.000145,28.969342,29.982251,31.016761,32.05994,33.125157,34.219737,35.347381999999996,36.520369,37.727822999999994,38.957532,40.229737,41.514209,42.843142,44.196958,45.570872,46.999671,48.384449000000004,49.813836,51.30021300000001,52.791734,54.303734,55.890761,57.555652,59.239523999999996,60.98699,62.753959,64.405851,66.084756,67.85200900000001,69.530976,71.222111,73.07506,74.991703,76.914667,78.869074,80.86766,82.94041499999999,84.825265,86.674907,88.662952,90.70917600000001,92.659591,94.370512,96.234679,98.35563,100.392504,102.459914,104.603326,106.58489999999999,108.405489,110.18903999999999,112.03415799999999,113.929586,115.90449000000001,117.912752,119.893921,121.7409,123.640952,125.651274,127.46283199999999,129.566552,131.776405,133.583864,135.339465,136.913186
wpp_upper95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.096899,17.788491,18.480083,19.19935,19.942,20.709801,21.501837,22.313773,23.159686,24.035229,24.949265,25.892602,26.83619,27.805858,28.817138,29.885343000000002,31.007519,32.179555,33.364264999999996,34.525735,35.740589,37.038879,38.393371,39.804486,41.260692999999996,42.763216,44.328612,45.938984,47.585550000000005,49.257203999999994,51.014258999999996,52.907833,54.783836,56.769925,58.952352,61.150622000000006,63.407567,65.78187799999999,68.213334,70.652738,73.08509699999999,75.563494,78.130972,80.818167,83.61505199999999,86.467671,89.419208,92.434012,95.569372,98.823506,102.14985,105.66016099999999,109.23755899999999,112.85948699999999,116.312557,119.664011,123.235398,127.10929399999999,131.24687,135.518679,139.86947700000002,144.224301,148.370889,152.634103,156.840698,160.944889,165.18893100000003,169.854329,175.12937599999998,180.403554,185.37417000000002,190.176152,195.225965,200.422262,205.487928,210.72654699999998,216.131091,221.035522,226.969087,234.224771
wup_urban_prop,0.045,0.04699,0.048979999999999996,0.05097,0.05296,0.05495,0.05735,0.059750000000000004,0.062150000000000004,0.06455000000000001,0.06695000000000001,0.070372,0.07379400000000001,0.077216,0.08063800000000002,0.08406000000000001,0.090384,0.096708,0.103032,0.109356,0.11567999999999999,0.123676,0.131672,0.13966800000000001,0.14766400000000002,0.15566000000000002,0.16210200000000002,0.168544,0.174986,0.18142799999999998,0.18786999999999998,0.189854,0.19183799999999998,0.193822,0.19580599999999998,0.19779,0.199854,0.201918,0.203982,0.20604599999999998,0.20811,0.20943399999999998,0.21075799999999997,0.212082,0.21340599999999998,0.21472999999999998,0.21505799999999997,0.215386,0.215714,0.216042,0.21637,0.216698,0.217026,0.217354,0.217682,0.21800999999999998,0.218378,0.218746,0.21911399999999998,0.21948199999999998,0.21985,0.22091,0.22197,0.22303,0.22409,0.22515000000000002,0.22716,0.22917,0.23118,0.23319,0.2352,0.238236,0.241272,0.244308,0.24734399999999998,0.25038,0.254538,0.258696,0.26285400000000003,0.267012,0.27117,0.276532,0.281894,0.287256,0.292618,0.29797999999999997,0.30403199999999997,0.31008399999999997,0.316136,0.322188,0.32824,0.334592,0.34094399999999997,0.347296,0.35364799999999996,0.36,0.366606,0.373212,0.379818,0.386424,0.39303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wup_urban_pop,0.112604,0.120143,0.12768200000000002,0.135221,0.14276,0.15029900000000002,0.1604296,0.1705602,0.1806908,0.1908214,0.200952,0.21640299999999998,0.23185399999999998,0.247305,0.262756,0.278207,0.30686179999999996,0.3355166,0.3641714,0.3928262,0.421481,0.4644532,0.5074254,0.5503975999999999,0.5933698,0.636342,0.6786053999999999,0.7208688,0.7631321999999999,0.8053956,0.8476589999999999,0.8795417999999999,0.9114245999999999,0.9433073999999999,0.9751901999999999,1.0070729999999999,1.0535998,1.1001266,1.1466534,1.1931802,1.2397070000000001,1.2924156,1.3451242,1.3978328,1.4505414,1.50325,1.5636104,1.6239708,1.6843312,1.7446916,1.8050519999999999,1.8829908,1.9609296,2.0388684,2.1168072,2.1947460000000003,2.2784768000000004,2.3622076,2.4459384,2.5296692,2.6134,2.7215632,2.8297263999999998,2.9378896,3.0460528,3.154216,3.2894248,3.4246336,3.5598424,3.6950512,3.83026,4.0044048,4.1785496,4.3526944,4.5268392,4.700984,4.9246414,5.1482988,5.3719562,5.5956136,5.819271,6.104610399999999,6.389949799999999,6.6752892,6.9606286,7.2459679999999995,7.5903372,7.9347064,8.2790756,8.6234448,8.967814,9.365850400000001,9.7638868,10.1619232,10.5599596,10.957996,11.410366,11.862736,12.315106,12.767476,13.219846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wup_rural_pop,2.389713,2.4287522,2.4677914,2.5068306000000002,2.5458698,2.584909,2.6280554,2.6712018,2.7143482000000003,2.7574946000000002,2.800641,2.8467860000000003,2.892931,2.939076,2.9852209999999997,3.031366,3.0695064,3.1076468,3.1457872,3.1839276,3.222068,3.2679756,3.3138832000000003,3.3597908000000003,3.4056984000000003,3.4516060000000004,3.4941614000000003,3.5367168,3.5792722,3.6218276,3.664383,3.7483988,3.8324146,3.9164304000000003,4.0004462,4.084462,4.211,4.337538,4.464076,4.590614,4.7171520000000005,4.873216,5.02928,5.185344000000001,5.341408,5.497472,5.705479,5.913486,6.121493,6.3294999999999995,6.537507,6.8044582,7.0714094,7.3383606,7.6053118,7.872263,8.1525708,8.4328786,8.7131864,8.9934942,9.273802,9.590081,9.90636,10.222639000000001,10.538918,10.855197,11.1751242,11.495051400000001,11.8149786,12.1349058,12.454833,12.778782600000001,13.1027322,13.4266818,13.7506314,14.074581,14.3878032,14.7010254,15.0142476,15.3274698,15.640692,15.926821799999999,16.2129516,16.4990814,16.7852112,17.071341,17.3277408,17.5841406,17.8405404,18.0969402,18.35334,18.5789234,18.804506800000002,19.0300902,19.2556736,19.481257000000003,19.668195400000002,19.8551338,20.042072200000003,20.229010600000002,20.415949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wup_rural_prop,0.955,0.95301,0.95102,0.94903,0.94704,0.94505,0.94265,0.94025,0.93785,0.93545,0.9330499999999999,0.929628,0.926206,0.922784,0.919362,0.91594,0.909616,0.903292,0.896968,0.890644,0.88432,0.876324,0.868328,0.860332,0.852336,0.84434,0.837898,0.831456,0.825014,0.8185720000000001,0.81213,0.810146,0.808162,0.8061780000000001,0.8041940000000001,0.80221,0.800146,0.798082,0.796018,0.793954,0.79189,0.790566,0.789242,0.787918,0.786594,0.78527,0.784942,0.784614,0.784286,0.7839579999999999,0.78363,0.7833019999999999,0.7829740000000001,0.782646,0.7823180000000001,0.78199,0.781622,0.781254,0.780886,0.780518,0.78015,0.7790900000000001,0.77803,0.7769699999999999,0.77591,0.77485,0.77284,0.77083,0.7688200000000001,0.76681,0.7648,0.761764,0.7587280000000001,0.755692,0.752656,0.74962,0.7454620000000001,0.741304,0.737146,0.732988,0.72883,0.723468,0.718106,0.712744,0.707382,0.7020200000000001,0.695968,0.689916,0.683864,0.6778120000000001,0.67176,0.665408,0.6590560000000001,0.652704,0.646352,0.64,0.633394,0.626788,0.620182,0.613576,0.60697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
urban_pop_median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.700984,4.9246414,5.1482988,5.3719562,5.5956136,5.819271,6.104610399999999,6.389949799999999,6.6752892,6.9606286,7.2459679999999995,7.5903372,7.9347064,8.2790756,8.6234448,8.967814,9.365850400000001,9.7638868,10.1619232,10.5599596,10.957996,11.410366,11.862736,12.315106,12.767476,13.219846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
