,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
wpp_median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.896116000000003,9.102489000000002,9.308862000000001,9.515235,9.721608,9.930918,10.142995999999998,10.356496,10.572460999999999,10.792997,11.018536,11.246761000000001,11.475982,11.705825999999998,11.937683999999999,12.170508,12.404347,12.641136000000001,12.881276,13.121352,13.36176,13.604976,13.851201999999999,14.09965,14.347512,14.59525,14.84167,15.088054,15.337442,15.584778,15.831366,16.078297,16.321187,16.562847,16.808372,17.053773,17.29459,17.533071,17.768601,18.00544,18.244747,18.484309,18.726404,18.967622,19.205743,19.445325,19.684298,19.923664000000002,20.162518,20.395141,20.624541,20.853146000000002,21.082717,21.313198,21.543950000000002,21.771403,21.989994,22.202395,22.419579000000002,22.642369,22.862552,23.077378,23.286745,23.490958,23.691335,23.89177,24.082475,24.266779999999997,24.452437999999997,24.632971,24.811522,24.986356,25.154168000000002,25.325646,25.496674,25.661543,25.825692999999998,25.986594,26.145662,26.300754
wpp_lower95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.256472000000002,9.309505000000001,9.362538,9.415571,9.468604,9.567141,9.660108000000001,9.764436,9.896915000000002,10.033462,10.173604,10.316015,10.431249,10.545519,10.680314000000001,10.806152,10.918987,11.036700999999999,11.144343999999998,11.251256,11.388678,11.518184999999999,11.620942,11.729469,11.830855999999999,11.937165,12.058183999999999,12.170948000000001,12.277734,12.382223,12.427712999999999,12.449384,12.485995999999998,12.524723,12.588398999999999,12.629299999999999,12.63938,12.667005,12.711407,12.745194,12.712969,12.73994,12.827937,12.818764,12.807704,12.828084,12.879834,12.973509,13.052913,13.073362999999999,13.114557000000001,13.168854999999999,13.185347,13.174538,13.206397,13.262062,13.215935,13.179257,13.155142,13.138786,13.169818,13.255022,13.313507,13.150447,13.057574,13.158927,13.232615,13.181191,13.137742,13.162073,13.086379999999998,12.972755,12.921008,13.008286,13.019810999999999,12.847800999999999,12.680022999999998,12.642916999999999,12.663120999999999,12.551214
wpp_lower80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.136351999999997,9.241417999999998,9.346483999999998,9.45155,9.556616,9.688652,9.827717,9.973467000000001,10.12957,10.290599,10.443847,10.599395000000001,10.769168,10.93918,11.087877,11.241961,11.404851,11.551889,11.723194,11.901487,12.071769,12.230984000000001,12.362437,12.496263,12.629874,12.773406999999999,12.939335999999999,13.087942,13.239384,13.402457,13.527698000000001,13.640206000000001,13.741558999999999,13.840211,13.949304,14.064950000000001,14.158647,14.238972,14.361627,14.497371,14.599143,14.686544,14.768468,14.829824,14.885288000000001,14.966667,15.065172,15.139586,15.230432,15.317082000000001,15.38794,15.446485000000001,15.454213,15.484368,15.576212,15.64789,15.694355,15.765128,15.753475,15.712524,15.72785,15.765831,15.797443999999999,15.774535,15.792296,15.882163,15.94624,15.928459,15.932427,16.005657,16.050474,15.991796,16.008363,16.063216,16.024503,16.025838,16.00862,15.999017,16.082724,16.102119000000002
wpp_upper80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.633301999999999,8.947970999999999,9.26264,9.577309,9.891978,10.186907999999999,10.469565000000001,10.742676,11.0274,11.316925,11.624870999999999,11.938006,12.227611999999999,12.531093,12.840727999999999,13.16637,13.488321,13.79744,14.134675,14.476816000000001,14.814834999999999,15.159367,15.501541,15.839045,16.199486,16.583942,16.948597000000003,17.315523000000002,17.704289,18.081605,18.427972,18.770607,19.162027,19.616563999999997,20.034789,20.400637,20.828319999999998,21.195352,21.578761,22.045928,22.483666,22.957437000000002,23.421637999999998,23.851023,24.293011,24.740197,25.230703000000002,25.811699,26.354080000000003,26.85069,27.295824,27.715463,28.179664,28.690988,29.27387,29.762172,30.174507000000002,30.694754,31.275373,31.828298999999998,32.354097,32.880824999999994,33.400914,33.883064,34.430085,35.049232,35.611331,36.065439,36.505554,37.015411,37.591426,38.162566,38.781708,39.406373,39.888015,40.399299,40.835927000000005,41.333502,42.097104,42.822934000000004
wpp_upper95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.495009,8.866895,9.238781,9.610667,9.982553,10.320855,10.648467,10.96151,11.275581,11.60576,11.954448000000001,12.316623,12.661301,13.022207,13.397029,13.761601,14.116021,14.462292,14.810698,15.17495,15.594071,16.006202,16.383127,16.784796999999998,17.203114000000003,17.61216,18.036406,18.430885,18.876117999999998,19.398257,19.905249,20.351593,20.76238,21.232078,21.723431,22.201515999999998,22.691894,23.166187,23.793281,24.432044,24.991358,25.553279,26.012396,26.560268,27.162962,27.844508,28.499282,29.118451,29.748423,30.262151999999997,30.800029,31.417171999999997,32.103196,32.813184,33.595451000000004,34.445624,35.237911,35.902536999999995,36.494731,37.11045,37.82455,38.567116999999996,39.292967,40.064609,40.833228000000005,41.845765,42.82498399999999,43.424432,43.996819,44.872036,45.98768,46.996776,47.739224,48.329636,49.017860999999996,50.048372,51.063574,52.041328,53.130699,54.092687
wup_urban_prop,0.043840000000000004,0.048462000000000005,0.053084000000000006,0.05770600000000001,0.06232800000000001,0.06695000000000001,0.07375600000000002,0.08056200000000001,0.08736800000000002,0.09417400000000001,0.10098000000000001,0.110684,0.12038800000000001,0.130092,0.139796,0.1495,0.16216,0.17482,0.18748,0.20014,0.21280000000000002,0.216094,0.219388,0.22268200000000002,0.225976,0.22927,0.232742,0.236214,0.239686,0.243158,0.24663000000000002,0.25042800000000004,0.254226,0.25802400000000003,0.261822,0.26562,0.269674,0.273728,0.277782,0.281836,0.28589,0.290122,0.294354,0.29858599999999996,0.302818,0.30705,0.311454,0.31585799999999997,0.320262,0.32466599999999995,0.32907,0.333626,0.338182,0.342738,0.347294,0.35185,0.356546,0.361242,0.365938,0.370634,0.37533,0.380464,0.385598,0.390732,0.395866,0.401,0.40640000000000004,0.4118,0.4172,0.4226,0.428,0.433684,0.43936800000000004,0.445052,0.450736,0.45642000000000005,0.462334,0.468248,0.47416200000000003,0.480076,0.48599,0.492048,0.498106,0.504164,0.510222,0.51628,0.522354,0.528428,0.5345019999999999,0.540576,0.54665,0.552616,0.558582,0.5645479999999999,0.570514,0.57648,0.58234,0.5882,0.59406,0.59992,0.60578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wup_urban_pop,0.061172,0.06867279999999999,0.0761736,0.0836744,0.0911752,0.098676,0.1108606,0.1230452,0.13522979999999998,0.1474144,0.159599,0.1787664,0.1979338,0.2171012,0.2362686,0.255436,0.2943848,0.3333336,0.3722824,0.4112312,0.45018,0.4706736,0.4911672,0.5116608,0.5321544,0.552648,0.5763244000000001,0.6000008,0.6236772,0.6473536,0.67103,0.7096376,0.7482451999999999,0.7868528,0.8254604,0.864068,0.9077822,0.9514963999999999,0.9952106,1.0389248,1.082639,1.1285808,1.1745226,1.2204643999999998,1.2664061999999998,1.3123479999999998,1.3769961999999998,1.4416444,1.5062925999999999,1.5709407999999998,1.635589,1.7084004,1.7812118,1.8540232,1.9268346,1.999646,2.0878666,2.1760872,2.2643078,2.3525283999999997,2.440749,2.5474267999999998,2.6541045999999997,2.7607824,2.8674602,2.974138,3.0970032,3.2198684,3.3427336,3.4655988,3.588464,3.729886,3.871308,4.0127299999999995,4.154152,4.295573999999999,4.457739599999999,4.6199052,4.7820708,4.9442364,5.106402,5.2894212,5.4724404,5.6554595999999995,5.8384788,6.021497999999999,6.2232698,6.4250416,6.6268134,6.8285852,7.030357,7.2474992,7.4646414000000005,7.6817836,7.898925800000001,8.116068,8.346306,8.576544,8.806782,9.03702,9.267258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wup_rural_pop,1.3342850000000002,1.3424606000000001,1.3506362,1.3588118,1.3669874,1.375163,1.3843132,1.3934634,1.4026136,1.4117638,1.420914,1.42737,1.433826,1.4402819999999998,1.4467379999999999,1.4531939999999999,1.4956235999999998,1.5380532,1.5804828,1.6229124000000001,1.665342,1.7038332,1.7423244,1.7808156000000002,1.8193068000000001,1.857798,1.8962002,1.9346024000000002,1.9730046,2.0114068,2.049809,2.1176324,2.1854558,2.2532792,2.3211026,2.388926,2.452001,2.515076,2.578151,2.641226,2.704301,2.755776,2.807251,2.858726,2.910201,2.9616759999999998,3.0362964,3.1109167999999996,3.1855371999999997,3.2601575999999994,3.3347779999999996,3.4045467999999994,3.4743155999999997,3.5440843999999996,3.6138532,3.6836219999999997,3.7593381999999997,3.8350543999999998,3.9107706,3.9864868,4.062203,4.1382952,4.2143874,4.2904796,4.3665718,4.442664,4.513296599999999,4.5839292,4.6545618,4.7251944,4.795827,4.859818,4.923809,4.9878,5.051791000000001,5.115782,5.1727934,5.2298048,5.2868162,5.3438276,5.4008389999999995,5.4490402,5.4972414,5.5454425999999994,5.5936438,5.641845,5.6795422,5.7172394,5.7549366,5.7926338,5.830331,5.856794,5.8832569999999995,5.90972,5.936183,5.9626459999999994,5.976296,5.989946,6.003595999999999,6.017245999999999,6.030895999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wup_rural_prop,0.95616,0.951538,0.946916,0.942294,0.937672,0.9330499999999999,0.926244,0.919438,0.912632,0.905826,0.8990199999999999,0.889316,0.879612,0.869908,0.860204,0.8505,0.83784,0.82518,0.81252,0.79986,0.7872,0.783906,0.780612,0.777318,0.774024,0.77073,0.767258,0.763786,0.7603139999999999,0.756842,0.75337,0.7495719999999999,0.7457739999999999,0.741976,0.738178,0.73438,0.730326,0.726272,0.722218,0.718164,0.71411,0.709878,0.705646,0.701414,0.697182,0.69295,0.688546,0.684142,0.679738,0.6753340000000001,0.67093,0.666374,0.661818,0.657262,0.652706,0.64815,0.643454,0.6387579999999999,0.634062,0.629366,0.6246700000000001,0.619536,0.614402,0.6092679999999999,0.604134,0.599,0.5935999999999999,0.5882000000000001,0.5828,0.5774,0.5720000000000001,0.566316,0.560632,0.554948,0.549264,0.54358,0.537666,0.531752,0.525838,0.519924,0.5140100000000001,0.507952,0.5018940000000001,0.49583600000000005,0.48977800000000005,0.48372000000000004,0.477646,0.471572,0.4654980000000001,0.45942400000000005,0.45335000000000003,0.447384,0.441418,0.43545200000000006,0.42948600000000003,0.42352,0.41766000000000003,0.41180000000000005,0.40593999999999997,0.40008,0.39422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
urban_pop_median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.295573999999999,4.457739599999999,4.6199052,4.7820708,4.9442364,5.106402,5.2894212,5.4724404,5.6554595999999995,5.8384788,6.021497999999999,6.2232698,6.4250416,6.6268134,6.8285852,7.030357,7.2474992,7.4646414000000005,7.6817836,7.898925800000001,8.116068,8.346306,8.576544,8.806782,9.03702,9.267258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
