,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
wpp_median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.91683599999999,47.249584999999996,48.582334,49.924252,51.284671,52.66778,54.074276,55.500544000000005,56.937557999999996,58.380262,59.824141000000004,61.273497000000006,62.728593999999994,64.18456,65.64793399999999,67.116524,68.590123,70.06715200000001,71.541112,73.014668,74.486455,75.954184,77.419738,78.886699,80.354861,81.821514,83.284173,84.738864,86.185454,87.62208100000001,89.044958,90.45871000000001,91.858849,93.24023600000001,94.607019,95.957408,97.296823,98.62266000000001,99.929484,101.213368,102.474068,103.714747,104.930417,106.122595,107.28831299999999,108.42737799999999,109.541905,110.632093,111.701506,112.74502700000001,113.758738,114.74147199999999,115.695058,116.620277,117.521858,118.403658,119.25853,120.087533,120.89868,121.688132,122.451912,123.192299,123.90553,124.59554399999999,125.263826,125.903312,126.513818,127.099094,127.656582,128.187155,128.695068,129.17946799999999,129.633311,130.060769,130.469742,130.851504,131.203123,131.531246,131.83963699999998,132.12704399999998
wpp_lower95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.05426299999999,47.125916,48.197569,49.246323,50.296983999999995,51.3396,52.349663,53.360715,54.36792,55.351252,56.28057,57.156459000000005,58.048916,58.969879,59.903864999999996,60.870106,61.8341,62.755325,63.643663999999994,64.558835,65.43747,66.239931,67.067752,67.947558,68.773311,69.499984,70.238493,70.94106699999999,71.5315,72.15578,72.84495600000001,73.47376799999999,74.105243,74.743203,75.425681,76.09638000000001,76.667692,77.117372,77.46530499999999,77.78335700000001,78.054388,78.38479600000001,78.786061,79.16905,79.388592,79.47423699999999,79.598678,79.733548,79.791669,79.86561900000001,79.96950199999999,80.022951,79.95555,79.787193,79.69837600000001,79.563815,79.299095,79.086203,78.871001,78.6724,78.542328,78.477034,78.24585,77.833212,77.48034,77.260743,77.05806600000001,76.74092999999999,76.51836999999999,76.3296,76.009665,75.48070799999999,74.929122,74.562963,74.23610799999999,73.877785,73.527923,73.15949800000001,72.726385,72.141245
wpp_lower80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.006741000000005,47.169614,48.332487,49.484061000000004,50.624516,51.771328000000004,52.922678999999995,54.077146,55.235578000000004,56.365283000000005,57.468639,58.549392,59.621125,60.728443,61.826711,62.932002999999995,64.043525,65.105853,66.145543,67.190743,68.243323,69.28521099999999,70.303301,71.329773,72.313581,73.186897,74.101953,75.003235,75.838835,76.66229799999999,77.514369,78.405315,79.241096,80.052374,80.82771799999999,81.556896,82.306681,82.986525,83.59606,84.239652,84.91945600000001,85.652542,86.346945,87.002615,87.528279,87.83769899999999,88.17808500000001,88.561791,88.849228,89.14569800000001,89.459559,89.694997,89.86143,89.97862300000001,90.032058,90.071529,90.16189800000001,90.268133,90.342023,90.448777,90.555966,90.671903,90.798263,90.834602,90.769931,90.788027,90.79158,90.62152800000001,90.554639,90.554863,90.398843,90.0261,89.592364,89.278013,89.13041,88.959486,88.66314299999999,88.35199899999999,88.05763400000001,87.761245
wpp_upper80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.833004,47.327812,48.82262,50.339647,51.894538,53.495792,55.140980000000006,56.822282,58.542493,60.271688999999995,62.026793,63.826211,65.642303,67.492165,69.36011,71.282446,73.22597400000001,75.13176200000001,77.047321,79.023817,81.052252,83.094696,85.152334,87.242208,89.322352,91.410609,93.632162,95.850316,97.96855599999999,100.064777,102.182395,104.352373,106.562,108.77731299999999,110.986956,113.266935,115.541133,117.761459,119.954293,122.113931,124.44136999999999,126.908118,129.346754,131.80405,134.06580300000002,136.200543,138.447386,140.799242,143.104892,145.34713399999998,147.72207,149.935551,152.040406,154.28887400000002,156.57392800000002,158.85498,161.082289,163.334787,165.696938,168.157834,170.56077,172.857995,175.10709,177.396203,179.820108,182.37418,184.703204,186.805515,188.895057,191.095652,193.322744,195.35991099999998,197.239071,199.102299,200.857053,202.639676,204.59287799999998,206.16098300000002,207.652755,209.259883
wpp_upper95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.788362000000006,47.366313000000005,48.944264000000004,50.556284,52.216898,53.935680999999995,55.717379,57.557942000000004,59.412772,61.276506999999995,63.212629,65.187498,67.164134,69.20792,71.310537,73.427143,75.508998,77.586579,79.682248,81.805406,83.98546,86.289091,88.664214,91.159925,93.703728,96.18070200000001,98.731744,101.363469,104.06383100000001,106.65388499999999,109.24942200000001,112.045618,114.869364,117.59861199999999,120.350926,123.227136,126.128942,129.002296,132.05515499999998,135.12640599999997,138.06337299999998,141.06575099999998,144.212803,147.522885,150.65291,153.65904,157.008022,160.48309,163.816096,167.10113099999998,170.522231,174.11223199999998,177.61197099999998,181.07404,184.570646,188.312961,192.25568299999998,196.23356700000002,199.85608499999998,202.865739,205.909219,209.33,212.86166599999999,216.465583,220.223153,224.317849,228.28026,231.889353,235.31181899999999,238.5409,241.87763800000002,245.637502,249.91504,254.245526,258.183672,262.24718,266.641891,270.855359,274.62915000000004,277.947182
wup_urban_prop,0.0282,0.029623999999999998,0.031048,0.032472,0.033895999999999996,0.03532,0.03709,0.03886,0.04063,0.0424,0.04417,0.046354,0.048538,0.050722,0.052906,0.05509,0.0574,0.05971,0.06201999999999999,0.06433,0.06663999999999999,0.067392,0.068144,0.068896,0.069648,0.0704,0.07138800000000001,0.07237600000000001,0.073364,0.074352,0.07534,0.07857600000000001,0.081812,0.085048,0.08828399999999999,0.09151999999999999,0.095368,0.099216,0.103064,0.10691200000000001,0.11076000000000001,0.11430000000000001,0.11784,0.12138,0.12491999999999999,0.12846,0.13233999999999999,0.13621999999999998,0.1401,0.14398,0.14786,0.15220799999999998,0.156556,0.160904,0.165252,0.1696,0.174446,0.179292,0.184138,0.188984,0.19383,0.199184,0.204538,0.209892,0.215246,0.2206,0.226388,0.232176,0.237964,0.243752,0.24954,0.255656,0.261772,0.267888,0.27400399999999997,0.28012,0.286482,0.292844,0.299206,0.305568,0.31193000000000004,0.31842000000000004,0.32491000000000003,0.33140000000000003,0.33789,0.34438,0.35083600000000004,0.357292,0.363748,0.370204,0.37666,0.38306,0.38946000000000003,0.39586,0.40226,0.40866,0.41522400000000004,0.42178800000000005,0.428352,0.434916,0.44148000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wup_urban_pop,0.14544900000000002,0.15803100000000003,0.17061300000000001,0.18319500000000002,0.19577700000000003,0.20835900000000002,0.2266506,0.2449422,0.2632338,0.28152540000000004,0.299817,0.3281632,0.3565094,0.38485559999999996,0.4132018,0.441548,0.4791266,0.5167052,0.5542838,0.5918624,0.629441,0.6560078,0.6825746,0.7091413999999999,0.7357081999999999,0.7622749999999999,0.798912,0.835549,0.872186,0.908823,0.9454600000000001,1.0244492,1.1034384,1.1824276,1.2614168000000001,1.340406,1.4586256,1.5768452,1.6950648,1.8132844,1.9315039999999999,2.0731666,2.2148292,2.3564917999999997,2.4981543999999998,2.639817,2.8227278,3.0056386,3.1885494000000003,3.3714602,3.554371,3.811732,4.0690930000000005,4.326454000000001,4.583815,4.841176000000001,5.1876952,5.534214400000001,5.8807336,6.2272528000000005,6.573772,7.0301838,7.4865956,7.9430074,8.3994192,8.855831,9.4396672,10.023503400000001,10.6073396,11.1911758,11.775012,12.506144,13.237276000000001,13.968408,14.69954,15.430672000000001,16.327424,17.224176,18.120928000000003,19.017680000000002,19.914432,20.986159,22.057886,23.129613,24.20134,25.273066999999998,26.516526199999998,27.759985399999998,29.0034446,30.246903800000002,31.490363000000002,32.908327,34.326291,35.744255,37.162219,38.580183,40.1968696,41.8135562,43.4302428,45.0469294,46.663616000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wup_rural_pop,5.012741,5.148288,5.283835,5.419382,5.554929,5.690475999999999,5.8500602,6.0096444,6.169228599999999,6.3288128,6.488397,6.7052882,6.9221794,7.1390706,7.3559618,7.572853,7.821607,8.070361,8.319115,8.567869,8.816623,9.0662728,9.3159226,9.565572399999999,9.8152222,10.064872,10.372713599999999,10.680555199999999,10.9883968,11.2962384,11.60408,11.9445076,12.2849352,12.625362800000001,12.965790400000001,13.306218000000001,13.746455000000001,14.186692,14.626929,15.067166,15.507403,15.9880172,16.4686314,16.949245599999998,17.4298598,17.910473999999997,18.4253598,18.940245599999997,19.4551314,19.970017199999997,20.484903,21.1284752,21.772047399999998,22.4156196,23.059191799999997,23.702764,24.4304834,25.158202799999998,25.8859222,26.613641599999998,27.341361,28.1308966,28.9204322,29.709967799999998,30.4995034,31.289039,32.1137694,32.9384998,33.7632302,34.5879606,35.412691,36.2611104,37.109529800000004,37.9579492,38.806368600000006,39.654788,40.509416,41.364044,42.218672000000005,43.0733,43.927928,44.765029,45.60213,46.439231,47.276332000000004,48.113433,48.913666,49.713899,50.514132000000004,51.314365,52.114598,52.8569728,53.5993476,54.3417224,55.0840972,55.826472,56.4680946,57.1097172,57.751339800000004,58.3929624,59.034585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wup_rural_prop,0.9718,0.970376,0.968952,0.9675279999999999,0.966104,0.96468,0.96291,0.96114,0.9593700000000001,0.9576,0.95583,0.953646,0.951462,0.949278,0.947094,0.94491,0.9426,0.94029,0.93798,0.93567,0.93336,0.932608,0.931856,0.931104,0.930352,0.9296,0.928612,0.927624,0.926636,0.925648,0.92466,0.921424,0.918188,0.914952,0.911716,0.90848,0.904632,0.900784,0.896936,0.893088,0.88924,0.8856999999999999,0.88216,0.87862,0.87508,0.87154,0.86766,0.86378,0.8599,0.85602,0.85214,0.847792,0.843444,0.8390960000000001,0.834748,0.8304,0.825554,0.820708,0.815862,0.811016,0.80617,0.800816,0.795462,0.790108,0.784754,0.7794,0.773612,0.7678240000000001,0.7620359999999999,0.756248,0.75046,0.744344,0.738228,0.732112,0.7259960000000001,0.7198800000000001,0.713518,0.707156,0.7007939999999999,0.6944319999999999,0.68807,0.68158,0.67509,0.6686,0.66211,0.65562,0.649164,0.6427080000000001,0.636252,0.629796,0.62334,0.61694,0.61054,0.60414,0.5977399999999999,0.59134,0.584776,0.578212,0.5716479999999999,0.5650839999999999,0.5585199999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
urban_pop_median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.430672000000001,16.327424,17.224176,18.120928000000003,19.017680000000002,19.914432,20.986159,22.057886,23.129613,24.20134,25.273066999999998,26.516526199999998,27.759985399999998,29.0034446,30.246903800000002,31.490363000000002,32.908327,34.326291,35.744255,37.162219,38.580183,40.1968696,41.8135562,43.4302428,45.0469294,46.663616000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
