ISO3,year,indicator,value
AFE,1955,rural_growth_rate,1.9839616267763427
AFE,1955,urban_growth_rate,4.284533121731426
AFE,1960,rural_growth_rate,2.1296119732157726
AFE,1960,urban_growth_rate,4.4938110473861315
AFE,1965,rural_growth_rate,2.321221795574102
AFE,1965,urban_growth_rate,4.425993308136755
AFE,1970,rural_growth_rate,2.4076885614740418
AFE,1970,urban_growth_rate,4.676107703281529
AFE,1975,rural_growth_rate,2.46225572908636
AFE,1975,urban_growth_rate,4.737890989298221
AFE,1980,rural_growth_rate,2.52966189050563
AFE,1980,urban_growth_rate,4.721533013487389
AFE,1985,rural_growth_rate,2.4980416778344505
AFE,1985,urban_growth_rate,4.562736094758457
AFE,1990,rural_growth_rate,2.290502669136596
AFE,1990,urban_growth_rate,4.935058792588154
AFE,1995,rural_growth_rate,2.1808270969912114
AFE,1995,urban_growth_rate,4.579726479667867
AFE,2000,rural_growth_rate,2.266343565705631
AFE,2000,urban_growth_rate,3.7750613612602457
AFE,2005,rural_growth_rate,2.2213215603778425
AFE,2005,urban_growth_rate,3.8379679390501797
AFE,2010,rural_growth_rate,2.1968187382464865
AFE,2010,urban_growth_rate,3.948855203183954
AFE,2015,rural_growth_rate,2.1025175490088976
AFE,2015,urban_growth_rate,4.134600513939524
AFE,2020,rural_growth_rate,1.9290727362176296
AFE,2020,urban_growth_rate,4.046361458355552
AFE,2025,rural_growth_rate,1.7021621855778157
AFE,2025,rural_lower80_growth_rate,1.7021621855778157
AFE,2025,rural_lower95_growth_rate,1.7021621855778157
AFE,2025,rural_median_growth_rate,1.7021621855778157
AFE,2025,rural_upper80_growth_rate,1.7021621855778157
AFE,2025,rural_upper95_growth_rate,1.7021621855778157
AFE,2025,urban_growth_rate,3.9319594806300096
AFE,2025,urban_lower80_growth_rate,3.9319594806300096
AFE,2025,urban_lower95_growth_rate,3.9319594806300096
AFE,2025,urban_median_growth_rate,3.9319594806300096
AFE,2025,urban_upper80_growth_rate,3.9319594806300096
AFE,2025,urban_upper95_growth_rate,3.9319594806300096
AFE,2030,rural_growth_rate,1.474566314176795
AFE,2030,rural_lower80_growth_rate,0.7610282511555821
AFE,2030,rural_lower95_growth_rate,0.3611352832696202
AFE,2030,rural_median_growth_rate,1.474566314176795
AFE,2030,rural_upper80_growth_rate,2.167914440348939
AFE,2030,rural_upper95_growth_rate,2.532496190721689
AFE,2030,urban_growth_rate,3.798118490171709
AFE,2030,urban_lower80_growth_rate,3.102717497152585
AFE,2030,urban_lower95_growth_rate,2.706979628479056
AFE,2030,urban_median_growth_rate,3.798118490171709
AFE,2030,urban_upper80_growth_rate,4.457019946617646
AFE,2030,urban_upper95_growth_rate,4.807626161500234
AFE,2035,rural_growth_rate,1.249489684455396
AFE,2035,rural_lower80_growth_rate,0.5955155018215974
AFE,2035,rural_lower95_growth_rate,0.22862388164677228
AFE,2035,rural_median_growth_rate,1.249489684455396
AFE,2035,rural_upper80_growth_rate,1.8849352815173859
AFE,2035,rural_upper95_growth_rate,2.220271105639404
AFE,2035,urban_growth_rate,3.64206953367181
