ISO3,indicator,year,value
AFE,rural_pop_lower80,2025,468.3550327756484
AFE,rural_pop_lower80,2026,471.9170757247752
AFE,rural_pop_lower80,2027,475.441789257006
AFE,rural_pop_lower80,2028,479.0150747642266
AFE,rural_pop_lower80,2029,482.7274317904859
AFE,rural_pop_lower80,2030,486.4499299144787
AFE,rural_pop_lower80,2031,489.4165319811602
AFE,rural_pop_lower80,2032,492.2291516954331
AFE,rural_pop_lower80,2033,495.1599099102628
AFE,rural_pop_lower80,2034,498.2390286298421
AFE,rural_pop_lower80,2035,501.10789800785017
AFE,rural_pop_lower80,2036,503.1006416070143
AFE,rural_pop_lower80,2037,505.0955074035229
AFE,rural_pop_lower80,2038,507.3812663520554
AFE,rural_pop_lower80,2039,509.6279459845107
AFE,rural_pop_lower80,2040,511.65407696331727
AFE,rural_pop_lower80,2041,512.9430521005951
AFE,rural_pop_lower80,2042,514.2009011679166
AFE,rural_pop_lower80,2043,515.4109648666408
AFE,rural_pop_lower80,2044,516.3004120710942
AFE,rural_pop_lower80,2045,517.2822255358162
AFE,rural_pop_lower80,2046,517.4293819545985
AFE,rural_pop_lower80,2047,517.2413507438005
AFE,rural_pop_lower80,2048,517.1120285162052
AFE,rural_pop_lower80,2049,517.1829265227161
AFE,rural_pop_lower80,2050,517.1193008052608
AFE,rural_pop_lower95,2025,464.8793645120594
AFE,rural_pop_lower95,2026,466.4164120505823
AFE,rural_pop_lower95,2027,468.00841291187055
AFE,rural_pop_lower95,2028,469.843176443145
AFE,rural_pop_lower95,2029,471.7424947065213
AFE,rural_pop_lower95,2030,473.3344298687683
AFE,rural_pop_lower95,2031,474.403353300237
AFE,rural_pop_lower95,2032,475.5966913102801
AFE,rural_pop_lower95,2033,476.6272576516579
AFE,rural_pop_lower95,2034,477.65235869174
AFE,rural_pop_lower95,2035,478.770004890361
AFE,rural_pop_lower95,2036,479.2207794687975
AFE,rural_pop_lower95,2037,479.89246216709233
AFE,rural_pop_lower95,2038,480.4042462517056
AFE,rural_pop_lower95,2039,480.62465284696265
AFE,rural_pop_lower95,2040,481.0090911802933
AFE,rural_pop_lower95,2041,480.5614255298018
AFE,rural_pop_lower95,2042,480.3128834094043
AFE,rural_pop_lower95,2043,480.1616151489005
AFE,rural_pop_lower95,2044,479.6427958902043
AFE,rural_pop_lower95,2045,479.1998105649239
AFE,rural_pop_lower95,2046,477.79673206638046
AFE,rural_pop_lower95,2047,476.3072344833874
AFE,rural_pop_lower95,2048,475.0332504230611
AFE,rural_pop_lower95,2049,473.9577750112879
AFE,rural_pop_lower95,2050,472.8131429726578
AFE,rural_pop_median,2025,474.6646159999999
AFE,rural_pop_median,2026,481.8733438
AFE,rural_pop_median,2027,489.0820716
AFE,rural_pop_median,2028,496.2907994
AFE,rural_pop_median,2029,503.4995272000001
AFE,rural_pop_median,2030,510.708255
AFE,rural_pop_median,2031,517.2509729999999
AFE,rural_pop_median,2032,523.793691
AFE,rural_pop_median,2033,530.336409
AFE,rural_pop_median,2034,536.8791269999999
AFE,rural_pop_median,2035,543.4218449999998
AFE,rural_pop_median,2036,549.1568560000002
AFE,rural_pop_median,2037,554.891867
AFE,rural_pop_median,2038,560.626878
AFE,rural_pop_median,2039,566.361889
AFE,rural_pop_median,2040,572.0969
AFE,rural_pop_median,2041,576.847811
AFE,rural_pop_median,2042,581.5987220000001
AFE,rural_pop_median,2043,586.349633
AFE,rural_pop_median,2044,591.1005439999999
AFE,rural_pop_median,2045,595.851455
AFE,rural_pop_median,2046,599.4043933999999
AFE,rural_pop_median,2047,602.9573317999999
AFE,rural_pop_median,2048,606.5102702
AFE,rural_pop_median,2049,610.0632085999999
AFE,rural_pop_median,2050,613.6161470000001
AFE,rural_pop_upper80,2025,480.69134275727447
AFE,rural_pop_upper80,2026,491.4534011880279
AFE,rural_pop_upper80,2027,502.27875654497
AFE,rural_pop_upper80,2028,513.1562779006543
AFE,rural_pop_upper80,2029,524.0840810083121
AFE,rural_pop_upper80,2030,535.1049168348745
AFE,rural_pop_upper80,2031,545.3876192723557
AFE,rural_pop_upper80,2032,555.547065170815
AFE,rural_pop_upper80,2033,565.9728720683829
AFE,rural_pop_upper80,2034,576.8353920937659
AFE,rural_pop_upper80,2035,587.474217042769
AFE,rural_pop_upper80,2036,597.0799108779867
AFE,rural_pop_upper80,2037,607.04452549912
AFE,rural_pop_upper80,2038,617.2249375489023
AFE,rural_pop_upper80,2039,627.2364796433909
AFE,rural_pop_upper80,2040,637.3329767605768
AFE,rural_pop_upper80,2041,646.55126348882
AFE,rural_pop_upper80,2042,655.6511233632978
AFE,rural_pop_upper80,2043,664.9057952193833
AFE,rural_pop_upper80,2044,674.3120462732637
AFE,rural_pop_upper80,2045,683.8430877004947
AFE,rural_pop_upper80,2046,692.2915835511495
AFE,rural_pop_upper80,2047,700.667027233758
AFE,rural_pop_upper80,2048,709.1989131574902
AFE,rural_pop_upper80,2049,718.043509051436
AFE,rural_pop_upper80,2050,726.7160729766225
AFE,rural_pop_upper95,2025,483.90944353025975
AFE,rural_pop_upper95,2026,496.6472088994167
AFE,rural_pop_upper95,2027,509.3447816549682
AFE,rural_pop_upper95,2028,522.3340124636674
AFE,rural_pop_upper95,2029,535.4366403749594
AFE,rural_pop_upper95,2030,548.3675538536072
AFE,rural_pop_upper95,2031,560.8791236267849
AFE,rural_pop_upper95,2032,573.5274008390517
AFE,rural_pop_upper95,2033,586.273044276923
AFE,rural_pop_upper95,2034,599.1832164167815
AFE,rural_pop_upper95,2035,612.0077087688584
AFE,rural_pop_upper95,2036,624.1461791859206
AFE,rural_pop_upper95,2037,636.697651392732
AFE,rural_pop_upper95,2038,649.6383707314712
AFE,rural_pop_upper95,2039,662.5198591963866
AFE,rural_pop_upper95,2040,675.3443334173113
