,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
wpp_median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.373278000000006,59.893886,60.414494,61.020221,61.673080999999996,62.305038,62.918915999999996,63.514502,64.093732,64.659278,65.21152599999999,65.752924,66.284188,66.804167,67.314133,67.815934,68.308246,68.788495,69.256823,69.713937,70.160652,70.595131,71.01616800000001,71.423671,71.816201,72.192155,72.551392,72.89421899999999,73.22085899999999,73.529753,73.819238,74.089701,74.342981,74.58011,74.79905000000001,75.00112,75.18880800000001,75.362119,75.52030400000001,75.66319800000001,75.793041,75.912773,76.022453,76.120998,76.208046,76.283732,76.351934,76.41277099999999,76.462114,76.502155,76.536239,76.563062,76.57886,76.58411199999999,76.579882,76.567382,76.548374,76.522764,76.48840399999999,76.445383,76.396514,76.341014,76.28081900000001,76.21670900000001,76.146535,76.071992,75.994768,75.913622,75.82738,75.736555,75.640985,75.538822,75.43132399999999,75.319878,75.203788,75.084182,74.959932,74.830455,74.697591,74.55959
wpp_lower95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.474833000000004,59.795445,60.116057,60.522706,60.977462,61.410158,61.818688,62.183231,62.526720999999995,62.86643,63.195997000000006,63.505455000000005,63.78737400000001,64.028477,64.245921,64.462127,64.6986,64.952978,65.14776,65.339347,65.542123,65.729886,65.91177,66.02846799999999,66.089797,66.13651700000001,66.197765,66.277952,66.28922299999999,66.18766099999999,66.110909,66.064676,66.032463,65.94810000000001,65.718481,65.501087,65.325023,65.141461,64.951758,64.70239,64.43195,64.137292,63.786127,63.488064,63.268135,62.956252,62.610596,62.314548,61.994142,61.69261,61.357509,60.959511,60.608477,60.247941,59.782671,59.38618,59.101939,58.845251,58.537538,58.182812,57.746584000000006,57.197269999999996,56.631128,56.146413,55.744175000000006,55.287675,54.764010999999996,54.23864,53.700384,53.170567000000005,52.665330999999995,52.212084000000004,51.765792000000005,51.269777000000005,50.789748,50.299656000000006,49.812292,49.331877999999996,48.820611,48.409470999999996
wpp_lower80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.441565,59.828965,60.216364999999996,60.694489999999995,61.231139000000006,61.741367,62.219533000000006,62.682306,63.121452,63.53379,63.944379,64.325653,64.67621100000001,65.019754,65.35154299999999,65.65814400000001,65.950992,66.238708,66.512591,66.7695,66.98358400000001,67.195472,67.423659,67.629173,67.815916,67.98569400000001,68.132329,68.268074,68.377003,68.485886,68.57673299999999,68.584387,68.539793,68.54939999999999,68.55396300000001,68.49234,68.422383,68.327575,68.26388899999999,68.167876,68.00698299999999,67.872471,67.715123,67.51705899999999,67.291599,67.045239,66.802915,66.558554,66.33870900000001,66.117239,65.894087,65.688606,65.49086,65.24205,64.912555,64.62442300000001,64.3725,64.093699,63.842417999999995,63.554511,63.197764,62.826112,62.46049,62.12998,61.775302,61.385595,61.031583,60.750999,60.402255,59.957174,59.628497,59.358619,59.091860000000004,58.813255,58.498678999999996,58.228124,57.942439,57.584312,57.202446,56.813542999999996
wpp_upper80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.30634200000001,59.962571000000004,60.6188,61.361236,62.151472999999996,62.927375999999995,63.68806,64.43422699999999,65.185641,65.920429,66.63758100000001,67.34361299999999,68.034935,68.737658,69.42831100000001,70.086185,70.729738,71.378829,72.041554,72.68255400000001,73.29618099999999,73.918813,74.56416800000001,75.222112,75.85938800000001,76.49200599999999,77.099339,77.66326,78.252683,78.864036,79.440022,79.983863,80.522023,81.058842,81.567116,82.039781,82.529905,83.032024,83.536666,84.040655,84.46749700000001,84.84752999999999,85.27421000000001,85.718722,86.158224,86.61614900000001,87.036338,87.453118,87.925172,88.361554,88.74345100000001,89.137658,89.590816,90.03583,90.394509,90.75565700000001,91.154315,91.537054,91.9393,92.307721,92.58907099999999,92.877672,93.177161,93.540875,93.97355499999999,94.382986,94.688858,94.98058999999999,95.379048,95.76705899999999,96.161277,96.61084699999999,96.994213,97.24680599999999,97.496416,97.823019,98.190052,98.591452,99.00181699999999,99.493312
wpp_upper95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.277041000000004,59.99882,60.720599,61.519512999999996,62.371672,63.219775999999996,64.055372,64.881806,65.71491800000001,66.540117,67.363341,68.17619400000001,68.94440300000001,69.699155,70.490907,71.301621,72.125788,72.937009,73.733717,74.515258,75.257818,76.084587,76.91507,77.67152,78.486182,79.328084,80.097425,80.833561,81.58705599999999,82.330602,83.046222,83.790122,84.57300599999999,85.312957,86.022278,86.739432,87.456145,88.137716,88.812294,89.484489,90.187624,90.894596,91.558932,92.257595,92.973377,93.650966,94.42272,95.245568,95.96942600000001,96.64576600000001,97.29885499999999,98.028282,98.831643,99.62131699999999,100.31459699999999,100.835111,101.24147900000001,101.697204,102.348913,102.960868,103.592979,104.426517,105.29534699999999,106.210142,107.08047599999999,107.99798299999999,108.840893,109.54643399999999,110.39346499999999,111.11565399999999,111.80305,112.780595,113.68766000000001,114.335747,114.98475599999999,115.91434600000001,117.152226,118.045607,118.496581,119.03273399999999
wup_urban_prop,0.42229999999999995,0.42666599999999993,0.43103199999999997,0.43539799999999995,0.439764,0.44412999999999997,0.448542,0.45295399999999997,0.457366,0.46177799999999997,0.46619,0.467448,0.46870599999999996,0.469964,0.471222,0.47247999999999996,0.47360199999999997,0.474724,0.47584599999999994,0.47696799999999995,0.47808999999999996,0.47868999999999995,0.47929,0.47989,0.48049000000000003,0.48109,0.481722,0.482354,0.48298599999999997,0.483618,0.48424999999999996,0.48614399999999997,0.48803799999999997,0.489932,0.491826,0.49372,0.49905,0.50438,0.50971,0.5150399999999999,0.52037,0.525268,0.530166,0.535064,0.539962,0.54486,0.54967,0.55448,0.5592900000000001,0.5641,0.56891,0.5742,0.5794900000000001,0.58478,0.59007,0.59536,0.600724,0.6060880000000001,0.611452,0.616816,0.6221800000000001,0.6274000000000001,0.6326200000000001,0.6378400000000001,0.6430600000000001,0.6482800000000001,0.653332,0.6583840000000001,0.663436,0.6684880000000001,0.67354,0.678378,0.683216,0.6880539999999999,0.692892,0.69773,0.702314,0.706898,0.711482,0.716066,0.72065,0.724938,0.729226,0.733514,0.7378020000000001,0.74209,0.74604,0.74999,0.7539399999999999,0.75789,0.76184,0.765562,0.769284,0.773006,0.776728,0.78045,0.783956,0.787462,0.790968,0.794474,0.79798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wup_urban_pop,5.755262,5.9700778,6.1848936000000005,6.3997094,6.6145252,6.829341,7.0911136,7.3528862,7.6146588,7.8764313999999995,8.138204,8.3950272,8.651850399999999,8.9086736,9.1654968,9.42232,9.7217278,10.0211356,10.3205434,10.6199512,10.919359,11.2575966,11.5958342,11.9340718,12.272309400000001,12.610547,12.970759600000001,13.330972200000001,13.6911848,14.0513974,14.411610000000001,14.859960000000001,15.30831,15.75666,16.20501,16.65336,17.231761799999997,17.8101636,18.388565399999997,18.9669672,19.545368999999997,20.222699,20.900029,21.577358999999998,22.254689,22.932019,23.5486424,24.1652658,24.7818892,25.3985126,26.015136,26.6252528,27.2353696,27.845486400000002,28.455603200000002,29.065720000000002,29.6715382,30.277356400000002,30.8831746,31.488992800000002,32.094811,32.8447186,33.5946262,34.3445338,35.0944414,35.844349,36.585657000000005,37.326965,38.068273000000005,38.809581,39.550889000000005,40.263227,40.975565,41.687903,42.400241,43.112579,43.781477599999995,44.450376199999994,45.1192748,45.7881734,46.457072,47.091878799999996,47.726685599999996,48.3614924,48.9962992,49.631106,50.229933,50.82876,51.427587,52.026414,52.625241,53.189682600000005,53.7541242,54.3185658,54.8830074,55.447449,55.9693278,56.4912066,57.0130854,57.5349642,58.056843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wup_rural_pop,7.873166,8.0080304,8.1428948,8.2777592,8.4126236,8.547488,8.7017206,8.8559532,9.010185799999999,9.164418399999999,9.318651,9.558917399999999,9.7991838,10.0394502,10.2797166,10.519983,10.8000048,11.0800266,11.3600484,11.6400702,11.920092,12.2564452,12.5927984,12.9291516,13.2655048,13.601858,13.951258600000001,14.3006592,14.650059800000001,14.9994604,15.348861000000001,15.6944464,16.0400318,16.385617200000002,16.7312026,17.076788,17.2644616,17.4521352,17.639808799999997,17.827482399999997,18.015155999999998,18.243353999999997,18.471552,18.699749999999998,18.927948,19.156146,19.2675526,19.3789592,19.4903658,19.6017724,19.713179,19.721516400000002,19.7298538,19.738191200000003,19.7465286,19.754866000000003,19.701863200000002,19.6488604,19.595857600000002,19.5428548,19.489852,19.4812568,19.4726616,19.4640664,19.455471199999998,19.446876,19.391568799999998,19.3362616,19.2809544,19.2256472,19.17034,19.0717634,18.973186799999997,18.8746102,18.776033599999998,18.677456999999997,18.5436618,18.409866599999997,18.2760714,18.142276199999998,18.008481,17.8566204,17.7047598,17.5528992,17.4010386,17.249178,17.0895722,16.9299664,16.7703606,16.610754800000002,16.451149,16.2806074,16.1100658,15.939524200000001,15.768982600000001,15.598441000000001,15.4183008,15.2381606,15.0580204,14.8778802,14.69774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wup_rural_prop,0.5777000000000001,0.573334,0.568968,0.564602,0.560236,0.5558700000000001,0.551458,0.547046,0.5426340000000001,0.538222,0.53381,0.532552,0.531294,0.530036,0.528778,0.52752,0.526398,0.5252760000000001,0.524154,0.523032,0.5219100000000001,0.52131,0.52071,0.5201100000000001,0.5195099999999999,0.51891,0.518278,0.517646,0.5170140000000001,0.516382,0.51575,0.5138560000000001,0.511962,0.510068,0.508174,0.5062800000000001,0.50095,0.49561999999999995,0.49029,0.48496000000000006,0.47963,0.47473200000000004,0.469834,0.464936,0.46003799999999995,0.45514,0.45033,0.44552,0.44070999999999994,0.43589999999999995,0.43109,0.42579999999999996,0.42050999999999994,0.41522000000000003,0.40993,0.40464,0.39927599999999996,0.39391199999999993,0.388548,0.38318399999999997,0.37781999999999993,0.37259999999999993,0.36737999999999993,0.3621599999999999,0.3569399999999999,0.3517199999999999,0.346668,0.3416159999999999,0.336564,0.3315119999999999,0.32646,0.32162199999999996,0.31678399999999995,0.31194600000000006,0.30710800000000005,0.30227000000000004,0.297686,0.293102,0.28851800000000005,0.283934,0.27935,0.27506200000000003,0.27077399999999996,0.266486,0.26219799999999993,0.25791,0.25395999999999996,0.25000999999999995,0.24606000000000006,0.24211000000000005,0.23816000000000004,0.23443800000000004,0.23071600000000003,0.22699400000000003,0.22327200000000003,0.21955000000000002,0.216044,0.212538,0.209032,0.205526,0.20201999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
urban_pop_median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.112579,43.781477599999995,44.450376199999994,45.1192748,45.7881734,46.457072,47.091878799999996,47.726685599999996,48.3614924,48.9962992,49.631106,50.229933,50.82876,51.427587,52.026414,52.625241,53.189682600000005,53.7541242,54.3185658,54.8830074,55.447449,55.9693278,56.4912066,57.0130854,57.5349642,58.056843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
