,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
wpp_median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.518201999999995,20.117119999999996,20.716037999999998,21.314956,21.913874,22.521915,23.138720000000003,23.761373,24.389686,25.024901000000003,25.666504,26.311952,26.960088,27.61163,28.266892,28.925109,29.583492,30.240565999999998,30.895597000000002,31.550402,32.204346,32.856603,33.510512000000006,34.165934,34.821106,35.475809999999996,36.129283,36.782266,37.434683,38.083386,38.728892,39.372618,40.014832999999996,40.657072,41.298203,41.935997,42.570792000000004,43.204515,43.837013,44.467763,45.094628,45.716224000000004,46.332957,46.944875,47.55164,48.151598,48.746696,49.337934999999995,49.926671999999996,50.510901,51.087504,51.658256,52.223082000000005,52.779956,53.329330999999996,53.871615,54.408371,54.939096,55.460046000000006,55.974886,56.48381,56.983253,57.474889000000005,57.959299,58.434266,58.901192,59.362386,59.811057999999996,60.248234,60.677381999999994,61.098686,61.512696000000005,61.915358999999995,62.311178999999996,62.698035000000004,63.070548,63.434684000000004,63.791046,64.13692,64.473916
wpp_lower95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.990092,20.401284,20.812476,21.223668,21.63486,22.037242,22.422248,22.798115000000003,23.182306,23.554302,23.892619999999997,24.234133,24.578416,24.928946,25.249015,25.556168000000003,25.859897,26.122539,26.355838,26.583023,26.839667000000002,27.108712,27.394418,27.636895,27.818524,28.003747999999998,28.235744,28.49238,28.692788,28.832917000000002,29.000383999999997,29.153747,29.291741000000002,29.486696,29.664255,29.778963,29.854264999999998,29.913558000000002,29.998844000000002,30.09047,30.116807,30.157525,30.211035,30.252757000000003,30.344276,30.435873,30.404515,30.389490000000002,30.434684,30.45087,30.45054,30.514015999999998,30.570612,30.550814,30.540034,30.529713,30.493778,30.443788,30.313993,30.073618999999997,29.966372,30.007035,30.016338,29.853209,29.638751,29.491522,29.335378000000002,29.165801,28.942565,28.702918,28.503274,28.326389,28.10205,27.980947,27.949642,27.852427,27.712057,27.543298999999998,27.408675,27.252057
wpp_lower80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.808449999999997,20.292161999999998,20.775873999999998,21.259586,21.743298,22.221284999999998,22.691157,23.150367,23.607077,24.060373,24.495956999999997,24.935601,25.37867,25.824330000000003,26.263384,26.696394,27.123585,27.529575,27.904118999999998,28.274276999999998,28.654289000000002,29.020350999999998,29.392211,29.749534,30.095723999999997,30.401909,30.708686,31.021444,31.32609,31.635562,31.893774,32.12044,32.41657,32.715718,32.955714,33.21892,33.524519,33.809273000000005,34.031022,34.266483,34.487205,34.703407,34.928381,35.062455,35.184436,35.402197,35.529941,35.639306,35.825168,35.964046,36.075732,36.229667,36.415739,36.569426,36.639505,36.706944,36.72763,36.706915,36.682793,36.646318,36.726403,36.866222,36.969771,37.014231,37.013692000000006,37.046743,37.11965,37.14391199999999,37.086467,36.902891000000004,36.739981,36.719866,36.666638,36.675546000000004,36.76707,36.728255,36.619645,36.542279,36.538702,36.533583
wpp_upper80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.238215999999994,19.948596999999996,20.658977999999998,21.369359,22.07974,22.806822,23.551192,24.313778,25.103551,25.899085,26.69334,27.507656,28.352826,29.227012,30.098698,30.969013999999998,31.857169000000003,32.750666,33.635231,34.519901,35.463199,36.447928999999995,37.439791,38.452397,39.489822,40.508582000000004,41.53601999999999,42.62267,43.762839,44.901584,45.97735,47.074717,48.261103000000006,49.467095,50.651451,51.847326,53.110568,54.407358,55.685682,57.010441,58.358591999999994,59.68083,60.974656,62.30009,63.660582000000005,65.061015,66.4546,67.80317699999999,69.212721,70.668962,72.172336,73.74769,75.329493,76.91383,78.529264,80.14785099999999,81.62202099999999,83.071027,84.554386,86.152606,88.119385,90.163058,92.15681699999999,94.135549,95.819715,97.441378,99.139771,100.718777,102.30142699999999,103.779814,105.367239,107.22878,109.097267,110.924493,112.749016,114.89890700000001,117.12357,119.163821,121.395628,123.63853
wpp_upper95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.111890999999993,19.872392999999995,20.632894999999998,21.393397,22.153899000000003,22.937182,23.746757000000002,24.573413000000002,25.42871,26.298102999999998,27.171919999999997,28.063469,28.999205000000003,30.008066,31.024917000000002,32.039963,33.062621,34.090214,35.131087,36.231345000000005,37.362992,38.467211000000006,39.635721,40.856097,42.107491,43.419322,44.732966,46.09514299999999,47.565239,49.064415999999994,50.581112999999995,52.079514,53.625874,55.172533,56.693453999999996,58.176558,59.709854,61.429336000000006,63.196360999999996,64.960204,66.745904,68.62896400000001,70.649652,72.77958,74.60544800000001,76.38490300000001,78.473149,80.716258,83.11560899999999,85.552465,87.860714,90.170259,92.822254,95.427049,97.682083,99.947277,102.262101,104.781761,107.357349,109.79769,112.50242999999999,115.319538,117.79731,120.480562,123.09839500000001,125.824172,129.200379,132.50292100000001,135.921674,139.14976800000002,142.53596900000002,145.895963,149.155942,152.545615,155.813349,159.433211,163.073595,166.79548499999999,170.466584,174.19090400000002
wup_urban_prop,0.115,0.121018,0.127036,0.133054,0.139072,0.14509,0.152362,0.159634,0.166906,0.174178,0.18145,0.191904,0.202358,0.212812,0.22326600000000002,0.23372,0.247678,0.261636,0.275594,0.28955200000000003,0.30351,0.312676,0.321842,0.33100799999999997,0.340174,0.34934,0.359102,0.36886399999999997,0.378626,0.388388,0.39815,0.39783,0.39751000000000003,0.39719,0.39687,0.39655,0.396054,0.395558,0.39506199999999997,0.394566,0.39407,0.389464,0.384858,0.380252,0.375646,0.37104,0.366436,0.361832,0.357228,0.352624,0.34802,0.352238,0.356456,0.360674,0.364892,0.36911,0.373998,0.378886,0.38377399999999995,0.38866199999999995,0.39354999999999996,0.39865399999999995,0.40375799999999995,0.40886199999999995,0.41396599999999995,0.41906999999999994,0.42451399999999995,0.42995799999999995,0.43540199999999996,0.44084599999999996,0.44628999999999996,0.452028,0.45776599999999995,0.46350399999999997,0.46924199999999994,0.47497999999999996,0.48094,0.4869,0.49285999999999996,0.49882,0.50478,0.51085,0.51692,0.52299,0.52906,0.53513,0.541148,0.5471659999999999,0.553184,0.559202,0.56522,0.571148,0.5770759999999999,0.583004,0.5889319999999999,0.5948599999999999,0.6006499999999999,0.60644,0.6122299999999999,0.61802,0.62381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wup_urban_pop,0.265701,0.289008,0.312315,0.335622,0.35892899999999994,0.38223599999999996,0.41628719999999997,0.45033839999999997,0.4843896,0.5184408,0.552492,0.6085636,0.6646352,0.7207068,0.7767784,0.83285,0.9196481999999999,1.0064464,1.0932446,1.1800427999999998,1.2668409999999999,1.3603592,1.4538773999999999,1.5473956,1.6409137999999999,1.734432,1.856508,1.9785840000000001,2.10066,2.2227360000000003,2.344812,2.4274714,2.5101308,2.5927902,2.6754496000000003,2.758109,2.839144,2.920179,3.001214,3.082249,3.163284,3.2086758,3.2540676,3.2994594,3.3448512,3.390243,3.44522,3.500197,3.555174,3.610151,3.665128,3.8218142000000004,3.9785004,4.1351866,4.2918728,4.448559,4.648980600000001,4.8494022,5.0498238,5.2502454,5.450667,5.7099808,5.9692946000000005,6.2286084,6.4879222,6.747236,7.065065,7.382893999999999,7.700723,8.018552,8.336381,8.720438399999999,9.104495799999999,9.4885532,9.8726106,10.256668,10.715038,11.173408,11.631777999999999,12.090148,12.548518,13.0828086,13.6170992,14.151389799999999,14.685680399999999,15.219971,15.830337,16.440703,17.051069,17.661435,18.271801,18.9618694,19.6519378,20.3420062,21.032074599999998,21.722143,22.4930704,23.2639978,24.0349252,24.805852599999998,25.57678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wup_rural_pop,2.044741,2.0862384,2.1277358,2.1692332000000003,2.2107306,2.252228,2.3002532,2.3482784,2.3963036,2.4443287999999996,2.4923539999999997,2.5399945999999995,2.5876352,2.6352757999999996,2.6829164,2.7305569999999997,2.765863,2.801169,2.836475,2.871781,2.907087,2.9717494,3.0364118,3.1010742,3.1657366,3.230399,3.2932028,3.3560066,3.4188104,3.4816142,3.5444180000000003,3.674955,3.805492,3.9360290000000004,4.066566,4.197103,4.3304762000000006,4.4638494,4.5972226,4.7305958,4.863969,5.040542,5.217115,5.393688,5.5702609999999995,5.746834,5.9706858,6.1945376,6.4183894,6.6422412,6.866093,7.0135938,7.1610946,7.3085954,7.4560962,7.603597,7.7627508,7.9219046,8.0810584,8.2402122,8.399366,8.590163,8.78096,8.971757,9.162554,9.353351,9.5512592,9.7491674,9.9470756,10.144983799999999,10.342891999999999,10.541744999999999,10.740597999999999,10.939451,11.138304,11.337157,11.5318972,11.7266374,11.9213776,12.1161178,12.310858,12.492972,12.675086,12.857199999999999,13.039314,13.221428,13.3881054,13.5547828,13.721460200000001,13.8881376,14.054815000000001,14.202754800000001,14.3506946,14.4986344,14.6465742,14.794514,14.920419599999999,15.0463252,15.1722308,15.2981364,15.424042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wup_rural_prop,0.885,0.878982,0.872964,0.866946,0.860928,0.8549100000000001,0.847638,0.840366,0.833094,0.8258220000000001,0.81855,0.808096,0.797642,0.787188,0.776734,0.76628,0.7523219999999999,0.738364,0.724406,0.710448,0.69649,0.687324,0.678158,0.668992,0.659826,0.65066,0.640898,0.631136,0.621374,0.611612,0.60185,0.60217,0.60249,0.6028100000000001,0.6031299999999999,0.60345,0.603946,0.6044419999999999,0.604938,0.605434,0.6059300000000001,0.610536,0.6151420000000001,0.619748,0.6243540000000001,0.62896,0.633564,0.6381680000000001,0.642772,0.647376,0.65198,0.647762,0.643544,0.6393260000000001,0.635108,0.63089,0.626002,0.6211139999999999,0.616226,0.611338,0.60645,0.601346,0.596242,0.591138,0.586034,0.5809300000000001,0.575486,0.570042,0.564598,0.559154,0.55371,0.547972,0.5422340000000001,0.5364960000000001,0.5307580000000001,0.52502,0.5190600000000001,0.5131,0.50714,0.50118,0.49522,0.48915,0.48307999999999995,0.47701000000000005,0.47094,0.46487,0.45885200000000004,0.45283400000000007,0.446816,0.440798,0.43478000000000006,0.428852,0.4229240000000001,0.41699600000000003,0.4110680000000001,0.40514000000000006,0.3993500000000001,0.39356,0.38777000000000006,0.38198,0.37619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
urban_pop_median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.256668,10.715038,11.173408,11.631777999999999,12.090148,12.548518,13.0828086,13.6170992,14.151389799999999,14.685680399999999,15.219971,15.830337,16.440703,17.051069,17.661435,18.271801,18.9618694,19.6519378,20.3420062,21.032074599999998,21.722143,22.4930704,23.2639978,24.0349252,24.805852599999998,25.57678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
