,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
wpp_median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.975665000000003,16.320537,16.665409,17.020321,17.375284999999998,17.731592,18.090446,18.451235,18.814066999999998,19.179393,19.547971,19.919582,20.293204000000003,20.668333999999998,21.044297,21.420364000000003,21.795709,22.169385,22.541721000000003,22.912367999999997,23.279975999999998,23.644449,24.006629,24.367005000000002,24.72391,25.075677,25.423417,25.766806,26.105252,26.438588,26.767174,27.091756,27.410975999999998,27.725551,28.035146,28.338431,28.636851,28.930746,29.218387,29.499215,29.774881,30.044786,30.307946,30.565549999999998,30.816544,31.061017,31.301429,31.536232,31.765469,31.990137999999998,32.209047,32.421533,32.627476,32.827926,33.021446000000005,33.207260999999995,33.385667,33.556723,33.720831,33.877434,34.026924,34.169078,34.303468,34.431906000000005,34.553812,34.668326,34.776289,34.877815000000005,34.974314,35.065411,35.149061,35.225252999999995,35.295032,35.358926,35.41687,35.469605,35.517790999999995,35.561278,35.599778,35.633415
wpp_lower95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.011067999999995,16.284941999999997,16.558816,16.841807,17.121564,17.393278,17.66143,17.927275,18.185544999999998,18.44648,18.712812999999997,18.982864000000003,19.233395,19.477702,19.733126,19.979463,20.217911,20.453508000000003,20.700271,20.950445,21.179745999999998,21.38866,21.585827000000002,21.790123,21.999167,22.200888,22.396711,22.60143,22.794874,22.9523,23.098826000000003,23.231324,23.365509999999997,23.488898000000002,23.592526999999997,23.686203000000003,23.782476,23.88721,23.989354,24.090113000000002,24.202308000000002,24.299328000000003,24.34043,24.351018,24.359296999999998,24.389502,24.441449000000002,24.504522,24.567277999999998,24.58455,24.557901,24.566535,24.558045999999997,24.527841,24.518628,24.502972000000003,24.499837,24.439598,24.344540000000002,24.261741999999998,24.188521,24.121653,24.048854,23.958776,23.838618999999998,23.750771,23.653026999999998,23.493318,23.362895,23.247121,23.077824,22.911631,22.737855,22.546379,22.36196,22.178925,22.02546,21.870844,21.665195,21.447088
wpp_lower80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.998149000000002,16.297487,16.596825,16.904493,17.20538,17.506156999999998,17.807899000000003,18.109232,18.415622,18.716792,19.01421,19.313131000000002,19.607749,19.908675,20.212249,20.507534,20.792898,21.076999,21.364912,21.649325,21.921483,22.186901000000002,22.461456,22.731108,22.991451,23.237208,23.464247,23.695438,23.933095,24.168654999999998,24.395462,24.59689,24.77844,24.958686,25.12602,25.273794000000002,25.409754,25.551136999999997,25.690032,25.811156999999998,25.949784,26.081436,26.183592,26.27822,26.346477999999998,26.41006,26.492195,26.590259,26.680979999999998,26.75218,26.820338,26.890712999999998,26.960015,27.003992999999998,27.018826,27.014264,27.041332999999998,27.050377,27.029734,27.028655,27.03061,27.03141,27.002744999999997,26.949614,26.912679,26.877782,26.818552,26.737431,26.663263,26.62789,26.587399,26.476821,26.333011,26.196017,26.058294999999998,25.960035,25.876687,25.754209,25.608375,25.489568
wpp_upper80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.951155999999997,16.344652,16.738148000000002,17.143959,17.553961,17.969288,18.391298,18.817972,19.250618,19.69167,20.141333,20.596569,21.046507000000002,21.497871,21.94164,22.389685,22.852059,23.317511,23.779495999999998,24.240268,24.711218000000002,25.184836,25.660601999999997,26.136233,26.606105,27.072170999999997,27.545985,28.010752,28.490676,28.996098000000003,29.477983000000002,29.935516,30.404401,30.902580999999998,31.394127,31.858374,32.320593,32.795785,33.251242,33.676566,34.118535,34.585739000000004,35.054659,35.527803,36.000538,36.476586000000005,36.976466,37.45935,37.92643,38.403382,38.883707,39.376292,39.842580000000005,40.27817700000001,40.696178999999994,41.10965,41.572991,42.053975,42.486486,42.911962,43.384192999999996,43.823738,44.238387,44.667241000000004,45.078846,45.50847,45.895351999999995,46.250918,46.68099,47.076803,47.3705,47.648176,47.96501,48.326852,48.67606,49.025056,49.386769,49.71139,50.014295,50.291622000000004
wpp_upper95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.937544999999997,16.357339,16.777133000000003,17.207667,17.645104,18.092433,18.548646,19.004199,19.465970000000002,19.949887999999998,20.432951,20.919204,21.423286,21.935773,22.442027999999997,22.95554,23.468545,23.960608,24.468506,24.998746999999998,25.542892,26.082513,26.631454,27.182191,27.725938,28.265445,28.762282,29.297022000000002,29.857912,30.397797999999998,30.950325,31.508871,32.074355,32.636398,33.181808,33.764908000000005,34.361717,34.950978000000006,35.569118,36.165618,36.750288999999995,37.355949,37.980518,38.605345,39.211682,39.823217,40.501071,41.156184,41.727614,42.28047,42.908296,43.569959000000004,44.232544000000004,44.962663,45.644681,46.251356,46.832764000000005,47.398282,47.999914,48.61056,49.180419,49.747021999999994,50.361133,51.004796,51.646208,52.293555,52.834158,53.385013,54.062862,54.701860999999994,55.266835,55.816026,56.464641,57.023517,57.592040999999995,58.413792,59.076654000000005,59.537006999999996,60.108974,60.714625
wup_urban_prop,0.10644,0.10833200000000001,0.110224,0.11211600000000001,0.114008,0.1159,0.117936,0.119972,0.122008,0.124044,0.12608,0.130104,0.134128,0.138152,0.142176,0.1462,0.15168399999999999,0.157168,0.162652,0.168136,0.17362,0.178642,0.183664,0.18868600000000002,0.19370800000000002,0.19873000000000002,0.20372600000000002,0.20872200000000002,0.213718,0.218714,0.22371,0.229796,0.235882,0.24196800000000002,0.24805400000000002,0.25414000000000003,0.261288,0.268436,0.275584,0.282732,0.28987999999999997,0.29536799999999996,0.30085599999999996,0.306344,0.311832,0.31732,0.321372,0.325424,0.32947600000000005,0.33352800000000005,0.33758000000000005,0.33828400000000003,0.338988,0.33969200000000005,0.34039600000000003,0.3411,0.339272,0.337444,0.33561599999999997,0.333788,0.33196,0.33033799999999996,0.32871599999999995,0.327094,0.325472,0.32384999999999997,0.32356399999999996,0.32327799999999995,0.322992,0.322706,0.32242,0.323642,0.324864,0.326086,0.327308,0.32853,0.3313,0.33407,0.33684000000000003,0.33961,0.34238,0.346756,0.351132,0.35550800000000005,0.35988400000000004,0.36426000000000003,0.37021400000000004,0.376168,0.382122,0.388076,0.39403,0.40051,0.40699,0.41347,0.41995000000000005,0.42643000000000003,0.43303800000000003,0.43964600000000004,0.44625400000000004,0.45286200000000004,0.45947000000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wup_urban_pop,0.292368,0.3081156,0.3238632,0.3396108,0.35535839999999996,0.371106,0.3913804,0.4116548,0.4319292,0.45220360000000004,0.472478,0.5069358,0.5413936,0.5758514,0.6103092000000001,0.6447670000000001,0.6955304000000001,0.7462938,0.7970572,0.8478205999999999,0.8985839999999999,0.9619333999999999,1.0252827999999998,1.0886322,1.1519816,1.215331,1.2928001999999998,1.3702694,1.4477385999999999,1.5252078,1.602677,1.7222605999999998,1.8418442,1.9614277999999998,2.0810114,2.200595,2.3508595999999997,2.5011242,2.6513888,2.8016534,2.951918,3.0799646,3.2080112,3.3360578,3.4641044,3.592151,3.6989186,3.8056862,3.9124537999999998,4.019221399999999,4.125989,4.1835644,4.2411398,4.298715199999999,4.3562905999999995,4.413866,4.466314,4.518762,4.57121,4.623658,4.676106,4.7627818,4.8494576,4.936133399999999,5.022809199999999,5.109484999999999,5.227679999999999,5.3458749999999995,5.4640699999999995,5.582265,5.70046,5.8463202,5.9921804,6.1380406,6.2839008,6.429761,6.6178646,6.8059682,6.9940718,7.1821754,7.370279,7.6123252,7.8543714,8.0964176,8.3384638,8.58051,8.8838798,9.187249600000001,9.4906194,9.7939892,10.097359,10.4384394,10.779519800000001,11.1206002,11.461680600000001,11.802761,12.167658,12.532555,12.897452,13.262349,13.627246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wup_rural_pop,2.454484,2.529769,2.605054,2.680339,2.755624,2.830909,2.9197054000000002,3.0085018000000003,3.0972982,3.1860946,3.274891,3.3730018000000004,3.4711126,3.5692234000000003,3.6673342,3.765445,3.8677628,3.9700805999999997,4.0723984,4.1747162,4.277034,4.401635,4.526236,4.650836999999999,4.775437999999999,4.900039,5.0323302,5.1646214,5.2969126,5.4292038,5.561495,5.7408484,5.9202018,6.099555199999999,6.278908599999999,6.4582619999999995,6.6128485999999995,6.7674351999999995,6.9220218,7.0766084,7.231195,7.330595,7.429995,7.529394999999999,7.628794999999999,7.7281949999999995,7.8018084,7.8754218,7.949035199999999,8.0226486,8.096262,8.1822428,8.268223599999999,8.3542044,8.4401852,8.526166,8.702975,8.879783999999999,9.056593,9.233401999999998,9.410210999999999,9.661762,9.913312999999999,10.164864,10.416414999999999,10.667966,10.9303738,11.1927816,11.455189399999998,11.717597199999998,11.980004999999998,12.212282599999998,12.4445602,12.6768378,12.909115400000001,13.141393,13.344430800000001,13.5474686,13.7505064,13.9535442,14.156582,14.3203688,14.4841556,14.6479424,14.811729199999998,14.975515999999999,15.0861372,15.196758399999998,15.307379599999999,15.418000799999998,15.528621999999999,15.598011399999999,15.6674008,15.736790199999998,15.806179599999998,15.875568999999999,15.906756,15.937943,15.96913,16.000317000000003,16.031504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wup_rural_prop,0.89356,0.891668,0.889776,0.887884,0.885992,0.8841,0.882064,0.880028,0.877992,0.875956,0.87392,0.869896,0.865872,0.861848,0.857824,0.8538,0.8483160000000001,0.842832,0.837348,0.8318639999999999,0.82638,0.821358,0.816336,0.811314,0.806292,0.8012699999999999,0.7962739999999999,0.7912779999999999,0.786282,0.781286,0.77629,0.770204,0.764118,0.758032,0.751946,0.74586,0.738712,0.731564,0.724416,0.717268,0.7101200000000001,0.704632,0.699144,0.693656,0.688168,0.68268,0.678628,0.6745760000000001,0.6705239999999999,0.666472,0.66242,0.661716,0.6610119999999999,0.6603079999999999,0.659604,0.6589,0.660728,0.6625559999999999,0.6643840000000001,0.666212,0.66804,0.669662,0.671284,0.672906,0.674528,0.67615,0.676436,0.676722,0.677008,0.6772940000000001,0.6775800000000001,0.676358,0.675136,0.673914,0.6726920000000001,0.67147,0.6687000000000001,0.66593,0.66316,0.66039,0.65762,0.6532439999999999,0.648868,0.644492,0.6401159999999999,0.63574,0.629786,0.6238319999999999,0.6178779999999999,0.611924,0.60597,0.5994900000000001,0.59301,0.58653,0.58005,0.5735699999999999,0.566962,0.560354,0.553746,0.5471379999999999,0.54053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
urban_pop_median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.429761,6.6178646,6.8059682,6.9940718,7.1821754,7.370279,7.6123252,7.8543714,8.0964176,8.3384638,8.58051,8.8838798,9.187249600000001,9.4906194,9.7939892,10.097359,10.4384394,10.779519800000001,11.1206002,11.461680600000001,11.802761,12.167658,12.532555,12.897452,13.262349,13.627246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
