ISO3,Country,Value,Year
AGO,Angola,19.170333333333332,2017-2019
BDI,Burundi,26.304666666666662,2017-2019
BEN,Benin,16.318,2017-2019
BFA,Burkina Faso,24.600666666666665,2017-2019
BWA,Botswana,35.708,2017-2019
CAF,Central African Republic,16.124333333333336,2017-2019
CIV,Côte d’Ivoire,17.622666666666667,2017-2019
CMR,Cameroon,18.615,2017-2019
COD,Democratic Republic of Congo,11.842999999999998,2017-2019
COG,Congo,21.513333333333332,2017-2019
COM,Comoros,19.38533333333333,2017-2019
CPV,Cabo Verde,27.674000000000003,2017-2019
ERI,Eritrea,33.368,2017-2019
ETH,Ethiopia,16.479666666666667,2017-2019
GAB,Gabon,17.55033333333333,2017-2019
GHA,Ghana,20.322666666666667,2017-2019
GIN,Guinea,16.023,2017-2019
GMB,Gambia,22.188333333333333,2017-2019
GNB,Guinea-Bissau,18.793666666666667,2017-2019
GNQ,Equatorial Guinea,18.640666666666668,2017-2019
KEN,Kenya,24.697333333333333,2017-2019
LBR,Liberia,33.351,2017-2019
LSO,Lesotho,51.97266666666667,2017-2019
MDG,Madagascar,14.885,2017-2019
MLI,Mali,22.125666666666664,2017-2019
MOZ,Mozambique,29.254,2017-2019
MRT,Mauritania,19.038,2017-2019
MUS,Mauritius,26.540333333333336,2017-2019
MWI,Malawi,19.895666666666667,2017-2019
NAM,Namibia,37.279333333333334,2017-2019
NER,Niger,20.743,2017-2019
NGA,Nigeria,12.433333333333332,2017-2019
RWA,Rwanda,26.556,2017-2019
SDN,Sudan,16.102999999999998,2017-2019
SEN,Senegal,25.077333333333332,2017-2019
SLE,Sierra Leone,13.971333333333334,2017-2019
SOM,Somalia,3.3046666666666664,2017-2019
SSD,South Sudan,64.04733333333333,2017-2019
STP,São Tomé and Príncipe,27.574333333333332,2017-2019
SWZ,Eswatini,34.55733333333333,2017-2019
SYC,Seychelles,33.00566666666666,2017-2019
TCD,Chad,10.477333333333334,2017-2019
TGO,Togo,17.211,2017-2019
TZA,Tanzania,16.970666666666666,2017-2019
UGA,Uganda,16.913,2017-2019
ZAF,South Africa,30.468666666666667,2017-2019
ZMB,Zambia,27.509,2017-2019
ZWE,Zimbabwe,20.834333333333333,2017-2019
