Year,ISO3,population
1950,ABW,42194.0
1951,ABW,43282.0
1952,ABW,44434.0
1953,ABW,45624.0
1954,ABW,46867.0
1955,ABW,48121.0
1956,ABW,49415.0
1957,ABW,50712.0
1958,ABW,52018.0
1959,ABW,53318.0
1960,ABW,54645.0
1961,ABW,55199.0
1962,ABW,55958.0
1963,ABW,56682.0
1964,ABW,57321.0
1965,ABW,57917.0
1966,ABW,58463.0
1967,ABW,58926.0
1968,ABW,59055.0
1969,ABW,59084.0
1970,ABW,59020.0
1971,ABW,58881.0
1972,ABW,58680.0
1973,ABW,59111.0
1974,ABW,59760.0
1975,ABW,60484.0
1976,ABW,61141.0
1977,ABW,61401.0
1978,ABW,61621.0
1979,ABW,61817.0
1980,ABW,61975.0
1981,ABW,62103.0
1982,ABW,62429.0
1983,ABW,62875.0
1984,ABW,63318.0
1985,ABW,63621.0
1986,ABW,63702.0
1987,ABW,63541.0
1988,ABW,63275.0
1989,ABW,63132.0
1990,ABW,63648.0
1991,ABW,65218.0
1992,ABW,67868.0
1993,ABW,69879.0
1994,ABW,72264.0
1995,ABW,74652.0
1996,ABW,77184.0
1997,ABW,79780.0
1998,ABW,82433.0
1999,ABW,85121.0
2000,ABW,87822.0
2001,ABW,89701.0
2002,ABW,90909.0
2003,ABW,91848.0
2004,ABW,92772.0
2005,ABW,93653.0
2006,ABW,94807.0
2007,ABW,95978.0
2008,ABW,97196.0
2009,ABW,98413.0
2010,ABW,99638.0
2011,ABW,100589.0
2012,ABW,101373.0
2013,ABW,102154.0
2014,ABW,102961.0
2015,ABW,103784.0
2016,ABW,104585.0
2017,ABW,105368.0
2018,ABW,106093.0
2019,ABW,106771.0
2020,ABW,107381.0
2021,ABW,107420.0
2022,ABW,107696.0
2023,ABW,107868.0
2024,ABW,108009.0
2025,ABW,108122.0
2026,ABW,108173.0
2027,ABW,108155.0
2028,ABW,108127.0
2029,ABW,108045.0
2030,ABW,107937.0
2031,ABW,107790.0
2032,ABW,107576.0
2033,ABW,107371.0
2034,ABW,107108.0
2035,ABW,106816.0
2036,ABW,106539.0
2037,ABW,106211.0
2038,ABW,105854.0
2039,ABW,105478.0
2040,ABW,105091.0
2041,ABW,104686.0
2042,ABW,104284.0
2043,ABW,103868.0
2044,ABW,103433.0
2045,ABW,102951.0
2046,ABW,102452.0
2047,ABW,101916.0
2048,ABW,101391.0
2049,ABW,100852.0
2050,ABW,100284.0
2051,ABW,99720.0
2052,ABW,99108.0
2053,ABW,98504.0
2054,ABW,97887.0
2055,ABW,97279.0
2056,ABW,96728.0
2057,ABW,96173.0
2058,ABW,95603.0
2059,ABW,95051.0
2060,ABW,94486.0
2061,ABW,93928.0
2062,ABW,93391.0
2063,ABW,92860.0
2064,ABW,92323.0
2065,ABW,91834.0
2066,ABW,91344.0
2067,ABW,90858.0
2068,ABW,90401.0
2069,ABW,89932.0
2070,ABW,89464.0
2071,ABW,89023.0
2072,ABW,88588.0
2073,ABW,88160.0
2074,ABW,87734.0
2075,ABW,87305.0
2076,ABW,86867.0
2077,ABW,86450.0
2078,ABW,86019.0
2079,ABW,85591.0
2080,ABW,85157.0
2081,ABW,84721.0
2082,ABW,84278.0
2083,ABW,83833.0
2084,ABW,83370.0
2085,ABW,82897.0
2086,ABW,82431.0
2087,ABW,81961.0
2088,ABW,81482.0
2089,ABW,80996.0
2090,ABW,80499.0
2091,ABW,80002.0
2092,ABW,79497.0
2093,ABW,78996.0
2094,ABW,78481.0
2095,ABW,77980.0
2096,ABW,77451.0
2097,ABW,76940.0
2098,ABW,76422.0
2099,ABW,75918.0
2100,ABW,75415.0
2101,ABW,74924.0
1950,AFE,102233459.0
1951,AFE,104403524.0
1952,AFE,106685608.0
1953,AFE,109062309.0
1954,AFE,111500809.0
1955,AFE,114064771.0
1956,AFE,116744374.0
1957,AFE,119545828.0
1958,AFE,122340980.0
1959,AFE,125184370.0
1960,AFE,128389131.0
1961,AFE,131765381.0
1962,AFE,135330447.0
1963,AFE,139024762.0
1964,AFE,142871090.0
1965,AFE,146939044.0
1966,AFE,151128761.0
1967,AFE,155434825.0
1968,AFE,159976125.0
1969,AFE,164685904.0
1970,AFE,169494689.0
1971,AFE,174479980.0
1972,AFE,179570028.0
1973,AFE,184687902.0
1974,AFE,190363830.0
1975,AFE,196009905.0
1976,AFE,201815134.0
1977,AFE,207781986.0
1978,AFE,213565876.0
1979,AFE,220571920.0
1980,AFE,227361153.0
1981,AFE,234206662.0
1982,AFE,241862885.0
1983,AFE,249769782.0
1984,AFE,257518910.0
1985,AFE,265404263.0
1986,AFE,273514777.0
1987,AFE,281758557.0
1988,AFE,290411872.0
1989,AFE,298632994.0
1990,AFE,307302594.0
1991,AFE,316264218.0
1992,AFE,324696002.0
1993,AFE,333545574.0
1994,AFE,343180785.0
1995,AFE,351776353.0
1996,AFE,361464770.0
1997,AFE,370893980.0
1998,AFE,380475177.0
1999,AFE,390609460.0
2000,AFE,400956878.0
2001,AFE,411420323.0
2002,AFE,422261252.0
2003,AFE,433442666.0
2004,AFE,444969865.0
2005,AFE,456955175.0
2006,AFE,469268833.0
2007,AFE,482014699.0
2008,AFE,495219365.0
2009,AFE,508994373.0
2010,AFE,523088267.0
2011,AFE,537603527.0
2012,AFE,551959332.0
2013,AFE,567349648.0
2014,AFE,583144153.0
2015,AFE,598882007.0
2016,AFE,615450945.0
2017,AFE,631374256.0
2018,AFE,648827931.0
2019,AFE,666857308.0
2020,AFE,685123698.0
2021,AFE,703846576.0
2022,AFE,722409321.0
2023,AFE,741271965.0
2024,AFE,759777014.0
2025,AFE,778853669.0
2026,AFE,798904070.0
2027,AFE,819122401.0
2028,AFE,839222370.0
2029,AFE,859469145.0
2030,AFE,879935568.0
2031,AFE,900558311.0
2032,AFE,921361247.0
2033,AFE,942219055.0
2034,AFE,963195374.0
2035,AFE,984372065.0
2036,AFE,1005705559.0
2037,AFE,1027063316.0
2038,AFE,1048509760.0
2039,AFE,1070021616.0
2040,AFE,1091618102.0
2041,AFE,1113347911.0
2042,AFE,1135112446.0
2043,AFE,1156936686.0
2044,AFE,1178884821.0
2045,AFE,1200851856.0
2046,AFE,1222810149.0
2047,AFE,1244828467.0
2048,AFE,1266944283.0
2049,AFE,1289005184.0
2050,AFE,1311073135.0
2051,AFE,1333075674.0
2052,AFE,1355187284.0
2053,AFE,1377202264.0
2054,AFE,1399119056.0
2055,AFE,1421063523.0
2056,AFE,1442941945.0
2057,AFE,1464746647.0
2058,AFE,1486389866.0
2059,AFE,1507935779.0
2060,AFE,1529534175.0
2061,AFE,1550936633.0
2062,AFE,1572289210.0
2063,AFE,1593319559.0
2064,AFE,1614169332.0
2065,AFE,1634856871.0
2066,AFE,1655395705.0
2067,AFE,1675670816.0
2068,AFE,1695843607.0
2069,AFE,1715707469.0
2070,AFE,1735409500.0
2071,AFE,1754935496.0
2072,AFE,1774217693.0
2073,AFE,1793291021.0
2074,AFE,1812084159.0
2075,AFE,1830711341.0
2076,AFE,1849011195.0
2077,AFE,1867026330.0
2078,AFE,1884934711.0
2079,AFE,1902522007.0
2080,AFE,1919702113.0
2081,AFE,1936619170.0
2082,AFE,1953185687.0
2083,AFE,1969633498.0
2084,AFE,1985747270.0
2085,AFE,2001546850.0
2086,AFE,2017126772.0
2087,AFE,2032464245.0
2088,AFE,2047352415.0
2089,AFE,2061849794.0
2090,AFE,2076127069.0
2091,AFE,2090053488.0
2092,AFE,2103565683.0
2093,AFE,2116752407.0
2094,AFE,2129621563.0
2095,AFE,2142158071.0
2096,AFE,2154360323.0
2097,AFE,2166307514.0
2098,AFE,2177853594.0
2099,AFE,2189126369.0
2100,AFE,2200032185.0
2101,AFE,2210697453.0
1950,AFG,7726586.0
1951,AFG,7825766.0
1952,AFG,7932912.0
1953,AFG,8042655.0
1954,AFG,8150741.0
1955,AFG,8265157.999999999
1956,AFG,8388801.0
1957,AFG,8519802.0
1958,AFG,8656868.0
1959,AFG,8789935.0
1960,AFG,8948604.0
1961,AFG,9121483.0
1962,AFG,9306683.0
1963,AFG,9502129.0
1964,AFG,9706845.0
1965,AFG,9921791.0
1966,AFG,10150226.0
1967,AFG,10382564.0
1968,AFG,10629354.0
1969,AFG,10884489.0
1970,AFG,11150329.0
1971,AFG,11429926.0
1972,AFG,11705409.0
1973,AFG,12001983.0
1974,AFG,12314016.0
1975,AFG,12624237.0
1976,AFG,12923671.0
1977,AFG,13196031.0
1978,AFG,13485482.0
1979,AFG,13737400.0
1980,AFG,13573734.0
1981,AFG,12764889.0
1982,AFG,11110273.0
1983,AFG,10872483.0
1984,AFG,10963481.0
1985,AFG,11416962.0
1986,AFG,11436742.0
1987,AFG,11403405.0
1988,AFG,11372232.0
1989,AFG,11674364.0
1990,AFG,12073812.0
1991,AFG,12017508.0
1992,AFG,12460250.0
1993,AFG,14097697.0
1994,AFG,15788647.0
1995,AFG,16712942.0
1996,AFG,17418729.0
1997,AFG,18107803.0
1998,AFG,18796380.0
1999,AFG,19523611.0
2000,AFG,20251958.0
2001,AFG,20008696.0
2002,AFG,20559918.0
2003,AFG,22196316.0
2004,AFG,23269782.0
2005,AFG,23851525.0
2006,AFG,24957609.0
2007,AFG,25890580.0
2008,AFG,25929124.0
2009,AFG,27036120.0
2010,AFG,27896081.0
2011,AFG,28672096.0
2012,AFG,30023320.0
2013,AFG,31096748.0
2014,AFG,32148660.0
2015,AFG,33436386.0
2016,AFG,34227141.0
2017,AFG,35174083.0
2018,AFG,36203786.0
2019,AFG,37282292.0
2020,AFG,38429950.0
2021,AFG,39708008.0
2022,AFG,40292816.0
2023,AFG,40864868.0
2024,AFG,42044654.0
2025,AFG,43250330.0
2026,AFG,44437893.0
2027,AFG,45656244.0
2028,AFG,46861567.0
2029,AFG,48079582.0
2030,AFG,49371851.0
2031,AFG,50706953.0
2032,AFG,52045049.0
2033,AFG,53370646.0
2034,AFG,54717862.0
2035,AFG,56001066.0
2036,AFG,57293399.0
2037,AFG,58613923.0
