ISO3_Code,Category,Year,Pop,Pop_rel
AFE,Cities,1950,6178095.0,0.05979660446457155
AFE,Rural,1950,66683929.0,0.6454210442792758
AFE,Towns,1950,30456468.0,0.29478235125615265
AFW,Cities,1950,5892110.0,0.07340804202230447
AFW,Rural,1950,38344294.0,0.47772012831864935
AFW,Towns,1950,36028780.0,0.4488718296590462
AGO,Cities,1950,818945.0,0.17991400894885157
AGO,Rural,1950,1866065.0,0.4099557786043491
AGO,Towns,1950,1866859.0,0.4101302124467993
BDI,Cities,1950,0.0,0.0
BDI,Rural,1950,1471447.0,0.6525443271611016
BDI,Towns,1950,783491.0,0.34745567283889844
BEN,Cities,1950,136137.0,0.060492535801314924
BEN,Rural,1950,977441.0,0.4343263380724789
BEN,Towns,1950,1136898.0,0.5051811261262061
BFA,Cities,1950,0.0,0.0
BFA,Rural,1950,3167685.0,0.7518563298926789
BFA,Towns,1950,1045467.0000000001,0.2481436701073211
BWA,Cities,1950,0.0,0.0
BWA,Rural,1950,221607.0,0.5356733655951926
BWA,Towns,1950,192091.0,0.46432663440480737
CAF,Cities,1950,86324.0,0.06002826037372675
CAF,Rural,1950,840283.0,0.584318691344426
CAF,Towns,1950,511449.0,0.3556530482818472
CIV,Cities,1950,118450.0,0.043306107824713544
CIV,Rural,1950,1806902.0,0.6606153891151588
CIV,Towns,1950,809828.0,0.2960785030601277
CMR,Cities,1950,312102.0,0.07207758556185054
CMR,Rural,1950,1776045.0,0.41016409843319435
CMR,Towns,1950,2241937.0,0.5177583160049551
COD,Cities,1950,1286094.0,0.10460908425263574
COD,Rural,1950,6654615.0,0.5412770615552623
COD,Towns,1950,4353577.0,0.35411385419210195
COG,Cities,1950,349808.0,0.4188003285196741
COG,Rural,1950,233651.0,0.2797337841300095
COG,Towns,1950,251803.0,0.30146588735031643
COM,Cities,1950,0.0,0.0
COM,Rural,1950,89273.0,0.5512788845113562
COM,Towns,1950,72665.0,0.4487211154886438
CPV,Cities,1950,0.0,0.0
CPV,Rural,1950,78529.0,0.42454533659148413
CPV,Towns,1950,106443.0,0.5754546634085159
ERI,Cities,1950,202730.0,0.24878937150402644
ERI,Rural,1950,410153.0,0.5033379721328415
ERI,Towns,1950,201983.0,0.2478726563631321
ETH,Cities,1950,424590.0,0.024028300866538885
ETH,Rural,1950,10766980.0,0.6093224872559572
ETH,Towns,1950,6478843.0,0.36664921187750393
GAB,Cities,1950,0.0,0.0
GAB,Rural,1950,144139.0,0.30483544186007167
GAB,Towns,1950,328703.0,0.6951645581399284
GHA,Cities,1950,445459.0,0.08767731934251113
GHA,Rural,1950,2798782.0,0.5508693351892587
GHA,Towns,1950,1836423.0,0.36145334546823016
GIN,Cities,1950,73395.0,0.024358011494180393
GIN,Rural,1950,1994249.0,0.6618426332074087
GIN,Towns,1950,945533.0,0.31379935529841096
GMB,Cities,1950,0.0,0.0
GMB,Rural,1950,211122.0,0.68828569193052
GMB,Towns,1950,95614.0,0.3117143080694799
GNB,Cities,1950,0.0,0.0
GNB,Rural,1950,309679.0,0.569653457241822
GNB,Towns,1950,233948.0,0.43034654275817796
GNQ,Cities,1950,0.0,0.0
GNQ,Rural,1950,95962.0,0.42355734854035537
GNQ,Towns,1950,130600.0,0.5764426514596446
KEN,Cities,1950,188466.0,0.03266770482619379
KEN,Rural,1950,4447269.0,0.7708662091554023
KEN,Towns,1950,1133449.0,0.19646608601840398
LBR,Cities,1950,0.0,0.0
LBR,Rural,1950,566140.0,0.6161048729897204
LBR,Towns,1950,352762.0,0.38389512701027967
LSO,Cities,1950,0.0,0.0
LSO,Rural,1950,501079.0,0.8645986289386094
LSO,Towns,1950,78472.0,0.13540137106139064
MDG,Cities,1950,105269.0,0.026609461804809515
MDG,Rural,1950,3450046.0,0.8720883380846769
MDG,Towns,1950,400759.0,0.10130220011051361
MLI,Cities,1950,117929.0,0.02510777828236473
MLI,Rural,1950,3336475.0,0.7103551674707057
MLI,Towns,1950,1242507.0,0.2645370542469295
MOZ,Cities,1950,188361.0,0.031870360265472124
MOZ,Rural,1950,3784002.0,0.6402466911158204
MOZ,Towns,1950,1937862.0,0.3278829486187074
MRT,Cities,1950,0.0,0.0
MRT,Rural,1950,531177.0,0.807609678964293
MRT,Towns,1950,126538.0,0.19239032103570697
MUS,Cities,1950,172682.0,0.3285688734640135
MUS,Rural,1950,110483.0,0.21022037529635168
MUS,Towns,1950,242393.0,0.46121075123963484
MWI,Cities,1950,0.0,0.0
MWI,Rural,1950,2735105.0,0.9270599600040674
MWI,Towns,1950,215195.0,0.07294003999593261
NAM,Cities,1950,0.0,0.0
NAM,Rural,1950,411343.0,0.7993591026660007
NAM,Towns,1950,103248.0,0.20064089733399923
NER,Cities,1950,0.0,0.0
NER,Rural,1950,1887689.0,0.7266462905293305
NER,Towns,1950,710121.0,0.2733537094706695
NGA,Cities,1950,3622913.0,0.09717329689850686
NGA,Rural,1950,13003795.0,0.3487860824541795
NGA,Towns,1950,20656302.0,0.5540406206473136
RWA,Cities,1950,0.0,0.0
RWA,Rural,1950,1264819.0,0.5863526704421129
RWA,Towns,1950,892277.0,0.4136473295578871
SDN,Cities,1950,282225.0,0.04559436980414413
SDN,Rural,1950,3425544.0,0.5534078126188932
SDN,Towns,1950,2482140.0,0.4009978175769628
SEN,Cities,1950,452062.0,0.1769067402789969
SEN,Rural,1950,1214802.0,0.4753920079644075
SEN,Towns,1950,888505.0,0.3477012517565956
SLE,Cities,1950,120696.0,0.0603593777427045
SLE,Rural,1950,1029661.0,0.514927563845785
SLE,Towns,1950,849266.0,0.4247130584115106
SOM,Cities,1950,209210.0,0.09453118928288055
SOM,Rural,1950,1105215.0,0.49938955290511367
SOM,Towns,1950,898707.0,0.40607925781200577
SSA,Cities,1950,12070205.0,0.06574770297115087
SSA,Rural,1950,105028223.0,0.5721000106785094
SSA,Towns,1950,66485248.0,0.3621522863503398
SSD,Cities,1950,71648.0,0.02873640898365729
SSD,Rural,1950,2150020.0,0.8623248945266141
SSD,Towns,1950,271615.0,0.1089386964897286
STP,Cities,1950,0.0,0.0
STP,Rural,1950,13024.0,0.21395012649078424
STP,Towns,1950,47850.0,0.7860498735092157
SWZ,Cities,1950,0.0,0.0
SWZ,Rural,1950,243398.0,0.8959820360383575
SWZ,Towns,1950,28257.0,0.10401796396164252
SYC,Cities,1950,0.0,0.0
SYC,Rural,1950,13256.0,0.34625430989447287
SYC,Towns,1950,25028.0,0.6537456901055271
TCD,Cities,1950,56835.0,0.022504864471892976
TCD,Rural,1950,1581575.0,0.626253734972009
TCD,Towns,1950,887044.0,0.35124140055609804
TGO,Cities,1950,0.0,0.0
