ISO3_Code,Category,Year,Pop,Pop_Rel
ABW,Rural,1950.0,17378.2712895784,0.40662340983617384
ABW,Urban,1950.0,25359.7287104216,0.5933765901638262
AFE,Rural,1950.0,91002189.52106664,0.880792863312983
AFE,Urban,1950.0,12316301.47893334,0.11920713668701707
AFG,Rural,1950.0,7326713.010884929,0.9421999979019164
AFG,Urban,1950.0,449462.989115067,0.057800002098083586
AFW,Rural,1950.0,72224630.1996372,0.8998251259202509
AFW,Urban,1950.0,8040554.800362773,0.10017487407974922
AGO,Rural,1950.0,4280577.6058636,0.9403999996185304
AGO,Urban,1950.0,271291.3941364,0.05960000038146968
AIA,Rural,1950.0,0.0,0.0
AIA,Urban,1950.0,5002.0,1.0
ALB,Rural,1950.0,992140.5316394559,0.7950793256882881
ALB,Urban,1950.0,255710.468360544,0.2049206743117119
AND,Rural,1950.0,3669.55204574585,0.6120000076293947
AND,Urban,1950.0,2326.44795425415,0.3879999923706054
ARE,Rural,1950.0,33902.96,0.455
ARE,Urban,1950.0,40609.04,0.545
ARG,Rural,1950.0,6007207.83669792,0.3529906645336697
ARG,Urban,1950.0,11010828.1633021,0.6470093354663304
ARM,Rural,1950.0,814644.5771733259,0.5890863566455341
ARM,Urban,1950.0,568250.4228266741,0.41091364335446584
ASM,Rural,1950.0,11819.2795581016,0.6206952819084957
ASM,Urban,1950.0,7222.72044189844,0.3793047180915043
ATG,Rural,1950.0,30446.2210601206,0.669972296895533
ATG,Urban,1950.0,14997.7789398794,0.330027703104467
AUS,Rural,1950.0,1976140.20603706,0.24167795347015134
AUS,Urban,1950.0,6200609.79396294,0.7583220465298486
AUT,Rural,1950.0,3527443.48361124,0.5085372897679995
AUT,Urban,1950.0,3409006.51638876,0.4914627102320005
AZE,Rural,1950.0,1760056.6980113199,0.5619643783569329
AZE,Urban,1950.0,1371915.3019886801,0.4380356216430671
BDI,Rural,1950.0,2228629.3732493,0.9883328824337079
BDI,Urban,1950.0,26308.626750699597,0.011667117566292112
BEL,Rural,1950.0,3196110.1442549597,0.3708885438559962
BEL,Urban,1950.0,5421330.85574504,0.6291114561440038
BEN,Rural,1950.0,2099835.84741317,0.9330629819705544
BEN,Urban,1950.0,150640.152586835,0.06693701802944561
BES,Rural,1950.0,2053.52525917366,0.29357044448515507
BES,Urban,1950.0,4941.47474082634,0.7064295555148449
BFA,Rural,1950.0,4032539.80619203,0.9571313368689353
BFA,Urban,1950.0,180612.193807972,0.0428686631310648
BGD,Rural,1950.0,39438028.006049305,0.9570744248493338
BGD,Urban,1950.0,1768827.99395068,0.0429255751506662
BGR,Rural,1950.0,5281849.93744068,0.7286807823181151
BGR,Urban,1950.0,1966660.0625593201,0.271319217681885
BHR,Rural,1950.0,42849.507654512796,0.3654137081134953
BHR,Urban,1950.0,74413.4923454872,0.6345862918865047
BHS,Rural,1950.0,40802.5768324189,0.4887297044140872
BHS,Urban,1950.0,42684.4231675811,0.5112702955859129
BIH,Rural,1950.0,2320160.0029601,0.8623815711955057
BIH,Urban,1950.0,370249.997039899,0.13761842880449415
BLM,Rural,1950.0,0.0,0.0
BLM,Urban,1950.0,2005.9999999999998,1.0
BLR,Rural,1950.0,5588164.04300636,0.784018287658691
BLR,Urban,1950.0,1539429.95699364,0.215981712341309
BLZ,Rural,1950.0,31158.342718786098,0.451092941073735
BLZ,Urban,1950.0,37914.6572812139,0.5489070589262649
BMU,Rural,1950.0,32912.6122658312,0.8844147972760571
BMU,Urban,1950.0,4301.38773416881,0.11558520272394283
BOL,Rural,1950.0,2009439.1883651998,0.6503104686050896
BOL,Urban,1950.0,1080529.8116348,0.34968953139491044
BRA,Rural,1950.0,33890174.9411655,0.6345458602905273
BRA,Urban,1950.0,19518376.0588345,0.36545413970947277
BRB,Rural,1950.0,126622.262741336,0.6032015641483821
BRB,Urban,1950.0,83294.7372586641,0.3967984358516178
BRN,Rural,1950.0,35697.0517263031,0.7390999984741211
BRN,Urban,1950.0,12600.9482736969,0.26090000152587894
BTN,Rural,1950.0,166438.526055996,0.9791538283818025
BTN,Urban,1950.0,3543.47394400445,0.020846171618197462
BWA,Rural,1950.0,402528.153802733,0.9729999995231627
BWA,Urban,1950.0,11169.8461972666,0.027000000476837233
CAF,Rural,1950.0,1208255.4979829,0.8402000045776367
CAF,Urban,1950.0,229801.502017097,0.15979999542236328
