ISO3_Code,Category,Year,Cities,Pop,Pop_rel,Cities_rel
AFE,100k-250k,1950.0,15.0,2455502.0,0.43255487611641963,0.3333333333333333
AFE,250k-500k,1950.0,2.0,757435.0,0.1334277889373498,0.044444444444444446
AFE,500k-1 million,1950.0,1.0,601097.0,0.1058876915469633,0.022222222222222223
AFE,50k-100k,1950.0,27.0,1862707.0,0.3281296433992673,0.6
AFG,100k-250k,1950.0,3.0,379612.0,0.4200572083012897,0.375
AFG,250k-500k,1950.0,1.0,263249.0,0.2912964817447979,0.125
AFG,50k-100k,1950.0,4.0,260853.99999999997,0.28864630995391244,0.5
AFW,100k-250k,1950.0,12.0,1621881.0,0.28779125476256723,0.23076923076923078
AFW,250k-500k,1950.0,3.0,924209.0,0.16399431756883365,0.057692307692307696
AFW,500k-1 million,1950.0,1.0,644124.0,0.11429522522471368,0.019230769230769232
AFW,50k-100k,1950.0,36.0,2445402.0,0.43391920244388543,0.6923076923076923
AGO,100k-250k,1950.0,1.0,102956.0,0.3241769314088516,0.25
AGO,50k-100k,1950.0,3.0,214636.0,0.6758230685911484,0.75
ALB,50k-100k,1950.0,1.0,59066.0,1.0,1.0
ARG,100k-250k,1950.0,4.0,732531.0,0.10573348581405348,0.26666666666666666
ARG,2.5-5 millions,1950.0,1.0,4588828.0,0.6623511909272528,0.06666666666666667
ARG,250k-500k,1950.0,3.0,1077276.0,0.1554939608887819,0.2
ARG,50k-100k,1950.0,7.0,529454.0,0.07642136236991182,0.4666666666666667
ARM,250k-500k,1950.0,1.0,346680.0,0.8132759057512035,0.5
ARM,50k-100k,1950.0,1.0,79596.0,0.18672409424879655,0.5
AUS,1-2.5 millions,1950.0,1.0,1230512.0,0.5274215829693996,0.3333333333333333
AUS,100k-250k,1950.0,1.0,209992.0,0.09000669075223172,0.3333333333333333
AUS,500k-1 million,1950.0,1.0,892567.0,0.3825717262783687,0.3333333333333333
AUT,1-2.5 millions,1950.0,1.0,1523745.0,0.7018337785012235,0.16666666666666666
AUT,100k-250k,1950.0,2.0,403045.0,0.18564168890203128,0.3333333333333333
AUT,50k-100k,1950.0,3.0,244301.0,0.11252453259674514,0.5
AZE,100k-250k,1950.0,1.0,116031.0,0.13861647542305555,0.5
AZE,500k-1 million,1950.0,1.0,721034.0,0.8613835245769444,0.5
BEL,100k-250k,1950.0,2.0,397227.0,0.18565436143587252,0.25
BEL,250k-500k,1950.0,2.0,714860.0,0.3341083985128096,0.25
BEL,500k-1 million,1950.0,1.0,815511.0,0.38115025904314115,0.125
BEL,50k-100k,1950.0,3.0,212007.0,0.09908698100817674,0.375
BEN,50k-100k,1950.0,2.0,136137.0,1.0,1.0
BGD,1-2.5 millions,1950.0,1.0,1210345.0,0.2212470830215126,0.023255813953488372
BGD,100k-250k,1950.0,9.0,1442523.0,0.263688457374915,0.20930232558139536
BGD,250k-500k,1950.0,1.0,480234.0,0.08778519485580813,0.023255813953488372
BGD,50k-100k,1950.0,32.0,2337456.0,0.4272792647477643,0.7441860465116279
BGR,100k-250k,1950.0,2.0,262649.0,0.1948190471669353,0.16666666666666666
BGR,250k-500k,1950.0,1.0,467546.0,0.34680073492269886,0.08333333333333333
BGR,50k-100k,1950.0,9.0,617974.0,0.4583802179103658,0.75
BIH,100k-250k,1950.0,1.0,184121.0,0.6773736645377756,0.5
BIH,50k-100k,1950.0,1.0,87695.0,0.32262633546222447,0.5
BLR,100k-250k,1950.0,5.0,619464.0,0.4238566836401655,0.4166666666666667
BLR,250k-500k,1950.0,1.0,382750.0,0.261889545903028,0.08333333333333333
BLR,50k-100k,1950.0,6.0,459280.0,0.3142537704568065,0.5
BOL,250k-500k,1950.0,1.0,368787.0,0.7304998395537614,0.3333333333333333
BOL,50k-100k,1950.0,2.0,136055.0,0.26950016044623865,0.6666666666666666
BRA,1-2.5 millions,1950.0,1.0,2288665.0,0.25421854620801254,0.047619047619047616
BRA,100k-250k,1950.0,6.0,1096340.0,0.12177839961274038,0.2857142857142857
BRA,2.5-5 millions,1950.0,1.0,3092756.0,0.34353473928954564,0.047619047619047616
BRA,250k-500k,1950.0,4.0,1301105.0,0.14452312661048083,0.19047619047619047
BRA,500k-1 million,1950.0,1.0,655428.0,0.07280312029240855,0.047619047619047616
BRA,50k-100k,1950.0,8.0,568452.0,0.06314206798681202,0.38095238095238093
BRB,50k-100k,1950.0,1.0,87643.0,1.0,1.0
CAF,50k-100k,1950.0,1.0,86324.0,1.0,1.0
CAN,100k-250k,1950.0,4.0,682278.0,0.27472924827337386,0.4444444444444444
CAN,500k-1 million,1950.0,2.0,1581925.0,0.6369853140140191,0.2222222222222222
CAN,50k-100k,1950.0,3.0,219253.0,0.08828543771260695,0.3333333333333333
CHE,100k-250k,1950.0,5.0,695363.0,0.9166386545759893,0.8333333333333334
CHE,50k-100k,1950.0,1.0,63238.0,0.08336134542401077,0.16666666666666666
CHL,1-2.5 millions,1950.0,1.0,1302034.0,0.6531727968158908,0.14285714285714285
CHL,100k-250k,1950.0,1.0,164202.0,0.08237287166292348,0.14285714285714285
