ISO3,year,indicator,value
AFE,1955,rural_growth_rate,1.8738968140742829
AFE,1955,urban_growth_rate,4.773625611253629
AFE,1960,rural_growth_rate,2.1450524032149865
AFE,1960,urban_growth_rate,4.136637564222911
AFE,1965,rural_growth_rate,2.4599714150298713
AFE,1965,urban_growth_rate,4.431907282439496
AFE,1970,rural_growth_rate,2.544898076597102
AFE,1970,urban_growth_rate,4.742215420308926
AFE,1975,rural_growth_rate,2.497525427535918
AFE,1975,urban_growth_rate,5.013060811325376
AFE,1980,rural_growth_rate,2.581045103000834
AFE,1980,urban_growth_rate,4.78077422525125
AFE,1985,rural_growth_rate,2.6476684755748936
AFE,1985,urban_growth_rate,4.961305727592591
AFE,1990,rural_growth_rate,2.2683739020960436
AFE,1990,urban_growth_rate,5.183685279918437
AFE,1995,rural_growth_rate,2.2405087988650596
AFE,1995,urban_growth_rate,4.099363061811978
AFE,2000,rural_growth_rate,2.2328870397347655
AFE,2000,urban_growth_rate,3.696755888980796
AFE,2005,rural_growth_rate,2.0570591610954203
AFE,2005,urban_growth_rate,4.107811329810751
AFE,2010,rural_growth_rate,2.133680524445225
AFE,2010,urban_growth_rate,4.093965872287919
AFE,2015,rural_growth_rate,2.1565156972878308
AFE,2015,urban_growth_rate,3.9134689776943343
AFE,2020,rural_growth_rate,2.0895525889098376
AFE,2020,urban_growth_rate,3.8869690474924834
AFE,2025,rural_growth_rate,1.8563497233127446
AFE,2025,rural_lower80_growth_rate,1.8563497233127446
AFE,2025,rural_lower95_growth_rate,1.8563497233127446
AFE,2025,rural_median_growth_rate,1.8563497233127446
AFE,2025,rural_upper80_growth_rate,1.8563497233127446
AFE,2025,rural_upper95_growth_rate,1.8563497233127446
AFE,2025,urban_growth_rate,3.797087154975576
AFE,2025,urban_lower80_growth_rate,3.797087154975576
AFE,2025,urban_lower95_growth_rate,3.797087154975576
AFE,2025,urban_median_growth_rate,3.797087154975576
AFE,2025,urban_upper80_growth_rate,3.797087154975576
AFE,2025,urban_upper95_growth_rate,3.797087154975576
AFE,2030,rural_growth_rate,1.6269972477142458
AFE,2030,rural_lower80_growth_rate,0.9272892543952915
AFE,2030,rural_lower95_growth_rate,0.5341394295323987
AFE,2030,rural_median_growth_rate,1.6269972477142458
AFE,2030,rural_upper80_growth_rate,2.299870056227582
AFE,2030,rural_upper95_growth_rate,2.6516921676060345
AFE,2030,urban_growth_rate,3.6948296368658706
AFE,2030,urban_lower80_growth_rate,2.985164792947659
AFE,2030,urban_lower95_growth_rate,2.5835515143311394
AFE,2030,urban_median_growth_rate,3.6948296368658706
AFE,2030,urban_upper80_growth_rate,4.368560278738665
AFE,2030,urban_upper95_growth_rate,4.725428824907585
