ISO3,indicator,year,value
AFE,rural_pop_lower80,2025,477.3897131771629
AFE,rural_pop_lower80,2030,499.9379457336529
AFE,rural_pop_lower80,2035,517.5154881512003
AFE,rural_pop_lower80,2040,529.631269253751
AFE,rural_pop_lower80,2045,536.3022128429926
AFE,rural_pop_lower80,2050,537.5454710350382
AFE,rural_pop_lower95,2025,473.981965768361
AFE,rural_pop_lower95,2030,486.77654224486224
AFE,rural_pop_lower95,2035,494.8797984434346
AFE,rural_pop_lower95,2040,498.306977715422
AFE,rural_pop_lower95,2045,497.00493038982336
AFE,rural_pop_lower95,2050,491.3499721472378
AFE,rural_pop_median,2025,483.5651048865696
AFE,rural_pop_median,2030,524.2041109373262
AFE,rural_pop_median,2035,560.3843123639696
AFE,rural_pop_median,2040,591.3828399054019
AFE,rural_pop_median,2045,616.875996208983
AFE,rural_pop_median,2050,636.6308174795879
AFE,rural_pop_upper80,2025,489.4555567264481
AFE,rural_pop_upper80,2030,548.3889228083248
AFE,rural_pop_upper80,2035,604.3725281801032
AFE,rural_pop_upper80,2040,656.9328781330364
AFE,rural_pop_upper80,2045,705.9698602129104
AFE,rural_pop_upper80,2050,752.410389218537
AFE,rural_pop_upper95,2025,492.58850056561374
AFE,rural_pop_upper95,2030,561.4548447030469
AFE,rural_pop_upper95,2035,628.6673923980917
AFE,rural_pop_upper95,2040,694.7874381901502
AFE,rural_pop_upper95,2045,759.0886426106493
AFE,rural_pop_upper95,2050,822.281734515409
AFE,urban_pop_lower80,2025,301.6039088077642
AFE,urban_pop_lower80,2030,349.38986833164216
AFE,urban_pop_lower80,2035,401.59182987020495
AFE,urban_pop_lower80,2040,457.6451716072256
AFE,urban_pop_lower80,2045,516.4331529106007
AFE,urban_pop_lower80,2050,577.0709110281992
AFE,urban_pop_lower95,2025,299.53376220716734
AFE,urban_pop_lower95,2030,340.27844084951016
AFE,urban_pop_lower95,2035,384.0747695963026
AFE,urban_pop_lower95,2040,430.7937450573113
AFE,urban_pop_lower95,2045,479.3560162454466
AFE,urban_pop_lower95,2050,528.3371599564113
AFE,urban_pop_median,2025,305.31376611343075
AFE,urban_pop_median,2030,366.0428250626736
AFE,urban_pop_median,2035,434.6545006360304
AFE,urban_pop_median,2040,511.1001670945979
AFE,urban_pop_median,2045,594.955008791017
AFE,urban_pop_median,2050,685.4435875204116
AFE,urban_pop_upper80,2025,308.8318892885606
AFE,urban_pop_upper80,2030,382.4464211371634
AFE,urban_pop_upper80,2035,468.2813397721085
AFE,urban_pop_upper80,2040,567.7355250342727
AFE,urban_pop_upper80,2045,681.741322063973
AFE,urban_pop_upper80,2050,811.929691672221
AFE,urban_pop_upper95,2025,310.693398456569
AFE,urban_pop_upper95,2030,391.3747132169259
AFE,urban_pop_upper95,2035,486.990556528524
AFE,urban_pop_upper95,2040,600.0841990817282
AFE,urban_pop_upper95,2045,732.3554288385574
AFE,urban_pop_upper95,2050,886.4718922882003
AFE,wpp_lower80,2025,778.99362
AFE,wpp_lower80,2030,849.3278159999999
AFE,wpp_lower80,2035,919.107318
AFE,wpp_lower80,2040,987.276439
AFE,wpp_lower80,2045,1052.735364
AFE,wpp_lower80,2050,1114.616383
AFE,wpp_lower95,2025,773.515726
AFE,wpp_lower95,2030,827.054985
AFE,wpp_lower95,2035,878.9545679999999
AFE,wpp_lower95,2040,929.1007209999998
AFE,wpp_lower95,2045,976.360945
AFE,wpp_lower95,2050,1019.687133
AFE,wpp_median,2025,788.878869
AFE,wpp_median,2030,890.2469379999999
AFE,wpp_median,2035,995.0388129999998
AFE,wpp_median,2040,1102.4830050000005
AFE,wpp_median,2045,1211.8310030000002
AFE,wpp_median,2050,1322.0744059999995
AFE,wpp_upper80,2025,798.287444
AFE,wpp_upper80,2030,930.835346
AFE,wpp_upper80,2035,1072.653868
AFE,wpp_upper80,2040,1224.6684009999997
AFE,wpp_upper80,2045,1387.7111799999998
AFE,wpp_upper80,2050,1564.3400820000002
AFE,wpp_upper95,2025,803.2818970000001
AFE,wpp_upper95,2030,952.8295599999998
AFE,wpp_upper95,2035,1115.657949
AFE,wpp_upper95,2040,1294.8716349999995
AFE,wpp_upper95,2045,1491.4440689999997
AFE,wpp_upper95,2050,1708.753628
AFE,wup_rural_pop,1950,91.0021895210666
AFE,wup_rural_pop,1955,99.85422279707812
AFE,wup_rural_pop,1960,111.03326574063902
AFE,wup_rural_pop,1965,125.37884520619542
AFE,wup_rural_pop,1970,142.1656104693382
AFE,wup_rural_pop,1975,160.8279241937349
AFE,wup_rural_pop,1980,182.68254507048135
AFE,wup_rural_pop,1985,208.18167572542168
AFE,wup_rural_pop,1990,232.8891484748978
AFE,wup_rural_pop,1995,260.174221279726
AFE,wup_rural_pop,2000,290.54766544060175
AFE,wup_rural_pop,2005,321.6863542323134
AFE,wup_rural_pop,2010,357.5012392785312
AFE,wup_rural_pop,2015,397.7479140232537
