Country Code,Country Name,Year,10 million or more,5 to 10 million,1 to 5 million,500 000 to 1 million,300 000 to 500 000,Fewer than 300 000
AGO,Angola,2020,0.0,8329.798,0.0,4703.676,736.509,8166.969999999999
AGO,Angola,2025,10027.897,0.0,1047.806,5404.0070000000005,370.189,9997.987999999998
AGO,Angola,2030,12128.764,0.0,4609.003000000001,3255.486,447.067,11996.812000000002
AGO,Angola,2035,14495.112,0.0,8672.893,1263.088,0.0,14260.356000000003
BDI,Burundi,2020,0.0,0.0,1012.996,0.0,0.0,623.59
BDI,Burundi,2025,0.0,0.0,1350.147,0.0,0.0,796.547
BDI,Burundi,2030,0.0,0.0,1760.099,0.0,0.0,1020.1430000000003
BDI,Burundi,2035,0.0,0.0,2262.634,0.0,0.0,1306.022
BEN,Benin,2020,0.0,0.0,1056.44,691.949,701.3309999999999,3419.5829999999996
BEN,Benin,2025,0.0,0.0,1375.217,757.989,1186.907,3755.974
BEN,Benin,2030,0.0,0.0,1665.979,1421.9479999999999,885.315,4487.655999999999
BEN,Benin,2035,0.0,0.0,3030.675,1209.321,468.655,5315.532999999999
BFA,Burkina Faso,2020,0.0,0.0,2780.331,972.124,0.0,2645.456
BFA,Burkina Faso,2025,0.0,0.0,4764.351,0.0,0.0,3348.7650000000003
BFA,Burkina Faso,2030,0.0,0.0,5992.102999999999,0.0,332.353,3838.6130000000003
BFA,Burkina Faso,2035,0.0,5481.352,1939.502,0.0,767.903,4370.054
BWA,Botswana,2020,0.0,0.0,0.0,0.0,0.0,1712.212
BWA,Botswana,2025,0.0,0.0,0.0,0.0,316.853,1620.1709999999998
BWA,Botswana,2030,0.0,0.0,0.0,0.0,353.515,1797.839
BWA,Botswana,2035,0.0,0.0,0.0,0.0,387.56,1965.473
CAF,Central African Republic,2020,0.0,0.0,0.0,889.231,0.0,1187.303
CAF,Central African Republic,2025,0.0,0.0,1016.148,0.0,352.16,1083.3649999999998
CAF,Central African Republic,2030,0.0,0.0,1200.276,0.0,420.99,1296.373
CAF,Central African Republic,2035,0.0,0.0,1422.35,0.0,499.114,1533.212
CIV,Côte d’Ivoire,2020,0.0,5202.762,0.0,571.876,300.563,7457.111
CIV,Côte d’Ivoire,2025,0.0,6056.877,0.0,635.556,681.097,8648.028999999999
CIV,Côte d’Ivoire,2030,0.0,7135.77,0.0,742.763,1126.285,9907.344
CIV,Côte d’Ivoire,2035,0.0,8392.719,0.0,873.326,1627.5929999999998,11337.054
CMR,Cameroon,2020,0.0,0.0,7655.638,533.257,1753.073,4999.555
CMR,Cameroon,2025,0.0,0.0,9200.672999999999,1888.223,1214.106,5436.674000000001
CMR,Cameroon,2030,0.0,10846.058,0.0,2821.4309999999996,1832.6309999999999,5356.989
CMR,Cameroon,2035,0.0,12638.003,0.0,3818.711,1951.4230000000002,5882.621000000003
COD,Democratic Republic of Congo,2020,14342.439,0.0,8801.237000000001,3897.8390000000004,2110.291,11696.641
COD,Democratic Republic of Congo,2025,17778.474,0.0,12137.466,5502.372,1186.891,14117.654999999999
COD,Democratic Republic of Congo,2030,21914.342,0.0,17121.012,5229.967,1606.886,16471.27300000001
COD,Democratic Republic of Congo,2035,26681.825,0.0,23004.894,4797.498,2733.045,18555.348000000005
COG,Congo,2020,0.0,0.0,3602.371,0.0,0.0,254.98199999999997
COG,Congo,2025,0.0,0.0,4237.108,0.0,0.0,287.14599999999973
COG,Congo,2030,0.0,0.0,4956.625,0.0,0.0,333.4889999999996
COG,Congo,2035,0.0,0.0,5767.676,0.0,0.0,387.97899999999936
COM,Comoros,2020,0.0,0.0,0.0,0.0,0.0,255.487
COM,Comoros,2025,0.0,0.0,0.0,0.0,0.0,296.345
COM,Comoros,2030,0.0,0.0,0.0,0.0,0.0,345.321
COM,Comoros,2035,0.0,0.0,0.0,0.0,0.0,401.157
CPV,Cabo Verde,2020,0.0,0.0,0.0,0.0,0.0,378.148
