ISO_A3,worldpop_year,worldpop_population_total,worldpop_built_surface_km2,worldpop_built_volume_m3,ftm_return_period,ftm_flood_type,worldpop_population_ftm_total,worldpop_population_ftm_share,worldpop_built_surface_ftm_km2,worldpop_built_surface_ftm_share,worldpop_built_volume_ftm_m3,worldpop_built_volume_ftm_share
AGO,2015,27655590,1031.5071,5262079000.0,10,FLUVIAL_PLUVIAL_DEFENDED,204657,0.0074002037201158,5.553820610046387,0.0053841807945959,19895680.0,0.0037809542750579
AGO,2015,27655590,1031.5071,5262079000.0,100,FLUVIAL_PLUVIAL_DEFENDED,1463023,0.0529015291302771,45.33135223388672,0.0439467194257681,246482112.0,0.0468412034718955
AGO,2020,32920418,1301.3281,6260647000.0,10,FLUVIAL_PLUVIAL_DEFENDED,237358,0.0072100542587278,6.972979068756104,0.0053583557711519,24588364.0,0.0039274478094061
AGO,2020,32920418,1301.3281,6260647000.0,100,FLUVIAL_PLUVIAL_DEFENDED,1716176,0.0521310513128964,53.23476028442383,0.0409080225515173,277853280.0,0.0443809216372558
AGO,2025,38458560,1404.3114,6545013000.0,10,FLUVIAL_PLUVIAL_DEFENDED,274357,0.0071338344441393,8.660491943359375,0.0061670737237679,29224252.0,0.0044651173179718
AGO,2025,38458560,1404.3114,6545013000.0,100,FLUVIAL_PLUVIAL_DEFENDED,1989200,0.0517232054450296,59.69989776611328,0.0425118657499978,297691008.0,0.0454836371937012
BDI,2015,10980263,309.3459,1174756000.0,10,FLUVIAL_PLUVIAL_DEFENDED,67260,0.0061255363373354,1.2787574529647827,0.0041337464304021,4211645.0,0.0035851233062218
BDI,2015,10980263,309.3459,1174756000.0,100,FLUVIAL_PLUVIAL_DEFENDED,339390,0.0309090957110954,8.621125221252441,0.0278688859461009,43318952.0,0.0368748516117349
BDI,2020,12441309,423.56915,1471824600.0,10,FLUVIAL_PLUVIAL_DEFENDED,74944,0.0060238034438337,1.8139846324920652,0.0042826174199975,5599391.0,0.0038043873215765
BDI,2020,12441309,423.56915,1471824600.0,100,FLUVIAL_PLUVIAL_DEFENDED,388253,0.0312067644972084,10.978599548339844,0.0259192612940193,49604788.0,0.0337029199348096
BDI,2025,14220671,517.35516,1711412700.0,10,FLUVIAL_PLUVIAL_DEFENDED,85989,0.0060467610846211,2.924675226211548,0.0056531285123473,8428565.0,0.0049249166041031
BDI,2025,14220671,517.35516,1711412700.0,100,FLUVIAL_PLUVIAL_DEFENDED,455422,0.0320253523901931,15.582011222839355,0.0301185961210648,61613388.0,0.0360014780210213
BEN,2015,11193712,670.8756,3331822300.0,10,FLUVIAL_PLUVIAL_DEFENDED,40686,0.0036347192066402,2.2675647735595703,0.0033800077668217,9136507.0,0.0027421951348608
BEN,2015,11193712,670.8756,3331822300.0,100,FLUVIAL_PLUVIAL_DEFENDED,357810,0.0319652676431196,20.20037078857422,0.0301104563601418,96078712.0,0.0288366852463528
BEN,2020,12898336,737.7873,3519612700.0,10,FLUVIAL_PLUVIAL_DEFENDED,45968,0.003563870564389,2.538658618927002,0.0034409085718892,9935284.0,0.0028228344780774
BEN,2020,12898336,737.7873,3519612700.0,100,FLUVIAL_PLUVIAL_DEFENDED,409204,0.0317253326320542,21.99330139160156,0.0298098132290395,101386264.0,0.0288060856260037
BEN,2025,14637550,813.329,3730704000.0,10,FLUVIAL_PLUVIAL_DEFENDED,51800,0.0035388435906282,3.2050321102142334,0.0039406343448076,11903339.0,0.0031906416076971
BEN,2025,14637550,813.329,3730704000.0,100,FLUVIAL_PLUVIAL_DEFENDED,463908,0.0316930087343851,26.07902717590332,0.0320645493194968,113985016.0,0.0305532199581666
BFA,2015,18502094,969.2919,3927574000.0,10,FLUVIAL_PLUVIAL_DEFENDED,106906,0.0057780486900563,3.3759138584136963,0.0034828661649721,10665629.0,0.0027155768310287
BFA,2015,18502094,969.2919,3927574000.0,100,FLUVIAL_PLUVIAL_DEFENDED,989868,0.0535003227202283,40.95441818237305,0.0422518948574505,144435696.0,0.0367747865251179
BFA,2020,21219332,1254.6143,4683966500.0,10,FLUVIAL_PLUVIAL_DEFENDED,118176,0.0055692610870125,4.198197364807129,0.0033462056872579,12814294.0,0.0027357783405342
BFA,2020,21219332,1254.6143,4683966500.0,100,FLUVIAL_PLUVIAL_DEFENDED,1115249,0.0525581578157125,51.03907775878906,0.0406810917706123,170911088.0,0.0364885379333066
