Disaster Type,ISO,Year,Total Deaths,Total Affected,Number of Events
Drought,AFE,1976,0,1700000,1
Epidemic,AFE,1976,395,561,2
Flood,AFE,1976,0,70000,1
Storm,AFE,1976,16,508876,1
Drought,AFW,1976,0,1420000,1
Epidemic,AFW,1976,1,7,1
Epidemic,BEN,1976,1,7,1
Epidemic,COD,1976,245,262,1
Flood,ETH,1976,0,70000,1
Storm,MDG,1976,16,508876,1
Drought,MRT,1976,0,1420000,1
Drought,RWA,1976,0,1700000,1
Epidemic,SDN,1976,150,299,1
Drought,SSA,1976,0,3120000,2
Epidemic,SSA,1976,396,568,3
Flood,SSA,1976,0,70000,1
Storm,SSA,1976,16,508876,1
Drought,AFE,1977,0,20000,1
Epidemic,AFE,1977,500,8721,3
Flood,AFE,1977,411,517000,5
Storm,AFE,1977,13,30051,2
Volcanic activity,AFE,1977,212,85000,3
Drought,AFW,1977,0,4157000,4
Epidemic,AFW,1977,0,6558,1
Flood,AFW,1977,0,900,1
Storm,AFW,1977,13,100,1
Drought,BFA,1977,0,442000,1
Flood,BFA,1977,0,900,1
Volcanic activity,COD,1977,147,60000,1
Volcanic activity,COM,1977,1,25000,1
Flood,ETH,1977,7,16000,1
Volcanic activity,ETH,1977,64,0,1
Drought,GHA,1977,0,0,1
Epidemic,GHA,1977,0,6558,1
Drought,GMB,1977,0,0,1
Flood,KEN,1977,100,20000,1
Storm,MDG,1977,10,30000,1
Flood,MOZ,1977,300,440000,1
Storm,MOZ,1977,3,51,1
Drought,SEN,1977,0,3715000,1
Epidemic,SOM,1977,0,2671,1
Flood,SOM,1977,0,40000,1
Drought,SSA,1977,0,4177000,5
Epidemic,SSA,1977,500,15279,4
Flood,SSA,1977,411,517900,6
Storm,SSA,1977,26,30151,3
Volcanic activity,SSA,1977,212,85000,3
Storm,TCD,1977,13,100,1
Drought,TZA,1977,0,20000,1
Epidemic,TZA,1977,0,50,1
Epidemic,TZA,1977,500,6000,1
Flood,ZAF,1977,4,1000,1
Drought,AFE,1978,0,500000,1
Epidemic,AFE,1978,71,3530,4
Flood,AFE,1978,120,340900,6
Storm,AFE,1978,74,123000,2
Drought,AFW,1978,0,27000,2
Epidemic,AFW,1978,205,298,2
Flood,AFW,1978,0,0,1
Storm,AFW,1978,100,0,1
Wildfire,AFW,1978,2,7200,1
Epidemic,BDI,1978,54,1530,1
Wildfire,BEN,1978,2,7200,1
Drought,COD,1978,0,500000,1
Epidemic,COD,1978,0,0,1
Flood,ETH,1978,9,1000,1
Epidemic,GMB,1978,200,0,1
Storm,MDG,1978,70,18000,1
Drought,MLI,1978,0,0,1
Flood,MOZ,1978,40,200000,1
Storm,MOZ,1978,4,105000,1
Drought,MRT,1978,0,27000,1
Storm,NGA,1978,100,0,1
Epidemic,RWA,1978,0,2000,1
Epidemic,RWA,1978,17,0,1
Flood,SDN,1978,34,100000,1
Epidemic,SEN,1978,5,298,1
Flood,SEN,1978,0,0,1
Drought,SSA,1978,0,527000,3
Epidemic,SSA,1978,276,3828,6
Flood,SSA,1978,120,340900,7
Storm,SSA,1978,174,123000,3
Wildfire,SSA,1978,2,7200,1
Flood,TZA,1978,0,9000,1
Flood,ZAF,1978,26,0,1
Flood,ZMB,1978,11,30900,1
Drought,AFE,1979,0,6540000,3
Flood,AFE,1979,0,110000,2
Storm,AFE,1979,5,105257,2
Drought,AFW,1979,0,950000,1
Epidemic,AFW,1979,271,1692,2
Epidemic,BFA,1979,241,1612,1
Drought,KEN,1979,0,40000,1
Epidemic,MLI,1979,30,80,1
Drought,MOZ,1979,0,6000000,1
Storm,MUS,1979,0,0,1
Storm,MUS,1979,5,105257,1
Flood,MWI,1979,0,20000,1
Drought,SEN,1979,0,950000,1
Drought,SSA,1979,0,7490000,4
Epidemic,SSA,1979,271,1692,2
Flood,SSA,1979,0,110000,2
Storm,SSA,1979,5,105257,2
Flood,TZA,1979,0,90000,1
Drought,UGA,1979,0,500000,1
Drought,AFE,1980,0,0,2
Epidemic,AFE,1980,179,25308,4
Drought,AFW,1980,0,8350000,5
Epidemic,AFW,1980,466,1887,1
Drought,BFA,1980,0,1250000,1
Epidemic,ETH,1980,157,25000,1
Drought,GMB,1980,0,500000,1
Epidemic,LBR,1980,466,1887,1
Drought,MLI,1980,0,1500000,1
Epidemic,MOZ,1980,10,200,1
Drought,MRT,1980,0,1600000,1
Epidemic,MUS,1980,0,108,1
Drought,NER,1980,0,3500000,1
Drought,SDN,1980,0,0,1
Drought,SOM,1980,0,0,1
Drought,SSA,1980,0,8350000,7
Epidemic,SSA,1980,645,27195,5
Epidemic,TZA,1980,12,0,1
Drought,AFE,1981,100000,5830000,3
Epidemic,AFE,1981,990,50000,1
Flood,AFE,1981,109,550185,4
Storm,AFE,1981,107,118000,1
Drought,AFW,1981,3000,1500000,2
Epidemic,AFW,1981,1503,14166,3
Flood,AFW,1981,0,5000,1
Storm,AFW,1981,0,1850,1
Drought,AGO,1981,0,80000,1
Epidemic,BFA,1981,441,3801,1
Epidemic,BFA,1981,650,6212,1
Storm,CAF,1981,0,1850,1
Epidemic,ETH,1981,990,50000,1
Flood,ETH,1981,0,20000,1
Drought,GIN,1981,0,0,1
Flood,GIN,1981,0,5000,1
Drought,MDG,1981,0,1000000,1
Storm,MDG,1981,107,118000,1
Epidemic,MLI,1981,412,4153,1
Drought,MOZ,1981,100000,4750000,1
Flood,MOZ,1981,0,500000,1
Flood,SOM,1981,5,30000,1
Drought,SSA,1981,103000,7330000,5
Epidemic,SSA,1981,2493,64166,4
Flood,SSA,1981,109,555185,5
Storm,SSA,1981,107,119850,2
Drought,TCD,1981,3000,1500000,1
Flood,ZAF,1981,104,185,1
Drought,AFE,1982,0,1037300,5
Epidemic,AFE,1982,54,153,2
Flood,AFE,1982,75,49000,3
Storm,AFE,1982,92,102500,3
Drought,AFW,1982,0,1200000,3
Epidemic,AFW,1982,5,12,1
Flood,AFW,1982,0,580000,1
Mass movement (dry),AFW,1982,46,200,1
Storm,AFW,1982,3,2222,1
Flood,BEN,1982,0,580000,1
Drought,BWA,1982,0,1037300,1
Drought,CPV,1982,0,0,1
Storm,CPV,1982,3,2222,1
Drought,GNB,1982,0,0,1
Flood,KEN,1982,75,3000,1
Mass movement (dry),LBR,1982,46,200,1
Storm,MDG,1982,92,70000,1
Epidemic,MRT,1982,5,12,1
Storm,MUS,1982,0,32000,1
Storm,MUS,1982,0,500,1
Flood,MWI,1982,0,6000,1
Drought,NAM,1982,0,0,1
Drought,SEN,1982,0,1200000,1
Drought,SSA,1982,0,2237300,8
Epidemic,SSA,1982,59,165,3
Flood,SSA,1982,75,629000,4
Mass movement (dry),SSA,1982,46,200,1
Storm,SSA,1982,95,104722,4
Flood,TZA,1982,0,40000,1
Epidemic,UGA,1982,3,153,1
Drought,ZAF,1982,0,0,1
Drought,ZMB,1982,0,0,1
Epidemic,ZMB,1982,51,0,1
Drought,ZWE,1982,0,0,1
Drought,AFE,1983,450500,16743000,6
Epidemic,AFE,1983,352,5679,2
Flood,AFE,1983,0,132000,2
Storm,AFE,1983,86,44163,4
Drought,AFW,1983,0,17600000,8
Earthquake,AFW,1983,443,41436,1
Epidemic,AFW,1983,237,386,1
Flood,AFW,1983,0,5000,1
Drought,BEN,1983,0,2100000,1
Epidemic,BFA,1983,237,386,1
Drought,CAF,1983,0,0,1
Drought,CIV,1983,0,0,1
Drought,COG,1983,0,0,1
Storm,COM,1983,33,30052,1
Drought,ETH,1983,300000,7750000,1
Drought,GHA,1983,0,12500000,1
Earthquake,GIN,1983,443,41436,1
Drought,LBR,1983,0,0,1
Drought,LSO,1983,0,500000,1
Storm,MDG,1983,42,13560,1
Epidemic,MOZ,1983,189,5679,1
Storm,MUS,1983,1,351,1
Drought,NGA,1983,0,3000000,1
Drought,SDN,1983,150000,8400000,1
Flood,SDN,1983,0,130000,1
Flood,SDN,1983,0,2000,1
Flood,SEN,1983,0,5000,1
Drought,SOM,1983,0,0,1
Drought,SSA,1983,450500,34343000,14
Earthquake,SSA,1983,443,41436,1
Epidemic,SSA,1983,589,6065,3
Flood,SSA,1983,0,137000,3
Storm,SSA,1983,86,44163,4
Drought,STP,1983,0,93000,1
Drought,SWZ,1983,500,0,1
Drought,TGO,1983,0,0,1
Epidemic,TZA,1983,163,0,1
Storm,ZAF,1983,10,200,1
Drought,AFE,1984,0,3220000,4
Storm,AFE,1984,294,1582715,5
Epidemic,AFW,1984,1125,7002,5
Flood,AFW,1984,0,4500,2
Storm,AFW,1984,89,5500,2
Volcanic activity,AFW,1984,37,0,1
Wildfire,AFW,1984,0,0,1
Wildfire,BEN,1984,0,0,1
Epidemic,BFA,1984,0,1000,1
Flood,BFA,1984,0,1500,1
Volcanic activity,CMR,1984,37,0,1
Drought,COD,1984,0,300000,1
Storm,CPV,1984,29,5500,1
Epidemic,GHA,1984,103,1500,1
Drought,KEN,1984,0,600000,1
Storm,MDG,1984,68,100215,1
Epidemic,MLI,1984,1022,4502,1
Storm,MOZ,1984,109,350000,1
Flood,MRT,1984,0,3000,1
Epidemic,NER,1984,0,0,1
Drought,RWA,1984,0,420000,1
Epidemic,SEN,1984,0,0,1
Storm,SLE,1984,60,0,1
Drought,SSA,1984,0,3220000,4
Epidemic,SSA,1984,1125,7002,5
Flood,SSA,1984,0,4500,2
Storm,SSA,1984,383,1588215,7
Volcanic activity,SSA,1984,37,0,1
Wildfire,SSA,1984,0,0,1
Storm,SWZ,1984,53,632500,1
Drought,TZA,1984,0,1900000,1
Storm,ZAF,1984,64,500000,1
Storm,ZAF,1984,0,0,1
Drought,AFE,1985,0,500000,1
Epidemic,AFE,1985,2373,9748,3
Flood,AFE,1985,17,608000,4
Storm,AFE,1985,2,35000,2
Epidemic,AFW,1985,652,6100,2
Flood,AFW,1985,61,491972,6
Wildfire,AFW,1985,4,1500,1
Drought,AGO,1985,0,500000,1
Flood,BEN,1985,61,475000,1
Flood,BFA,1985,0,572,1
Storm,COM,1985,2,35000,1
Epidemic,ETH,1985,1101,4815,1
Flood,ETH,1985,9,8000,1
Flood,ETH,1985,0,20000,1
Wildfire,GHA,1985,4,1500,1
Flood,LSO,1985,0,80000,1
Flood,MOZ,1985,8,500000,1
Storm,MOZ,1985,0,0,1
Flood,MRT,1985,0,6900,1
Flood,NGA,1985,0,6000,1
Epidemic,SEN,1985,300,3100,1
Flood,SEN,1985,0,3000,1
Epidemic,SLE,1985,352,3000,1
Epidemic,SOM,1985,1262,4815,1
Drought,SSA,1985,0,500000,1
Epidemic,SSA,1985,3025,15848,5
Flood,SSA,1985,78,1099972,10
Storm,SSA,1985,2,35000,2
Wildfire,SSA,1985,4,1500,1
Flood,TCD,1985,0,500,1
Epidemic,TZA,1985,10,118,1
Drought,AFE,1986,0,850000,1
Epidemic,AFE,1986,1484,7433,3
