unique_id,ISO3,Agglomeration_Name,worldpop_built_km2_2015,worldpop_built_km2_2020,worldpop_built_km2_2025,africapolis_pop_2015,africapolis_pop_2020,africapolis_pop_2025,worldpop_built_cagr_2015_2020,worldpop_built_cagr_2020_2025,africapolis_pop_cagr_2015_2020,africapolis_pop_cagr_2020_2025,buppercapita_2015,size_category_2015,buppercapita_2020,size_category_2020,buppercapita_2025,size_category_2025
AGO_1095,AGO,Alto Dondo,0.767808,0.815808,0.81785,27309,31500,37001,0.012201707031957776,0.000500107520904125,0.02896582611524412,0.032715229338849294,28.11556629682522,Fewer than 300 000,25.898666666666667,Fewer than 300 000,22.10345666333342,Fewer than 300 000
AGO_1096,AGO,Alto Hama,0.718672,0.732871,0.735656,18450,22000,25842,0.003920592057920613,0.0007588719678117695,0.0358223129951174,0.032715483070252516,38.95241192411924,Fewer than 300 000,33.312318181818185,Fewer than 300 000,28.46745607925083,Fewer than 300 000
AGO_1208,AGO,Cambulo,1.828254,2.100225,2.106398,85489,99000,116290,0.0281248548160149,0.0005871518792415209,0.029781277230144232,0.03271725918309354,21.385839113804117,Fewer than 300 000,21.21439393939394,Fewer than 300 000,18.113320147906098,Fewer than 300 000
AGO_1209,AGO,Andulo,3.297696,3.55041,3.561799,14520,88000,103369,0.014877392258473066,0.0006407380903155069,0.43384831783765687,0.03271748119633955,227.11404958677687,Fewer than 300 000,40.34556818181818,Fewer than 300 000,34.45712931343053,Fewer than 300 000
AGO_1497,AGO,Baia Farta,1.152915,1.590357,1.602492,62241,49000,57558,0.0664474669637094,0.0015214358648039106,-0.04671248834943431,0.03271841908692519,18.52340097363474,Fewer than 300 000,32.456265306122454,Fewer than 300 000,27.84134264567914,Fewer than 300 000
AGO_1501,AGO,Bailundo,3.33792,3.799027,3.820452,72243,86000,101020,0.026217204424073604,0.0011253845529644035,0.03547718828989099,0.0327180852779263,46.204061293135666,Fewer than 300 000,44.17473255813954,Fewer than 300 000,37.81876856068106,Fewer than 300 000
AGO_1541,AGO,Balombo,1.381327,1.411101,1.414751,37270,42000,49335,0.0042742324683808786,0.0005167921171740364,0.02418398257145027,0.03271662485848159,37.0627045881406,Fewer than 300 000,33.59764285714285,Fewer than 300 000,28.676416337285904,Fewer than 300 000
AGO_1809,AGO,Benguela,13.947756,19.680924,19.813892,569002,649000,775227,0.07129290484572759,0.0013476004191304014,0.026658910446660355,0.03618389674703626,24.512666036323246,500 000 to 1 million,30.32499845916795,500 000 to 1 million,25.55882599548261,500 000 to 1 million
AGO_1867,AGO,Bibala,0.593032,0.647386,0.650602,11061,18000,21143,0.017693580323035807,0.0009915656410914853,0.10228937829727847,0.03271104273469283,53.61468221679775,Fewer than 300 000,35.96588888888889,Fewer than 300 000,30.771508300619594,Fewer than 300 000
AGO_1980,AGO,Bocoio,1.276884,1.294723,1.299242,36431,41000,48160,0.002778660868626881,0.0006970918218771605,0.023911811402443695,0.032715093190188504,35.049381021657375,Fewer than 300 000,31.578609756097563,Fewer than 300 000,26.977616279069768,Fewer than 300 000
AGO_2173,AGO,Bucau Zau,0.45923,0.497832,0.509932,13547,15600,18324,0.016273290162165832,0.004814495173395494,0.028623148258226427,0.03271179418146364,33.89901823281908,Fewer than 300 000,31.91230769230769,Fewer than 300 000,27.828640034926874,Fewer than 300 000
AGO_2311,AGO,Caala,3.999432,4.898399,4.919738,123000,147000,172674,0.04138464097600991,0.0008697500174701389,0.03629271387620148,0.03271841908692519,32.51570731707317,Fewer than 300 000,33.32244217687075,Fewer than 300 000,28.49148105678909,Fewer than 300 000
AGO_2312,AGO,Cabinda,19.616256,21.401536,21.456524,569186,656000,780087,0.01757344442493247,0.0005133423473482335,0.02879756101621478,0.035256200288886985,34.463700793765135,500 000 to 1 million,32.62429268292683,500 000 to 1 million,27.505296204141334,500 000 to 1 million
AGO_2314,AGO,Cacolo,0.395475,0.830066,0.834285,13835,16000,18794,0.1598416977204622,0.0010144852225026924,0.02950429746571759,0.032713484928701186,28.585110227683415,Fewer than 300 000,51.879124999999995,Fewer than 300 000,44.39102905182506,Fewer than 300 000
AGO_2315,AGO,Caconda,1.921912,2.057749,2.063853,16253,19000,22318,0.013752131068042628,0.0005925669484554419,0.031725140034114085,0.03271464174937888,118.24967698271088,Fewer than 300 000,108.3025789473684,Fewer than 300 000,92.47481853212653,Fewer than 300 000
AGO_2316,AGO,Cacuso,1.323901,1.402803,1.403182,34000,41000,48160,0.011645223068972976,5.402883346516951e-05,0.03815210271659408,0.032715093190188504,38.938264705882354,Fewer than 300 000,34.21470731707317,Fewer than 300 000,29.13583887043189,Fewer than 300 000
AGO_2317,AGO,Cuango,2.52081,2.589233,2.593565,150536,125000,146832,0.005370653411205684,0.0003343927556769266,-0.03649509872112555,0.03271893582240426,16.745562523250253,Fewer than 300 000,20.713864,Fewer than 300 000,17.66348616105481,Fewer than 300 000
AGO_2318,AGO,Cahama,0.571238,0.608148,0.611761,13086,15400,18089,0.01260120199845427,0.0011853840060840337,0.03310095016435155,0.032710915866840606,43.652605838300474,Fewer than 300 000,39.49012987012987,Fewer than 300 000,33.81950356570291,Fewer than 300 000
AGO_2319,AGO,Caimbambo,1.009499,1.054774,1.057995,14908,26000,30541,0.008813080073997392,0.0006100022870532129,0.11766279112500277,0.032718557103981194,67.71525355513818,Fewer than 300 000,40.56823076923077,Fewer than 300 000,34.64179299957434,Fewer than 300 000
AGO_2324,AGO,Calenga,0.693307,0.706038,0.707406,14445,17000,19969,0.003645861617666668,0.00038721456666324094,0.03310930946549395,0.032717363659938936,47.996330910349606,Fewer than 300 000,41.53164705882353,Fewer than 300 000,35.425209074064796,Fewer than 300 000
AGO_2325,AGO,Calulo,1.360016,1.447994,1.451238,45896,53000,62256,0.012615448982507882,0.0004476671637292373,0.02920101667005226,0.032716387883981346,29.63256057172738,Fewer than 300 000,27.320641509433962,Fewer than 300 000,23.310813415574405,Fewer than 300 000
AGO_2326,AGO,Ambaca,0.740746,1.291954,1.295779,22311,25000,29366,0.11767502671205454,0.0005914263609081427,0.02302016549935071,0.03271612247228295,33.20093227555914,Fewer than 300 000,51.67816,Fewer than 300 000,44.1251447251924,Fewer than 300 000
AGO_2327,AGO,Camacupa,2.528918,2.797134,2.804703,11316,85000,99845,0.020365356342572305,0.0005406119720416935,0.49673597519921264,0.032717363659938936,223.48161894662425,Fewer than 300 000,32.90745882352941,Fewer than 300 000,28.090570384095347,Fewer than 300 000
AGO_2328,AGO,Camanongue,0.59152,0.798608,0.79998,13253,15500,18207,0.06187365135610756,0.0003433619843953295,0.031818950808095714,0.03271703000792958,44.63291330264846,Fewer than 300 000,51.52309677419355,Fewer than 300 000,43.93804580655792,Fewer than 300 000
AGO_2331,AGO,Cangandala,0.32854,0.515293,0.521547,16638,19000,22318,0.0941911504900057,0.00241565783073705,0.026905538537277174,0.03271464174937888,19.746363745642505,Fewer than 300 000,27.120684210526314,Fewer than 300 000,23.368895062281567,Fewer than 300 000
AGO_2343,AGO,Katchiungo,1.236355,1.425654,1.440121,27648,33000,38763,0.02890242186504932,0.0020213365581100984,0.03602454305992664,0.032715483070252516,44.71770109953704,Fewer than 300 000,43.20163636363636,Fewer than 300 000,37.15194902355339,Fewer than 300 000
AGO_2344,AGO,Gama (south),0.975522,1.778628,1.793558,51581,20000,23493,0.12763776303744034,0.0016732134402539511,-0.17261422938644144,0.032717880819701284,18.912428995172643,Fewer than 300 000,88.93140000000001,Fewer than 300 000,76.34435789384072,Fewer than 300 000
AGO_2345,AGO,Caxito,1.505533,1.570061,1.578711,54983,55000,64606,0.008428820912028678,0.0010994477862691365,6.182964888035158e-05,0.03271868006456913,27.38179073531819,Fewer than 300 000,28.546563636363636,Fewer than 300 000,24.43598117821874,Fewer than 300 000
AGO_2346,AGO,Cazombo,1.870223,3.214105,3.222809,35635,41000,48160,0.1143800621897495,0.0005410269357859487,0.028445823172785545,0.032715093190188504,52.48275571769328,Fewer than 300 000,78.39280487804878,Fewer than 300 000,66.91879152823921,Fewer than 300 000
AGO_2348,AGO,Cela,3.97372,4.193683,4.210349,100437,116000,136260,0.010833595330238754,0.0007935540306129862,0.029230983238453634,0.03271879030504632,39.5643039915569,Fewer than 300 000,36.152439655172415,Fewer than 300 000,30.89937619257302,Fewer than 300 000
AGO_2413,AGO,Chibia,1.051965,1.131417,1.141684,12527,14700,17267,0.01466874247167782,0.0018083402721080777,0.032509488647849416,0.03271363445003295,83.9758122455496,Fewer than 300 000,76.96714285714285,Fewer than 300 000,66.11941854404355,Fewer than 300 000
AGO_2436,AGO,Chipindo,0.617136,0.952618,0.953627,12350,14500,17032,0.0907056941384301,0.0002117475806364677,0.03261923112228593,0.03271272700889494,49.97052631578948,Fewer than 300 000,65.69779310344828,Fewer than 300 000,55.990312353217476,Fewer than 300 000
AGO_2457,AGO,Chongoroi,0.936588,1.042903,1.050791,12696,14000,16445,0.02173687019599635,0.0015081447390699054,0.019746502327436133,0.03271662485848159,73.77032136105859,Fewer than 300 000,74.49307142857143,Fewer than 300 000,63.8972940103375,Fewer than 300 000
AGO_2501,AGO,Conda,0.650263,0.666471,0.670064,21792,25000,29366,0.004936088815975959,0.0010758988476975428,0.027847262829509667,0.03271612247228295,29.839528267254043,Fewer than 300 000,26.65884,Fewer than 300 000,22.817680310563237,Fewer than 300 000
AGO_2512,AGO,Cuango Luzamba,0.751091,0.837629,0.839502,14350,41000,48160,0.022049262933565572,0.00044681523152645397,0.2336341725167208,0.032715093190188504,52.3408362369338,Fewer than 300 000,20.429975609756095,Fewer than 300 000,17.431519933554817,Fewer than 300 000
AGO_2513,AGO,Cubal,2.805377,2.889727,2.900446,92626,104000,122164,0.005942406702309944,0.0007407710907587628,0.023434577671402224,0.032718557103981194,30.28714399844536,Fewer than 300 000,27.785836538461542,Fewer than 300 000,23.742231754035558,Fewer than 300 000
AGO_2514,AGO,Cuchi,0.475146,0.505124,0.50676,16553,19300,22670,0.012311534282395842,0.0006469241742725895,0.031183888330921006,0.032711093350347165,28.704524859542076,Fewer than 300 000,26.172227979274613,Fewer than 300 000,22.35377150419056,Fewer than 300 000
AGO_2515,AGO,Kuimba,0.542802,1.253971,1.259024,42925,50600,59437,0.18230414111744375,0.000804623872694421,0.033446604322715734,0.0327168730726457,12.64535818287711,Fewer than 300 000,24.78203557312253,Fewer than 300 000,21.18249575180443,Fewer than 300 000
AGO_2568,AGO,Damba,0.724993,0.823881,0.828521,15538,15100,17737,0.025902610264550097,0.0011238473543895289,-0.005702457454515475,0.03271537720883644,46.65935126785944,Fewer than 300 000,54.56165562913907,Fewer than 300 000,46.71145063990528,Fewer than 300 000
AGO_2839,AGO,Dombe Grande,0.758793,0.785902,0.792734,74575,31000,36414,0.007045320272101918,0.001732624779841041,-0.1610159850363425,0.03271703000792958,10.174897753938987,Fewer than 300 000,25.35167741935484,Fewer than 300 000,21.77003350359752,Fewer than 300 000
AGO_2846,AGO,Dondo,1.169867,1.204735,1.210709,38950,36000,42287,0.005891196968972334,0.0009897920561841023,-0.0156285533943894,0.032715927099608244,30.035096277278562,Fewer than 300 000,33.46486111111111,Fewer than 300 000,28.63076122685459,Fewer than 300 000
AGO_2908,AGO,Dundo,5.226798,7.470817,7.493462,182044,211000,250912,0.07405488925901671,0.0006054918457649716,0.029962036170386952,0.0352560933658328,28.71172903254158,Fewer than 300 000,35.40671563981042,Fewer than 300 000,29.864900841729373,Fewer than 300 000
AGO_2954,AGO,Ecunha,0.597727,0.662749,0.662845,14347,14000,16445,0.020867179075584774,2.896856523260105e-05,-0.004884736978624016,0.03271662485848159,41.66215933644665,Fewer than 300 000,47.33921428571429,Fewer than 300 000,40.30678017634539,Fewer than 300 000
AGO_3306,AGO,Gabela,2.381339,2.522068,2.544206,109675,127000,149181,0.01154943872712999,0.0017494118656431468,0.02976758163532911,0.03271850385331487,21.712687485753364,Fewer than 300 000,19.8588031496063,Fewer than 300 000,17.054490853392856,Fewer than 300 000
