ISO3,unique_id,Agglomeration_Name,Surface km2,africapolis_geometry_year,worldpop_year,worldpop_population_total,worldpop_built_surface_km2,worldpop_built_volume_m3
AGO,AGO_1095,Alto Dondo,3.0,2015,2015,17354.0,0.740877,4731082.0
AGO,AGO_1096,Alto Hama,4.0,2015,2015,13947.0,0.702074,3501157.0
AGO,AGO_1208,Cambulo,5.0,2015,2015,53424.0,1.588449,11130502.0
AGO,AGO_1209,Andulo,11.0,2015,2015,35132.0,3.19905,21664664.0
AGO,AGO_1497,Baia Farta,6.0,2015,2015,41928.0,1.101886,5490794.0
AGO,AGO_1501,Bailundo,17.0,2015,2015,39918.0,3.27817,16926704.0
AGO,AGO_1541,Balombo,5.0,2015,2015,27836.0,1.366309,8548161.0
AGO,AGO_1809,Benguela,103.0,2015,2015,516195.0,13.47657,86423128.0
AGO,AGO_1867,Bibala,5.0,2015,2015,6014.0,0.572625,2340057.0
AGO,AGO_1980,Bocoio,4.0,2015,2015,15232.0,1.199119,6908300.0
AGO,AGO_2173,Bucau Zau,2.0,2015,2015,9952.0,0.421105,1807061.0
AGO,AGO_2311,Caala,15.0,2015,2015,81844.0,3.749053,20375354.0
AGO,AGO_2312,Cabinda,79.0,2015,2015,550864.0,19.280198,164086592.0
AGO,AGO_2314,Cacolo,3.0,2015,2015,14055.0,0.395368,2454901.0
AGO,AGO_2315,Caconda,9.0,2015,2015,17793.0,1.69451,9031459.0
AGO,AGO_2316,Cacuso,5.0,2015,2015,21686.0,1.311901,7176227.0
AGO,AGO_2317,Cuango,8.0,2015,2015,101203.0,2.449039,15649631.0
AGO,AGO_2318,Cahama,5.0,2015,2015,11063.0,0.568147,1901700.0
AGO,AGO_2319,Caimbambo,4.0,2015,2015,10273.0,1.000301,5284730.0
AGO,AGO_2324,Calenga,3.0,2015,2015,8751.0,0.687451,3182485.0
AGO,AGO_2325,Calulo,5.0,2015,2015,34261.0,1.334293,10374096.0
AGO,AGO_2326,Ambaca,4.0,2015,2015,26909.0,0.726883,4746220.0
AGO,AGO_2327,Camacupa,10.0,2015,2015,48995.0,2.484208,15002209.0
AGO,AGO_2328,Camanongue,3.0,2015,2015,11485.0,0.535412,3017366.0
AGO,AGO_2331,Cangandala,2.0,2015,2015,8679.0,0.318235,1555708.0
AGO,AGO_2343,Katchiungo,6.0,2015,2015,17002.0,1.219815,6461298.0
AGO,AGO_2344,Gama (south),9.0,2015,2015,21824.0,0.815626,3567858.0
AGO,AGO_2345,Caxito,6.0,2015,2015,31174.0,1.498572,9271680.0
AGO,AGO_2346,Cazombo,12.0,2015,2015,42099.0,1.859847,10659095.0
AGO,AGO_2348,Cela,12.0,2015,2015,49589.0,3.182042,19932430.0
AGO,AGO_2413,Chibia,6.0,2015,2015,15988.0,1.004957,4792241.0
AGO,AGO_2436,Chipindo,3.0,2015,2015,8909.0,0.616787,2858520.0
AGO,AGO_2457,Chongoroi,2.0,2015,2015,5441.0,0.381319,2138405.0
AGO,AGO_2501,Conda,3.0,2015,2015,15136.0,0.62846,3601881.0
AGO,AGO_2512,Cuango Luzamba,2.0,2015,2015,26997.0,0.560373,3538789.0
AGO,AGO_2513,Cubal,11.0,2015,2015,49304.0,2.73654,14789247.0
AGO,AGO_2514,Cuchi,0.0,2015,2015,1095.0,0.061368,153433.0
AGO,AGO_2515,Kuimba,6.0,2015,2015,39538.0,0.538938,2958356.0
AGO,AGO_2568,Damba,4.0,2015,2015,12740.0,0.718811,3706820.0
AGO,AGO_2839,Dombe Grande,4.0,2015,2015,10639.0,0.747867,3444222.0
AGO,AGO_2846,Dondo,4.0,2015,2015,31040.0,1.163343,10526769.0
AGO,AGO_2908,Dundo,21.0,2015,2015,145316.0,5.012167,34637912.0
AGO,AGO_2954,Ecunha,3.0,2015,2015,9005.0,0.589774,2566984.0
AGO,AGO_3306,Gabela,9.0,2015,2015,94147.0,2.199012,18850640.0
AGO,AGO_3359,Ganda,12.0,2015,2015,44771.0,3.003262,19357174.0
AGO,AGO_3562,Golungo Alto,2.0,2015,2015,14270.0,0.391531,3276348.0
AGO,AGO_3835,Huambo,87.0,2015,2015,520603.0,23.149612,153198064.0
AGO,AGO_4465,Caluquembe,11.0,2015,2015,19672.0,1.614597,7366125.0
AGO,AGO_5212,Cacongo,3.0,2015,2015,11128.0,0.588317,3693498.0
AGO,AGO_5296,Lobito,72.0,2015,2015,471418.0,15.212244,181722368.0
AGO,AGO_5303,Longonjo,3.0,2015,2015,8565.0,0.697925,3952153.0
AGO,AGO_5331,Luanda,947.0,2015,2015,6987982.0,259.57536,1787586944.0
AGO,AGO_5334,Luau,12.0,2015,2015,65492.0,2.823894,16853640.0
AGO,AGO_5336,Lubango,134.0,2015,2015,555412.0,25.203052,202183056.0
AGO,AGO_5347,Lucala,1.0,2015,2015,9106.0,0.246167,1230355.0
AGO,AGO_5348,Lucapa,11.0,2015,2015,69684.0,1.701283,11068346.0
AGO,AGO_5357,Luena,55.0,2015,2015,259854.0,9.874712,63048312.0
AGO,AGO_5365,Londuimbale,4.0,2015,2015,11603.0,0.758793,3365462.0
AGO,AGO_5384,Lumbala-N'guimbo,4.0,2015,2015,12591.0,0.520872,2509792.0
AGO,AGO_5385,Cameia,3.0,2015,2015,17088.0,0.522439,2819069.0
AGO,AGO_5599,Malanje,53.0,2015,2015,423988.0,15.012227,94363600.0
AGO,AGO_5705,Maquela do Zombo,8.0,2015,2015,54284.0,1.142172,11095399.0
AGO,AGO_5782,Matala,24.0,2015,2015,87880.0,6.0496,37822736.0
AGO,AGO_5815,Mavinga,2.0,2015,2015,7189.0,0.289886,1176128.0
AGO,AGO_5853,Mbanza Congo,18.0,2015,2015,139837.0,3.391783,29649552.0
AGO,AGO_5948,Menongue,36.0,2015,2015,216517.0,7.804059,47318772.0
AGO,AGO_6377,Mungo,5.0,2015,2015,12159.0,1.07448,5666134.0
AGO,AGO_6420,Mussende,3.0,2015,2015,14042.0,0.680538,4736717.0
AGO,AGO_6520,Namacunde/Oshikango [AGO],4.0,2015,2015,22440.0,1.022933,6367444.0
AGO,AGO_6532,Namibe,31.0,2015,2015,208440.0,7.070591,54060392.0
AGO,AGO_6609,Ndalatando,12.0,2015,2015,145889.0,3.522487,33385064.0
AGO,AGO_6649,Negage,11.0,2015,2015,86985.0,2.355712,15284239.0
AGO,AGO_6723,Sumbe,29.0,2015,2015,188779.0,5.850887,59531944.0
AGO,AGO_6927,Nzetu,5.0,2015,2015,27193.0,1.32403,7202300.0
AGO,AGO_7092,Ondjiva,26.0,2015,2015,98340.0,4.710412,26232594.0
AGO,AGO_7333,Ext. Pinheiro,10.0,2015,2015,21902.0,1.26296,4804966.0
